Арҽхәаԥхьыӡқәа, жәҩантәылақәа рынцәахәы Аллаҳ иузкуп.	﻿Хвала Аллаху, Господу миров,
Урҭ: «Аллаҳ ишәзылбааигаз (Аҟәырҟан) азхашәҵа» ҳәа анрарҳәа, «Ҳарҭ, ҳара мацара иаҳзылбааз Ҭора азхаҳҵоит» ҳәаны, уи ашьҭахь ирзааиз (Аҟәырҟан) мап ацәыркуеит. Арахь, дара иркугьы Ҭора зырҵабыргуа ииашоу шәҟәуп уи. Убас раҳәа: «Шәара иазхазҵоз ауаа шәакәзар, избан уаанӡа Аллаҳ иԥааимбарцәа зҭашәырхоз?»	Когда им говорят: «Уверуйте в то, что ниспослал Аллах», — они отвечают: «Мы веруем в то, что было ниспослано нам». Они не веруют в то, что явилось впоследствии, хотя это является истиной, подтверждающей правдивость того, что есть у них. Скажи: «Почему же раньше вы убивали пророков Аллаха, если вы являетесь верующими?».
Сықәуеит, Мыса шәара иаартыҵәҟьаны аџьашьахәқәа шышәзааигахьазгьы, шәарҭ шәхаҿрақәа шәрыӷрагыланы, аҳәыс нцәахәыс ишәыдышәкылеит. Абас ала (Аллаҳ дааныжьны, даҽа нцәахәқәак шәрышьҭаланы) зхы-зыԥсы зыргәаҟуа шәакәхеит.	Муса (Моисей) явился к вам с ясными знамениями, но в его отсутствие вы стали поклоняться тельцу, будучи беззаконниками.
Ишәгәаламшәаӡои, Ҭур ашьха шәхаргыланы, ажәа шәымаҳххьан: «Ишәаҳҭаз ашәҟәы ӷәӷәала шәҽадҳәаланы, шәлымҳа азкыдышәҵа» анаҳҳәа, урҭгьы: «Ҳазыӡырҩит, ҳаҿагылеит» рҳәахьан. Рмапкыра амшала рыгәқәа аҳәыс абзиабара иамҽханакхьан. Иҳәа: «Абасҵәҟьа иазхашәҵозар, шәазхаҵара, иҽеим шәыднаҵоит».	Вот Мы заключили с вами завет и воздвигли над вами гору: «Крепко придерживайтесь того, что Мы даровали вам, и слушайте». Они сказали: «Слышали и ослушаемся». Их сердца впитали любовь к тельцу по причине их неверия. Скажи: «Скверно то, что велит вам ваша вера, если вы вообще являетесь верующими».
Урҭ: «Аллаҳ иҿаԥхьа, нарцәытәи аԥсҭазаара егьырҭ ауааԥсыра аламҵакәа шәара мацара ишышәтәу шәҳәозар, ус анакәха, аԥсра зышәҭахымхои?» ҳәа раҳәа.	Скажи: «Если Последняя обитель у Аллаха предназначена только для вас, а не для других людей, то пожелайте себе смерти, если вы говорите правду».
Рхала иеиҵарҟәаҟәаз аусқәа рымшала аԥсра зынӡаскгьы ирҭаххаӡом. Аллаҳ агәымбылџьбаҩцәа ибзиаӡаны идыруеит.	Однако они никогда не пожелают себе этого из-за того, что приготовили их руки. Аллах ведает о беззаконниках.
Ҳәарада, рхаҭақәа, ауааԥсыра рыбжьара зегь раасҭа аԥсҭазаара зҭаху ракәны иуԥылоит; Анцәа деицазкуа (аварҟәылаҩцәа) ауаа зқьы шықәса нырҵыр рҭахуп. Аха анҵыра дугьы агәаҟра ирзыԥшу иацәнахьчаӡом. Аллаҳ урҭ зҿқәоу ибзиаӡаны ибарҭоуп.	Ты непременно убедишься, что они жаждут жизни больше всех людей, даже больше многобожников. Каждый из них желал бы прожить тысячу лет. Но даже долгая жизнь ничуть не отдалит их от мучений. Аллах видит то, что они совершают.
Иҳәа (Ауриацәа рахь): Ацқьа (Гаврил) аӷас дышьҭызхуа ирдыруазааит, Аллаҳ игәаԥхарала уаанӡа ишәзааз ашәҟәқәа рырҵабыргразы, азхаҵаҩцәа рзы лашарбагас, гәырӷьаҽҳәашас Аҟәырҟан лбааганы, уара угәы иҭазҵазгьы иара иоуп.	Скажи: «Кто является врагом Джибрилу (Гавриилу)?». Он низвел его (Коран) на твое сердце с соизволения Аллаха в подтверждение правдивости того, что было прежде, в качестве верного руководства и благой вести для верующих.
Дызусҭазаалак, Аллаҳи, имаалықьцәеи, иԥаимбарцәеи, Аԥсыцқьеи, Миқьаили аӷас ишьҭызхыз ирдыруазааит, Аллаҳгьы азхамҵаҩцәа дышраӷоу.	Если кто враждует с Аллахом и Его ангелами, посланниками, Джибрилом (Гавриилом) и Микаилом (Михаилом), то ведь Аллах является врагом неверующих.
Ииашаҵәҟьаны, ҳара иузынаҳашьҭит иеилыкка иҟоу аҳәамҭақәа. Урҭ аҳәатәхамҵаҩцәа мацара мап ацәыркуеит.	Мы ниспосылали тебе ясные знамения, и не веруют в них только нечестивцы.
Урҭ ажәа рҭиицыԥхьаӡа, дара рҟынтә гәыԥҩык уи иаӷрагылома? Урҭ реиҳараҩык усгьы иазхамҵаҩцәақәоуп.	Неужели всякий раз, когда они заключают завет, часть из них отбрасывает его? Более того, большинство из них не веруют.
Аллаҳ иганахь ала, рывараҿы иҟаз Ҭора зырҵабыргуаз ацҳаражәҳәаҩ данааи, ашәҟәы азхазҵоз рыхәҭак, Аллаҳ ишәҟәы рзымдыруазшәа, рышьҭахьҟа иааныжьны иацәхьаҵит.	Когда к ним пришел Посланник от Аллаха (Мухаммад), подтвердивший правдивость того, что было у них, некоторые из тех, кому было даровано Писание, отбросили Писание Аллаха за спины, словно они не знают истины.
Урҭ, Шәлиман иаҳра аганалагьы аҩсҭаа иаԥшьигаз амцқәа азхарҵеит. Аиашазы, Шәлиман азхамҵацәа дрылаӡамызт, амала аҩсҭаацәа иазхамҵаҩцәахеит; избанзар ауааԥсыра алаԥшхырԥара дзырҵоз Бабилионаа Ҳаруҭи Маруҭи зыхьӡыз амаалықьцәа ишыддырҵаз еиԥш иддырҵон. Аха арҭ амаалықьцәа: «Ҳара аԥышәара ҳазкуп; шәара имҩахыҵыз шәырҩызамхан!» имҳәаӡакәа аӡәгьы рдырра ирҭаӡомызт. Дара ракәзар, арҭ амалықьцәа рҟынтә хаҵеи-ԥҳәыси иеилызхшақәа рҵар рҭахын. Арахь, Аллаҳ иақәиҭимтәыкәа аӡәгьы ԥырхага рызиҭомызт. Зегь дарароуп ирыхәаша акәымкәа, ирԥырхагаша иашьҭан . Сықәны исҳәоит, урҭ абри алаԥшхырԥ ара иалахәаахәҭуа аӡәы, иахраҭ шразҟыдахоз ибзиаӡаны ирдыруан. Рхи-рыԥси ҭины изыхҭнырҵаз, шаҟа иҽеимыз рдыруандаз!	Они последовали за тем, что читали дьяволы в царстве Сулеймана (Соломона). Сулейман (Соломон) не был неверующим. Неверующими были дьяволы, и они обучали людей колдовству, а также тому, что было ниспослано двум ангелам в Вавилоне — Харуту и Маруту. Но они (ангелы) никого не обучали, не сказав: «Воистину, мы являемся искушением, не становись же неверующим». Они обучались у них тому, как разлучать мужа с женой, но никому не могли причинить вред без соизволения Аллаха. Они обучались тому, что приносило им вред и не приносило им пользы. Они знали, что тому, кто приобрел это, нет доли в Последней жизни. Скверно то, что они купили за свои души! Если бы они только знали!
Хымԥада урҭ, аиаша азхаҵаны, рхы ацәгьара иацәырыхьчандаз, Аллаҳ иганахь ала ироуаз аԥсыԥ реиҳа иеиӷьхон, убри рдыруандаз, уаҳа ирҭахыз!	Если бы они уверовали в Аллаха и были богобоязненны, то вознаграждение от Аллаха было бы лучше для них. Если бы они только знали!
Шәарҭ азхаҵаҩцәа! (Ауриацәа «ҳаргьы уаҳхылаԥш ҳахьчаҩ» ҳәа цасҳәа ирҳәо) «Раина» ажәа шәымҳәан; «унзурна» (иҟалозар уҳахәаԥш) ажәа шәҳәа, насгьы шәӡырҩы. Азхамҵаҩцәа ахьаа рызҭо гәаҟрак ыҟоуп.	О те, которые уверовали! Не говорите Пророку: «Заботься о нас», а говорите: «Присматривай за нами» и слушайте. А неверующим уготованы мучительные страдания.
Иԥшьоу ашәҟәы иаҵанакуа азхамҵаҩцәеи амырҭаҭцәеи Анцәа иҟынтә ибзиоу акы шәзылбаар рҭахӡам. Амала Аллаҳ илԥха ииҭаху ирзикуеит. Уи игәыҳалалра кырӡа идууп.	Неверующие из людей Писания и многобожники не хотят, чтобы вам ниспосылалось благо от вашего Господа. Аллах же отмечает Своей милостью, кого пожелает. Аллах обладает великой милостью.
Ҳара ҳҳәамҭак амчра ахаҳхыр, мамзаргьы идхаҳаршҭыр ҳҭаххар, хымԥада, реиҳа иеиӷьу аԥаҳҵоит. Аллаҳ зегьы имч шрықәхо узымдырӡои!	Когда Мы отменяем или заставляем забыть один аят, то приводим тот, который лучше его, или равный ему. Разве ты не знаешь, что Аллах способен на всякую вещь?
Нас иузымдырӡои ажәҩанқәеи адгьыли знапаҿы иҟоу, аҳрагьы зтәу Аллаҳ мацара шиакәу? Шәара шәзы, Аллаҳ ида, хылаԥшҩыкгьы, цхырааҩгьы дыҟам.	Разве ты не знаешь, что Аллаху принадлежит власть над небесами и землей, и что нет у вас, кроме Аллаха, ни покровителя, ни помощника?
Мамзар, уаанӡа Мыса ишиазҵааз еиԥш, шәаргьы шәԥааимбар азҵаара ишәҭарц шәҭахума? Дарбанзаалак аӡәы, азхаҵара азхамҵара иахҭниҵар, хымԥада, амҩа иаша дацәхьаҵуеит.	Или же вы хотите попросить вашего Посланника, как прежде они (сыны Исраила) попросили Мусу (Моисея)? Кто сменил веру на неверие, тот уже сбился с прямого пути.
Абиблиа иаҵанакуа реиҳараҩык, аҵабырг дара рзы иҿаҿаӡа ианаатгьы, ирыӷраз агәаӷ мацара амшала шәара ихашәҵаз аиаша шәахьдырхәыр рҭаххеит. Ус иҟазаргьы, шәарҭ Аллаҳ ииӡбаз ааир ԥшаанӡа иранашәыжь, лыԥхалагьы шәрызныҟәа. Аллаҳ, хымԥада, зегь имч рықәхоит.	После того как прояснилась им истина, многие из людей Писания из зависти своей хотели бы отвратить вас от веры, когда вы уже приняли ее. Простите их и будьте великодушны, пока Аллах не явится со Своим повелением. Воистину, Аллах способен на всякую вещь.
Шәнамаз шәкы, шәзеқьаҭ шәҭии. Уаанӡа бзиарас иҟашәҵаз ауп Аллаҳ иҿаԥхьагьы ишәԥыло. Аллаҳ, хымԥада, иҟашәҵо зегьы акы агымкәа ибоит.	Совершайте намаз и выплачивайте закят. Все то доброе, что вы предварите для себя, вы найдете у Аллаха. Воистину, Аллах видит то, что вы совершаете.
Урҭ: «Ауриацәеи Ақьырсианцәеи рыда аӡәгьы џьанаҭ дызҭалом» рҳәеит. Уи дара ирхәыцыз ауп. Иҳәа: «Шәажәаҿы шәиашазар, изырҵабыргуа шәыршаҳаҭга аажәг!»	Они сказали: «Не войдет в Рай никто, кроме иудеев или христиан». Таковы их мечты. Скажи: «Приведите ваше доказательство, если вы говорите правду».
Уимоу, зыгәҭакы цқьаны, зхымҩаԥгашьа бзианы Аллаҳ зыҽизҭаз, уи иҿаԥхьа ацкы иоуеит. Урҭ рзы шәарҭа ыҟаӡам. Урҭ ахьаагьы рԥеиԥшӡам.	О нет! Кто покорит свой лик Аллаху, совершая добро, тот получит награду от своего Господа. Они не познают страха и не будут опечалены.
Зегьы ашәҟәы аԥхьара ишаҿугьы, Ауриацәа: «Ақьырсианцәа аҵабырг шьаҭас ирымам» рҳәеит; Ақьырсианцәагьы: «Ауриацәа аҵабырг шьаҭас ирымам» рҳәеит. Иззымдыруагьы арҭ ажәақәа иреиԥшыз рҳәеит. Аллаҳ урҭ реимакрақәа акаамеҭ амш аҽны дақәыӡбараны дыҟоуп.	Иудеи сказали: «Христиане не следуют прямым путем». А христиане сказали: «Иудеи не следуют прямым путем». Все они читают Писание, но слова невежественных людей похожи на их слова. В День воскресения Аллах рассудит их в том, в чем они расходились во мнениях.
Аллаҳ иныҳәарҭақәа рҿы, Уи ихьыӡ аҳәара иаҿагыланы, урҭ аҭыԥқәа реиларбгара зҽазызкыз раасҭа гәымбылџьбаҩыс иҟаларыда? Аиашазы дара урҭ аҭыԥқәа ишәаԥырҳаԥуа ирыҩналар акәын. Урҭ рзы адунеи аҟны цәыршәагароуп иҟоу, нарцәыгьы агәаҟра рзыԥшуп.	Кто может быть несправедливее того, кто запрещает в мечетях Аллаха поминать имя Его и стремится разрушить их? Им следовало бы входить туда только с чувством страха. Позор им в мирской жизни и великие мучения в Последней жизни.
Мрагыларагьы Аллаҳ итәуп, мраҭашәарагьы. Шәахьынаҳәлак, Аллаҳ уаҟа дыҟоуп. Хымԥада, уи аҳәаа дыузҭагӡаӡом, уи зегьы здыруа иоуп.	Аллаху принадлежат восток и запад. Куда бы вы ни повернулись, там будет Лик Аллаха. Воистину, Аллах — Объемлющий, Знающий.
«Аллаҳ ахшара диоуит» рҳәеит. Ҟалашьа амоума? Уи ари аҩыза узидкылом. Уимоу, ажәҩанқәеи адгьыли рҟны иаауԥыло зегьы иара итәуп. Рыззегьы иара иеихырхәараны иҟоуп.	Они сказали: «Аллах взял Себе сына». Пречист Он! Напротив, Ему принадлежит то, что на небесах и земле. Ему одному все покоряются.
Уи ажәҩанқәеи адгьыли зеиԥш ыҟам ршаҩы иоуп ; акы ҟаларц аниҭаххалак, «уҟала!» иҳәоит, иаразнакгьы иагьыҟалоит.	Он — Первосоздатель небес и земли. Когда Он принимает решение, то стоит Ему сказать: «Будь!», как это сбывается.
Адырра иазрыцҳау ауааԥсыра: «Аллаҳ ҳара дҳацәажәар, мамзаргьы шанак ҳирбар акәӡамзи!» рҳәеит. Урҭ раԥхьатәиқәагьы абри аҩыза ажәа рҳәахьан. Гәыла зегьы шԥеиԥшу! Ҳара аҵабырг еилызкаарц зҭахыҵәҟьоу рзы ҳажәақәа аартны иаҳҳәеит.	Те, которые лишены знания, говорят: «Почему Аллах не говорит с нами? Почему знамение не приходит к нам?». Такие же слова произносили их предшественники. Их сердца похожи. Мы уже разъяснили знамения людям убежденным!
Ииашаҵәҟьаны (уара а ԥааимбар) ҳара аиашала уеибыҭаны, гәырӷьаҽҳәашаҩыс, насгьы гәҽанҵаҩыс ураҳҭеит. Гәаҟрала абылра иақәшәараны иҟоу рҭакԥхықәра уара иудым.	Мы отправили тебя с истиной добрым вестником и предостерегающим увещевателем, и ты не будешь спрошен об обитателях Ада.
Уара урҭ рдин уацымныҟәакәа, ауриацәагьы ақьырсианцәагьы уганахьала агәаҳәара роураны иҟаӡам. Иҳәа: «Амҩа иашаҵәҟьа - Аллаҳ имҩа ауп!» ҳәа. Уажәшьҭа иуаҳҭаз адырра ашьҭахь, урҭ рҭахрақәа урыцныҟәар, иудыруазааит, Аллаҳ уинахыс дагьуыуам, дагьуцхрааҩым.	Иудеи и христиане не будут довольны тобой, пока ты не станешь придерживаться их религии. Скажи: «Путь Аллаха — это прямой путь». Если же ты станешь потакать их желаниям после того, как к тебе явилось знание, то Аллах не будет тебе ни Покровителем, ни Помощником.
Ашәҟәы заҳҭаз рыбжьара, уи ишахәҭоу ала иаԥхьо ауаа ыҟами, убарҭ ашәҟәы азхазҵаз роуп; аха дазусҭазаалак абри мап ацәызкыз, ацәыӡҵәҟьа зауз роуп.	Те, кому Мы даровали Писание и кто читает его надлежащим образом, действительно веруют в него. А те, которые не уверуют в него, непременно окажутся в убытке.
Шәарҭ Исраил иԥацәа! Уаанӡа шәара ишәысҭаз аразҟи, насгьы аԥсабара зегьы шәалкааны шәышсымази шәгәалашәыршәа.	О сыны Исраила (Израиля)! Помните о милости, которую Я оказал вам, а также о том, что Я возвысил вас над мирами.
Убри аҩыза амш шәацәшәа, уи амш аҽны аӡәы даҽаӡәы изы акагьы аҟаҵара илшом; аӡәы ихаҭыԥаны даҽаӡәы дрызрыдкылом, аӡәы даҽаӡәы дызихәом, уи амш аҽны аӡәгьы џьарантә ацхыраарагьы изаауам.	Страшитесь дня, когда ни один человек не принесет пользы другому и когда нельзя будет откупиться, когда ничем не поможет заступничество и когда им не будет оказана поддержка.
Аамҭала Анцәа, Ибраҳим ажәақәак рыла дԥышәаны, Ибраҳимгьы урҭ гхада ианынаигӡа, «Уара ауаа ԥызас урысҭоит» ҳәа иеиҳәеит, аха Ибраҳим «схылҵышьҭрагьы» ҳәа анациҵа, Инцәагьы: «Сара сажәа агәымбылџьбаҩцәа аҵанакӡом» иҳәеит.	Вот испытал Господь Ибрахима (Авраама) повелениями, и тот выполнил их. Он сказал: «Я сделаю тебя предводителем людей». Ибрахим (Авраам) сказал: «И из моего потомства». Аллах сказал: «Мой завет не коснется беззаконников».
Усҟан ҳара Қьааба, ауааԥсыра ахьаҭааша ишәарҭадароу ҭыԥны иҟаҳҵеит. Шәаргьы Ибраҳим иҭыԥ аҟны намазкырҭак алышәх. Ибраҳимгьы Исмаилгьы «Иакәшо рзыҳәан, исашьапкуа рзыҳәан, асаара ишьҭаланы исымҵахырхәеи рзы сыҩны (қьааба) цқьаны иныҟәыжәга» ҳәа адҵа раҳҭеит.	Вот Мы сделали Дом (Каабу) пристанищем для людей и безопасным местом. Сделайте же место Ибрахима (Авраама) местом моления. Мы повелели Ибрахиму (Аврааму) и Исмаилу (Измаилу) очистить Мой Дом (Каабу) для совершающих обход, пребывающих, кланяющихся и падающих ниц.
Ибраҳим: « Уа Анцәа! Абри ақалақь ашәарҭа иацәыхьча, ауааԥсыра рҟынтәгьы Аллаҳи нарцәытәи амши азхазҵо иеиуеиԥшым аалыҵқәа разҟыс ирыҭ» ҳәа даҳәахьан. Аллаҳгьы убас адҵа ҟаиҵеит: «Мап зкуагьы ҳамҭакы адунеи аразҟқәа рысҭоит, аха аҵыхәтәан џьаҳаным агәаҟрахь инасышьҭуеит. Уи аҵыхәтәа шаҟа ицәгьоузеи!»	Вот сказал Ибрахим (Авраам): «Господи! Сделай этот город безопасным и надели плодами его жителей, которые уверовали в Аллаха и в Последний день». Он сказал: «А неверующим Я позволю пользоваться благами недолгое время, а затем заставлю их страдать в Огне. Как же скверно это место прибытия!».
Ибраҳим, Исмаил ила қьааба ауасхыр шьҭихуан: «Уа Ҳанцәа! Абри ҳахьӡала иудкыл; хымԥада, уара изаҳауа, избо уоуп!	Вот Ибрахим (Авраам) и Исмаил (Измаил) подняли основание Дома (Каабы): «Господь наш! Прими от нас! Воистину, Ты — Слышащий, Знающий.
Уа Ҳанцәа! Ҳара зыҽузҭо ҳрылаԥхьаӡа, ҳхылҵышьҭра аҟынтәгьы зыҽузҭо жәларык ҳалыриаа. Ҳара уашьапкышьа ҳарба, ҳаҭамзаарақәа удкыл. Хым ԥада, аҭамзаарақәа здызкыло, зрыцҳашьарагьы кырӡа ирацәоу уара мацара уоуп.	Господь наш! Сделай нас покорившимися Тебе, а из нашего потомства — общину, покорившуюся Тебе. Покажи нам обряды поклонения и прими наше покаяние. Воистину, Ты — Принимающий покаяние, Милосердный.
Ҳхылҵышьҭра рыбжьара, урҭ уара уҳәоуқәа ирызрыԥхьаша, ашәҟәи аҟәыӷареи дзырҵаша, аҽрыцқьашьа иақәзыршәаша цҳаражәҳәаҩык дрылҵыртә иҟаҵа, Ҳанцәахәы! Избанзар, амчреи аҟәыӷареи иақәиҭу уара мацара уоуп.	Господь наш! Пошли к ним посланника из них самих, который прочтет им Твои аяты, научит их Писанию и мудрости и очистит их. Воистину, Ты — Могущественный, Мудрый».
Хшыҩда зхы ацәгьара азызуа ида Ибраҳим ижәлар ирзааигаз адин мап ацәызкуада! Арахь ҳара уи адунеи аҿы далаҳкаахьеит. Хымԥада, уи нарцәгьы абзиақәа дрылаԥхьаӡахоит.	Кто же отвернется от религии Ибрахима (Авраама), кроме глупца? Мы избрали его в мирской жизни, а в Последней жизни он будет в числе праведников.
Избанзар, Инцәа, «Сара уҽсыҭ» ҳәа анидиҵа, иаргьы «Жәҩантәылақәа (аԥсабарақәа) рынцәа сыҽисҭеит» ҳәаны, иагьынаигӡахьан.	Вот сказал Господь Ибрахиму (Аврааму): «Покорись!». Он сказал: «Я покорился Господу миров».
Ибраҳим , абри адин Иақәыԥгьы днарылакны иԥацәа Исмаили Исҳаҟи уасиаҭс ирзынижьит: «Сԥацәа! Аллаҳ абри адин шәара шәзы иалихит; ус анакәха, Иара мацара зыҽизҭаз зхаҵаҩцәас шәыԥсы шәҭии!»(иҳәеит).	Ибрахим (Авраам) и Йакуб (Иаков) заповедали это своим сыновьям. Йакуб (Иаков) сказал: «О сыновья мои! Аллах избрал для вас религию. И умирайте не иначе, как будучи мусульманами».
Мамзар, Иақәыԥ иԥсы анихыҵуаз уа шәыҟаны, уи аамҭазы Иақәыԥ иԥацәа даҽа уасиаҭк шырзаанижьыз шәҳәарц шәҭахума? Аха уи иҷкәынцәа рахь: «Сара снаҩс шәзымҵахырхәода!» аниҳәа: даргьы «Уареи, уабдуцәа Ибраҳими, Исмаили, Исҳаҟи рынцәа, иаӡәыкәу Анцәа ҳимҵахырхәоит; ҳара уи мацара ҳаҽиаҳҭеит» рҳәахьан.	Или же вы находились рядом, когда смерть явилась к Йакубу (Иакову)? Он сказал своим сыновьям: «Кому вы будете поклоняться после меня?». Они сказали: «Мы будем поклоняться твоему Богу и Богу твоих отцов — Ибрахима (Авраама), Исмаила (Измаила) и Исхака (Исаака), Единственному Богу. Ему одному мы покоряемся».
Урҭ жәларыкны имҩасит. Урҭ идырҳақәаз – дара, шәара ишәырҳазгьы шәара ишәтәуп. Шәара урҭ ирамхаҟаҵақәаз рзы лахь шәоуӡом.	Этот народ уже миновал. Они получат то, что они заслужили, а вы получите то, что вы заслужили, и вы не будете спрошены о том, что они совершали.
Урҭ рыбжьара, ауриацәа «шәауриаха», ақьырсианцәа ракәзар, «шәқьырсианха, ус ала амҩа иаша шәақәшәап» рҳәоит. Уаргьы убас раҳәа: «Мап! Ҳара ицқьашәқьоу Ибраҳим идин ҳақәныҟәоит. Уи азхамҵацәа дреиуамызт».	Они сказали: «Обратитесь в иудаизм или христианство, и вы последуете прямым путем». Скажи: «Нет, в религию Ибрахима (Авраама), который был ханифом и не был одним из многобожников».
«Ҳара, Аллаҳи иаҳзылбаази, иара убасгьы Ибраҳими, Исмаили , Исҳаҟи, Иақәыԥи рмоҭацәеи ирзылбаази, Мысаи, Иасеи ириҭази, насгьы аԥааимбарцәа зегьы Анцәа ириҭази азхаҳҵеит, урҭ рыбжьара еилых ҟаҳҵом; ҳара Уи ҳаҽиаҳҭахьеит» шәҳәа.	Скажите: «Мы уверовали в Аллаха, а также в то, что было ниспослано нам и что было ниспослано Ибрахиму (Аврааму), Исмаилу (Измаилу), Исхаку (Исааку), Йакубу (Иакову) и коленам (двенадцати сыновьям Йакуба), что было даровано Мусе (Моисею) и Исе (Иисусу) и что было даровано пророкам их Господом. Мы не делаем различий между ними, и Ему одному мы покоряемся».
Аха урҭгьы шәара ишазхашәҵо еиԥш иазхарҵар, хымԥада, амҩа иаша иқәлоит; амала рҿы аадырҳәыр, иудыруазааит, хазы иахо ацәгьаршыҩцәа ракәхоит. Ус ианыҟала, рҿаԥхьа уара Аллаҳ дузхоит; Уи зегьы ишахәҭоу изаҳауа иоуп, зегьы ишахәҭоу издыруа иоуп.	Если они уверуют в то, во что уверовали вы, то последуют прямым путем. Если же они отвернутся, то окажутся в разладе с истиной. Аллах избавит тебя от них, ибо Он — Слышащий, Знающий.
Ҳарҭ Аллаҳ ишәыга ала ҳҽаҳшәит. Аллаҳ ишәыга аасҭа иԥшӡоу ашәыга арбану? Иара иаасҭа иԥшӡаны изшәуа дарбану? Ҳара Уи мацара ҳиеихырхәоит.	Скажи: «Такова религия Аллаха! А чья религия может быть лучше религии Аллаха? Ему одному мы поклоняемся».
Иҳәа: «Аллаҳ шәаргьы, ҳаргьы Дышҳанцәоугьы, Уи изкны ҳамакра шәҽазышәшәома? Ҳара иҟаҳҵо – ҳара, шәара иҟашәҵогьы шәара ишәтәуп. Ҳарҭ Уи гәыла ҳаҽидаҳҳәалахьеит.	Скажи: «Неужели вы станете препираться с нами относительно Аллаха, тогда как Он является нашим Господом и вашим Господом. Нам достанутся наши деяния, а вам — ваши деяния, и мы искренни перед Ним».
Мамзар шәара Ибраҳими , Исмаили, Исҳаҟи, Иақәаԥи, рмоҭацәа иауриан, мамзаргьы иқьырсианын шәҳәома? Иҳәа: «Шәара шәакәу иеиӷьны издыруа, мамзаргьы Аллаҳ иакәу?» Аллаҳ иҟынтә иааз дыррак ҵәахны ицәырзымго иаҟара игәымбылџьбаҩны иҟада! Аллаҳ шәызҿу зегьы изымдыруа дыҟаӡам.	Неужели вы скажете, что Ибрахим (Авраам), Исмаил (Измаил), Исхак (Исаак), Йакуб (Иаков) и колена (двенадцать сыновей Йакуба) были иудеями или христианами? Скажи: «Вы лучше знаете или же Аллах? Кто может быть несправедливее того, кто скрыл имеющееся у него от Аллаха свидетельство? Аллах не пребывает в неведении относительно того, что вы совершаете».
Уи ажәлар шьҭа имҩасхьеит. Урҭ идырҳаз дара иртәуп, шәара ишәырҳазгьы шәара ишәтәуп. Урҭ иҟарҵаз азы шәара ҽыԥныҳәа шәоуӡом.	Этот народ уже миновал. Они получат то, что они заслужили, а вы получите то, что вы заслужили, и вы не будете спрошены о том, что они совершали.
Ауааԥсыра рыбжьара хшыҩдақәак: «Урҭ иахьа уажәраанӡа рхы ахьхаз (Кыбле) иахьзырхәыз закәызеи?» рҳәашт. Убас раҳәа: «Мрагыларагьы мраҭашәарагьы Аллаҳ итәуп. Уи ииҭаху амҩа иаша дықәиҵоит».	Глупые люди скажут: «Что заставило их отвернуться от киблы, к которой они поворачивались лицом прежде?». Скажи: «Восток и запад принадлежат Аллаху. Он наставляет, кого пожелает, на прямой путь».
Абас ала, шәарҭ ауааԥсыра рзы, ибжьаратәу (иҿырԥшу) насгьы иҟарҵо шаҳаҭра азызуа жәларыкны шәҟаҳҵеит. Иара аԥааимбаргьы убасҵәҟьа шәара шәзы шаҳаҭра иуааит. Ҳара абри ухырхарҭа (кыбле) аԥааимбар ицныҟәази, зышьҭахь еиазырхази еилыргахарц азы ҷыдала иаԥ аҳҵеит. Ари Аллаҳ ирлашаз ауаа рыда егьырҭ ирцәыхьанҭахоит. Аллаҳ шәызхаҵара ахаан иԥхасҭеитәуам. Избанзар, Аллаҳ ауааԥсыра рзы кырӡа дрыцҳашьаҩуп, дыгәшаҭаҩуп.	Мы сделали вас общиной, придерживающейся середины, чтобы вы свидетельствовали обо всем человечестве, а Посланник свидетельствовал о вас самих. Мы назначили киблу, к которой ты поворачивался лицом прежде, только для того, чтобы отличить тех, кто последует за Посланником, от тех, кто повернется вспять. Это оказалось тяжело для всех, кроме тех, кого Аллах повел прямым путем. Аллах никогда не даст пропасть вашей вере. Воистину, Аллах сострадателен и милосерден к людям.
Ҳара, уҿы ажәҩанахь ишурхаз хымԥ ада иаҳбоит. Абар уажәы, ииашаҵәҟьаны угәы иахәаша ахырхарҭахь уҳархынҳәуеит. Уажәшьҭа ухы Месџьиди Ҳарам ашҟа ирха; шәахьыҟазаалакгьы шәхы уахь ишәырха. Ҳәарада, аԥшьаҩыра зауқәаз ари рынцәа иҟынтә ирзааз ҵабыргк шакәу хымԥада ирдыруеит. Аллаҳ урҭ иҟарҵаз изымдыруа дыҟаӡам.	Мы видели, как ты обращал свое лицо к небу, и Мы обратим тебя к кибле, которой ты останешься доволен. Обрати же свое лицо в сторону Заповедной мечети. Где бы вы ни были, обращайте ваши лица в ее сторону. Воистину, те, которым даровано Писание, знают, что такова истина от их Господа. Аллах не пребывает в неведении относительно того, что они совершают.
Ашәҟәы заухьаз, иагьа џьашьахәы дурбаргьы, урҭ уара ухырхарҭахь рхы аадырҳәуам. Уаргьы дара рхырхырҭа уацныҟәаӡом. Урҭ дара дара рхырхарҭақәагьы рыдыркылом. Уажәшьҭа, уара иузааиз адырраҵәҟьа ашьҭахь урҭ рҭахрақәа урыцныҟәар, хымԥада убасҟан аиаша иаӷрагылаз уреиуахоит.	Какое бы знамение ты ни показал тем, кому было даровано Писание, они все равно не станут обращаться к твоей кибле, а ты не станешь обращаться к их кибле. Никто не станет обращаться к кибле других. А если ты станешь потакать их желаниям после того, как к тебе явилось знание, то тогда ты окажешься в числе беззаконников.
