Иахәаԥштәуп...	Просмотреть...
Иаҿактәуп аҽхарҭәаара адиалог "Апрограмма ҟаҵатәуп" аҿы	Включить автодополнение в диалоге "Выполнить программу"
Азин рыҭатәуп апытҟәырқәа аҵәахра/ацәыргара	Разрешить кнопки сокрытия/раскрытия
Адиалог "Апрограмма ҟаҵатәуп" аҿы апрограммақәа рыхьӡынҵа аҿактәуп	Включить список программ в диалоге "Выполнить программу"
Ихыло аҵаҳәарақәа аҿактәуп	Включить всплывающие подсказки
Араҟа адҵатә цәаҳәа  ҭагалатәуп. 	Ввести здесь командную строку.
"%s": %s азы аҵакы аиуратә гха ҟалеит	Произошла ошибка получения значения для "%s": %s
Агха ҟалеит аҵакы display_all_workspaces аҭагалараан апплет аусуратә еишәақәа рзы иҟоу аиагага %s 	Произошла ошибка при загрузке значения displayallworkspaces для апплета переключателя рабочих мест: %s 
Агха ҟалеит аҵакы display_workspace_names аҭагалараан, апплет аусуратә еишәақәа рзы иҟоу аиагага %s 	Произошла ошибка при загрузке значения displayworkspacenames для апплета переключателя рабочих мест: %s 
Акаталог "%s" асистема GConf: %s иатәу аҿы аҭагаларатә гха ҟалеит	Произошла ошибка загрузки каталога "%s" системы GConf: %s
Агха ҟалеит аиагага аусуратә ҭыԥқәа : %s рапплет num_rows аҵакы  аҭагалараан. 	Произошла ошибка при загрузке значения numrows для апплета переключателя рабочих мест: %s 
GConf аҟынтәи аԥхьаратә агха аҵакы boolean: '%s': %s аҩыза	Ошибка чтения из GConf значения типа boolean: '%s': %s
GConf аҟынтәи аԥхьаратә агха аҵакы integer: '%s': %s аҩыза	Ошибка чтения из GConf значения типа integer: '%s': %s
GConf аҟынтәи аԥхьаратә агха аҵакы string: '%s': %s аҩыза	Ошибка чтения из GConf значения типа string: '%s': %s
Ацаԥха "%s" асистема GConf: %s иатәу аҿы ахылаԥшратә гха ҟалеит	Произошла ошибка наблюдения за ключём "%s" системы GConf: %s
Ихыло амениу "%s" аҿы аҷыдалкаа ҟалеит 	Произошло исключение во всплывающем меню "%s" 
Адиалог "Апрограмма ҟаҵатәуп"аҿы апрограммақәа рыхьӡынҵа еиҵыхлатәуп	Разворачивать список программ в диалоге "Выполнить программу"
Апанель ырҭбаалатәуп аекран аҭбаара зегь ҭнарҭәаанӡа	Расширять панель, пока она не займёт всю ширину экрана
Асааҭ апплет аԥҵаразы афабрика.	Фабрика для создания апплетов часов.
Афабрика аԥенџьырқәа рыбжьара анавигациазы	Фабрика для создания апплетов навигации между окнами
Асахьа %s аиураан аиԥҟьара ҟалеит	Произошёл сбой при получении изображения %s
Асааҭ: %s архиараан апрограмма еиԥҟьеит	Cбой при запуске программы установки часов: %s
Аиԥҟьара ҟалеит "%s": %s аҿакраан 	Произошёл сбой при загрузке "%s": %s 
Апплет "%s" аҭагалараан аиԥҟьара	Cбой при загрузке апплета "%s"
Арыцхәи асааҭи шьақәзыргыло апрограмма аԥшаараан аиԥҟьара ҟалеитИҟалап, арҭ иреиуоу апрограммақәа шьақәыргыламзар?	Произошёл сбой при попытке найти программу, устанавливающую дату и время.  Возможно, ни одна подобная программа не установлена?
Ахәҭа ԥшаатәуп "%s": ахь ацҵараз	Найти элемент для добавления к "%s":
 Ахәҭа ԥшаатәуп акәалаԥ : ахь иацҵазарц	Найти элемент для добавления в ящик:
Ахәҭа ԥшаатәуп, апанель: ахь иацҵазарц	Найдите элемент, чтобы добавить на панель:
Акомпиутер аҿы афаилқәа, акаталогқәа, адокументқәа рыԥшаара	Поиск файлов, каталогов и документов на компьютере
Аԥсыӡ	Рыбка
Апараметрқәа "Аԥсыӡқәа"	Параметры "Рыбки"
Аҭыхымҭа ашәагаа апанель иаҟаратәуп	Подгонять размер изображения под размер панели
Мчылатәи ахырқәшара	Принудительное завершение
Еиԥҟьоу аԥшь аусура мчыла ахыркәшара	Принудительно завершает работу сбоящего приложения
Ари Аԥшь мчыла ихырқәшатәума? (Иаарту афаилқәеи адокументқәеи иӡуеит.)	Завершить указанное приложение принудительно? (Все открытые файлы и/или документы будут потеряны.)
Акадрқәа рхыԥхьаӡара аԥсыӡ анимациа азураан. 	Число кадров при анимации рыбки
Иабантәи ааи ари аԥсыӡ гаӡа	Откуда приплыла эта глупая рыбка
Апанель – алагылазаара GNOME акәырша	Панель - оболочка среды GNOME
Уажәти аамҭеи арыцхәи унарбоит	Отображает текущие время и дату
Аԥенџьырқәа реихшара, аҭыԥ анмаҷу	группировать окна, когда пространство ограничено
Аԥшьқәа рԥенџьыркәа зегь еикәаԥсаны аусурҭа еишәа арбатәуп 	Свернуть все окна приложений и показать рабочий стол
Апытҟәырқәа алашара аҵарԥхалатәуп аҳәынаԥ анақәку	Подсвечивать кнопки при наведении мыши
Асааҭ аформат	Формат часов
Апанель аус аруп. Апанель ҿыц аус арухаӡом.	Панель уже запущена. Новая панель запущена не будет.
Адыргаҷа "%s" ԥшаам	Значок "%s" не найден
Адыргаҷа ԥшаам	Значок не найден
Адыргаҷа, аоабиект апытҟәырҵас ахархәара змоу	Значок, используемый для кнопки объекта
Ари ацаԥха шьақәыргылазар, апанель аԥыхраан адҵа ашьақҿырӷәӷәаразы ишәыдҵаалоит.	Если этот ключ установлен, при попытке удаления панели будет запрашиваться подтверждение.
Ари ацаԥха шьақәыргылазар, акәалаԥ ахала иаклоит, аус руга апытҟәырқәа руак иара аҿышәанақәыӷәӷәо.	Если этот ключ установлен, ящик будет автоматически закрываться при нажатии на одну из кнопок запуска в нём.
Ари ацаԥха шьақәыргылазар, аусуруга пытҟәыр  алашара аҵарԥхалоит арбага анақәку.	Если этот ключ установлен, кнопка запуска подсвечивается при наведении на неё указателя.
Ацаԥха шьақәыргылазар, апытҟәырқәа аҵәахра/ацәыргара рҿы ахыцқәа цәырҵуеит. Ари апараметр аҵакы амоуп ацаԥха enable_buttons шьақәыргылазар.	Если этот ключ установлен, то на кнопки скрытия/раскрытия будут нанесены стрелки. Этот параметр имеет смысл, если установлен ключ enablebuttons.
Ари апараметр шьақҿыргылазар, адиалог аҿы "апрограмма ҟаҵатәуп" аҽхарҭәаара ауеит.	Если этот параметр установлен, автодополнение в диалоге "Выполнить программу" будет доступно.
Ари ацаԥха шьақәыргылазар, апанель аҿы иҟалоит аҵәахра/аартра апытҟәырқәа . Урҭ ахархәара роуеит апанель аекран анҭыҵ "алгара" азы, иубарҭаны иаанхарцапытҟәыр мацара, апанель еиҭа "аиҵыхра" алзыршо.	Если этот ключ установлен, то на панель будут нанесены кнопки сокрытия/раскрытия. Они используются для "вывода" панели за пределы экрана, так что остаётся видимой только кнопка, позволяющая "развернуть" панель обратно.
Ари ацаԥха шьақәыргылазар, апплет аҽы иубарҭахоит аамҭеи арыцхәи.	Если этот ключ установлен, в апплете отображается не только время, но и дата.
 Ари ацаԥха шьақәыргылазар, асекундақәа убарҭахоит.	Если этот ключ установлен, отображаются секунды.
Ари ацаԥха шьақәыргылазар, аамҭа Гринвичу (UTC) ала ианыԥшуеит.	Если этот ключ установлен, отображается время по Гринвичу (UTC).
Ари ацаԥха шьақәыргылазар, усҟан апанель аҵәахреи аартреи анимациа азухоит, "имоменталны" акәымкәа.	Если этот ключ установлен, то сокрытие и раскрытие панели будет анимированным, а не "моментальным".
Ари ацаԥха шьақәыргылазар, арбага асааҭ апплет ианақәку арыцхә аныԥшуеит.	Если этот ключ установлен, при наведении указателя на апплет часов отображается дата.
Ишьақәыргылазар, амзар аҿы амчыбжьқәа рномерқәа арбалатәуп	Если установлено, показывать номера недель в календаре
Ари ацаԥха шьақәыргылазар, ахьӡынҵа "Идыру аԥшьқәа" адиалог "Апрограмма ҟаҵатәуп" аҿы ишыҟоу еиԥш еиҵыҵуеит.  Ари ашьақәыргыла аҵакы амоуп апараметр enable_program_listшьақҿыргылазар.	Если этот ключ установлен, список "Известные приложения" в диалоге "Выполнить программу" по умолчанию разворачивается.  Эта установка имеет смысл только в том случае, если устанвлен параметр enableprogramlist.
Ари ацаԥха шьақәыргылазар, усҟан адиалог "Апрограмма ҟаҵатәуп" аҿы "Идыру аԥшьқәа"ахьӡынҵа ахь унеиртә иҟалоит. Еиҵыҵны иҟало иҟамло уи ишыҟоу еиԥш – игәанаҭоит архиара show_program_list.	Если этот ключ установлен, то в диалоге "Выполнить программу" становится доступным список "Известные приложения".  Будет ли он развёрнут по умолчанию или нет -- контролируется настройкой showprogramlist.
Ари ацаԥха шьақәыргылазар, усҟан афонтә ҭыхымҭа иааҳәны иҟалоит, апанель ҵәҩанҵәыла ирхиазар.	Если этот ключ установлен, то фоновое изображение будет повёрнуто, если панель ориентирована вертикально.
Ацаԥха шьақәыргылазар, усҟан аҵакы ацаԥха  custom_icon  аҟынтәи ахархәара аиуеит ахархәаратә дыргаҷа аҳасабла апытҟәыр азы. Ишьақәыргыламзар, ацаԥха custom_icon аҵакы иазхьаԥшӡом. Ари апараметр аҵакы амоуп, ацаԥха object_type "menu-object" аҵакы амазар мамзаргьы "drawer-object".	Если этот ключ установлен, то значение из ключа customicon используется как пользовательский значок для кнопки. Если не установлен, то значение ключа customicon будет проигнорировано. Этот параметр имеет смысл, только если ключ objecttype содержит значение "menu-object" или "drawer-object".
Ари ацаԥха шьақәыргылазар, анимациа ҵәҩанҵәылатәи апанельқәа рҿы иаарҳәны иубарҭахоит.	Если этот ключ установлен, на вертикальных панелях анимация будет отображаться в повёрнутом виде.
Ари ацаԥха шьақәыргылазар, усҟан  афонтә ҭыхымҭа имасшабыркхоит (аизышәара аҳәаракыра/аҭбаара еиқәырханы) апанель аҳаракыра аҟынӡа (апанель ииааланы иҟазар).	Если этот ключ установлен, то фоновое изображение будет масштабироваться (с сохранением соотношения высота/ширина) до высоты панели (если панель горизонтальная).
Ари ацаԥха шьақәыргылазар, усҟан  аҭыхымҭа ашәагаа ԥсаххоит апанель ашәагаа аҟынӡа. Аизышәара аҳәаракыра/аҭбаара араҟа еиқәырханы изыҟалом	Если этот ключ установлен, размер изображения будет изменен до размеров панели. Соотношение ширина/высота изображения при этом не сохраняется.
Ацаԥха шьақәыргылазар, усҟан аҵаԥха menu_path аҵакы ахархәара аиуеит мҩаҵас,амениу злеиҿыркаауа акакәны. Ишьақәыргыламзар, усҟан аҵаԥха menu_path аҵакы иазхьаԥшуам.  Ари апараметр аҵакы амоуп ацаԥха object_type иамазар аҵакы "menu-object".	Если этот ключ установлен, то значение из ключа menupath используется как путь, из которого будет сконструировано меню. Если не установлен, то значение ключа menupath будет проигнорировано.  Этот параметр имеет смысл только если ключ objecttype содержит значение "menu-object".
Ари ацаԥха шьақәыргылазар, усҟан  аәҿынаԥ апанель ианақәкым апанель иаразнак аекран акәакьахь аҽаҵәахуеит. Аҳәынаԥ арбага ари акәакь ахь ианиаслакь апанель аатуеит.	Если этот ключ установлен, то при покидании указателем мыши пространства над панелью панель автоматически скрывается в угол экрана.  Перемещение указателя мыши в этот угол вызовет раскрытие этой панели.
Ари ацаԥха шьақәыргылазар, апанель азин анаҭом аԥшь мчыла аркра. Иашьашәалоу апытҟәыр ахь анеира ҟалом.	Если этот ключ установлен, панель не будет позволять принудительно завершать приложение. Соответствующая кнопка будет недоступна.
Ари ацаԥха шьақәыргылазар, апанель аекран аркра азин анаҭрм. Иашьашәалоу амениу апункт ахь унеиртә иҟалом.	Если этот ключ установлен, панель не будет позволять блокировать экран. Соответствующий пункт меню будет недоступен.
Ари ацаԥха шьақәыргылазар, апанель азин унаҭом асеанс алгара. Иашьашәалоу амениу апункт ахь унеиртә иҟалом.	Если этот ключ установлен, панель не будет позволять завершать сеанс. Соответствующий пункт меню будет недоступен.
Ари ацаԥха шьақәыргылазар, апанель азин унаҭом амениу апанель аконфигурациаҿы аԥсахрақәа рымҩаԥгара Аха апплетқәак хазы аанкылагак иаҳәар ҟалоит. Аеффект аиуразы апанель аиҭаҿакра аҭахуп	Если этот ключ установлен, панель не будет позволять производить изменения в конфигурации панели. Однако отдельные апплеты могут потребовать отдельной блокировки. Для достижения эффекта панель необходимо перезапустить.
Ари ацаԥха шьақәыргылазар, усҟан  апанель аекран аҭбаара зегь амҽханакуеит (мазаргьы аҳаракыра, апанель ҵәанҵәылатәизар). Арҭ рҩызцәа апанельқәа аҭыԥ ааныркылар ҟалоит аекран аганқәа рҿы мацара. Ишьақәыргыламзар, усҟан апанель аҭыԥ ааннакылоит иагәылоу апплетқәеи, апытҟәырқәеи уб. иҵ. шаҟа ҭыԥ рго аҟара.	Если этот ключ установлен, то панель будет занимать всю ширину экрана (или высоту, если панель вертикальная). Такие панели могут размещаться только по краям экрана. Если не установлен, то паналь будет занимать столько пространства, сколько необходимо для размещения включенных в нее апплетов, кнопок и т.п.
 Ацаԥха шьақәыргылазар, усҟан аобиект апозициа аинтерпритациа аиуеит апанель арӷьарахьтәи (мамзаргьы армарахьтәи ҵәҩанцәылатәи апанель азы) аҽацә имазхьарԥны.	Если этот ключ установлен, то позиция объекта интерпретируется относительно правого (или нижнего для вертикальных панелей) края панели.
Ари ацаԥха шьақәыргылазар, усҟан ахархәаҩ апплет изеиҭагом, адҵа "Иоушьҭтәуп" аԥхьа иҟамҵақәа.	Если этот ключ установлен, то пользователь НЕ может перемещать апплет не отдав перед этим команду "Разблокировать".
Ари ацаԥха шьақәыргылазар, аԥенџьырқҿа рыхьӡынҵа аусуратә еишәақәа зегьы рҟынтәи ианыԥшлоит уажәтәи мацара акәымкәааԥенџьырқәа.	Если этот ключ установлен, список окон будет отображать окна со всех рабочих мест, а не только с текущего.
Ари ацаԥха  шьақәыргылазар, аиҭагага аусуратә еишәақәа зегьы унарбалоит, уажәтәи мацара акәымкәа.	Если этот ключ установлен, переключатель будет показывать все рабочие места, а не только текущее.
Ари ацаԥха  шьақәыргылазар, аиҭагага аусуратә еишәақәа рыхьӡқәа унарбалоит. Ишьақәыргыламзар аусуратә еишәақәа рхаҭыԥан аԥенџьырқәа ааԥшлоит. 	Если этот ключ установлен, переключатель будет отображать имена рабочих мест. Если не установлен, на рабочих местах будут отображаться окна.
Ари ацаԥха шьақәыргылазар, усҟан  X-акоордината иазхьаԥшуам, апанельгьы аекранаҿ агәҵәы-Х  агәаҭа аҭыԥ аиуеит.  Апанель ашәагаа аԥсахуазар, уи зегь акоуп аҭыԥаҿ иаанхоит (даҽакала иуҳәзар – аҽеиҵнахуеит аҩганк рахь). Ацаԥхьа шьақәыргыламзар, X-акоордината ашьақәыргылара иазхьаԥшуеит насгьы апанель аҭыԥ алнахуеит.	Если этот ключ установлен, то установка X-координаты игнорируется и панель помещается в центр оси-X экрана.  Если панель изменяет размер, она всё равно остаётся на том же месте (иными словами -- расширяется одновременно в обе стороны). Если ключ не установлен, то установка X-координаты принимается во внимание и определяет положение панели.
 Ари ацаԥха шьақәыргылазар, усҟан  Y-координата иазхьаԥшуам апанельгьы аекран агәҵәы Y аҿы аҭыԥ ааннакылоит. Апанель ашәагаа аԥсахуазар, уи зегь акоуп аҭыԥ аԥсахуам (даҽакала иуҳозар – аҩганк ахь аҽарҭбаауеит). Ацаԥха шьақәыргылазар, усҟан  Y-координата иазхьаԥшуеит, апанель аҭыԥгьы алнахуеит.	Если этот ключ установлен, то установка Y-координаты игнорируется и панель помещается в центр оси Y экрана.  Если панель изменяет размер, она всё равно остаётся на том же месте (иными словами -- расширяется одновременно в обе стороны). Если ключ не установлен, то установка Y-координаты принимается во внимание и определяет положение панели.
Ари ацаԥха шьақәыргылазар, аԥенџьыр уажәтәи аусуратә еишәахьы еиҭашьақәыргылахоит, аԥхьатәи ахь акәымкәа	Если этот ключ установлен, восстановление окна будет происходить на текущее рабочее место, а не на исходное.
Ари ацаԥха шьақәыргылазар, апанель аобиектқәа рзы иаарԥшхалоит ихыло аҵаҳәарақәа. 	Если этот ключ установлен, для объектов панели отображаются всплывающие подсказки.
Уажааигәа ахархәара змаз адокументқәа рыхьӡынҵа арыцқьараан ирыцқьахоит: • Амениу Actions ахәҭақәа хегьы → Уажааигәа ахархәара змаз адокументқәа. • Аелементқәа зегьы уажааигәа ахархәара змаз адокументқәа рыхьӡынҵа аԥшьқәа зегьы рҿы.	При очистке списка недавно использовавшихся документов будут очищены:  • Все элементы меню Actions → Недавно использовавшиеся документы. • Все элементы из списка недавно использовавшихся документов во всех приложениях.
Апанель аобиект еиҭаҿашәкыр, уи еиҭах авитоматла апанель ахь иацҵахоит	Если вы перезагрузите объект панели, он будет автоматически добавлен обратно на панель.
 Афонтә ҭыхымҭа аԥкаарақәа	Подробности фонового изображения
Асистема Xinerama ахархәараан, апанель ахатә монитор аҿгьы аҭыԥ ауҭар ҟалоит. Ари ацаԥха иалнахуеит уажәтәи амонитор, апанель аҭып ахьаҭоу.	При использовании системы Xinerama, можно помещать панель на индивидуальный монитор. Этот ключ определяет текущий монитор, на котором панель помещена.
Инагӡам афон ахкы "%s" ҳауит	Получен незавершённый тип фона "%s"
Инагӡам афон ахкы "%s": %s  ҳауит	Получен незавершённый тип фона "%s": %s
Интернет аамҭа	Время Интернета
Апозициа аинтерпритациа азутәуп ҵаҟатәи/арӷьарахьтә аҽацә иазхьарԥшны	Интерпретировать позицию относительно нижнего/правого края
Ацаԥха %s шьақәыргылам, аус азыруа апытҟәыр аҭагалара ауам 	Ключ %s не установлен, невозможно загрузить кнопку запуска 
Аус арура апытҟәыр аҟазшьа	Свойства кнопки запуска
Аус аруга апытҟәыр аҭыԥ	Расположение кнопки запуска
Армаратәи агәҭантәи апанель	Левая центрированная панель
Армаратәи аганахьтәи апанель	Левая краевая панель
Армаратәи ирҭбаау агантәи апанель	Левая расширенная краевая панель
Армаратәи иӡысо апанель	Левая плавающая панель
Идыру аԥшьқәа рыхьӡынҵа 	Список известных приложений
Апанель иадҵатәуп 	Прикрепить к панели
Аобиект апанель аҿы иаҭатәуп	Закрепить объект на панели
Ахархәаҩ %s исеанс хыркәшатәуп...	Завершить сеанс пользователя %s...
Асеанс иалгатәуп...	Завершить сеанс...
 Ахархәаҩ %s исеанс хыркәшатәуп нас даҽа хьӡык шьҭыхны аҭалара	Завершить сеанс пользователя %s и войти под именем другого пользователя
Ари асеанс иалгатәуп, даҽа хархәаҩк ихьӡала анеиразы	Завершить этот сеанс, чтобы войти под именем другого пользователя
Асеанс хыркәшатәум?	Завершить сеанс?
иминималу:	минимальный:
имаксималу:	максимальный:
Ихадоу амениу	Главное меню
Амениу ацәаҳәа	Строка меню
Амениу аҭаҵа амҩа	Путь содержимого меню
Аԥенџьырқәа рыхьӡынҵа иминималу ашәагаа	Минимальный размер списка окон
Аԥенџьырқәа реиҭашьақәыргылараан еиҭагалатәуп уажәтәи аусуратә еишәахьы 	Перемещать окна на текущее рабочее место при восстановлении
Аҳатә ресурсқәа	Сетевые ресурсы
Аидентификатор (URI) афаил апанель аус азыруа апытҟәыр шьақәыргылам 	Идентификатор (URI) не установлен для файла кнопки запуска панели 
URL арбам.	URL не указан.
Ардырра аҵакыра	Область уведомления
Афабрика "Ардырра аҵакыра"	Фабрика "Области уведомления"
Аусуратә еишәақәа рхыԥхьаӡара:	Число рабочих мест:
Аобект апозициа апанель аҟны	Позиция объекта на панели
Ажәытә профильқәа рырхиара ииагоуп	Настройка старых профилей перенесена
Иаарттәуп '%s' аҿы	Открыть '%s'
Иаарттәуп URL: %s	Открыть URL: %s
Ҵаҟа	Внизу
Армарахь	Слева
Арӷьарахь	Справа
Хыхь	Вверху
Панель '%s' убас ирхиоуп, аекран (screen) %d аҿы ианыԥшларц, уажәазы унеиртә ахьыҟамло. Апанель аҭагалара ауам.	Панель '%s' настроена так, чтобы отображаться на экране (screen) %d, который в данный момент недоступен.  Панель НЕ загружена.
Апанель аидентификаторқәа рыхьӡынҵа	Список идентификаторов панели
Апанель ардырра аҵакыра	Область уведомления панели
Апанель аҟазшьақәа	Свойства панели
Апанель апплетқәа ридентификаторқәа рыхьӡынҵа	Список идентификаторов апплетов панели
Апанель, акәалаԥ иацҵоу	Панель, присоединённая к ящику
Апанель аҽҵәахра аанкылара	Задержка автоскрытия панели
 Апанель ахала ааартра аанкылара 	Задержка автораскрытия панели
Аобиектқәа рпанель аидентификаторқәа рыхьӡынҵа	Список идентификаторов объектов панели
Апанель аобиект ҳгәыҳҽанӡамкәа аус хнаркәшеит 	Объект панели неожиданно завершил работу
Апанель аобект ахкы	Тип объекта панели
Апанель ахырхарҭа	Ориентация панели
Апанель ашәагаа	Размер панели
Акадр аанкылара	Задержка кадра
Аԥштәы арбатәуп	Укажите цвет
Аиасра	Переход
Акомпиутер зинда ахархәара амоурц ихьчатәуп	Защитить компьютер от несанкционированного использования
Аҵаҳәара ашәагаа аԥсахуеит апплетқәа ирышьашәалац	Изменяет размеры подсказки так, чтобы они были приемлемы для апплета
Уажааигәа ахархәара змаз адокументқәа	Недавно использовавшиеся документы
Ирыԥсахуа аныҟәгагақәа	Сменные носители
Уажәтәи аусуратә еишәаҿы еиҭашьақәыргылатәуп	восстанавливать на текущее рабочее место
Аханатәтәи аусуратә ҭыԥаҿ еиҭашьақәыргылатәуп	восстанавливать на исходное рабочее место
 Арӷьарахьтәи агәҭантәи апанель	Правая центрированная панель
 Арӷьарахьтәи аганахьтәи апанель	Правая краевая панель
Арӷьарахьтәи ирҭбаау агантәи апанель	Правая расширенная краевая панель
 Арӷьарахьтәи иӡысо апанель 	Правая плавающая панель
Аҭыхымҭа аарҳәлатәуп ҵәҩанҵәылатәи апанельқәа рҿы	Поворачивать изображение на вертикальных панелях
Аҭыхымҭакәа аарҳәлатәуп ҵәҩанцәылатәи апанельқәа рҿы	Поворачивать изображение на вертикальных панелях
Ҵәҩанҵәылатәи апанельқәа рҿы иаарҳәлатәуп 	Поворачивать на вертикальных панелях
Аиҭагагаҿы ацҿаҳәакәа	Строк в переключателе
Апрограмма нагӡатәуп...	Выполнить программу...
Апрограмма нагӡатәуп адҵатә цәаҳәа алагаларала	Выполнить программу путём ввода командной строки
Атерминал аҿы	В терминале
Афайл... иацны	С файлом...
Азыԥшратә режим ахь ииастәуп	Перевести в ждущий режим
Афаил аԥшаара...	Поиск файлов...
Анимациа алхтәуп	Выбрать анимацию
Аԥшь алхтәуп иара ахәәаа ахәаԥшразы.	Выбрать приложение для просмотра его описания.
Афон алхтәуп	Выбрать фон
Иалкаатәуп аус аруразы атерминал аԥенџьыр аҿы.	Отметить для запуска команды в окне терминала.
Уажәти аусуратә ҭыԥ аԥенџьырқәа арбалатәуп	показывать окна текущего рабочего места
Аусуратә еишәа рыцқьатәуп	Расчистить рабочий стол
Аишәа рацқьаразы апытҟәыр	Кнопка расчистки рабочего стола
Аусуратә еишәақәа зегьы арбалатәуп ... аҿы.	Показывать все рабочие места в 
Арыцхә арбалатәуп	Показывать дату
Асекундақәа арбалатәуп	Показывать секунды
Асааҭ апплет аҿы арыцхә арбалатәуп	Показывать дату в апплете часов
Аҵаҳәараҿы арыцхә арбалатәуп	Показывать дату в подсказке
Аҵәахратә пытҟәыркәа аарԥшлатәуп	Показывать кнопки скрытия
Идыру аԥшьқәа рыхьӡынҵакәа аарԥштәуп	Показывать cписок известных приложений
Асекундқәа арбалатәуп	Показывать секунды
Амчыбжьқәа рномерқәа амзар аҿы иарбалатәуп	Показывать номера недель в календаре
Аусуратә ҭыԥқәа зегьы рԥенџьырқәа арбалатәуп	показывать окна всех рабочих мест
Аԥеџьырқәа аусуратә еишәақәа зегьы рҟынтәи иарбалатәуп	Показывать окна со всех рабочих мест
Аиҭагагаҿы аусуратә еишәақәа рыхьӡқәа арбалатәуп.	Показывать наименования рабочих мест в переключателе
Акомпиутер аҿыхтәуп...	Выключить компьютер...
Акомпиутер аҿыхтәуп	Выключить компьютер
Ари акомпиутер аҿыхтәума?	Выключить этот компьютер?
Аду	Большая
Абжьаратә	Cредняя
Ихәыҷу	Маленькая
Даара идуу	Очень большая
Даара ихәҷу	Очень маленькая
Адуӡаӡа	Сверхбольшая
Ихәыҷӡаӡоу	Сверхмаленькая
Пштәыла аҭырҭәаара	Заливка цветом
Арҭ рҟынтәи ҟазшьақәак аркуп	Некоторые из этих свойств заблокированы
Афон аԥштәы унарбоит апанель аҿы (формат #RGB ала).	Указывает цвет фона для панели (в формате #RGB).
Афаил унарбоит, афонтә ҭыхымҭа аҳасабла.  Аҭыхымҭа альфа-канал  амазар, усҟан уи "еилагӡахоит" иҵәцоу аҭыԥқәа рҿы аусуратә еишәа афон аҭыхымҭаҿ	Указывает файл, используемый в качестве фонового изображения.  Если изображение содержит альфа-канал, то оно будет "совмещено" на прозрачных участках с изображением фона рабочего стола.
Амиллисекунд ала иунарбоит аамҭалатәи аанкылара, аҳәынаԥ арбага апанель аҿы аҵәырҵреи апанель автоматла аартреи. Аҵакы амоуп ишьақәыргылазар ацаԥха auto_hide.	Указывает задержку в миллисекундах между появлением указателя мыши в области панели и автоматическим раскрытием этой панели.  Имеет смысл, только если установлен ключ autohide.
Амиллисекунд ала иунарбоит аамҭалатәи аанкылара аҳәынаԥ арбага апанель ахани апанель автоматла аркреи. Аҵакы амоуп ишьақәыргылазар ацаԥха auto_hide.	Указывает задержку в миллисекундах между покиданием указателем мыши области над панелью и автоматическим скрытием этой панели.  Имеет смысл только если установлен ключ autohide.
Иунарбоит апиксельқәа рхыԥхьаӡара, апанель автоматла аекран аҳәаа ианҭыҵуа иубарҭоу Аҵакы амоуп ишьақәыргылазар ацаԥха auto_hide.	Указывает количество пикселов, видимых когда панель автоматически скрывается за границу экрана.  Эта установка имеет смысл только если установлен ключ autohide.
Иалнахуеит афонтә ԥштәы, аҵәцара аҩаӡара. Аԥштәы џьара ҵәцарак амазар (ариапараметр еиҵоуп 65535 аҵкьыс), усҟан аԥштәи аусуратә еишәа аҭыхымҭа афони "еилагӡоуп".	Определяет степень непрозрачности фонового цвета.  Если цвет имеет какую-то прозрачность (значение этого параметра меньше, чем 65535), то цвет будет "совмещен" с изображением фона рабочего стола.
Иунарбоит аҭыԥ асистема GConf аҿы, апплет архиарақәа иахьеиқәырхахо	Указывает местоположение в системе GConf, где настройки апплета будут сохранены
Иунарбоит апплет аидентификатор (IID) аҭагаларазы	Указывает идентификатор (IID) апплета для загрузки
Иунарбоит апплет аханатәтәи ахырхарҭа (top, bottom, left или right)	Указывает начальную ориентацию апплета (top, bottom, left или right)
Еиҵыхлатәуп	Растягивать
Аԥшратә режим	Ждущий режим
Иаарту аԥенџьырқәа акакала рартра апытҟәырқәа рыла	Переключение между открытыми окнами при помощи кнопок
Аусуратә ҭыԥк аҟынтәи даҽакахьы аҿакра	Переключение между рабочими местами
Bonobo атесттә апплет	Тестовый апплет Bonobo
Bonobo атесттә апплет афабрика	Фабрика тестового апплета bonobo
Атесттә апплет аутилита	Утилита тестового апплета
Апанель, апплет змоу, иаркуп	Панель, содержащая апплет, заблокирована
Афон аԥштәы мамзаргьы  аҭыхымҭа агәылоуп	Содержит цвет фона панели или изображение
Апанель ахырхарҭаз абжьгара	Указание на ориентацию панели
Апанель ашәагаа пиксельла	Размер панели в пикселях
Апплет абираҟқәа	Флаги апплета
Апплет ареализациа Bonobo (the Bonobo implementation ID) аидентификатор -- иаҳҳәап, "OAFIID:GNOME_ClockApplet".  Ари апараметр аҵакы амоуп  object_type иамзар "bonobo-applet".	Идентификатор реализации Bonobo (the Bonobo implementation ID) апплета -- например, "OAFIID:GNOMEClockApplet".  Эта параметр имеет смысл только если objecttype содержит "bonobo-applet".
Уаҩәтәи аамҭеи арыцхәи унарбоит	Отображает текущие время и дату
Апанель алагылазаара GNOME аверсиа	Панель среды GNOME версии
