source,target
"<image id=""img_id3149757"" src=""res/commandimagelist/sc_centerpara.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3149757"">Icon</alt></image>","<image id=""img_id3149757"" src=""res/commandimagelist/sc_centerpara.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3149757"">значок</alt></image>"
"<switchinline select=""appl""><caseinline select=""CALC"">Align Center Horizontally </caseinline><defaultinline>Centered</defaultinline></switchinline>","<switchinline select=""appl""><caseinline select=""CALC"">По центру горизонтально </caseinline><defaultinline>По центру</defaultinline></switchinline>"
"<image id=""img_id3145308"" src=""res/commandimagelist/sc_justifypara.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3145308"">Icon</alt></image>","<image id=""img_id3145308"" src=""res/commandimagelist/sc_justifypara.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3145308"">значок</alt></image>"
Choose <emph>Format - Group</emph>,Выберите команды <emph>Формат - Группа</emph>
Choose <emph>Modify - Group</emph> (drawing documents),Выберите команды <emph>Изменить - Группа</emph> (документы рисунков)
"<image id=""img_id3154344"" src=""res/commandimagelist/sc_formatgroup.png"" width=""0.1665inch"" height=""0.1665inch""><alt id=""alt_id3154344"">Icon</alt></image>","<image id=""img_id3154344"" src=""res/commandimagelist/sc_formatgroup.png"" width=""0.1665inch"" height=""0.1665inch""><alt id=""alt_id3154344"">значок</alt></image>"
Choose <emph>Modify - Ungroup</emph> (drawing documents),Выберите команды <emph>Изменить - Разгруппировать</emph> (документы рисунков)
"<image id=""img_id3150831"" src=""res/commandimagelist/sc_formatungroup.png"" width=""0.1665inch"" height=""0.1665inch""><alt id=""alt_id3150831"">Icon</alt></image>","<image id=""img_id3150831"" src=""res/commandimagelist/sc_formatungroup.png"" width=""0.1665inch"" height=""0.1665inch""><alt id=""alt_id3150831"">значок</alt></image>"
Choose <emph>Modify - Exit Group</emph> (drawing documents),Выберите команды <emph>Изменить - Выход из группы</emph> (документы рисунков)
"<image id=""img_id3149422"" src=""res/commandimagelist/sc_leavegroup.png"" width=""0.1665inch"" height=""0.1665inch""><alt id=""alt_id3149422"">Icon</alt></image>","<image id=""img_id3149422"" src=""res/commandimagelist/sc_leavegroup.png"" width=""0.1665inch"" height=""0.1665inch""><alt id=""alt_id3149422"">значок</alt></image>"
Exit Group,Агәыԥ алҵра
Choose <emph>Modify - Enter Group</emph> (drawing documents),Выберите команды <emph>Изменить - Вход в группу</emph> (документы рисунков)
"<image id=""img_id3149900"" src=""res/commandimagelist/sc_entergroup.png"" width=""0.1665inch"" height=""0.1665inch""><alt id=""alt_id3149900"">Icon</alt></image>","<image id=""img_id3149900"" src=""res/commandimagelist/sc_entergroup.png"" width=""0.1665inch"" height=""0.1665inch""><alt id=""alt_id3149900"">значок</alt></image>"
Enter Group,Агәыԥ алалара
Choose <emph>Data - Filter - Standard Filter</emph>,Выберите команды <emph>Данные - Фильтр - Фильтр</emph>
Database table view: <emph>Standard Filter</emph> icon in the <emph>Database</emph> Toolbar,Представление таблицы базы данных: значок <emph>Фильтр</emph> на панели инструментов <emph>База данных</emph>
Form view: <emph>Standard Filter</emph> icon in the <emph>Form</emph> Bar,Представление формы: значок <emph>Фильтр</emph> на панели <emph>Форма</emph>
"<image src=""res/commandimagelist/sc_formfiltered.png"" id=""img_id3147588""><alt id=""alt_id3147588"">Icon</alt></image>","<image src=""res/commandimagelist/sc_formfiltered.png"" id=""img_id3147588""><alt id=""alt_id3147588"">значок</alt></image>"
Standard Filter,Араӡага
PBM/PPM/PGM Options,Параметры PBM/PPM/PGM
"<variable id=""related""><emph>Related Topics</emph></variable>","<variable id=""related""><emph>См. также</emph></variable>"
"<image id=""img_id3152427"" src=""res/commandimagelist/sc_color.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3152427"">Icon</alt></image>","<image id=""img_id3152427"" src=""res/commandimagelist/sc_color.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3152427"">значок</alt></image>"
Font Color,Ашрифт аԥшҭәы
"<image id=""img_id3149716"" src=""res/commandimagelist/sc_color.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3149716"">Icon</alt></image>","<image id=""img_id3149716"" src=""res/commandimagelist/sc_color.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3149716"">значок</alt></image>"
"<image id=""img_id3146957"" src=""res/commandimagelist/sc_justifypara.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3146957"">Icon</alt></image>","<image id=""img_id3146957"" src=""res/commandimagelist/sc_justifypara.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3146957"">значок</alt></image>"
"<image id=""img_id3163802"" src=""res/commandimagelist/sc_spacepara15.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3163802"">Icon</alt></image>","<image id=""img_id3163802"" src=""res/commandimagelist/sc_spacepara15.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3163802"">значок</alt></image>"
"<image id=""img_id3153252"" src=""res/commandimagelist/sc_spacepara2.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3153252"">Icon</alt></image>","<image id=""img_id3153252"" src=""res/commandimagelist/sc_spacepara2.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3153252"">значок</alt></image>"
"<image id=""img_id3153126"" src=""res/commandimagelist/sc_superscript.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3153126"">Icon</alt></image>","<image id=""img_id3153126"" src=""res/commandimagelist/sc_superscript.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3153126"">значок</alt></image>"
"<image id=""img_id3155135"" src=""res/commandimagelist/sc_subscript.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3155135"">Icon</alt></image>","<image id=""img_id3155135"" src=""res/commandimagelist/sc_subscript.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3155135"">значок</alt></image>"
"<image id=""img_id3149294"" src=""res/helpimg/feldurch.png"" width=""0.9374inch"" height=""0.2398inch""><alt id=""alt_id3149294"">Icon</alt></image>","<image id=""img_id3149294"" src=""res/helpimg/feldurch.png"" width=""0.9374inch"" height=""0.2398inch""><alt id=""alt_id3149294"">значок</alt></image>"
Line Style,Тип линии
"<image id=""img_id3148401"" src=""res/helpimg/feldcolo.png"" width=""1.0417inch"" height=""0.2398inch""><alt id=""alt_id3148401"">Icon</alt></image>","<image id=""img_id3148401"" src=""res/helpimg/feldcolo.png"" width=""1.0417inch"" height=""0.2398inch""><alt id=""alt_id3148401"">значок</alt></image>"
Line Color,Аҵәаӷәа аԥштәы
"<image id=""img_id3149807"" src=""res/helpimg/feldbrei.png"" width=""0.6563inch"" height=""0.2189inch""><alt id=""alt_id3149807"">Icon</alt></image>","<image id=""img_id3149807"" src=""res/helpimg/feldbrei.png"" width=""0.6563inch"" height=""0.2189inch""><alt id=""alt_id3149807"">значок</alt></image>"
Line Width,Ацәаҳәа ашәпара
"<image id=""img_id3145152"" src=""res/helpimg/swh00117.png"" width=""2.0835inch"" height=""0.2398inch""><alt id=""alt_id3145152"">Icon</alt></image>","<image id=""img_id3145152"" src=""res/helpimg/swh00117.png"" width=""2.0835inch"" height=""0.2398inch""><alt id=""alt_id3145152"">значок</alt></image>"
Area Style / Filling,Аҵакыра астиль/аҭарҭәара 
"<image id=""img_id3147502"" src=""res/commandimagelist/sc_aligntop.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3147502"">Icon</alt></image>","<image id=""img_id3147502"" src=""res/commandimagelist/sc_aligntop.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3147502"">значок</alt></image>"
"<image id=""img_id3150410"" src=""res/commandimagelist/sc_cellvertbottom.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3150410"">Icon</alt></image>","<image id=""img_id3150410"" src=""res/commandimagelist/sc_cellvertbottom.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3150410"">значок</alt></image>"
"<image id=""img_id3153363"" src=""res/commandimagelist/sc_alignvcenter.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3153363"">Icon</alt></image>","<image id=""img_id3153363"" src=""res/commandimagelist/sc_alignvcenter.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3153363"">значок</alt></image>"
Align Center Vertically,По центру вертикально
"<image id=""img_id3159123"" src=""svx/res/nu07.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3159123"">Icon</alt></image>","<image id=""img_id3159123"" src=""svx/res/nu07.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3159123"">значок</alt></image>"
"<image id=""img_id3145364"" src=""svx/res/nu08.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3145364"">Icon</alt></image>","<image id=""img_id3145364"" src=""svx/res/nu08.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3145364"">значок</alt></image>"
"<image id=""img_id3154096"" src=""svtools/res/up_small.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3154096"">Icon</alt></image>","<image id=""img_id3154096"" src=""svtools/res/up_small.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3154096"">значок</alt></image>"
Up One Level,На один уровень вверх
"<image id=""img_id3153279"" src=""res/sc06331.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3153279"">Icon</alt></image>","<image id=""img_id3153279"" src=""res/sc06331.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3153279"">значок</alt></image>"
"<image id=""img_id3153334"" src=""svtools/res/up_small.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3153334"">Icon</alt></image>","<image id=""img_id3153334"" src=""svtools/res/up_small.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3153334"">значок</alt></image>"
"<image id=""img_id3148833"" src=""res/sc06331.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3148833"">Icon</alt></image>","<image id=""img_id3148833"" src=""res/sc06331.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3148833"">значок</alt></image>"
"<image id=""img_id3147257"" src=""fpicker/res/fp011.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3147257"">Icon</alt></image>","<image id=""img_id3147257"" src=""fpicker/res/fp011.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3147257"">значок</alt></image>"
"<image id=""img_id3150656"" src=""res/sc06301.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3150656"">Icon</alt></image>","<image id=""img_id3150656"" src=""res/sc06301.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3150656"">значок</alt></image>"
"<image id=""img_id3154363"" src=""res/sc06300.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3154363"">Icon</alt></image>","<image id=""img_id3154363"" src=""res/sc06300.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3154363"">значок</alt></image>"
"<image id=""img_id3147100"" src=""res/commandimagelist/sc_open.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3147100"">Icon</alt></image>","<image id=""img_id3147100"" src=""res/commandimagelist/sc_open.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3147100"">значок</alt></image>"
"<image id=""img_id3156318"" src=""res/commandimagelist/sc_saveas.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3156318"">Icon</alt></image>","<image id=""img_id3156318"" src=""res/commandimagelist/sc_saveas.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3156318"">значок</alt></image>"
"<image id=""img_id3155904"" src=""res/commandimagelist/sc_exportdirecttopdf.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3155904"">Icon</alt></image>","<image id=""img_id3155904"" src=""res/commandimagelist/sc_exportdirecttopdf.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3155904"">значок</alt></image>"
Choose <emph>Edit - Undo</emph>,Выберите <emph>Правка - Отменить</emph>
"<switchinline select=""sys""><caseinline select=""MAC"">Command </caseinline><defaultinline>Ctrl</defaultinline></switchinline>+Z","<switchinline select=""sys""><caseinline select=""MAC"">Command </caseinline><defaultinline>Ctrl</defaultinline></switchinline>+Z"
"<image id=""img_id3155577"" src=""res/commandimagelist/sc_undo.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3155577"">Icon</alt></image>","<image id=""img_id3155577"" src=""res/commandimagelist/sc_undo.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3155577"">значок</alt></image>"
Choose <emph>Edit - Redo</emph>,Выберите <emph>Правка - Вернуть</emph>
"<image id=""img_id3150358"" src=""res/commandimagelist/sc_redo.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3150358"">Icon</alt></image>","<image id=""img_id3150358"" src=""res/commandimagelist/sc_redo.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3150358"">значок</alt></image>"
"<variable id=""letzter"">Choose <emph>Edit - Repeat</emph></variable>","<variable id=""letzter"">Выберите <emph>Правка - Повторить</emph></variable>"
Choose <emph>Edit - Cut</emph>,Выберите <emph>Правка - Вырезать</emph>
"<switchinline select=""sys""><caseinline select=""MAC"">Command </caseinline><defaultinline>Ctrl</defaultinline></switchinline>+X","<switchinline select=""sys""><caseinline select=""MAC"">Command </caseinline><defaultinline>Ctrl</defaultinline></switchinline>+X"
"<image id=""img_id3145744"" src=""res/commandimagelist/sc_helpmenu.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3145744"">Icon</alt></image>","<image id=""img_id3145744"" src=""res/commandimagelist/sc_helpmenu.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3145744"">значок</alt></image>"
Choose <emph>Edit - Copy</emph>,Выберите <emph>Правка - Копировать</emph>
"<switchinline select=""sys""><caseinline select=""MAC"">Command </caseinline><defaultinline>Ctrl</defaultinline></switchinline>+C","<switchinline select=""sys""><caseinline select=""MAC"">Command </caseinline><defaultinline>Ctrl</defaultinline></switchinline>+C"
"<image id=""img_id3156441"" src=""res/commandimagelist/sc_copy.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3156441"">Icon</alt></image>","<image id=""img_id3156441"" src=""res/commandimagelist/sc_copy.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3156441"">значок</alt></image>"
Choose <emph>Edit - Paste</emph>,Выберите <emph>Правка - Вставить</emph>
"<switchinline select=""sys""><caseinline select=""MAC"">Command </caseinline><defaultinline>Ctrl</defaultinline></switchinline>+V","<switchinline select=""sys""><caseinline select=""MAC"">Command </caseinline><defaultinline>Ctrl</defaultinline></switchinline>+V"
"<image id=""img_id3159196"" src=""res/commandimagelist/sc_paste.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3159196"">Icon</alt></image>","<image id=""img_id3159196"" src=""res/commandimagelist/sc_paste.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3159196"">значок</alt></image>"
Choose <emph>Edit - Select All</emph>,Выберите <emph>Правка - Выделить все</emph>
"<switchinline select=""sys""><caseinline select=""MAC"">Command </caseinline><defaultinline>Ctrl</defaultinline></switchinline>+A","<switchinline select=""sys""><caseinline select=""MAC"">Command </caseinline><defaultinline>Ctrl</defaultinline></switchinline>+A"
"<image id=""img_id3153095"" src=""res/commandimagelist/sc_selectall.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3153095"">Icon</alt></image>","<image id=""img_id3153095"" src=""res/commandimagelist/sc_selectall.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3153095"">значок</alt></image>"
"<variable id=""dvergl"">Choose <emph>Edit - Compare Document</emph></variable>","<variable id=""dvergl"">Выберите <emph>Правка - Сравнить документы</emph></variable>"
"<switchinline select=""sys""><caseinline select=""MAC"">Command </caseinline><defaultinline>Ctrl</defaultinline></switchinline>+F","<switchinline select=""sys""><caseinline select=""MAC"">Command </caseinline><defaultinline>Ctrl</defaultinline></switchinline>+F"
"<image id=""img_id3149121"" src=""res/commandimagelist/sc_recsearch.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3149121"">Icon</alt></image>","<image id=""img_id3149121"" src=""res/commandimagelist/sc_recsearch.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3149121"">значок</alt></image>"
Choose <emph>Edit - Navigator</emph>,Выберите <emph>Правка - Навигатор</emph>
"<image id=""img_id3154508"" src=""res/commandimagelist/sc_navigator.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3154508"">Icon</alt></image>","<image id=""img_id3154508"" src=""res/commandimagelist/sc_navigator.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3154508"">значок</alt></image>"
"<variable id=""alt_icon"">Icon </variable>","<variable id=""alt_icon"">Значок</variable>"
"<variable id=""alt_tip"">Tip Icon </variable>","<variable id=""alt_tip"">Значок подсказки </variable>"
Choose <emph>Format - Character</emph>,Выберите команды <emph>Формат - Символ</emph>
"<image id=""img_id3154894"" src=""res/commandimagelist/sc_outlineformat.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3154894"">Icon</alt></image>","<image id=""img_id3154894"" src=""res/commandimagelist/sc_outlineformat.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3154894"">значок</alt></image>"
Choose <emph>Format - Paragraph</emph>,Выберите команды <emph>Формат - Абзац</emph>
"<image id=""img_id3150495"" src=""res/commandimagelist/sc_paragraphdialog.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3150495"">Icon</alt></image>","<image id=""img_id3150495"" src=""res/commandimagelist/sc_paragraphdialog.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3150495"">значок</alt></image>"
(all options only in Writer or Calc),(все параметры только в Writer или Calc)
Choose <emph>Format - Styles and Formatting</emph>,Выберите команды <emph>Формат - Стили и форматирование</emph>
F11 key,Клавиша F11
"<image id=""img_id3149568"" src=""res/sc05539.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3149568"">Icon</alt></image>","<image id=""img_id3149568"" src=""res/sc05539.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3149568"">значок</alt></image>"
"<image id=""img_id3159236"" src=""res/commandimagelist/sc_window3d.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3159236"">Icon</alt></image>","<image id=""img_id3159236"" src=""res/commandimagelist/sc_window3d.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3159236"">значок</alt></image>"
"<image id=""img_id3149964"" src=""res/commandimagelist/sc_defaultbullet.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3149964"">Icon</alt></image>","<image id=""img_id3149964"" src=""res/commandimagelist/sc_defaultbullet.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3149964"">значок</alt></image>"
"<switchinline select=""appl""><caseinline select=""WRITER""></caseinline><defaultinline>Icon on the <emph>Picture</emph> toolbar:</defaultinline></switchinline>","<switchinline select=""appl""><caseinline select=""WRITER""></caseinline><defaultinline>Значки на панели инструментов <emph>Рисунок</emph>:</defaultinline></switchinline>"
"<image id=""img_id3155092"" src=""res/commandimagelist/sc_grafattrcrop.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3155092"">Icon</alt></image>","<image id=""img_id3155092"" src=""res/commandimagelist/sc_grafattrcrop.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3155092"">Значок</alt></image>"
Crop,Обрезка
Choose <emph>Format - Change Case</emph>,Выберите команды <emph>Формат - Регистр</emph>
Frames,Рамки
<bookmark_value>HTML; definition</bookmark_value>,<bookmark_value>HTML; определение</bookmark_value>
HTTP,HTTP
<bookmark_value>hyperlinks; definition</bookmark_value>,<bookmark_value>гиперссылки; определение</bookmark_value>
<bookmark_value>ImageMap; definition</bookmark_value>,<bookmark_value>сенсорное изображение; определение</bookmark_value>
ImageMap,Асенсортә сахьа
<bookmark_value>Server Side ImageMap</bookmark_value>,<bookmark_value>Серверное сенсорное изображение</bookmark_value>
W3C (CERN) HTTP Server (Format type: MAP - CERN),W3C (CERN) HTTP-сервер (тип формата: MAP - CERN)
NCSA HTTP Server (Format type: MAP - NCSA),NCSA HTTP-сервер (тип формата: MAP - NCSA)
<bookmark_value>Client Side ImageMap</bookmark_value>,<bookmark_value>Клиентское сенсорное изображение</bookmark_value>
Client Side ImageMap,Клиентское сенсорное изображение
<bookmark_value>Java; definition</bookmark_value>,<bookmark_value>Java; определение</bookmark_value>
Java,Java
Plug-In,Иацаҿаркуа амодуль
Proxy,Прокси
<bookmark_value>SGML; definition</bookmark_value>,<bookmark_value>SGML; определение</bookmark_value>
SGML,SGML
<bookmark_value>search engines; definition</bookmark_value>,<bookmark_value>поисковые системы; определение</bookmark_value>
Search Engines,Поисковые системы
<bookmark_value>tags; definition</bookmark_value>,<bookmark_value>теги; определение</bookmark_value>
Tags,Теги
<bookmark_value>URL; definition</bookmark_value>,<bookmark_value>URL-адрес; определение</bookmark_value>
Text delimiter,Ограничитель текста
"<embedvar href=""text/scalc/guide/csv_files.xhp#csv_files""/>","<embedvar href=""text/scalc/guide/csv_files.xhp#csv_files""/>"
"<variable id=""window"">Choose <emph>Window - New Window</emph></variable>","<variable id=""window"">Выберите команды <emph>Окно - Новое окно</emph></variable>"
"<variable id=""liste"">Choose <emph>Window</emph> - List of open documents</variable>","<variable id=""liste"">Выберите команды <emph>Окно</emph> - список открытых документов</variable>"
Text Import,Импорт текста
Character Set,Асимволқәа реизга
From Row,Со строки
Fixed width,Иазгәаҭоу аҭбаара
Space,Абжьажь
Other,Егьи…
Column type,Тип столбца
Date (DMY),Дата (ДМГ)
Date (MDY),Дата (МДГ)
Date (YMD),Дата (ГМД)
US English,Анлызтә бызшәа (ЕАА)
Number of characters ,Количество символов 
5 or 7,5 или 7
Preview,Алаԥшхгара
See also...,См. также...
"<variable id=""siehe"">See also... </variable>","<variable id=""siehe"">См. также... </variable>"
"Some of the shortcut keys may be assigned to your desktop system. Keys that are assigned to the desktop system are not available to %PRODUCTNAME. Try to assign different keys either for %PRODUCTNAME, in <emph>Tools - Customize - Keyboard</emph>, or in your desktop system.","Some of the shortcut keys may be assigned to your desktop system. Keys that are assigned to the desktop system are not available to %PRODUCTNAME. Try to assign different keys either for %PRODUCTNAME, in <emph>Tools - Customize - Keyboard</emph>, or in your desktop system."
Warning Print Options,Предупреждение: параметры печати
Print options,Параметры печати
Fit page to print range,Подбор страницы под диапазон печати
Trim,Обрезать
"<variable id=""objektleiste"">Icon on the Formatting Bar: </variable>","<variable id=""objektleiste"">Значок на панели инструментов:</variable>"
"<variable id=""content"">Choose <emph>Help - Contents</emph></variable>","<variable id=""content"">Выберите команды <emph>Справка - Содержание</emph></variable>"
"<variable id=""infoanwendung"">Choose <emph>Help - About </emph><emph>%PRODUCTNAME</emph></variable>","<variable id=""infoanwendung"">Выберите команды <emph>Справка - О программе <item type=""productname"">%PRODUCTNAME</item></emph> </variable>"
The $[officename] installation is incomplete.,Установка $[officename] не завершена.
Choose <emph>View - Zoom</emph>,Выберите <emph>Вид - Масштаб</emph>
Choose <emph>View - Toolbars</emph>,Выберите <emph>Вид - Панели инструментов</emph>
"<variable id=""werkzeug"">Choose <emph>View - Toolbars - Tools</emph></variable>","<variable id=""werkzeug"">Выберите <emph>Вид - Панели инструментов - Инструменты</emph></variable>"
"<variable id=""farbleiste"">Choose <emph>View - Toolbars - Color Bar</emph></variable>","<variable id=""farbleiste"">Выберите команды <emph>Вид - Панели инструментов - Панель цветов</emph></variable>"
Choose <emph>Insert - Hyperlink</emph>,Выберите команды <emph>Вставка - Гиперссылка</emph>
"<variable id=""hypdiamailnews"">Click <emph>Hyperlink</emph> icon on <emph>Standard</emph> bar, click <emph>Mail & News</emph></variable>","<variable id=""hypdiamailnews"">Панель <emph>Гиперссылка</emph> - значок <emph>Гиперссылка</emph> - вкладка <emph>Почта и новости</emph></variable>"
"Shift+<switchinline select=""sys""><caseinline select=""MAC"">Command </caseinline><defaultinline>Ctrl</defaultinline></switchinline>+J","Клавиши SHIFT+<switchinline select=""sys""><caseinline select=""MAC"">Command </caseinline><defaultinline>CTRL</defaultinline></switchinline>+J"
"<image id=""img_id3148473"" src=""res/commandimagelist/sc_fullscreen.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3148473"">Icon</alt></image>","<image id=""img_id3148473"" src=""res/commandimagelist/sc_fullscreen.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3148473"">значок</alt></image>"
F4 key,Клавиша F4
"<image id=""img_id3153524"" src=""res/commandimagelist/sc_viewdatasourcebrowser.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3153524"">Icon</alt></image>","<image id=""img_id3153524"" src=""res/commandimagelist/sc_viewdatasourcebrowser.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3153524"">значок</alt></image>"
"<image id=""img_id3156422"" src=""res/commandimagelist/sc_sourceview.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3156422"">Icon</alt></image>","<image id=""img_id3156422"" src=""res/commandimagelist/sc_sourceview.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3156422"">значок</alt></image>"
HTML Source,Ахалагаратә текст HTML
"<variable id=""grid"">Choose <emph>View - Grid</emph> (Impress or Draw) </variable>","<variable id=""grid"">Выберите команды <emph>Вид - Сетка</emph> (Impress или Draw) </variable>"
"<image id=""img_id3154894"" src=""res/commandimagelist/sc_gallery.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3154894"">Icon</alt></image>","<image id=""img_id3154894"" src=""res/commandimagelist/sc_gallery.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3154894"">значок</alt></image>"
Gallery,Агалереиа
Choose <emph>Tools - Spellcheck</emph>,Выберите команды <emph>Сервис - Проверка орфографии</emph>
F7 key,Клавиша F7
"<image id=""img_id3153665"" src=""res/commandimagelist/sc_spelling.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3153665"">Icon</alt></image>","<image id=""img_id3153665"" src=""res/commandimagelist/sc_spelling.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3153665"">значок</alt></image>"
Choose <emph>Tools - Eyedropper</emph> ($[officename] Draw and $[officename] Impress),Выберите команды <emph>Сервис - Пипетка</emph> ($[officename] Draw и $[officename] Impress)
"<variable id=""mediaplayer"">Choose <emph>Tools - Media Player</emph></variable>","<variable id=""mediaplayer"">Выберите команды <emph>Сервис - Медиаплеер</emph></variable>"
"<variable id=""makro"">Choose <emph>Tools - Macros - Organize Macros - %PRODUCTNAME Basic</emph>, or press <item type=""keycode"">Alt+F11</item> (if not assigned by your system) </variable>","<variable id=""makro"">Выберите команды <emph>Сервис - Макросы - Управление макросами - %PRODUCTNAME Basic</emph></variable>"
Choose <emph>Tools - Macros - Record Macro</emph>,Выберите команды <emph>Сервис - Макросы - Записать макрос</emph>
"<variable id=""xmlfilter"">Choose <emph>Tools - XML Filter Settings</emph></variable>","<variable id=""xmlfilter"">Выберите команды <emph>Сервис - Параметры фильтра XML</emph></variable>"
"<variable id=""autokorr"">Choose <emph>Tools - AutoCorrect</emph></variable>","<variable id=""autokorr"">Выберите команды <emph>Сервис - Автозамена</emph></variable>"
"<variable id=""exopas"">Choose <emph>Tools - Options - %PRODUCTNAME Calc - View</emph></variable>","<variable id=""exopas"">Выберите команды <emph>Сервис - Параметры - %PRODUCTNAME Calc - Вид</emph></variable>"
"<variable id=""etoplayout"">Choose <emph>Tools - Options - %PRODUCTNAME Impress/%PRODUCTNAME Draw - View</emph></variable>","<variable id=""etoplayout"">Выберите команды <emph>Сервис - Параметры - %PRODUCTNAME Impress/%PRODUCTNAME Draw - Вид</emph></variable>"
