Аԥсны аҳәынҭқарра ашьаустә закәанеидкыла	Уголовный кодекс республики абхазия
Ацәгьаура аицалахәцәа рҭакԥхықәра	Ответственность соучастников преступления
Ацәгьаура еицалахәқәоу ирыдло ашьаустә ҭакԥхықәра ҳәаақәҵахоит ацәгьаура дасу иалахәышьеи уи аҩаӡареи рыла.	Ответственность соучастников преступления определяется характером и степенью фактического участия каждого из них в совершении преступления.
Ацәгьаура ацнагӡаҩцәа ашьаустә ҭакԥхықәра рыдлоит еицыҟарҵаз ацәгьауразы, абри Азакәанеидкыла Ахәҭа ҷыдаҿы иарбоу ахәҭаҷ ала, ахәҭаҷ 32 иахьмырԥшӡакәа.	Соисполнители отвечают по статье Особенной части настоящего Кодекса за преступление, совершенное ими совместно, без ссылки на статью 32 настоящего Кодекса.
Ацәгьаура аиҿкааҩ, арнаҩагьаҩ, ацхырааҩ ашьаустә ҭакԥхықәра рыдлоит иҟаҵоу ацәгьауразы абри Азакәанеидкылаҿы ашьауӷа зларбоу ахәҭаҷ ала ахәҭаҷ 32 инахьырԥшны, ацәгьаура иацнагӡаҩцәаны ианыҟоу аамҷыдарахаз.	Уголовная ответственность организатора, подстрекателя и пособника наступает по статье, предусматривающей наказание за совершенное преступление, со ссылкой на статью 32 настоящего Кодекса, за исключением случаев, когда они одновременно являлись соисполнителями преступления.
Ацәгьаура аицыҟаҵара иалахәыз, абри Азакәанеидкыла Ахәҭа ҷыдаҿы иалкаау ахәҭаҷ иасубиектым ауаҩытәыҩса, ашьаустә ҭакԥхықәра идлоит уи ацәгьаура аҟаҵараҿы еиҿкааҩык, арнаҩагьаҩк, мамзаргьы цхырааҩык иаҳасабала.	Лицо, не являющееся субъектом преступления, специально указанным в соответствующей статье Особенной части настоящего Кодекса, участвовавшее в совершении преступления, предусмотренного этой статьей, несет уголовную ответственность за данное преступление в качестве его организатора, подстрекателя либо пособника.
Ацәгьаура ҟазҵоз ауаҩытәыҩса имч зқәымхоз аҭагылазаашьа иахҟьаны ацәгьаура анагӡара изалыршазар аицалахәцәа ашьаустә ҭакԥхықәра рыдлоит ацәгьаура армазеиразы, мамзаргьы ацәгьаура анагӡара аҽазкразы. Ацәгьаура армазеиразы уи еиҿызкаауаз ашьаустә ҭакԥхықәра идлоит иара имч зқәымхоз ҭагылазаашьак иахҟьаны акәзар ацәгьауцәа реиҿкаара зилымшаз.	В случае недоведения исполнителем преступления до конца по не зависящим от него обстоятельствам остальные соучастники несут уголовную ответственность за приготовление к преступлению или покушение на преступление. За приготовление к преступлению несет уголовную ответственность также лицо, которому по не зависящим от него обстоятельствам не удалось склонить других лиц к совершению преступления.
Гәыԥҩык ауаатәыҩса, гәыԥҩык ауаатәыҩса заа еибыҳәаны, еиҿкаау агәыԥ, мамзаргьы ацәгьауратә еиҿкаара рыла ацәгьаура аҟаҵара	Совершение преступления группой лиц, группой лиц по предварительному сговору, организованной группой или преступным сообществом (преступной организацией)
Ацәгьаура гәыԥҩык ауаатәыҩса рыла иҟаҵоуп ҳәа иԥхьаӡоуп ацәгьаура аҟаҵаразы ҩыџьа, мамзаргьы инеиҳаны заа еибымҳәакәа ацәгьаура еицыҟарҵазар.	Преступление признается совершенным группой лиц, если в его совершении совместно участвовали два или более исполнителя без предварительного сговора.
Ацәгьаура гәыԥҩык ауаатәыҩса еибыҳәаны иҟарҵеит ҳәа иԥхьаӡоуп ҩыџьа, мамзаргьы ҩыџьа инареиҳаны ацәгьаура аицҟаҵаразы еицәажәаны иҟарҵаз.	Преступление признается совершенным группой лиц по предварительному сговору, если в нем участвовали лица, заранее договорившиеся о совместном совершении преступления.
Ацәгьаура еиҿкаау ацәгьауратә гәыԥ иҟанаҵеит ҳәа иԥхьаӡоуп цәгьаурак, мамзаргьы ацәгьаурақәа рыҟаҵаразы зҽеиҿкааны, ишьақәгылахьоу агәыԥ иҟанаҵаз ацәгьаура.	Преступление признается совершенным организованной группой, если оно совершено устойчивой группой лиц, заранее объединившихся для совершения одного или нескольких преступлений.
Ацәгьаура ацәгьауратә еиҿкаара иҟанаҵеит ҳәа иԥхьаӡоуп ибааԥсу, мамзаргьы ҷыдала ибааԥсӡоу ацәгьаурақәа рыҟаҵаразы иаԥҵоу, ишьақәгылахьоу агәыԥ, мамзаргьы уи хықәкыс измоу еиҿкаақәоу агәыԥқәа рҽеидҵаны ацәгьаура аныҟарҵо.	Преступление признается совершенным преступным сообществом (преступной организацией), если оно совершено сплоченной организованной группой (организацией), созданной для совершения тяжких или особо тяжких преступлений, либо объединением организованных групп, созданным в тех же целях.
Ацәгьауцәа еиҿкаау ргәыԥ, мамзаргьы ацәгьауратә еиҿкаара аԥызҵаз, мамзаргьы уи напхгара азҭоз ауаҩытәыҩса ашьаустә ҭакԥхықәра идлоит абри Азакәанеидкыла Ахәҭа ҷыдаҿы иарбоу ахәҭаҷқәа инарықәыршәаны уи раԥҵареи напхгара рыҭареи рзы, иара убас, ацәгьауцәа еиҿкаау ргәыԥи ацәгьауратә еиҿкаареи рыла иҟаҵоу ацәгьаурақәа зегьы рызгьы урҭ иара игәҭакы ишақәшәо ианышьақәыргылаха. Ацәгьауцәа еиҿкаау ргәыԥи ацәгьауратә еиҿкаареи егьырҭ рылахәцәа ашьаустә ҭакԥхықәра рыдлоит иахьалахәыз азы уи аҩыза абри Азакәанеидкыла Ахәҭа ҷыдатә хәҭаҷкәа рҿы иарбазар, иара убас, зырмазеира, мамзаргьы зынагӡара иалахәыз ацәгьаурақәа рызгьы.	Лицо, создавшее организованную группу или преступное сообщество (преступную организацию) либо руководившее ими, подлежит уголовной ответственности за их организацию и руководство ими в случаях, предусмотренных соответствующими статьями Особенной части настоящего Кодекса, а также за все совершенные организованной группой или преступным сообществом (преступной организацией) преступления, если они охватывались его умыслом. Другие участники организованной группы или преступного сообщества (преступной организации) несут уголовную ответственность за участие в них в случаях, предусмотренных соответствующими статьями Особенной части настоящего Кодекса, а также за преступления, в подготовке или совершении которых они участвовали.
Абри Азакәанеидкыла Ахәҭа ҷыдаҿы иарбоу ахәҭаҷқәа ирыҵанамкуа ацәгьауратә еиҿкаара аԥҵаразы ашьаустә ҭакԥхықәра азыԥҵәоуп уи аиҿкаара ззаԥҵаз ацәгьаура армазеиразы.	Создание организованной группы в случаях, не предусмотренных статьями Особенной части настоящего Кодекса, влечет уголовную ответственность за приготовление к тем преступлениям, для совершения которых она создана.
Гәыԥҩык ауаатәыҩса, гәыԥҩык ауаатәыҩса заа еибыҳәаны, еиҿкаау агәыԥ, мамзаргьы ацәгьауратә еиҿкаара рыла ацәгьаурақәа рыҟаҵара, абри Азакәанеидкыла инақәыршәаны, иарҿиоит еиҳа иџьбароу ашьауӷа.	Совершение преступления группой лиц, группой лиц по предварительному сговору, организованной группой или преступным сообществом (преступной организацией) влечет более строгое наказание на основании и в пределах, предусмотренных настоящим Кодексом.
Ацәгьаура анагӡаҩы ихатә гәҭакы	Эксцесс исполнителя преступления
Ацәгьаура анагӡаҩ ихатә гәҭакы ҳәа иԥхьаӡоуп ацәгьаура анагӡара еицалахәыз ирыгәҭакымыз аумҭа руаӡәык ихатә гәҭакы ала ацәгьаура аҟаҵара. Ацәгьаура анагӡара еицалахәыз руаӡәык игәҭакы ала иаҟиҵаз ацәгьауразы егьырҭ аицалахәцәа ашьаустә ҭакԥхықәра рыдлаӡом.	Эксцессом исполнителя признается совершение исполнителем преступления, не охватывающегося умыслом других соучастников. За эксцесс исполнителя другие соучастники преступления уголовной ответственности не подлежат.
8-тәи ахы. Аумҭа цәгьауроуп ҳәа ашьара алзмыршо аҭагылазаашьақәа	Глава 8. Обстоятельства, исключающие преступность деяния
Зда ԥсыхәа амам (изыхәҭоу) ахыхьчара	Необходимая оборона
Зда ԥсыхәа амам ахыхьчараан, д.и., ауаҩытәыҩса иԥсҭазаареи игәабзиареи рзы ишәарҭоу ақәыххраан, мамзаргьы азакәан иахьчо ауаажәларреи аҳәынҭқарреи рызҿлымҳарақәа аԥсҭазааразы ишәарҭоу ақәыххра рацәыхьчаразы ақәыххҩы иҭоу ааха цәгьауроуп ҳәа иԥхьаӡам.	Не является преступлением причинение вреда посягающему лицу в состоянии необходимой обороны, то есть при защите личности и прав обороняющегося или других лиц, охраняемых законом интересов общества или государства от общественно опасного посягательства, если это посягательство было сопряжено с насилием, опасным для жизни обороняющегося или другого лица, либо с непосредственной угрозой применения такого насилия.
Изқәыххуа, мамзаргьы даҽаӡәы иԥсҭазааразы ишәарҭоу амч ақәыххҩы ихы иаимырхәазар, мамзаргьы иԥсҭазааразы ишәарҭоу амч ахархәаразы ақәыххҩы дыммақаруазҭгьы, уи аамҭазы ахыхьчаҩ (изқәыххуаз) ахыхьчара иахәҭоу аҳәаа дахымсзар, д.и., еиқәнагам амч гәҭакыла ахыхьчаразы ихы иаимырхәазар, ахыхьчара зинла иашоуп ҳәа иԥхьаӡоуп.	Защита от посягательства, не сопряженного с насилием, опасным для жизни обороняющегося или другого лица, либо с непосредственной угрозой применения такого насилия, является правомерной, если при этом не было допущено превышения пределов необходимой обороны, то есть умышленных действий, явно не соответствующих характеру и опасности посягательства.
Ахыхьчаҩ ихымҩаԥгашьа зда ԥсыхәа амам ахыхьчара иаҭаху аасҭа еиҳауп ҳәа иԥхьаӡахом уи иқәыххраан игәҽанымзаара иахҟьаны ақәыххҩы имчи ишәарҭареи иахәҭаз ахәшьара рыҭара алшартә иҟамлазар.	Не являются превышением пределов необходимой обороны действия обороняющегося лица, если это лицо вследствие неожиданности посягательства не могло объективно оценить степень и характер опасности нападения.
Зда ԥсыхәа амам ахыхьчара иақәиҭуп еилыхрада зегьы апрофессионалтә зыҟаҵараси маҵураси ирымазаалакгьы. Абри азин дақәиҭуп ашәарҭара иҭашәаз ҽацәгарала, ҽаӡәы, мамзаргьы амчра аусбарҭа рыцхыраарала изыхьчартә иҟаз ауаҩгьы.	Право на необходимую оборону имеют в равной мере все лица независимо от их профессиональной или иной специальной подготовки и служебного положения. Это право принадлежит лицу независимо от возможности избежать общественно опасного посягательства или обратиться за помощью к другим лицам или органам власти.
Ауаҩытәыҩса иҟаиҵаз ацәгьаура азы иаанкылараан ааха иоура	Причинение вреда при задержании лица, совершившего преступление
Амчра аусбарҭахь инагаразы ацәгьаура ҟазҵаз иаанкылараан, мамзаргьы даҽа цәгьаурак аҟаҵара илмыршараҿы ауаҩытәыҩса иаанкылара аамҭазы ааха иоура цәгьауроуп ҳәа иԥхьаӡам даҽа хархәагак ала иаанкылара алшартә иҟамзар, насгьы уи иаанкылараан хархәагас иҟаҵаз иазхашаз аԥсыхәа аҵкыс еиҳамхазар.	Не является преступлением причинение вреда лицу, совершившему преступление, при его задержании для доставления органам власти и пресечения возможности совершения им новых преступлений, если иными средствами задержать такое лицо не представлялось возможным и при этом не было допущено превышения необходимых для этого мер.
Ацәгьаура ҟазҵаз иаанкылара ԥсыхәас иаҭази, иара иҟаиҵаз ацәгьаура иамоу аҟазшьеи, иацу ауаажәларратә шәарҭареи еиқәнагам ҳәа иԥхьаӡоуп иаанкылоу ауаҩытәыҩса зынӡа иаҭахӡамкәа аҭагылазаашьагьы иақәымшәо ааха аниҭоу. Ари аҩыза ахымҩаԥгьашьа ашьаустә ҭакԥхықәра ахылҿиаауеит иаанкылоу иҭоу ааха гәҭакыла ианыҟаҵоу мацара.	Превышением мер, необходимых для задержания лица, совершившего преступление, признается их явное несоответствие характеру и степени общественной опасности совершенного задерживаемым лицом преступления и обстоятельствам задержания, когда лицу без необходимости причиняется явно чрезмерный, не вызываемый обстановкой вред. Такое превышение влечет за собой уголовную ответственность только в случаях умышленного причинения вреда.
Даҽа ԥсыхәак амамзаара	Крайняя необходимость
Цәгьауроуп ҳәа иԥхьаӡам даҽа ԥсыхәак змам аумҭа ала ақәыххҩы ааха иҭара, д.и., зхы зыхьчоз ихаҭареи изинқәеи, мамзаргьы даҽа џьоукы рхаҭареи рзинқәеи, закәанла ихьчоу ауаажәларреи аҳәынҭқарреи разҿлымҳарақәа зҭашәаз ашәарҭара аԥырҟәҟәаара, даҽа хархәагақәак рыла изалымшозҭгьы, насгьы зда ԥсыхәа амам аҳәаақәа рахысра аҭыԥ амамызҭгьы.	Не является преступлением причинение вреда охраняемым уголовным законом интересам в состоянии крайней необходимости, то есть для устранения опасности, непосредственно угрожающей личности и правам данного лица или иных лиц, охраняемым законом интересам общества или государства, если эта опасность не могла быть устранена иными средствами и при этом не было допущено превышения пределов крайней необходимости.
Зда ԥсыхәа амам аҳәаақәа ирхысуп ҳәа иԥхьаӡоу иԥырҟәҟәаахаз аҭагылазаашьа иацыз ашәарҭареи аҟазшьеи, зда ԥсыхәа амамыз аҭагылазаашьа иахылҿиааз аахеи анеиҟараха, мамзаргьы зда ԥсыхәа амамыз аҭагылазаашьа иахҟьаз ааха анеиҳаха. Ари еиԥшу зда ԥсыхәа амам аҳәаа ахысра ашьаустә ҭакԥхықәра ахылҿиаауеит уи ала иҟаҵоу ааха гәҭакыла ишыҟаҵаз анышьақәыргылаха.	Превышением пределов крайней необходимости признается причинение вреда, явно не соответствующего характеру и степени угрожавшей опасности и обстоятельствам, при которых опасность устранялась, когда указанным интересам был причинен вред равный или более значительный, чем предотвращенный. Такое превышение влечет за собой уголовную ответственность только в случаях умышленного причинения вреда.
Махәҿалатәи, мамзаргьы апсихикатәи адцалара	Физическое или психическое принуждение
Цәгьауроуп ҳәа иԥхьаӡам ашьаустә закәан иахьчо азҿлымҳарақәа махәҿалатәи адцалара иахҟьаны ааха рыҭара, ааха рызҭаз ауаҩытәыҩса уи аамҭазы, иҟаиҵоз напхгара изамҭо дыҟазҭгьы.	Не является преступлением причинение вреда охраняемым уголовным законом интересам в результате физического принуждения, если вследствие такого принуждения лицо не могло руководить своими действиями (бездействием).
Ашьаустә закәан иахьчо азҿлымҳарақәа ааха рыҭара махәҿалатәи адцалара, мамзаргьы психикалатәи адцалара иабзоуразар, аха уи аамҭазы ауаҩытәыҩса иҟаиҵоз ахәшьара аиҭартә еиԥш дыҟазҭгьы ааха аҭаразы ашьаустә ҭакԥхықәра азҵаара ӡбатәуп абри Азакәанеидкыла ахәҭаҷ 38 инақәыршәаны.	Вопрос об уголовной ответственности за причинение вреда охраняемым уголовным законом интересам в результате психического принуждения, а также в результате физического принуждения, вследствие которого лицо сохранило возможность руководить своими действиями, решается с учетом положений статьи 38 настоящего Кодекса.
Ишьаҭарку ашәарҭа агәаӷьра	Обоснованный риск
Ауаажәларраҿы ихәарҭоу ахықәкы анагӡараан ишьаҭарку ашәарҭа агәаӷьра иалҵшәаны ашьаус закәан иахьчо азҿлымҳарақәа ирыҭоу ааха цәгьауроуп ҳәа иԥхьаӡам.	Не является преступлением причинение вреда охраняемым уголовным законом интересам при обоснованном риске для достижения общественно полезной цели.
Ишьаҭарку ишәарҭоу гәаӷьроуп ҳәа иԥхьаӡоуп ауаажәларразы ихәарҭоу ахықәкы ишәарҭоу гәаӷьрада анагӡара залымшозҭгьы насгьы ишәарҭоу агәаӷьра аазырԥшыз ашьаустә закәан иахьчо азҿлымҳарақәа ааха рмоурц азы ԥсыхәас иамаз зегь ҟаиҵазар.	Риск признается обоснованным, если указанная цель не могла быть достигнута не связанными с риском действиями (бездействием) и лицо, допустившее риск, предприняло достаточные меры для предотвращения вреда охраняемым уголовным законом интересам.
Ишәарҭоу агәаӷьра шьаҭаркын ҳәа аԥхьаӡара ҟалом уи агәаӷьра ауааԥсыра рацәа рыԥсҭазаара ашәарҭара иҭанаргыло, мамзаргьы аекологиа ашәарҭара иҭанаргыло, мамзаргьы ауаажәларра агәаҟра иақәнаршәо ишыҟаз заа уаҩы ибарҭазҭгьы.	Риск не признается обоснованным, если он заведомо был сопряжен с угрозой для жизни многих людей, с угрозой экологической катастрофы или общественного бедствия.
Адҵа, мамзаргьы адҵақәҵақәа рынагӡара	Исполнение приказа или распоряжения
Адҵа, мамзаргьы адҵақәҵақәа рынагӡара зуалԥшьоу ауаҩытәыҩса инаигӡаз изакәаным адҵа, мамзаргьы адҵақәҵақәа ирыбзоураны ашьаустә закәан иахьчо азҿлымҳарақәа ироуз ааха цәгьауроуп ҳәа иԥхьаӡам. Уи аҩыза ааха азы ашьаустә закәанҭакԥықәра идлоит изакәаным адҵа, мамзаргьы адҵақәҵақәа ҟазҵаз.	Не является преступлением причинение вреда охраняемым уголовным законом интересам лицом, действующим во исполнение обязательных для него приказа или распоряжения. Уголовную ответственность за причинение такого вреда несет лицо, отдавшее незаконные приказ или распоряжение.
Изакәаным адҵа, мамзаргьы адҵақәҵақәа рынагӡарала игәҭаку ацәгьаура ҟазҵаз идлоит азеиԥш ҵаҵӷәыркрақәа ирықәшәо. Изакәаным адҵақәҵақәа рынамыгӡаразы ашьаустә ҭакԥхықәра ҟалом.	Лицо, совершившее умышленное преступление во исполнение заведомо незаконных приказа или распоряжения, несет уголовную ответственность на общих основаниях. Неисполнение заведомо незаконных приказа или распоряжения исключает уголовную ответственность.
III аҟәша. Ашьауӷа	РАЗДЕЛ III. Наказание
9-тәи ахы. Ашьауӷа аилкааи (изакәуи) ахықәкқәеи. Ашьауӷа ахкқәа	Глава 9. Понятие и цели наказания. Виды наказаний
Ашьауӷа аилкааи ахықәкқәеи	Понятие и цели наказания
Аӡбара ашьауӷақәҵарала иаӡбауа аҳәынҭқарратә мчыладҵа иахьӡуп ашьауӷа. Ашьауӷа ахархәара амоуп ацәгьаура аҟаҵареи ахара зду ҳәа иԥхьаӡоу ауаҩытәыҩса изы иагьалшоит абри Азакәанеидкылаҿы иарбақәоу ауаҩытәыҩса изинқәеи ихақәиҭреи рылхәдатәра, мамзаргьы рырмаҷра.	Наказание есть мера государственного принуждения, назначаемая по приговору суда. Наказание применяется к лицу, признанному виновным в совершении преступления, и заключается в предусмотренных настоящим Кодексом лишении или ограничении прав и свобод этого лица.
Ашьауӷа хықәкыс иамоуп асоциалтә иашара ашьақәыргылара, иара убас, зус ӡбоу ибжьареи уи нахыс даҽа цгьаурак имырҟаҵареи.	Наказание применяется в целях восстановления социальной справедливости, а также в целях исправления осужденного и предупреждения совершения новых преступлений.
Ашьауӷа ахкқәа	Виды наказаний
Ашьауӷа ахкқәа иреиуоуп:	Видами наказаний являются:
а) ахараԥса аршәара;	а) штраф;
б) маҵураҭыԥқәаки аусурҭақәаки рҿы аҭыԥ аанкылара азин амхра (алхәдатәра);	б) лишение права занимать определенные должности или заниматься определенной деятельностью;
в) асоциалтә, аррамаҵуратә, аҳаҭыртә, мамзаргьы акласстә чынқәа убас аҳәынҭқарратә ҳамҭақәа рымхра;	в) лишение специального, воинского или почетного звания, классного чина и государственных наград;
г) ириашаны ашьақәыргыларатә усурақәа;	г) исправительные работы;
д) амазара амхра;	д) конфискация имущества;
е) алеишәарҽеиратә баталион аҟны аҭакра;	е) содержание в дисциплинарном батальоне;
ж) аамҭала ахақәиҭра алхәдатәра;	ж) лишение свободы на определенный срок;
з) ԥсраҽнынӡа ахақәиҭра алхәдатәра;	з) пожизненное лишение свободы;
и) ашьрақәҵара	и) смертная казнь.
Ихадароуи ихарҭәаагоуи ашьауӷа хкқәа	Основные и дополнительные виды наказаний
Ириашаны ашьақәыргыларатә усурақәа, алеишәарҽеиратә баталион аҟны аҭакра, аамҭала ахақәиҭра алхәдатәра, ԥсраҽнынӡа ахақәиҭра алхәдатәра, ашьрақәҵара ихадаратәиу шьауӷақәоуп.	Исправительные работы, содержание в дисциплинарном батальоне, лишение свободы на определенный срок, пожизненное лишение свободы, смертная казнь применяются только в качестве основных видов наказаний.
Ахараԥса аршәара, маҵураҭыԥқәаки усурҭақәаки рҿы аҭыԥқәа раанкылара азин амхра ахархәара рымоуп ихадароу еиԥш ихарҭәаагоу ашьауӷа хкқәа раҳасабала.	Штраф и лишение права занимать определенные должности или заниматься определенной деятельностью применяются в качестве как основных, так и дополнительных видов наказаний.
Асоциалтә, аррамаҵуратә, аҳаҭыртә чынқәа, иара убас, акласстә чын амхра, амазара амхра ахархәара рымоуп ихарҭәаагоу шьауӷаны мацара.	Лишение специального, воинского или почетного звания, классного чина и государственных наград, конфискация имущества применяются только в качестве дополнительных видов наказаний.
Ахараԥса	Штраф
Ахараԥса захьӡу абри Азакәанеидкылаҿы иазԥхьагәаҭоу аҳәаақәа инарҭагӡаны ԥарала лахьыҭара ауп.	Штраф есть денежное взыскание, назначаемое в пределах, предусмотренных настоящим Кодексом.
Ахараԥса шьақәгылоуп зқьи хәышә инаркны миллион мааҭ аҟынӡа. Ахараԥса шәагаала шәи ҩынҩажәи жәаба нызқь инаркны ирықәҵазар алшоит ибааԥсуи ҷыдала ибааԥсуи ацәгьаурақәа рзы.	Штраф устанавливается в размере от одной тысячи пятисот рублей до одного миллиона рублей. Штраф в размере от ста пятидесяти тысяч рублей может назначаться только за тяжкие и особо тяжкие преступления.
Ахараԥса ашәагаа иҟаҵоу ацәгьаура (ахьанҭара) зеиԥшроу, иара убас, зус ӡбоу иҭаацәеи иареи рмазаратә ҭагылазаашьа иахәаԥшны аӡбара ишьақәнаргылоит. Иара убас, урҭ аҭагылазаашьақәа хырҩа рзуны аӡбара ахараԥса шьақәнаргылар алшоит аҿҳәара хырԥарала, хәҭаа-хәҭаала хышықәсанӡа ашәара.	Размер штрафа определяется судом с учетом тяжести совершенного преступления и имущественного положения осужденного и его семьи. С учетом тех же обстоятельств суд может назначить штраф с рассрочкой выплаты определенными частями на срок до трех лет.
Ихарҭәаагоу шьауӷак аҳасабала ахараԥса азыԥҵәара алшоит абри Азакәанеидкыла Иҷыдоу ахәҭаҿы изыхәҭоу ахәҭаҷқәа рыҟны ианарбоу мацара.	Штраф в качестве дополнительного вида наказания может назначаться только в случаях, предусмотренных соответствующими статьями Особенной части настоящего Кодекса.
Ихадароу шьауӷак аҳасабала иазыԥҵәоу ахараԥса ашәара цәгьахәыцрала аҽацәыԥхьакра аҭыԥ анамоу, уи ԥсахзар алшоит ахақәиҭра алхәдатәра ала абри Азакәанеидкыла Иҷыдоу ахәҭаҿы ахараԥса злазгәаҭоу ахәҭаҷ инақәыршәаны.	В случае злостного уклонения от уплаты штрафа, назначенного в качестве основного наказания, он заменяется в пределах санкции, предусмотренной соответствующей статьей Особенной части настоящего Кодекса.
Маҵураҭыԥқәаки усурҭаҭыԥқәаки рҿы аҭыԥ анкылара азин алхәдатәра	Лишение права занимать определенные должности или заниматься определенной деятельностью
Маҵураҭыԥқәаки усурҭаҭыԥқәаки рҿы аҭыԥ аанкылара азин амҭара (амхра) иаанагоит аҳәынҭқарратә усҳәарҭақәа рҿи аҭыԥантәи ахатәеиҿкаарақәа рҿи, мамзаргьы апрофессионалтә усурҭақәа рҿи аҭыԥ аанкылара ақәиҭымтәра.	Лишение права занимать определенные должности или заниматься определенной деятельностью состоит в запрещении занимать должности на государственной службе, в органах местного самоуправления либо заниматься определенной профессиональной или иной деятельностью.
Маҵураҭыԥқәаки усурҭаҭыԥқәаки рҿы аусура ақәиҭымтәра ихадароу шьауӷак аҳасабала ишьақәыргылазар алшоит ҿҳәарала шықәсык инаркны хәышықәса рҟынӡа, ихарҭәаагоу шьауӷак аҳасабала – фымз инадыркны хышықәса рҟынӡа.	Лишение права занимать определенные должности или заниматься определенной деятельностью устанавливается на срок от одного года до пяти лет в качестве основного вида наказания и на срок от шести месяцев до трех лет в качестве дополнительного вида наказания.
Ихарҭәаагоу шьауӷак аҳасабала ауаҩытәыҩса маҵураҭыԥқәаки иалкаау занааҭк ала аусуреи иақәиҭымтәра азыԥҵәазар алшоит абри Азакәанеидкыла Иҷыдоу ахәҭаҿы ацәгьауразы изықәшәо ахәҭаҷ аҟны уи аҩыза азыԥҵәа иарбамзаргьы, аха иҟаҵоу ацәгьаура аҟазшьеи, уи азы ауаажәларра ршәарҭара аҩаӡара ахьынӡанаӡои, ахара зду ихаҭареи хшыҩзышьҭра азуны, ацәгьаура зуз имаҵуратә ҭыԥи иалкаау занааҭк ала иусуреи рзин изныжьра залшом ҳәа аӡбара алкаа иазкылсуазар.	Лишение права занимать определенные должности или заниматься определенной деятельностью может назначаться в качестве дополнительного вида наказания и в случаях, когда оно не предусмотрено соответствующей статьей Особенной части настоящего Кодекса в качестве наказания за соответствующее преступление, если с учетом характера и степени общественной опасности совершенного преступления и личности виновного суд признает невозможным сохранение за ним права занимать определенные должности или заниматься определенной деятельностью.
Абри ашьауӷа хкы ихарҭәаагоу шьауӷак аҳасабала “ириашаны ашьақәыргыларатә усурақәа” рҟны, мамзаргьы “ҭакрадатәи ашьауӷа” аҟны иацҵазар, уи аҿҳәара ацара иалагоит аӡбара ишьақәнаҵаз ашьауӷақәҵара азакәан мчы анаиуа инаркны. Маҵураҭыԥқәаки усурҭаҭыԥқәаки рҿы аусура ақәиҭымтәра ихарҭәаагоу шьауӷак аҳасабала алеишәарҽеиратә баталиони ахақәиҭра алхәдатәреи ирыцҵазар усҟан уи ахгара аамҭа ихадаратәиу ашьауӷақәа ирзыԥҵәоу аамҭа иаҟароуп, аха ихадаратәиу ашьауӷақәа рыҿҳәарақәа анынҵәалак ашьҭахь ауп ихарҭәаагоу ашьауӷақәа рыҿҳәара ацара ианалаго. Ихадароу ашьауӷақәа, алеишәарҽеиратә баталиони ахақәиҭра алхәдатәреи ирыцҵазар маҵураҭыԥқәаки усурҭаҭыԥқәаки рҿы аҭыԥ анкылара ақәиҭымра, усҟан ихадаратәиу ашьуӷақәа рыҿҳәарақәа анынҵәалак ашьҭахь ауп ихарҭәаагоу рыҿҳәарақәа ацара ианаго.	В случае назначения этого вида наказания в качестве дополнительного к исправительным работам, а также при условном осуждении его срок исчисляется с момента вступления приговора суда в законную силу. В случае назначения лишения права занимать определенные должности или заниматься определенной деятельностью в качестве дополнительного вида наказания к содержанию в дисциплинарном батальоне, лишению свободы оно распространяется на все время отбывания указанных основных видов наказаний, но при этом его срок исчисляется с момента их отбытия.
Иҷыдоу, арратә, мамзаргьы аҳаҭыртә хьыӡқәа, акласстә чыни, аҳәынҭқарратә ҳамҭақәеи ралхәдатәра	Лишение специального, воинского или почетного звания, классного чина и государственных наград
Ибааԥсу, мамзаргьы ҷыдала ибааԥсу ацәгьаурақәа рзы аус аӡбараан ауаҩытәыҩса ихаҭара иахәаԥшны аӡбара уи далхәданатәыр алшоит иҷыдоу, арратә, мамзаргьы аҳаҭыртә хьыӡқәа, акласстә чыни аҳәынҭқарратә ҳамҭақәеи.	При осуждении за совершение тяжкого или особо тяжкого преступления с учетом личности виновного суд может лишить его специального, воинского или почетного звания, классного чина и государственных наград.
