аҿатә уасиаҭ	новый завет
Аха аԥхьаԥшьаҩцәа ажәлар ирыҵаланы, рыԥсахы ҩеибаркны иқәдыргылт, Варавва иаужьра еиҳа ишазыразу ала.	Но первосвященники возбудили народ просить, чтобы отпустил им лучше Варавву.
Пилат ҩаԥхьа урҭ аҭак рыҭауа, иҳәоит: Иудеиаа Раҳ ҳәа шәара шәзышьҭоу ауаҩы изызурацы ишәҭахузеи?	Пилат, отвечая, опять сказал им: что же хотите, чтобы я сделал с Тем, Которого вы называете Царем Иудейским?
Урҭ ҩаԥхьа иааҭдырҟьеит: дкыдҵа!	Они опять закричали: распни Его.
Пилат иреиҳәоит: цәгьарас иҟаиҵазеи мшәан Иара? Аха дара еиҳагьы ирӷәӷәаны еицыҟаауан: дкыдҵа!	Пилат сказал им: какое же зло сделал Он? Но они еще сильнее закричали: распни Его.
Убасҟан, Пилат, ажәлар ргәаҳәара нагӡауа, Варавва дырзоуижьит, Иисус дыпҟаны акыдҵаразы дриҭеит.	Тогда Пилат, желая сделать угодное народу, отпустил им Варавву, а Иисуса, бив, предал на распятие.
Аибашьцәа Уи ашҭа аҩнуҵҟахь, апреториахь днаргеит, уатәи ахәҭа еизыргеит,	А воины отвели Его внутрь двора, то есть в преторию, и собрали весь полк,
Ишәырҵеит иҟаԥшьы-цәеиқәараз ацәашәҵатә-ау, амаӷ гәыргьын ырқьақьаны ихадыргылт,	и одели Его в багряницу, и, сплетши терновый венец, возложили на Него,
Нас, изцасны, асалам ирҭауа иалагеит: угәырӷьала Иудеиаа Раҳ!	и начали приветствовать Его: радуйся, Царь Иудейский!
Лабала ихы иасуан, иҿажьцәон, иҩышьамхнышлашәа иеихырхәон.	И били Его по голове тростью, и плевали на Него, и, становясь на колени, кланялись Ему.
Рызхара ианихычча, ианилахәмар, аҟаԥшь-цәеиқәара шәҵа ишәыхны, имаҭәақәаҵәҟьа ишәҵаны акыдҵаразы ддәықәыргалт.	Когда же насмеялись над Ним, сняли с Него багряницу, одели Его в собственные одежды Его и повели Его, чтобы распять Его.
Имҩасны ицоз Киринеитәык, Александри Руфи раб, амхурсҭахьтә иаауаз Симон, иџьар агара идырҵеит.	И заставили проходящего некоего Киринеянина Симона, отца Александрова и Руфова, идущего с поля, нести крест Его.
Днаргеит Голгофа ҳәа иахьашьҭоу иаанагоит: ахыбаҩ ҭыԥ.	И привели Его на место Голгофу, что значит: Лобное место.
Аҩы асмирна алаҭәаны ижәырц ирҭоит, аха Иара идимкылт.	И давали Ему пить вино со смирною, но Он не принял.
Дкыдызҵауаз имаҭәақәа ршон, доусы иаӡаша ҳәа аҵәы ҭаԥсаны.	Распявшие Его делили одежды Его, бросая жребий, кому что взять.
Ашьыжь асааҭ жәба рзы дкыдырҵеит.	Был час третий, и распяли Его.
Иханы ихарартәыз анҵаны ихарсын: Иудеиаа Раҳ.	И была надпись вины Его: Царь Иудейский.
Иара ицкыдырҵеит ҩыџьа абрагьцәа, аӡәы иарӷьарахьала, егьи иармарахь.	С Ним распяли двух разбойников, одного по правую, а другого по левую сторону Его.
Абри ала инаӡеит Аҩыра ианыз: ацәгьоуцәа дрылаԥхьаӡоуп.	И сбылось слово Писания: и к злодеям причтен.
Иниас-ааиасуаз дҵәылырхуан, рыхқәа рҵысуа, абасгьы изҳәауа: уа, Уара! аныҳәарҭа цҟьа-шәҟьа иқәызҵауа, хымш рылагьы изыргылауа!	Проходящие злословили Его, кивая головами своими и говоря: э! разрушающий храм, и в три дня созидающий!
Ухала уҽҿых, узкыду аџьар укыдҵ.	спаси Себя Самого и сойди со креста.
Убасҵәҟьа аԥхьаԥшьаҩцәеи ашәҟәдырҩцәеи аҟыр-ҟыр ихыччауан, дара-дара абас еибыҳәауа: ауаа ҿихуан, Ихаҭа ихы изҿыхуам.	Подобно и первосвященники с книжниками, насмехаясь, говорили друг другу: других спасал, а Себя не может спасти.
Христос, Израилаа Раҳ, дкыдҵааит дызкыду аџьар, ҳарҭгьы убри ҳалаԥшып, дазхаҳҵап. Ицкыдызгьы убасала дҵәылырхуан.	Христос, Царь Израилев, пусть сойдет теперь с креста, чтобы мы видели, и уверуем. И распятые с Ним поносили Его.
Асааҭ фба шыҟаз алашьцара адгьыл зегьы иахатәеит ус иҟан асааҭ жәбанӡа.	В шестом же часу настала тьма по всей земле и продолжалась до часа девятого.
Ҽынла, асааҭ хԥа рзы, Иисус быжь дула дааӷызы-ӷызит: Иелои! Иелои! ламма савахфани? иаанагон: Сынцәа! Сынцәа! сзынужьзеи Уара?	В девятом часу возопил Иисус громким голосом: Элои! Элои! ламма савахфани? что значит: Боже Мой! Боже Мой! для чего Ты Меня оставил?
Араҟа игылақәаз шьоукы, ари заҳауаз, ирҳәоит: Илиа диԥхьоит.	Некоторые из стоявших тут, услышав, говорили: вот, Илию зовет.
Урҭ рахьтә аӡәы, дыҩ иҿынеихан, ашәынгьар ԥшааны, абжьеи аларчны, алаба иахаркьакьаны ижәразы ииҭоит, абас ҳәауа: шәааԥшы, Илиа дкыдихразы даауоу дмаауоу ҳбап.	А один побежал, наполнил губку уксусом и, наложив на трость, давал Ему пить, говоря: постойте, посмотрим, придет ли Илия снять Его.
Иисус абри аамҭазы, ӷәӷәала дааӷызы-ӷызын, иԥсы ишьҭит.	Иисус же, возгласив громко, испустил дух.
Убасҟан, аныҳәарҭаҿтәи аԥарда, аханатә аҵыхәанӡа, ҩ-џьараны илеиҟәжәеит.	И завеса в храме раздралась надвое, сверху донизу.
Иара иҿаԥхьа игылаз шәҩы-рхы, абас дааӷызы-ӷызны иԥсы шишьҭыз аниба, иҳәоит: ииашаҵәҟьаны, Ари Ауаҩ Анцәа Диԥан.	Сотник, стоявший напротив Его, увидев, что Он, так возгласив, испустил дух, сказал: истинно Человек Сей был Сын Божий.
Иҟан харантә изыԥшуаз аҳәса, урҭ рыбжьара дыҟан Мариа Магдалина, Иаков-еиҵби Иосиеи ран Мариа, убас Саломиагьы,	Были тут и женщины, которые смотрели издали: между ними была и Мария Магдалина, и Мария, мать Иакова меньшего и Иосии, и Саломия,
Урҭ Галилеиа даныҟаз аахыс ихьыԥшны имаҵ уа ицын, иҟан убас Иерусалим ицнеиқәаз шьардаҩы.	которые и тогда, как Он был в Галилее, следовали за Ним и служили Ему, и другие многие, вместе с Ним пришедшие в Иерусалим.
Ианыхәла, аҽны хәашан, асабша иаԥныз мшын,	И как уже настал вечер, потому что была пятница, то есть день перед субботою,
Дааит Иосиф, Аримафеинтәи, ахеилак аилазаараҿ зыхьӡ дырыз ауаҩы Анцәа Иаҳра иақәгәыӷуа иҟаз ауаҩы, уи игәаӷьит Пилат иҿы днеины Иисус Ицәеижь аҳәара.	пришел Иосиф из Аримафеи, знаменитый член совета, который и сам ожидал Царствия Божия, осмелился войти к Пилату, и просил тела Иисусова.
Пилат уамашәа ибеит уи дыԥсхьеит ҳәа иарҳәаз, шәҩы-рхы дааԥхьаны диазҵааит: акыр ҵуама дыԥсижьҭеи?	Пилат удивился, что Он уже умер, и, призвав сотника, спросил его, давно ли умер?
Шәҩы-рхы иахьтә уи атәы анеиликаа, Ицәеижь Иосиф ииҭеит.	И, узнав от сотника, отдал тело Иосифу.
Уи даалаган, аш-шьаршьаф ихәҳаит, нас, даашьҭыхны, абахә ҵаԥҟаны иҟаҵаз адамра дҭеиҵеит, аҩналарҭа ахаҳә ҩаԥыражьны ишәаҳаит.	Он, купив плащаницу и сняв Его, обвил плащаницею, и положил Его во гробе, который был высечен в скале, и привалил камень к двери гроба.
Мариа Магдалинеи Иосиа иԥҳа Мариеи дахьамардоз иазыԥшуан.	Мария же Магдалина и Мария Иосиева смотрели, где Его полагали.
Асабша аниас, Мариа Магдалинеи, Иаков иԥҳа Мариеи, Саломеи зыфҩы лаҳа-лаҳауаз ахәшақәа аархәеит, ицаны ихьыршьразы.	По прошествии субботы Мария Магдалина и Мария Иаковлева и Саломия купили ароматы, чтобы идти помазать Его.
Амчыбжь раԥхьатәи амшазы, ашьыжь шаанӡа, амра агыламҭазы, идамраҿы иааит.	И весьма рано, в первый день недели, приходят ко гробу, при восходе солнца,
Дара-дара еибырҳәоит: адамра ашә злашәаҳау ахаҳә ҳзаԥырзгарыда?	и говорят между собою: кто отвалит нам камень от двери гроба?
Ианынаԥш, ирбоит ахаҳә шаԥыргоу, арахь иара мыцхәы идууз акы акәын.	И, взглянув, видят, что камень отвален, а он был весьма велик.
Адамра ианҭала, арӷьарахь арԥызбак маҭәа шкәакәала деилаҳәаны дыштәаз рбеит, рыԥсы нарыхҟьеит.	И, войдя во гроб, увидели юношу, сидящего на правой стороне, облеченного в белую одежду, и ужаснулись.
Иара ус реиҳәоит: шәымшәан. Шәара икыдырҵаз Иисус Назареитәи шәишьҭоуп. Уи дгылт, ара дыҟам. Абар, Уи дахьышьҭарҵаз аҭыԥ.	Он же говорит им: не ужасайтесь. Иисуса ищете Назарянина, распятого, Он воскрес, Его нет здесь. Вот место, где Он был положен.
Шәца, ирашәҳәа Иара иҵаҩцәа, убас Пиотр, уи Галилеиа дышәзыԥшуп ҳәа. Убраҟа дагьыжәбоит, Иара ишшәеиҳәахьаз аиԥш.	Но идите, скажите ученикам Его и Петру, что Он предваряет вас в Галилее, там Его увидите, как Он сказал вам.
Инҭыҵын, адамра аҟнытә еибарыҩ рҿынархеит, ишәаӡыӡон, аӡәгьы акгьы иарымҳәеит, избанзар игәыҭҟьа-ԥсыҭҟьауан.	И, выйдя, побежали от гроба, их объял трепет и ужас, и никому ничего не сказали, потому что боялись.
Ашацкыразы, дангыла, амчыбжь аԥхьатәи амш азы, раԥхьаӡа быжьҩык аҩысҭаацәа зхицаз Мариа Магдалина лҿы днеит.	Воскреснув рано в первый день недели, Иисус явился сперва Марии Магдалине, из которой изгнал семь бесов.
Лара дцан ицқәаз иҵәыуаз, иқьыз-қьызуаз иралҳәеит.	Она пошла и возвестила бывшим с Ним, плачущим и рыдающим,
Аха дара, дыбзоуп, ларгьы дылбеит ҳәа ираҳаз агәра рымгеит.	но они, услышав, что Он жив и она видела Его, не поверили.
Абри ашьҭахь, даҽа сахьак иԥшынҵаны, амҩан, ақыҭахь ишцоз, урҭ иреиуаз ҩыџьа дрызцәырҵит.	После сего явился в ином образе двум из них на дороге, когда они шли в селение.
Урҭгьы аныхынҳә, егьырҭ ирарҳәеит, аха аӡәгьы рыгәра имгеит.	И те, возвратившись, возвестили прочим, но и им не поверили.
Аҵыхәтәан, Уи ажәеизаҩык ауаххьа иахьахатәаз дрызцәырҵит, ираҽԥниҳәеит рхамҵареи ргәымбылџьбарареи Иара дгыланы даҳбеит ҳәа зҳәаз рыгәра ахьырымгаз азы.	Наконец, явился самим одиннадцати, возлежавшим на вечери, и упрекал их за неверие и жестокосердие, что видевшим Его воскресшего не поверили.
Иагьреиҳәоит: шәца, адунеи зегьы ашҟа шәҿынашәха, ауаа зегьы Ажәабжь бзиа рылашәырҵәала.	И сказал им: идите по всему миру и проповедуйте Евангелие всей твари.
Иазхазҵауа, зыҽӡаазхуа дҿыххоит, иазхазымҵауа иқәыӡбахоит.	Кто будет веровать и креститься, спасен будет, а кто не будет веровать, осужден будет.
Ихазҵауа дыргас абарҭ рыцуп: Сара сыхьӡала аҩысҭаацәа рхырцалоит, иҿыцу абызшәақәа рыла ацәажәара иалагоит,	Уверовавших же будут сопровождать сии знамения: именем Моим будут изгонять бесов, будут говорить новыми языками,
Ирцәымшәаӡакәа амаҭқәа рклап, уимоу ашьыга ржәыргьы ирԥырхагахарым, рнапқәа ачымазаҩцәа ианрықәырҵалакь, ибзиахалашт.	будут брать змей, и если что смертоносное выпьют, не повредит им, возложат руки на больных, и они будут здоровы.
Абар, абас данрацәажәа ашьҭахь, Иҳақәиҭу ажәҩан ахь дхалт, Анцәа иарӷьарахь дықәтәеит.	И так Господь, после беседования с ними, вознесся на небо и воссел одесную Бога.
Даргьы рҿынархеит, Иҳақәиҭу ицхыраарала зегьынџьара иуазҳәауа, ражәақәа аџьашьахә дыргақәа рыла ишьақәырӷәӷәауа. Амин.	А они пошли и проповедывали везде, при Господнем содействии и подкреплении слова последующими знамениями. Аминь.
Лука иҟнытә ажәабжь бзиа	ЕВАНГЕЛИЕ ОТ ЛУКИ
Ҳаҩнуҵҟа ииашаҵәҟьаны иаадыруан иҟалақәаз ахҭысқәа рыҩра шьардаҩы шалагаз аиԥш,	Как уже многие начали составлять повествования о совершенно известных между нами событиях,
Аханатә урҭ зыбла иабаны иҟақәаз, Ажәа амаҵ азызуаз рахьтә ишҳарҳәаз ала,	как передали нам то бывшие с самого начала очевидцами и служителями Слова,
Саргьы сгәы иаанагеит, цқьа иҭҵааны, иҟаз шыҟаз атәы неишьҭаргыланы иузызыҩразы, акыр иаԥсоу Феофил,	то рассудилось и мне, по тщательном исследовании всего сначала, по порядку описать тебе, достопочтенный Феофил,
Иуҵаз ашьаҭа ӷәӷәа аҵабыргратә удырразы.	чтобы ты узнал твердое основание того учения, в котором был наставлен.
Иудеиаа раҳ Ирод ихаан дыҟан Авиа ишьҭратәыз, Захариа захьӡыз ԥшьаҩык, иԥҳәысгьы, Аарон иабиԥарахьтә, Елизавета ҳәа ларҳәон.	Во дни Ирода, царя Иудейского, был священник из Авиевой чреды, именем Захария, и жена его из рода Ааронова, имя ей Елисавета.
Аҩыџьагьы Анцәа иҿаԥхьа иашарала иҟақәаз ракәын, Иҳақәиҭу иԥҟарақәа зегьы еиламгакәа инарыгӡон.	Оба они были праведны пред Богом, поступая по всем заповедям и уставам Господним беспорочно.
Урҭ хшара дрымамызт, избан акәзар Елизавета уаҩ длауамызт, аҩыџьагьы рықәра акыр инаскьахьан.	У них не было детей, ибо Елисавета была неплодна, и оба были уже в летах преклонных.
Абар, зны, ианихәҭаз аамҭазы, Анцәа имаҵура анымҩаԥигауаз,	Однажды, когда он в порядке своей чреды служил пред Богом,
Ҵәҭаԥсарала, аԥшьаҩцәа ишырзаԥыз аиԥш, арафы ахҵаразы Иҳақәиҭу иныҳәарҭа аҭалара иқәшәеит,	по жребию, как обыкновенно было у священников, досталось ему войти в храм Господень для каждения,
Егьырҭ ажәлар рацәа, арафхҵара аамҭазы, анҭыҵ иныҳәауан,	а все множество народа молилось вне во время каждения,
Убасҟан, Иҳақәиҭу Имаалықь дизцәырҵит, арафхҵарҭа арӷьарахь ала дгыланы.	тогда явился ему Ангел Господень, стоя по правую сторону жертвенника кадильного.
Захариа уи даниба, ииура изымдыруа дықәхеит, дшәаӡыӡеит.	Захария, увидев его, смутился, и страх напал на него.
Амаалықь уи иеиҳәоит: умшәан, Захариа, избан акәзар уныҳәаԥхьыӡ иаҳаит, уԥҳәыс Елизавета ԥа дузлоуеит, хьӡысгьы иуҭауеит: Иоанн,	Ангел же сказал ему: не бойся, Захария, ибо услышана молитва твоя, и жена твоя Елисавета родит тебе сына, и наречешь ему имя: Иоанн,
Иузгәырӷьарахоит, иузгәеиҵыхрахоит, уи иира шьардаҩык аргәырӷьашт,	и будет тебе радость и веселие, и многие о рождении его возрадуются,
Избан акәзар уи Иҳақәиҭу иҿаԥхьа идуу аӡә иакәхоит, ҩызааит, сикеразааит акы агьама ибараны дыҟам, иан лымгәарҭа дышҭоу Аԥсы Цқьа ила игәы-иԥсы хаҭәаауеит,	ибо он будет велик пред Господом, не будет пить вина и сикера, и Духа Святаго исполнится еще от чрева матери своей,
Израил аҵеицәа жәпаҩы Ирықәиҭу Рынцәа иахь ихьаирԥшышт.	и многих из сынов Израилевых обратит к Господу Богу их,
Уи Илиа идоуҳаи илшареи иманы Иҳақәиҭу иаԥхьаҟа дцәырҵуеит, абацәа ргәы-рыԥсы рыхшара ирзырханы, ахаҵара змам ауаа иашақәа рхәыцрахь ихьарԥшны, ажәлар Иҳақәиҭу иԥылара иазырхиауа.	и предъидет пред Ним в духе и силе Илии, чтобы возвратить сердца отцов детям, и непокоривым образ мыслей праведников, дабы представить Господу народ приготовленный.
Захариа Амаалықь иеиҳәоит: ари сара излаздырраны иҟои? сара шьҭа сажәуп, сыԥҳәысгьы лықәрахь днеихьеит.	И сказал Захария Ангелу: по чему я узнаю это? ибо я стар, и жена моя в летах преклонных.
Амаалықь уи аҭакс иеиҳәоит: сара Анцәа иҿаԥхьа игылоу Гавриил соуп, цҳаражәҳәаҩыс сузаашьҭуп абри агәырӷьаҿҳәаша уасҳәаразы,	Ангел сказал ему в ответ: я Гавриил, предстоящий пред Богом, и послан говорить с тобою и благовестить тебе сие,
Ианаамҭоу иҟалараны иҟоу сажәақәа рыгәра ахьумгаз азы ҿаҭышьа, цәажәашьа умамкәа уаанхоит урҭ наӡаанӡа.	и вот, ты будешь молчать и не будешь иметь возможности говорить до того дня, как это сбудется, за то, что ты не поверил словам моим, которые сбудутся в свое время.
Ажәлар Захариа изыԥшны игылан, аныҳәарҭа дзыҩнахацәаз џьашьауа.	Между тем народ ожидал Захарию и дивился, что он медлит в храме.
Уахьынтә дандәылҵ дзырмацәажәеит, даргьы еилыркааит аныҳәарҭаҟны ак шизаатыз, игәы иҭаз дыргала дырбара далагеит, дҿаҳаны даанхеит.	Он же, выйдя, не мог говорить к ним, и они поняли, что он видел видение в храме, и он объяснялся с ними знаками, и оставался нем.
Аҽынтәи имаҵура анынаигӡа, иҩныҟа дхынҳәит.	А когда окончились дни службы его, возвратился в дом свой.
Арҭ амшқәа рышьҭахь иԥҳәыс Елизавета лцәалтәымкәа дҟалеит, хәымыз уи аӡбахә мырзакәа илыман, абас аиԥш ҳәауа:	После сих дней зачала Елисавета, жена его, и таилась пять месяцев и говорила:
Абарҭ аамҭақәа рзы Иҳақәиҭу дсыхәаԥшын абас сзиуит, ауаа рҿаԥхьа сҽыԥныҳәа схихразы.	так сотворил мне Господь во дни сии, в которые призрел на меня, чтобы снять с меня поношение между людьми.
Афбатәи амзазы Амаалықь Гавриил Анцәа иахьтә Назарет захьӡу Галилеиатә қалақь ашҟа ддәықәҵан,	В шестой же месяц послан был Ангел Гавриил от Бога в город Галилейский, называемый Назарет,
Давид иҩнра иеиуаз, Иосиф захьӡыз ахаҵа изҳәаз Аҭыԥҳа лахь, Аҭыԥҳа лыхьӡгьы: Мариа.	к Деве, обрученной мужу, именем Иосифу, из дома Давидова, имя же Деве: Мария.
Амаалықь, Уи лахь дныҩналан, иҳәоит: бгәырӷьала, лыԥха Зауз! Иҳақәиҭу дбыцҟоуп, аҳәса рыбжьара лыԥха Зманы иҟоу боуп.	Ангел, войдя к Ней, сказал: радуйся, Благодатная! Господь с Тобою, благословенна Ты между женами.
Лара, уи дшаалбаз, илуа-илҳәо дақәымшәеит, илзырхаз ажәақәа ирылылҳәаара лзымдыруа.	Она же, увидев его, смутилась от слов его и размышляла, что бы это было за приветствие.
Амаалықь илеиҳәоит: бымшәан, Мариа, бара Анцәа иахьтә лыԥха боуит,	И сказал Ей Ангел: не бойся, Мария, ибо Ты обрела благодать у Бога,
Абар, абас, бцәа далашәт мгәаҭала, дбыхшоит Аԥа, хьӡысгьы ибҭоит: Иисус,	и вот, зачнешь во чреве, и родишь Сына, и наречешь Ему имя: Иисус.
Уи ддуӡӡахашт, Зегь Зымчу Иԥа ҳәагьы изырҳәашт, Иҳақәиҭу Анцәа, Иара иаб, Давид, итәарҭа ҳарак ииҭашт,	Он будет велик и наречется Сыном Всевышнего, и даст Ему Господь Бог престол Давида, отца Его,
Убри нахыс Иаков иҩнра Аҳра азиушт, Иаҳрагьы ахаан нҵәара ақәны иҟалашам.	и будет царствовать над домом Иакова во веки, и Царству Его не будет конца.
Мариа Амаалықь иалҳәоит: ҟалашьас иамои, ахаҵа дысзымдыруа?	Мария же сказала Ангелу: как будет это, когда Я мужа не знаю?
Амаалықь уи аҭакс илеиҳәоит: Аԥсы Цқьа дыбзылбаап, Хыхь Иқәтәоу имчра баҵанакып, убри аҟнытә ибыхшауа Ацқьагьы Анцәа Иԥа ихьӡхашт,	Ангел сказал Ей в ответ: Дух Святый найдет на Тебя, и сила Всевышнего осенит Тебя, посему и рождаемое Святое наречется Сыном Божиим.
Абар, Елизаветагьы, бара бгәыцхәы, хшара дызмауа ҳәа ззырҳәауаз, убригьы, лажәынҭыҽха, лцәа ахшара далашәеит, фымыз дырҭоуп,	Вот и Елисавета, родственница Твоя, называемая неплодною, и она зачала сына в старости своей, и ей уже шестой месяц,
Избан акәзар Анцәа иҟны мчызмам иарбанзаалакь ажәа зыҟалауам.	ибо у Бога не останется бессильным никакое слово.
Убасҟан Мариа илҳәоит: сара Иҳақәиҭу итәы ҳәа сшьоуп, ишуҳәаз ала исзыҟалааит. Амаалықь уи дналԥырҵит.	Тогда Мария сказала: се, Раба Господня, да будет Мне по слову твоему. И отошел от Нее Ангел.
Мариа, мышқәак рышьҭахь, дҩагылан, лассы лҽааибыҭаны, аҿаҩахь, Иуда иқалақь ашҟа дцеит,	Встав же Мария во дни сии, с поспешностью пошла в нагорную страну, в город Иудин,
Захариа иҩны днеины Елизавета аԥсшәа лалҳәеит.	и вошла в дом Захарии, и приветствовала Елисавету.
Мариа лаԥсшәаҳәара Елизавета ишаалаҳаз аиԥш, лымгәаҭаҿы аԥшқа дааҳәыцымыцит, убасҟан Елизаветагьы Ԥсы Цқьала дҭәит,	Когда Елисавета услышала приветствие Марии, взыграл младенец во чреве ее, и Елисавета исполнилась Святаго Духа,
Лыбжьы ҩаҳаракны илҳәоит: лыԥха бымоуп Бара, аҳәсақәа рыбжьара, Дыԥшьоуп бцәа иалашәаны иҟоугьы!	и воскликнула громким голосом, и сказала: благословенна Ты между женами, и благословен плод чрева Твоего!
Сызлаԥсахазеи сара, Иҳақәиҭу Иан сышҟа дааратәы?	И откуда это мне, что пришла Матерь Господа моего ко мне?
Аԥсшәа шаасабҳәаз аиԥш, сымгәарҭа иҭоу асабигьы дахьҭоу дааҭахәмарт,	Ибо когда голос приветствия Твоего дошел до слуха моего, взыграл младенец радостно во чреве моем.
Бзазара лымоуп уи Азхазҵазгьы, избан акәзар Иҳақәиҭу иахьтә илаҳәоу наӡоит.	И блаженна Уверовавшая, потому что совершится сказанное Ей от Господа.
Иагьылҳәоит Мариа: Сыԥсы Иҳақәиҭу дардууеит,	И сказала Мария: величит душа Моя Господа,
Сыгәгьы Сынцәа, Сҿыхҩы изы иҭгәырӷьааит,	и возрадовался дух Мой о Боге, Спасителе Моем,
Итәы аҽанраалара илымоу дахәаԥшит, избан акәзар уажәшьҭарнахыс абиԥарас иҟоу зегьы сыбзырӡы рҳәалашт,	что призрел Он на смирение Рабы Своей, ибо отныне будут ублажать Меня все роды,
Мчы-лшара ду Змоу сыхьӡ ирдууит, иԥшьоуп Иара ихьӡгьы,	что сотворил Мне величие Сильный, и свято имя Его,
Уи ицәшәауа зегьы абиԥара абиԥарала ирыцҳашьара роуеит,	и милость Его в роды родов к боящимся Его,
Иааирԥшит имахәҿа амчхара, аԥагьацәа зыхӡыӡаауаз рхәыцрақәа, рыгәҭакқәа хәаш-хәаша иқәиҵеит,	явил силу мышцы Своей, рассеял надменных помышлениями сердца их,
Мычра змаз рықәтәарҭа илбааиҳәеит, ҽаныршәарала иҟаз ҳареикит,	низложил сильных с престолов, и вознес смиренных,
Имлашьуаз бзазарала ирҭәит, змазара хыш-хыҵәауаз ирымамкәа-ирыхӡымкәа иоуишьҭит,	алчущих исполнил благ, и богатящихся отпустил ни с чем,
Израил, Иԥак иеиԥш идикылт, арыцҳашьара аарԥшны,	воспринял Израиля, отрока Своего, воспомянув милость,
Уи наӡаӡа иақәиргәыӷхьан ҳара ҳабацәа Авраами уи ихылҵшьҭреи.	как говорил отцам нашим, к Аврааму и семени его до века.
Мариа убраҟа даанхеит, хымыз рҟынӡа длыцҟан, нас лыҩныҟа дхынҳәит.	Пребыла же Мария с нею около трех месяцев, и возвратилась в дом свой.
Елизавета лакәзар, лыхшараура аҽҳәара ааит, аԥа длыхшеит.	Елисавете же настало время родить, и она родила сына.
Иҳақәиҭу арыцҳашьара шылзиуз, лыԥха шлиҭаз, лгәылацәеи лгәыцхәцәеи ираҳаит, иагьлыцгәырӷьауан.	И услышали соседи и родственники ее, что возвеличил Господь милость Свою над нею, и радовались с нею.
Аабатәи амш аҽны асаби иаԥхьатә ахсаразы инеит, ирҭахын ихьӡырҵаразы иаб ихьӡ Захариа.	В восьмой день пришли обрезать младенца и хотели назвать его, по имени отца его, Захариею.
Иан абри аҵыхәала илҳәоит: мап, ихьыӡҵатәуп Иоанн.	На это мать его сказала: нет, а назвать его Иоанном.
Иларҳәоит: быуа-бгәыцхәы рыбжьара ари ахьӡ захьӡу уаҩ дыҟам.	И сказали ей: никого нет в родстве твоем, кто назывался бы сим именем.
Адыргақәа рыла аб иазҵааит, ихьӡыртәраны иуҭхаузеи ҳәа.	И спрашивали знаками у отца его, как бы он хотел назвать его.
Ӷәыцәмаҟьак аадирган ианиҵоит: Иоанн ауп ихьыӡхаша. Зегьы уамашәа ирбеит.	Он потребовал дощечку и написал: Иоанн имя ему. И все удивились.
Иара убри аамҭазы иҿгьы-ибызгьы еилгеит, ацәажәара далагеит, Анцәа ибзырӡы ҳәауа.	И тотчас разрешились уста его и язык его, и он стал говорить, благословляя Бога.
Ааигәа-сигәа инхоз зегьы ари иацәшәаӡыӡеит, Иудеиа аҿаҩара ахьынӡа-наӡааӡоз абарҭқәа рыӡбахә иалацәажәон.	И был страх на всех живущих вокруг них, и рассказывали обо всем этом по всей нагорной стране Иудейской.
Ари ираҳауаз зегьы гәынкылауа ирҳәон: дзакәхарызеи абри асаби? Уи ихакын Иҳақәиҭу инапы.	Все слышавшие положили это на сердце своем и говорили: что будет младенец сей? И рука Господня была с ним.
Иаб Захариагьы Ԥсы Цқьала дҭәит, абас аиԥш ала дԥааимбарҳәауа:	И Захария, отец его, исполнился Святаго Духа и пророчествовал, говоря:
Хьӡи-ԥшеи имоуп Иҳақәиҭу Израилаа Рынцәа, зыжәлар ирҭааз, иеиқәзырхаша рзыҟазҵаз,	благословен Господь Бог Израилев, что посетил народ Свой и сотворил избавление ему,
Иара итәы Давид иҩнраҿы ахҿыхга-тәыҩа ҳзыҳареикит,	и воздвиг рог спасения нам в дому Давида, отрока Своего,
Аханатә иԥааимбарцәа рыла ирылеиҳәахьан	как возвестил устами бывших от века святых пророков Своих,
Ҳаӷацәа ҳшырцәихьчауа, ҳазцәымӷу рнапқәа шаҳхьимырсуа,	что спасет нас от врагов наших и от руки всех ненавидящих нас,
Ҳабацәа лыԥха риҭоит, иԥшьоу Иара иуасиаҭ ажәа,	сотворит милость с отцами нашими и помянет святой завет Свой,
Авраам, ҳара ҳаб ииҭахьаз, игәаларшәаны,	клятву, которою клялся Он Аврааму, отцу нашему, дать нам,
Ҳаӷацәа ҳарцәынирхаразы, ҳамшәа-ҳмырҳа,	небоязненно, по избавлении от руки врагов наших,
Ҳаԥсҭазаара зегьы аан, ҳаҟанаҵ, Иара имаҵ ԥшьа ҵабыргла иҳауларазы.	служить Ему в святости и правде пред Ним, во все дни жизни нашей.
Уаргьы, асаби, Хыхь Иҟоу иԥааимбар ухьӡхашт, избан акәзар Иҳақәиҭу имҩақәа рырхиара уазгылашт,	И ты, младенец, наречешься пророком Всевышнего, ибо предъидешь пред лицем Господа приготовить пути Ему,
Ахҿыхра агәнаҳа анажьрала ишалыршахауа ижәлар иреилдуркааразы,	дать уразуметь народу Его спасение в прощении грехов их,
Ҳанцәа ирыцҳашьара алыԥха Амрагылара ахыхьтә излаҳаҭаз ала	по благоутробному милосердию Бога нашего, которым посетил нас Восток свыше,
Алашьцареи аԥсра ашәшьыра иҵатәоуи урлашаразы, ҳшьаҿақәа аизыразра амҩахь иурхаразы.	просветить сидящих во тьме и тени смертной, направить ноги наши на путь мира.
