Мшыбзиа, ҳаҭыр зқәу ахәаԥшцәа!	Добрый день, уважаемые зрители!
алашара хыҵхырҭак аҳасабала. Иџьашьахәу формулоуп.	один источник общий. Поразительная метафора.
Абри аҩыза абзазаратә ҿырԥштәала акрызҵазкуа аформула ааирԥшит,	Так просто, на бытовом уровне такую великую формулу объяснил,
иагьирҵабыргит азеиԥш хьышьҭра шыҟоу. Ари шаноуп,	что есть общий источник. Это поразительное дело,
уаҩԥсык иаҳасабала сарлахҿыхуеит, еснагь иҟало акы	ободряющее меня, как человека, что я приобщен к тому,
саргьы сахьалахәу азы.	что будет всегда.
Уи алашара ақәгара, мамзаргьы арцәара ауӡом.	И этот свет нельзя убрать и погасить.
Уара уи ахыҵхырҭа уатәызар,	Если ты прилежишь к этому началу,
уԥсҭазаараҿы зегьы иашахаҭоуп.	то все правильно в твоей жизни.
Абри аҩыза ақәгәыӷра сызирхынҳәит саргьы.	Вот эту уверенность он мне тоже вернул.
Сара арахь сҩыза иахь ауп сахьаауаз, апандемиа аныҟала дсымбацызт,	Хотя, я сюда ехал к другу своему, началась пандемия,
ишҟагьы сзаауамызт, ара цәыббразы аҳәаа аадыртаанӡа,	и долго я не мог к нему попасть, пока здесь не открыли в сентябре,
усҟан ауп санааи, сахьааизгьы ыцхыраара ду сауит.	я только тогда смог приехать, и здесь я нашел мощную поддержку.
Санаауаз, сҭагылазаашьа хьанҭан.	Я уезжал оттуда в очень тяжелом состоянии.
Сара еснагь схы сазҵаауан,	Я всегда спрашивал себя,
избан сырҿиара акалашәа изыҟоу?	почему у меня творчество такое странное?
Избан арационалра зсылам? Издыруеит, гәыԥҩык ашәҟәыҩҩцәа ирҳәақәо,	Почему я не рационален? Я знал, что многие писатели говорят,
материал гәарҭак ҭысҵааит, акырӡа сгәы иҭасыҩхьеит ҳәа…	я гору материала изучил, столько всего выписывал в сердце...
Толстоигьы ирацәаны аматериал ҭиҵаауан. еилырганы аматериал рацәоуп.	Даже Толстой много изучал материала.
Сара, иахьысҳәо сацәыԥхашьоит аха, акгьы ҭысҵааӡомызт. Сара исымоуп ароман дуқәа, иаҳҳәап «Абна-аб» еиԥш иҟоу,	А я, к стыду своему, ничего не изучал. У меня есть большие романы такие, как «Отец-лес»,
аметафизикатә планԥшра змоу, иаҳҳәап «Џьанаҭ агәырӷьарақәа»,	большие романы метафизического плана, как «Радости Рая»,
«Иона адгьылбжьаха».	«Остров Ионы».
шәара шәҟны урҭ рыӡбахә аӡәгьы имаҳац,	У вас тут никто даже не слышал о них,
избанзар, арҭ ашәҟәқәа ҭыҵит, аха аԥхьаҩцәа иргахьеит.	потому что эти книги у меня изданы, но они не разошлись.
Убри аҟынтә, сара уи аҩыза аметод сымоуп анысҳәо,	Поэтому, когда я говорил о том, что у меня такой метод, то
Москва аӡәырҩы ргәы сзыԥжәон.	многие в Москве сердились на меня.
Зны ааԥхьара сырҭит Ажәларқәа реиҩызара ауниверситет ашҟа,	Однажды меня пригласили в университет Дружбы народов,
уаҟа иаахтны исҳәеит ахаангьы аматериал шҭысымҵаауа,	и я там посмел признаться, что я никогда не изучаю материалы,
зҽызыԥсахуа ахдырра ала аҭагылазаашьа сҽақәыршәаны ишызыҩуа атәы,	что я пишу сразу в состоянии измененного сознания,
сроман ду аҿы шаҟа персонажцәа ҟало шысзымдыруагьы.	я не знаю сколько у меня будет персонажей в моем большом романе.
Афранцыз еиҭагаҩцәа ирыԥхьаӡеит,	Переводчики французские посчитали,
сроман «Аб-абна» аҟны 500 ҩык инареиҳаны аперсонажцәа шалоу.	что в моем романе «Отец-лес» 500 с лишним персонажей.
Хаҭала сара исыздыруамызт аперсонажцәа шаҟаҩы ыҟаз, ус ауп сара аус шызуаз.	Я даже не знал сколько у меня персонажей, то есть я работал именно вот так.
ахыҵхырҭа аҿаԥхьа сыҽкажьны аус зуан,	Я работал, припадая к источнику,
уи атәы Урыстәыла исызҳәомызт, аха Ажәларқәа реиҩызара ауниверситет аҟны ианысҳәа,	и в этом я даже не мог признаться в России, когда я сказал об этом в университете Дружбы народов,
зҽаԥсазтәыз профессорк, кафедрак анапхгаҩы,	одна заслуженный профессор, чуть ли не зам. зав. кафедры чего-то
лгәы сзыԥжәеит:	на меня рассердилась:
«Зыхдырра аҽаԥсахуа аҭагылазаашьа шәҽақәыршәаны аус жәуазар, уа шәыҟаз» лҳәеит.	«Ну, если вы работаете в состоянии измененного сознания, оставайтесь там».
Сара лҿаԥхьа аҭамзаара шьҭасҵеит, иҟасҵари, слахьынҵа ус иҟоуп сҳәеит.	Я перед ней извинился, сказал, ну, что делать, такова моя судьба.
Сара араҟа исоуит сырҿиара зырҵабыргуа,	Я здесь получил подтверждение своему творчеству,
ахыҵхырҭа сахьалахәу зҳәо. Иаӷан имыҩуеи, ауаа ахьыҟазаалакгьы,	что я приобщен к источнику. Яган же пишет, что люди где бы они ни были,
ахыҵхырҭа иалахәызар ҟалоит, хаҭала урҭ зынӡа еиԥшымзаргьы.	если они приобщены к источнику, они могут совершенно быть разными.
Ара раԥхьаӡа ахәыцра салагеит,	Тут я впервые стал размышлять,
сҩызцәа рызҵаара сҽазыскит,	стал спрашивать у своих друзей,
Руслан сзабаирдырыз. Урҭ иаԥсоу уаауп, аҵарадырра рымоуп,	с которыми меня познакомил Руслан. Это люди достойные, образованные,
Аԥсны амаҵзура дуқәа ааныркылахьеит. Сразҵаауа салагеит,	занимавшие высокие должности в Абхазии. Я у них стал спрашивать,
избан, уи иӡбахә зышәзымдыруеи?	а почему у вас он неизвестен?
Избан Урыстәыла ҳара ҳҟны уи иӡбахә заҳмаҳац,	Почему у нас в России о нем ничего не слышали,
избан ишәҟәы англыз бызшәахьтә аурысшәахь изеиҭагоу?	почему его книга переведена с английского на русский?
Избан иара англыз бызшәала дзыҩуааз?	Почему он на английском написал?
Арҭ азҵаарақәа аҩызцәа инагӡаны аҭак рзыҟаҵомызт.	На эти вопросы друзья не могли мне ответить сполна.
Сара абри азхәыцра салагеит,	Я стал размышлять об этом,
уи аҩыза алкаақәагьы ҟасҵеит,	и пришел к таким выводам,
Аамысҭа – аамысҭатә дырроуп, традициоуп уҳәар ҟалоит.	что Аамста – дворянское знание, традиция, можно сказать.
Изакәызеи атрадициа? Ари абиԥарала иеимырдо дырроуп.	А что такое традиция? Это знание, передающиеся из поколения в поколение.
Қьабза уи иоуит иеиҳабацәа рҟнытә. Мураҭ Иаӷан ишәҟәаҿы иҳәеит,	Кябза он получил от своих старшин. Мурат Яган рассказал в своей книге,
акрызҵазкуа аамысҭатә хылҵшьҭра Аамысҭа дшалиааз,	что он родился высокородном дворянском роду Аамста,
уи иаб ажәлар раԥхьагылаҩ шиакәыз,	его отец был предводителем народа,
иаргьы иаб иҟынтә уи ахьӡ иҭынхар шакәыз.	и он должен был унаследовать от отца это же звание.
Убри аҟынтә, уи Қьабза аҵаразы амҩақәҵаҩцәа – аиҳабацәа (аталыкцәа) дрыҭан,	Поэтому он был отдан на обучение Кябза своим наставникам – старейшинам (аталыкам),
даргьы зны Қьабза иалааӡаны иахьыҟаз азы.	которые тоже когда-то были воспитаны в знании Кябза.
Уи еиҭеиҳәеит даныхәыҷыз инаркны дшазыҟарҵоз	И он рассказывал, как с детства его готовили
ахаҭара алагамҭа иаҵанакуа	к восприятию реализации
алшарақәа зегьы, амахашьахатә, ахәыцратә уҳәа,	всех своих возможностей, физических, умственных,
анагӡаразы ахшыҩдкылара.	относящихся к началу над личным.
Даҽакала иаҳҳәозар, иҩныҵҟа ауаҩы иаартра,	То есть к открытию в себе человека,
наунагӡа, ес-аамҭа зегьы зыжәлар иртәу ауаҩы,	который навсегда, на все времена будет принадлежать своему народу,
даҽакала иаҳҳәозар, ахаҭара ду. Хаҭала иԥсрагьы	то есть большую личность. И смерть его личная,
иара ишьҭахьгьы иара дааннажьуеит.	оставит все равно его после нее.
Уи даанхеит, аха шәахәаԥш уи дшаанхаз,	Он сам остался, но вы смотрите, как он остался,
аԥхьа Ҭырқәтәылаҟа дцар акәхеит,	он вынужден был уехать сначала в Турцию,
уантәи Европа, уа аҵара иҵаразы,	оттуда в Европу, там получить образование,
анаҩс Канада дақәшәеит, англыз бызшәала	а потом попал в Канаду, и там на английском языке
«Аамысҭа Қьабза» апринцип хадақәа рыҩра далагеит.	он впервые начал записывать основные принципы «Аамста Кябза».
Шәахәаԥш иалҵуа,	Смотрите, что получается,
уи арҭ адыррақәа аԥсуа бызшәала иеиҳабацәа рҟнытә иоуит,	он получил эти знания на абхазском языке от своих старшин,
дара иара ицын ауниверситет данҭазгьы,	они даже сопровождали его во время учебы в университете,
аиҳабацәа ауниверситет ахыбра иаҭаауан,	старшины приходили к зданию университета,
амардуан иаҿатәаны, аҵара даналго ҳәа изыԥшлон,	сидели на ступеньках, ждали когда он там закончит,
анаҩс дыргон, дагьоурыжьӡомызт шырҳәало еиԥш.	потом его забирали и не выпускали, как говорится.
Данқәыԥшыз,	В юности
уи аханатә «Аамысҭа Қьабза» мап ацәикхьан,	он сначала отказался от Аамста Кябза,
насгьы иҟьалаз аԥа иеиԥш адунеи дықәын. Канада џьара даннанага,	и как блудный сын он бродил по свету. Оказавшись где-то в Канаде,
ихыҵхырҭа «Аамысҭа Қьабза» дазыхынҳәит.	он вернулся к Аамста Кябза, к своим истокам.
Аха идыррақәа англыз бызшәала мацара акәын раарԥшра шилшоз.	Но уже мог выражать свои знания только на английском языке.
Ишалҵуа ала, аԥсышәала иоуз адыррақәа,	Выходит, что сведения, полученные им на абхазском языке,
уи ихдырраҿы англыз бызшәахь еиҭеигеит,	он в своем сознании перевел на английский язык,
даҽакала иуҳәозар, даҽа бызшәак ахь иеиҭаган. Уажәшьҭа, шәахәаԥш, закәытә лахьынҵоу,	то есть совершен был перевод на другой язык. А теперь, смотрите, судьба какая,
англыз бызшәа аҟнытә, Аамысҭа Қьабза аԥсуа «ҭаацәеи» Мураҭ Иаӷани ирыбзоураны,	с этого английского, благодаря абхазским «родителям» Аамста Кябза
еиҭа аурыс бызшәахьы еиҭаргеит, аха макьана аԥсшәахь еиҭагатәуп.	и Мурату Ягану снова перевели на русский язык, но еще предстоит перевод на абхазский.
Ари зазгәасҭаз уи ауп, адоуҳатә дыррақәа реиқәырхара,	Я почему об этом говорю, потому что сохранение духовных знаний,
мамзаргьы, адоуҳатә енергиа иашахаҭа, ажәлар рдоуҳатә енергиа	точнее подлинной духовной энергии, духовной энергии народа и
аарԥшра рылшоит уи ажәлар рбызшәа ала мацара,	передачи его возможно только через язык этого народа,
убри аҟынтә даара ихадоуп уажәы уи аҟаҵара. Сара саԥсыуам, слахьынҵа уадаҩоуп,	поэтому чрезвычайно важно сейчас это сделать. Я не абхаз, у меня сложная судьба,
сара скореецуп, аха сара соурыс шәҟәыҩҩхеит, аха уи иҷыдоу ҭоурыхуп.	я кореец, но я стал русским писателем, но тут особая история.
Сара еилыскаауеит ажәлар рдоуҳатә енергиа иашахаҭа аазырԥшуа абызшәа зыԥсоу.	Я понимаю, чего стоит язык передачи подлинной духовной энергии народа.
Ажәлар раенергиа, афымцамч згәылсуа аелектронқәа иреиԥшуп.	Энергия народа имеет сходство с электронами, передающими электрическую энергию по проводникам.
Абызшәагьы убас ауп, ажәлар ренергиа агәылсуеит,	Так и язык народа способен передавать энергию народа,
уи аенергиа алагамҭа ҵаулагьы зыдҳәалоу абызшәоуп.	и самое глубочайшее начало этой энергии связано с языком.
Мураҭ Иаӷан иқәыԥшраан иеиҳабацәа ирымҭазҭгьы арҭ адыррақәа,	Не передай старшины в молодости Мурату Ягану на абхазском языке
мҩас имааз уи Канада дахьыҟаз?	вот это учение, чем бы мог он в Канаде орудовать?
Уи адырра игеит абызшәа иацны,	Он унес это знание с языком и перевел
насгьы, ахыҵхырҭа Қьабза иаԥсуа дырра	это свое, абхазское знание источника Кябза
англыз бызшәахьы иеиҭеигеит. Ижәбама закәытә ҭоурыху,	на английский язык. Видите, какая история,
уажәшьҭа сара исыздыруам шәара шәҟны ишыҟоу аха,	и теперь я не знаю, как у вас,
аха Урыстәыла, иаҳҳәап, абызшәа ацәыӡ ду амоуп.	но в России, например, большая потеря языка.
Сара атәымуаҩуп, сара скореецуп, урыс бызшәала аҩра иалагазгьы среиуоуп,	Я посторонний человек, я кореец, который стал писать на русском языке,
уи шыҟалаз атәы ҭоурых ҷыдоуп,	тоже особая история, как это получилось,
аха сара маҷ-маҷ иҵыхәтәантәиим урыс шәҟәыҩҩны сшьақәгылеит. Алитературатә сахьаркыратә бызшәаҿы,	но я постепенно стал не последним русским писателем. В художеством литературном языке
иаахҵәаны исҳәар сылшоит,	смело могу сказать,
сара асахьаркыратә литература абызшәатә корифеицәа дуқәа рыгәҭаны сыҟоуп.	что я среди самых больших языковых корифеев художественной литературы.
Исҳәар сылшоит, абызшәа аиқәырхара шаҟа аҵанакуа,	И могу сказать, насколько важно сохранить язык,
жәлар ренергетика иадҳәалоу.	связанный с народной энергетикой.
Сара исыздыруа шәара шәҿы аԥсуа бызшәа аҭагылазаашьа.	Я не знаю, какие у вас положения с абхазским языком.
Ауадаҩра дуқәа.	Большие сложности.
Урыстәыла ишыҟоу еиԥш акәхап. Америка атәылаҿы ишыҟоу еиԥш,	Наверное так же, как и в России. Так же, как и в Америке,
англыз бызшәа Америка иабыхшәаны иахьыҟалаз.	где английский язык американским стал.
Ари акультурологиатәи, аонтологиатәи лагамҭақәа ирыдҳәалоу	Это языковое падение,
абызшәатә каҳароуп.	связанное с культурологическими началами, онтологическими началами.
Ари адунеизегьтәи цәырҵроуп, убри азоуп	Это явление всемирное, поэтому происходит
ауаҩытәыҩса идоуҳатә мчы зыӡуа, адәныҟатәи аенергиақәа ирыдҳәалоу,	потеря духовной энергии человечества, сосредоточенная на энергиях чисто внешних,
интеллектла, дыррала,	которые обеспечиваются интеллектом, знаниями,
ҭҵаарадыррала, ауаатәыҩсатә ԥышәа апозитивтә зыҟазаашьақәа. апозитивтә знеишьақәеи ауаҩытәыҩсатә ԥышәахь.	наукой, позитивными подходами к человеческому опыту.
Убри аҟынтә адоуҳара ацәыӡра – ари аԥсҭазаара аенергиа арӡроуп.	Поэтому потеря духовности – это потеря энергии жизни.
Уи адоуҳара абызшәа иалахәуп.	Эта духовность выражается и воплощается в языке.
Иҭабуп ҳәа шәасҳәарц сҭахуп,	Я хотел бы вас поблагодарить,
иҭабуп аинтерес зҵоу абри аҩыза аицәажәара азы.	спасибо за такую интересную беседу.
Аԥсуа ҿар рышҟа иҟашәҵаз ааԥхьаразы иҭабуп,	Спасибо за тот посыл, который вы сделали абхазской молодежи,
уи ахыҵхырҭа адәныҟа акәӡам, ахатә культура аҟны ауп иахьыԥшаалатәу,	что источник не надо искать вовне, а надо искать в своей культуре,
ахатәы бызшәаҿы.	в своем языке.
Ихадоу, шәара ишәымоу ииашахаҭоу алагамҭа «Аамысҭа Қьабза». Амала, уи еиҭархынҳәтәуп.	Главное, вы имеете такие подлинные, убедительные начала, как «Аамста Кябза». Только надо его снова вернуть.
Иҭабуп идуӡӡаны, иҭабуп аицәажәаразы.	Спасибо вам большое, спасибо за беседу. 
	
