Агәымшәа 	﻿Храброе сердце 
Шьыжьымҭан сдәықәлоит Франциаҟа, Исыхьчарц ҳара ҳзинқәа. 	Утром я уеду во Францию, чтобы отстаивать наши права там. 
Уара ара уаангыланы иқәх аметеж, еилыукаау? 	И я оставляю тебя здесь, чтобы ты подавил это маленькое восстание. 
Еилыукаау? 	Понял? 
Знымзар зны уара укрылхоит. 	Однажды ты станешь королем. 
Уҽазкны уҟаз крылс аҟазаара, ахымҩаԥгашьа ҵа акрыл иеиԥш. 	Так постарайся вести себя, как король. 
Бысҟәаҵ! Бысԥырхагамхан 	А ну прочь! 
Еидыскаларц арратә хеидкыла. 	Соберите мой военный совет. 
Сара агәраганы сыҟоуп шәхаҵа дашдәықәло Шоҭландиаҟа. 	Я надеюсь, ваш муж отправится в Шотландию. 
Диԥыларц Уалас. 	встретит Уоллеса, 
Нас шәара шәыԥҳәсибахоит. 	и вы станете вдовой. 
Абаан иахыҟоу. 	Вон там. 
Шәрышҭыл. 	За ними. 
Шәаҳҿамгылан, шәара шәмаҷуп, шәаанкылоуп. 	Нет смысла сопротивляться, вы окружены. Попались? 
Агьырҭ абаҟоу? Уалас дабаҟоу? 	Где остальные? Где Уоллес? 
- Саб. - Уиҩнал,уиҩнал. 	- Отец. - Заходи, заходи. 
Аметеж иалагеит. 	Началось восстание. 
- Иахагылада? - Баша дуаҩуп, Уилиам Уалас. 	- Кто главарь? - Простолюдин. Уильям Уоллес. 
Уара иудгылоит аметеж. 	Воспользуйся этим восстанием. 
Ҳадгьылқәа ашьхарахь ишьҭоу ицхрааит Уалас. 	Окажи ему поддержку на севере. 
Агаҽа ишьҭоу адгьылқәа сара ирԥынсыргылоит. 	Я получу расположение англичан, осудив его, 
Нас исоуеит аҭып аанкылара. 	и приказав выступить против него в наших землях на юге. 
Утәа, хәыҷык уааҭгыл. 	Сядь. Побудь немного. 
Убри Уалас. 	Этот Уоллес... 
Даамсҭаӡам аха иара дырҿагылоуп. 	кажется он даже не имеет рыцарского звания, 
Гәеизҳарала! 	но он сражался страстно! Он вдохновляет. 
Нас уара иуҭаххама уцарц еибашьра, уасами? 	Хочешь сражаться также, как и он? 
- Саргьы исҭахын. - иҟалап аамҭа ааизыр. 	- Я тоже. - Может пришло время. 
Ари аамҭа ԥсра цәцароуп. 	Время выживать. 
Уара – жәибыжтәи Роберт Брус. 	Ты - семнадцатый Роберт Брюс. 
Уабдуцәа ирылшеит ауҭара адгьылқәеи атитулыи,избан акәзар дара еибашьӡомызт. 	16 до тебя передали тебе землю и титул, потому что не вмешивались. 
- еизга аамсҭцәа рхеилак. - Дара баша ибарбароит. 	- Собирай благородный совет. - Они только болтать горазды. 
Хыӡҳәала. Шоҭландиатәи адгьылқәеи атитулыи рыда, дара ирымоуп Англиатәи, ҳара ҳҟны еиԥш. 	Во истину. Они имеют титул и землю в Англии, как и в Шотландии. 
Уара дџьоушьоит Уилиам Уалас. 	Ты восхищаешься этим Уильямом Уоллесом. 
Аизааигәаратә ауаҩ ида имарианы дџьоушьар ҟалап. 	Бескомпромиссными людьми легко восхищаться. 
Алагьы иамоуп агәымшәара. 	У него есть отвага, как и у собаки. 
Анаԥаҿы аизааигәара анагара. Абри иакәҵәҟьоуп ауаҩ аамсҭа. 	Но именно умение договариваться делает человека благородным. 
Иухаумыршҭын, 	И пойми вот что: 
Едуард ашьапҩзы зегьы рацкьыс рыцҳашьара злам 	Эдуард Длинноногий самый безжалостный король 
кралуп Англиа шьакәгылеижьшьҭеи. 	за всю историю английского трона. 
Ҳара ҳаҟнытәгьы, 	И никого из нас, 
Шоҭландиа аҟнытәгьы акгьы аанхаӡом, 	ничего от Шотландии не останется, 
ҳара ҳшыҟу ҳҟамлар. 	если мы не будем такими же безжалостными. 
Урызҽлымҳаз ҳа ҳаамсҭцәа. 	Прислушайся к нашей знати. 
Агәыргьын уоурц азы, 	У знай, что они думают, 
иудыруазароуп дара ргәаанагара. 	и в этом - ключ к трону. 
Уангыл, уԥши 	Стой. Смотри. 
́ари адәахьала, ари армарахь. 	Это сюда, а это - слева. 
Шәаала, Шәаала. 	Пошли. 
Акрал даныхынҳәлак, иара иижоит дара, абри ҿыцмаҭәала. 	Когда король вернется, он похоронит их в этой новой одежде. 
Шоҭландиа хынҭаҩныҭароуп. 	Шотландия в хаосе. 
Шәара шәхаҵа ар иишьҭоит ашьхарахь. 	Ваш муж посылает тайно армию на север. 
Иалбдыраауеи бара? 	Откуда ты знаешь? 
Иацауха сара сицшьҭан арратә хеидкыла алахәыла. 	Прошлой ночью я переспала с членом Военного Совета. 
Иаԥсамызт иара иаҳәара, амаӡақәа акаруаҭ аҿы. 	Не стоило ему рассказывать секреты в кровати. 
Аеи нас. 	Да уж. 
Абарҭ Англичанцәа ирыздырӡом изырҭаху абыз. 	Эти англичане не знают зачем нужен язык. 
Абри Уаллас дшоҭланд-уаҩуп, 	А этот шотландец Уоллес, 
Иара дықәԥома аԥҳәыс лшьа иурц? 	он сражается, чтобы отомстить за женщину? 
Сара ԥсык сыгхеит исхашҭырц. 	Я чуть не забыла. 
Аӡбаҩ иҭахын дааникылар иара. 	Судья хотел захватить его 
Нас идырт, иара дашимаз маӡала ацәыбза 	и узнал, что у него была тайная любовница. 
Абасала иара иԥиҟеит аӡӷаб лыхәда, 	Так что он перерезал девушке горло, 
Уаллас аибашьрахь иааԥхьаразы , 	чтобы вызвать Уоллеса на бой. 
Нас иара диԥхьеит. 	И он его вызвал. 
Ишидыруаз иара агәазыҳәараӷәӷәа шимоу ицәыӡыз ибзиабаҩ лахь 	Зная его страсть к потерянной возлюбленной 
Дара ирыӡбеит д-дырбаандаҩыртәыр, 	они решили захватить его, 
Ихьымӡӷыркит иаби иашьеи рнышәынҭрақәа, 	осквернили могилы его отца и брата, 
Нас иахаҩеит ибзиабаҩ лнышәынҭра. 	и оставили засаду на могиле возлюбленной. 
Аха иара дампыҵҵит ацәҟьа. 	Но он вырвался из ловушки 
Нас иеигоит аԥсыбаҩ уаҩы иахизымдыруа аҭыԥахь. 	и отнес ее тело в тайное место. 
Абри ауп абзиабара,ииашами? 	Вот это любовь, правда? 
Абзиабара? 	Любовь? 
Сара исыздыруам. 	Я не знаю. 
Иаарласны ашьапҩзы аҩадатәи ир, иҟалоит абра. 	Знаешь, в конце концов 
Иаарласны ашьапҩзы аҩадатәи ир, иҟалоит абра. 	Длинноногий пошлет свою северную армию против нас. 
Иҟалап акавалериа, ихашәҵа иара иҟнытә адгьыл ҵасоит. 	Тяжелая кавалерия, всадники в доспехах. Земля будет сотрясаться. 
- дара ҳара ҳақәырхоит. - Саб иашьа Аргаил исеиҳәон. 	- Он растопчет нас. - Дядя Аргил рассказывал об этом. 
Акавалериа хьынҭа ҳзаиааиуам ҳәа. 	Что ни одна армия не может выстоять против тяжелого всадника. 
- иҟаҳҵои нас? - Уис, уҩ, уҽыҵәах, ашьхаруаа рҽаҭахьы ражәахьа. 	- Так что нам делать? - Напасть. Убежать. Скрыться. 
Ҳара иҟаҳҵоит хыци-хымпали. 	Или сделать копья. 
Шәкыла хыци-хәымпалқәа аура ҩыџьа ауаа рышәара аҭаны. 	Сотни длинных копьев. Вдвое длиннее человека. 
- Убри аҟара иаунуу? - Ааи. 	- Такие длинные? - Да. 
Ауаа зегьы рышәага еиԥшым, аӡә даууп, даҽаӡәы дкьаҿуп. 	Так люди же разного роста. 
Уара уан дырҩагьых сара дсылацәажәозма? 	Что, твоя мама снова рассказывала истории про меня? 
Хатәгәаԥхаралауаа ааит . 	Добровольцы пришли. 
Уилиам Уалас, ҳара ҳааит ҳарҿагыларц насгьы ҳаԥсы ҭаҳхырц уара узы. 	Уильям Уоллес, мы пришли сражаться и умереть за вас. 
Сара папа рим сакәӡам, угыл. 	Встань. Я же не Папа Римский. 
Сара исыхьӡуп Форџьен. Сара саҳәа уара уаҳәоуп. 	Меня зовут Фодрон. Мой меч принадлежит вам. 
- абри, сара шәара, ишәзазгеит. - ҳара дара еимаҳдахеит. 	- Вот это я принес вам... - Мы уже обыскали их. 
Сара иаазгеит … 	Я привез вам это. 
- ҳара еилаҳкаахьеит, дара бжьарда иҟоуп. - Сара иузаазгеит …… ари сыԥҳәыс лоуп иҟазҵаз. - Иҭабуп. 	- Моя жена сделала для вас. - Спасибо. 
Убри! Уилиам Уалас иакәымхар ҟалап. 	Он! Этого не может быть. Уильям Уоллес. 
Сара иара иацкьыс сыгәкуп. 	Я красивее его. 
Ибзиоуп саб, сара сиазҵаауеит. 	Ладно, отец. Я спрошу его. 
Сара исоуеит аҭагылазаашьа имарианы Англызцәа рышьра, 	Если я буду рисковать своей шеей из-за тебя, 
Изгәаӷьыр схы уара узыҳәан? 	получу ли я шанс убить англичан? 
Уаб анаур деиԥшума ма анцәаду уиацәажәо? 	Твой отец призрак или ты беседовал с Всевышним? 
Иуаԥхнагалоу дуԥшаарц азын Аирландуаҩ мчымхарыла диацәажәароуп анцәа. 	Чтобы найти себе равного ирландцу приходится разговаривать с Богом. 
Ааи, саб. 	Да, Отец. 
Анцәа иҳәеит: 	Всевышний говорит: 
"иҳәа аҭак аҩсҭаа изҵаатәқәа, нас иумԥсахкәа аҵакы"! 	"Не меняйте тему, просто отвечайте на чертовы вопросы"! 
- Ашьшьыҳәа. - Аирланд бзамыҟәа! 	- Следи за языком. - Безумный ирландец! 
Аҟаруал ирывганы аҟама аиагара сылшазар, ишԥа саб. 	Но достаточно умен, чтобы пронести кинжал мимо твоих стражников. 
ари са дасҩызоуп, Аирланд. 	Это мой друг, ирландец. 
Аҭак уара узҵаара. Ааи. 	А ответ на твой вопрос - да. 
уареи сареи ҳарцеиҽагылоит. Англызцәа ушьлоит. 	Сражайся за меня и ты сможешь убить англичан. 
Даара ибзиоуп. 	Превосходно. 
Сара исыхьӡуп Сҭивен. 	Меня зовут Стивен. 
Зегьы рецкис изышьҭоу сара соуп. 	На моем острове меня повсюду разыскивают. 
Аиаша сара уажә сыдгьыл бжьаха аҽакәӡам сахьыҟоу. 	Конечно, сейчас я не на своем острове. 
- Ари рыцҳашьароуп. - Адгьыл бжьаха уара утәоума? 	- И очень жаль. - Твой остров? 
Ааи иара сара истәуп. 	- То есть Ирландия? - Да. Он мой. 
Ухы уақәиҭӡым. 	Ты безумец. 
Сааит иахьахәҭаз. 	Тогда я попал в нужное место. 
Анцәа ду сааишьҭит усыхьчарц уара. 	Конечно, не Всевышний послал меня следить за тобой. 
иара ахаангьы дысгәаԥхомызт. 	Он мне все равно не нравился. 
Иара ихы дақәиҭӡымызт. 	У него с головой было не в порядке. 
Уилиам … ҳара ҳаԥшыхәҩцәа 	Уильям. Наши гонцы. 
Уилиам … Англызцәа рыруаа азааигәахоит Стерлинг ахь. 	Англичане выдвинули войска на Стерлинг. 
Аамсҭцәа рҽеизырган. 	Дворяне собрались? 
Роберт Брус аиҳараҩык аамсҭцәа рҽазыршәом ақәылара. 	Роберт Брюс и прочие не будут сражаться. 
Уҳәан-сҳәан рылаҵәан, нас ирацәахеит ашьхарыуаа, 	Но известие распространилось. Горцы собираются сами по себе. 
шәҩыла, зқьҩыла. 	И они собираются сотнями и тысячами. 
Шәа шәмазеиума уқәларахь? Ааи. 	Вы готовы к войне? 
Стерлинг 	Стерлинг 
Ажәабжьс иҟои? 	Какие новости? 
Дара рацәаҩуп, еиҳарак хынтә. 	У них перевес сил минимум трое к одному. 
- Заҟа ҽы ыҟоузеи? - Хышә еиҳазаргьы ҟалап. 	- Сколько лошадей? - 300, может больше. 
- Хышә ҽы? - Ҳаиасып аицәажәарахь. 	- 300 тяжелых лошадей! - Мы должны попробовать поговорить. 
Дарбану еиҳабу?Хышә ҽы! Дара ирымоума ашеврон ҟаԥшь? 	Кто командует? У него был алый шеврон? 
- Дара ирымазар ҟалап ашәаҳәа? - Аии, сара исыԥхьаӡоит аицәажәарахь ҳаиасып ҳәа. 	- Да, был. - Тогда это Челтем. 
Иаҭахуп аицәажәара. 	Но мы еще можем договориться. 
Излацәажәои дара? 	О чем они говорят? 
Исаӡом, аха иубартә иҟоуп аус шбашоу. 	Я не слышу, но мне это не нравится. 
Дара аицәажәарахь инеиуеит. 	Знать будет договариваться. 
Еинаалар, аҩныҟа ҳцап. 	Они договорятся, и мы пойдем домой. 
Мап анакәха, ҳрыжәлоит. 	Если нет, мы атакуем. 
Ҳа иҳамаӡам имариоу ашанс. 	300 тяжелых лошадей. У нас нет шансов. 
Дара убасҟак ирацәоуп. 	Так много. 
Сара исҭахӡам сҭахар аамҭцәа ироурц адгьылқәа ирацәаны. 	Я пришел сюда сражаться не за то, чтобы они получили больше земель. 
Иашоуп. 	Тогда придется работать на них. 
Аӡәы ииҭахуп, 	Не хочу. 
дҭахарц абарҭ ахәымгақәа рзы. 	Ладно, ребята, я не буду умирать за этих ублюдков. 
Ҳгьежьып. 	Пошли домой. 
Шәаангыл, 	Стойте, люди! 
шәымцан, шәаангыл аицәажәара нҵәаанӡа. 	Не бегите! Подождите до конца переговоров. 
- Уилиам Уалас? - Агәрасызгом … дкьаҿцәоуп. 	- Уильям Уоллес! - Не может быть. Такой низенький. 
Анцәа ду ииҳәоит ари даара ибзиаӡоу қәылароуп. Иара еднакылт иреиӷьӡоу ауаа. 	Всевышний говорит, что это почетная битва. Она собрала лучших людей. 
Иабаҟоу аԥсшәа еибыҳәара? 	Где твое приветствие? 
Сара иҭабуп ҳәа шәасҳәоит, шәара абраҟа шәахцәырҵыӡ аибашьра адәаҟны. 	Благодарю тебя, что прибыл на поле боя. 
Ари ҳара ҳар ауп. Уара ҳаидыумҵаӡеит, 	Это наша армия. Принеси присягу, чтобы вступить в нее. 
Сара еидысҵеит Шоҭландиа. 	Я принес присягу Шотландии. 
Ари шәара шәыр акәзар, 	И если это твоя армия, 
изцози иара шьҭахҟа? 	почему она бежит? 
Аӡәгьы иҭахӡам дҭахар аамсҭцәа рзы. 	Мы пришли не для того, чтобы сражаться за них. 
ҳгьежьып, англызцәа рацәаҩуп. 	Домой. Англичан слишком много. 
Шоҭландиа аԥацәа! Сара Уилиам Уалас соуп. 	Сыновья Шотландии! Я - Уильям Уоллес. 
- Уилиам Уалас 2-метрак деиҳауп. - Ааи исаҳаит. 	- Уильям Уоллес ростом два метра. - Да, я слышал. 
иршоит шәаҩыла аӷацәа. 	Он сотнями убивает людей. 
Иара абра дыҟазар, иқәихон Англызцәа лаԥшыла, 	Если бы он был здесь, он бы истребил англичан одним взглядом 
нас идәықәиҵон амацәыс еиԥш иашьҭахь ала. 	и громом от своего зада. 
Сара Уилиам Уалас соуп. 	Я и есть Уильям Уоллес! 
Сара избоит ар дуӡӡа, дара зегьы сыуаажәлар роуп, 	И я вижу целую армию моих соотечественников, 
изыӡбыз аиуара атераниахь. 	борцов с тиранией. 
Шәара шәааит ақәԥара зхы иақәиҭу ауаа реиԥш, 	Вы пришли сражаться, как свободные люди. 
шәарҭ ус шәагьыҟоуп. 	Вы и есть свободные. 
Ахақәиҭрада ҳара ҳбашоуп. 	Что вы будете делать без свободы? 
Шәара шәаҽагылома? 	Будете сражаться? 
Мап … ҳара иаҳҭахӡам аибашьра. 	Против них? Нет. 
Мап. Ҳара ҳабналоит, ҳаԥсы ҭазаауеит. 	Мы убежим и выживем. 
Уқԥа. уара иҟалоит уԥсыр. 	Да. Сражайтесь и можете погибнуть. 
Убнал, уԥсы ҭазаауеит. 	Бегите и выживете. 
аамҭанык. 	Какое-то время. 
Акыр аамҭа анҵлак шәанԥсуа шәиарҭаҟны, 	Но умирая в своих кроватях, много лет спустя, 
шәара ишәҭаххоит арханҳәра, 	захотите ли вы обменять 
арҭ ашықәсқәа зегьы, 	все дни после сегодняшнего 
шанск азы, еидкыланы шанск азоуп. 	на один шанс, всего один шанс, 
шәара шәгежьны ирашәҳәа ҳаӷацәа, 	чтобы вернуться сюда и сказать врагам, 
ахаангьы ҳаԥсҭазаара ҳамырхыргьы 	что они могут забрать наши жизни, 
ахақәиҭра шәызҳамхӡом. Ахақәиҭра … Ахақәиҭра ҳара ҳхақәиҭра … Шоҭландиа ахақәиҭра. 	но не смогут забрать нашу свободу. 
Дара ирымоуп агәыӷра. 	Они весьма оптимистичны. Может они и впрямь хотят сражаться. 
Иҟалоит аибашьра. Аидыслара хымԥада иҟалоит, 	Столкновение - это неизбежное следствие. 
шәхаҵкы, аха зны ираҳәатәуп акрал игәазыҳәарақәа. 	Но, тем не менее, нам стоит доставить условие короля. 
Сара агәра згоит дара ирыдыркылаӡом иара игәазыҳәарақәа. 	Они никогда не согласятся на них. 
Шәхаҵкы. Сара сгәы иаанагоит … 	Мой господин, я думаю... 
Аеи нас шәҽазышәшәа, аидгалара 	Ну ладно. Предложите им условия. 
Сгәанала ҳарԥылароуп дара. Азин сышәҭ сара сцәажәоит. 	- Они выехали. Поехать им навстречу? - Позволь мне вести переговоры. 
Ибзиоуп. 	Хорошо. 
Даара ибзиоуп ицәажәара, 	Прекрасная речь. 
нас уажәжьҭа иҟаҳҵои? 	Что нам теперь делать? 
Ҳаанхап ҳа ҳшыҟоу. 	Просто быть самими собой. 
- Уабацои уара? - Исҭахуп аидыслара сыдыскылар. 	- Куда ты? - Собираюсь принять бой. 
Исҭахуп среисыр. Нас баша ҳҽеилаҳамҳәеит. 	Ну, мы же не просто так раскрасились. 
Морне, Локлан, Крег. 	Морней, Лохлан, Крейг. 
Ари акрал игәазыҳәароуп, 	Вот условия короля. 
иқәжәга шәыр аибашьра адәы аҟнытә. 	Уведите свою армию с поля, 
Нас шәыззагьы ишәоуеит адгьылқәа Иокшер аҿы. 	и каждому из вас он пожалует поместье в Иоркшире, 
Насгьы шьҭралатәи атитулқәа. Убри азыҳәан … 	включая наследный титул, с которого вы будете платить... 
- Убри азыҳәан, аҟәрышь ахшәаатәуп есышықәса. - Сара исымоуп ажәалагала, 	- С которого вы будете платить... - У меня есть предложение. 
Челҭон. Ари Уилиам Уалас … 	Челтем, это Уильям Уоллес. 
шәара есышықәса аҟәрышь ишәҭалоит акрал. 	С которого вы будете платить королю... 
- Сара исымоуп, сҳәеит ажәалагала. 	- Я сказал, у меня есть предложение. 
Пату ақәуҵаӡом уара аиналара абираҟ. 	- Ты не уважаешь знамя переговоров. 
Абри икрал иҟнытә? Зынӡа. 	От его короля? Совершенно верно. 
Абар Шоҭландиа агәазыҳәарақәа. 	Вот условие шотландцев. 
Илашәышьҭ абираҟқәа. Нас шәханҳәы Англиаҟа, 	Опустите ваши флаги и отправляйтесь обратно в Англию. 
ҩныцыԥхьаӡа шәнеины аҭамзаара шьҭашәҵа, 	Но у каждого дома, мимо которого будете проезжать, 
шәышықәсатәи шәқәыларақәеи, аҳәса рцәаԥҽреи, ауаҩшьрақәеи рзы. 	просите прощения за 100 лет разбоя, насилия и убийств. 
Убас иҟашәҵар шәыр рыԥсы ҭазаауеит, 	Выполните это, и ваши люди выживут. 
иҟашәымҵар зегьы абра шәыԥсоит. 	Не выполните, и каждый из вас сегодня погибнет. 
Шәара даара шәмаҷуп. Шәара ишәымаӡам ихьанҭу ковалериа. 	Вас же слишком мало. И у вас нет тяжелой кавалерии. 
Ҩышә шықәса рыла зныкгьы шәзымаиааиӡит. 	За два столетия ни одна армия не побеждала... 
Сара саламгаӡацт, 	Я не закончил! 
шәара шәоуҳашьҭаанӡа, 	Перед тем, как мы отпустим вас, 
шәеиҳабы абри адәы дахысны ҳар рҽаԥхьа 	ваш командующий должен перейти это поле, предстать перед этой армией, 
даагыланы ихы кылеиҳәоит итәаӷәбжьара, нас иаҳә дагәӡоит. 	засунуть голову себе между ног и поцеловать себя в зад. 
Иара дашьццылаӡам ари аҩыза ихьшәашәадкылара. 	Думаю, он привык к более сердечному обращению. 
Шәгәашәҽаныз абас аҟаҵара … сара сдырраҭарала, 	Будьте готовы делать то, что я скажу, по моему сигналу. 
шәара Англызцәа шәрывсны шәнеиоит дара ахьыҟоу. 	Объезжайте нашу позицию и заходите с фланга. 
- ҳәара ҳамчқәа еиҟәшәар ҟалаӡом. - Иҟашәҵа. 	- Мы не должны разделять войска. - Сделайте это. 
Нас англызцәа убри рбааит. 	И пусть англичане это заметят. 
Ҳаҩны ҳца џьыршьоит. 	Они подумают, что мы бежим? 
ижәга ахымпалы аршәҩцәа, сара сшәызԥшызаауеит. 	Затем уничтожьте их лучников. Встретимся посередине. 
Ибзиоуп. Ҳдәықәшәҵа. 	Хорошо. Поехали. 
Цәгьаԥхамшьа. Исзажәга абра Уалас игәы ҭыхны. 	Кичливый ублюдок! Я хочу голову этого Уоллеса на блюде. 
Ахыци ахымпалы ахысыҩцәа, ахыци ахымпалы ... 	Лучники. 
ахысыҩцәа! 	Ублюдки! 
ԥхьаҟа. Шәиас ԥхьаҟа. 	Пускай. 
ҳазшаз иҳәеит салахоит абри аханҭа-ҩынҭара. 	Господь подсказывает мне, что он выведет меня из этой стычки, 
Уара уашәа нагӡоуп. 	но еще он уверен, что ты псих. 
шәықәҵ. 	Готовы? Пускай! 
Шәыҩ. 	Скачите. 
Ажәлар ижәба Ашоҭландцәа иқәҵны ацара ишаҽу. 	Видите? Даже шотландские всадники бегут. 
Ҳара ҳкавалериа ирыцҟьоит дара аҳаскьын ҿа еиԥш. 	Наша кавалерия стопчет их как траву. Посылайте конницу. 
ишәшьҭы аҽыҩцәа. Инагӡаны ажәылара шәалага. Аҽыҩцәа ԥхьаҟа 	Полная атака. 
Шәыҽшәырмазеи! 	Готовьтесь! 
ҳаԥшуп! 	Держись! 
ҳаԥшуп! 	Держись! 
ҳаԥшуп! 	Держись! 
ҳаԥшуп! 	Держись! 
шәалааа! 	Взяли! 
- ашьаҟауаа шьҭы. - шәхаҵкы ... 	- Посылайте пехоту. - Мой господин... 
уара ԥхьаҟа иугоит. 	Ты поведешь их. 
Ашьаҟауаа шәҽазыҟашәҵа. Ҳарԥырҵоит 	Отступаем! 
алахша! 	Ублюдок! 
ԥхьаҟа! 	Вперед! 
даара ибзиоуп. 	Отлично. 
Уалас. 	Уоллес. 
Уалас, Уалас… 	Уоллес. 
еизыккоит Уилиам Уалас иаамсҭара, 	Посвящаю тебя в рыцари, 
Аамсҭа Уилиам Уалас. 	сэр Уильям Уоллес. 
Аамсҭа Уилиам! Анцәа ихьӡала 	Сэр Уильям, именем Господа 
уара иуаҭәаҳшьоит Шоҭландиа еиқәырхаҩык, 	мы назначаем тебя стражем и высоким защитником Шотландии, 
иасгьы хьчаҩык еиԥш. 	а твоих военачальников адъютантами. 
шәгыл уи ус иҟалоит. 	Вставай и прими свое звание. 
Аӡәыр идыруама иара игәаанагара? 	Кто-нибудь знает его политику? 
Мап, аха иара инырра ауаа рышҟа зегьы рзы иаанагоит аиҭакапанра. 	Нет, но его влияние на простолюдинов может все расстроить. 
Ирҭахымкәа иара икәхшалоит, иара ҳаргьы. 	Балиоль будет целовать ему задницу, так что нам тоже придется. 
Аамсҭа Уилиам! Аамсҭа Уилиам! 	Сэр Уильям. 
уареи уара ур уааи аобласть аҟнытә 	Так как ваши военачальники и вы происходите из района, 
ажәытә-натә аахишьҭеи идгалаҩцәа клан Балио, 	который давно поддерживал клан Балиолей, 
Ҳара иҳалшома шәара шәыцхыраара насгьы наҟ-наҟ 	можем ли мы пригласить вас возобновить поддержку 
ҳара ҳаԥҟарақәа аанхарц азы. 	и поддержать наши законные притязания? 
Аҩсҭаацәа дырфааит Балиоли. Дара ашьапҩзы ицааит. 	Черт побери клан Балиолей! Они все люди Длинноногого. 
Шәхацкы! 	Джентльмены. 
- Иааит аамсҭа. - ихьӡ ҳәара акрал. 	- Джентльмены. - Пришло время провозгласить короля. 
Мап, мап. Шәаангыл. Иаанагоит шәара шәазыхҩоуп азакәан аԥҟара адкылара ҳара ҳаицлабҩы. 	Подождите. Вы готовы признать наше законное наследие? 
- Шәара енагь азакәан аԥҟарақәа шәырҽагылан. 	- Вы не поддержали законного короля. 
- уа иану уи имцӡами? 	- Это ложь, которую ты сам состряпал. 
О мап. 	Нет. 
- Уа зегь иашоуп. Сара сгәы азыҳәара рацәоуп. - Абарҭ ашәҟәқәа рышьақәргылара. Уа зегь мцуп. Шәара зегьы жәдыруеит. Зегь мцуп. 	- Я требую признания документов. - Ты сам состряпал эту ложь. 
Сшәыҳәоит иҟалозар шәхацкы. 	Пожалуйста, джентльмены. 
Шәангыл аамсҭа Уилиам. Шәабацои? 	Тише. Сэр Уильям. Куда вы? 
Ҳара иаҳҟәыбеит Англызцәа, 	Мы победили англичан. 
аха дара гежьоит. Шәара аидгылара ишәҭахӡам. 	Но они вернутся, потому что вы не держитесь друг за друга. 
- Шәара ишәҭахи? - Сара Англиаҟа сцаны, 	- Что вы сделаете? - Я вторгнусь в Англию 
нас дара убра инсырҵәоит. 	и уничтожу англичан на их земле. 
Изалыршахом уахь анеира, ааи! 	Вторжение? Это невозможно. 
Иуазеи изаламыршахәа? 	Почему? Почему это невозможно? 
Шәарҭ шәахӡыӡаауеит, шәазықәԥоит ахәаша аишәа аҟнытә ииршәо ашьапҩзы, 	Вы так озабочены ссорами за объедки со стола Длинноногого, 
ишәхашҭит азин анцәа ду ишәиҭаз. 	что вы променяли ваше Богом данное право на что-то получше? 
Убри ауп ҳара ҳазмырҩашьуа. 	Между нами есть разница. 
Шәара шәтәала ажәлар 	Вы считаете, что народ Шотландии существует, 
шәҭагылазаашьа еибырҭоит, 	чтобы поддерживать вас в вашем положении. 
аха сара уисыԥхьаӡоит шәҭагылазаашьа иҟоу 	А я считаю, что ваше положение существует, 
ианаҭоит ажәлар ахақәиҭра. 	чтобы поддерживать свободу народа. 
Иара убри азоуп сара сызцо убрахь. 	И я позабочусь, чтобы она у него была. 
Ииҳәо закәи? Иара зынӡаск ихы еилагеит. 	Постой. 
Шәаангыл! Сара шәеилыскаауеит. 	Я уважаю то, что ты сказал, 
Аха ишәхашәмыршҭын дара ирымоу адгьылқәеи абаашқәеи, 	но пойми, у этих людей есть земли и замки. 
дара рзыҳәан ари агәаӷьроуп. 	Им есть чем рисковать. 
Аибашьра адәаҟны ауаҩ агәаӷьра 	А простолюдин, который истекает кровью в бою, 
имоу маҷума? 	разве он меньше рискует? 
Мап … аха ахдырра ари атәылаҟны зынӡа иамаӡам. 	Нет, но сверху донизу в этой стране нет чувства достоинства. 
Аҭауадеи Англиеи аимадара рыбжьоуп, 	Знать сохраняет верность Англии. 
- ажәлақәа еибашьоит дара-дарала. - Ааи. 	- Кланы воюют друг с другом. - Да. 
Рыҩџьа рыбжьара иҟалар аӷацәа, шәара шәыԥсуп. 	Если ты создашь врагов по обе стороны границы, ты погибнешь. 
Нас ҳаззагьы ҳаԥсоит. Азҵаара ишԥа нас иззакәи? 	Все в конце концов погибнут. Вопрос только как и зачем. 
Сара сшәаӡом. Сара ара исҭахуп 	Я не трус, я хочу того же, что и ты. 
аха аҭауадцәа иаҳҭахуп. 	Но нам нужна знать. 
- Ииашану? - Аеи. 	- Нужна? - Да. 
аҭауадцәа. Иселшәыркаа дазусҭада аҭауад? 	А теперь скажи мне, что значит быть благородным? 
Шәара шәтитул ишәнаҭоит азин апрестол ахь анеира. 	Твой титул дает право на трон нашей страны, 
Зегь рацкьыс ихадоуп атитулқәа, 	но ведь люди не идут за титулами. 
ажәлар дәыкәлоит ахаҵарахь. 	Они идут за смелостью. 
Ажәлар шәырдыруеит шәара. Ауаа башақәеи аҭауадцәеи ишәхьԥшны 	Теперь наши люди знают тебя. Знать и простые люди уважают тебя. 
ицозар аиаша мҩахь насгьы аҭынчра мҩа ахь, 	Если ты поведешь их к свободе, 
дара имхәыцӡакәа ишәышьҭаланы ицоит, 	они последуют за тобой. 
иара саргьы сцоит. 	И я тоже. 
Аҩсҭаа … аҩсҭаа … ари сахәшьаԥа амаҳагьа ииҩоит 	Черт возьми. Этот содомит, мой кузен принц, говорит, 
