Аԥсны Аҳәынҭқарра Аконституциа.	Конституция республики Абхазия.
Аԥсны Ахада иалхшьеи, иалхра аҿҳәареи шьақәыргылахоит конституциатә закәанла.	Порядок и сроки выборов Президента Республики Абхазия устанавливаются конституционным законом.
Аԥсны Ахада имаҵура данахагыло, Аԥсны Жәлар Реизараҿы ҭоуба иуеит Иреиҳаӡоу Аӡбара аӡбаҩцәа адԥхьаланы. Аҭоуба атекст Жәлар Реизара ишьақәнарӷәӷәоит.	При вступлении в должность Президент Республики Абхазия приносит в Парламенте Республики Абхазия в присутствии членов Верховного Суда присягу, текст которой утверждается Парламентом.
Аԥсны Ахада изинмчхарақәа неигӡонаҵы, аполитикатә партиақәеи ауаажәларратә хеидкыларақәеи иҽрылаирхәуам.	На время выполнения своих полномочий Президент Республики Абхазия приостанавливает свое членство в политических партиях и общественных объединениях.
Аԥсны Ахада Жәлар Реизара дадепутатӡам, аҳәынҭқарратә, ауаажәларратә усбарҭақәа ирыҵаркәа иарбанзаалак даҽа маҵурак идикылар ҟалом, ахаԥшьгаратә налаҵаны.	Президент Республики Абхазия не является депутатом Парламента и не может занимать никакие другие должности в государственных и общественных органах, предпринимательских структурах.
Аԥсны Ахада ишьақәыргылоу аҿҳәарақәа раан иусуразы ианашьахоит иџьабааԥса Аԥсны Аҳәынҭқарра аҟынтә.	Президент в установленные сроки получает за свою службу денежное вознаграждение, выплачиваемое Республикой Абхазия.
Аԥсны Ахада:	Президент Республики Абхазия:
дырхылаԥшуеит ауаҩы изинқәеи ихақәиҭрақәеи, Аконституциеи Аԥсны азакәанқәеи, уи ажәларбжьаратә хыдҵақәеи рынагӡашьа;	обеспечивает соблюдение прав и свобод человека, Конституции и законов Республики Абхазия, ее международных обязательств;
иҳәаақәиҵоит аҩнуҵҟатәи, адәныҟатәи аполитика ахырхарҭа хадақәа;	определяет основные направления внутренней и внешней политики;
аҳәынҭқарра дахаҭарнакуп ажәларбжьаратә усқәа рҟны;	официально представляет государство в международных делах;
инапы рыҵаиҩуеит аҳәынҭқаррабжьаратә еиқәшаҳаҭрақәа;	подписывает межгосударственные договоры;
имҩаԥигоит Аԥсны ашәарҭадареи аҳәаақәа рыламкьысреи рзы иаҭаху аусқәа, еиҿикаауеит, хадарагьы азиуеит зыстатус закәанла иҳәаақәҵахо Ашәарҭадара Асовет;	принимает меры по обеспечению безопасности и территориальной целостности Республики Абхазия, формирует и возглавляет Совет Безопасности, статус которого определяется законом;
ишьақәирӷәӷәоит Аԥсны аибашьратә доктрина;	утверждает военную доктрину Республики Абхазия;
Аԥсны Ар ԥызас дрымоуп;	является главнокомандующим Вооруженных Сил Республики Абхазия;
аҳәаанырцәтәи аҳәынҭқаррақәеи жәларбжьаратәи еиҿкаарақәеи рҟны Аԥсны адипломатиатә хаҭарнакцәа ықәиргылоит, ирхынҳәуеит;	назначает и отзывает дипломатических представителей Республики Абхазия в иностранных государствах и международных организациях;
ишьақәирӷәӷәоит аҳәынҭқарратә, аекономикатә, асоциалтә, акультуратә, амилаҭтә ҿиара апрограммақәа;	утверждает программы в области государственного, экономического, социального, культурного и национального развития;
Аԥсны иахьаҵанакуа иалиршоит афинанстә, акредиттә политикеи, анаука, аҵараиура, акультура, агәабзиара, аекологиа, асоциалтә еиқәшәара ирыдҳәалоу аполитикеи рымҩаԥгара;	обеспечивает проведение на территории Республики Абхазия финансовой, кредитной политики, политики в области науки, образования, культуры, здоровья, экологии, социального обеспечения;
иалиршоит атәылауаҩра, ахатә мал азыҟазаашьақәа, абиуџьет-финанстә система, ашәахтәқәҵара, иааҳакәыршан иҟоу аԥсабара ахьчара, аҳәынҭқарратә маҵура рызҵаарақәа иаку рзакәанԥҵаратә мҩақәҵара;	обеспечивает единство законодательного регулирования вопросов гражданства, отношений собственности, бюджетно-финансовой системы, налогообложения, охраны окружающей среды, государственной службы;
Жәлар Реизара аилатәарақәа рылатәара азин имоуп, ианааиҭаххо аамҭазгьы ажәа иҭалатәуп;	имеет право присутствовать на сессиях Парламента, ему должно быть предоставлено слово в любой момент по его требованию;
атәылауаа ршәарҭадара ахьчаразы, азакәан инақәыршәаны Аԥсны иалеигалоит а3ыдаҭагылазаашьеи аибашьратә ҭагылазаашьеи, убри анаҩс урҭ аҭагылазаашьақәа Жәлар Реизара ишьақәнарӷәӷәоит;	в интересах обеспечения безопасности граждан вводит в соответствии с законом чрезвычайное и военное положение в Республике Абхазия с последующим утверждением Парламентом;
Аԥсны Жәлар Реизараҿы иара изинмчхарақәа инарықәыршәаны иқәиргылоит Амилаҭтә банк Ахантәаҩи, Апрокурор Хадеи, егьырҭ амаҵурауааи ркандидатурақәа, иара убас Жәлар Реизара иалеигалоит урҭ рхы рақәиҭтәра азҵаарагьы;	представляет в Парламент Республики Абхазия на избрание кандидатуры Председателя Национального банка, Генерального прокурора, других должностных лиц в соответствии со своими полномочиями, а также входит в Парламент с представлениями об их освобождении;
ишьақәиргылоит Жәлар Реизарахь алхрақәа рымҩаԥгара;	назначает выборы в Парламент Республики Абхазия;
амаҵура иеиҭоит иагьамихуеит Аԥсны ақалақьқәеи араионқәеи рҟны анагӡаратә мчра ахадацәа;	назначает и освобождает глав исполнительной власти в городах и районах Республики Абхазия;
дрыхәаԥшуеит анагӡаратә мчра аусбарҭақәа реиҿкаареи русушьеи рызҵаарақәа;	рассматривает вопросы об организации и деятельности органов исполнительной власти;
аминистррақәа, аусҳәарҭақәа, араионқәа, ақалақьқәа рхадацәа, иара убас аҭыԥантәи ахаланапхгара рынҵақәа аԥихуеит, урҭ Аԥсны Аконституциеи азакәанԥҵареи ирҿагылозар;	отменяет акты министерств и ведомств, глав исполнительной власти городов и районов, а также органов местного самоуправления, в случае противоречия этих актов Конституции и законодательству Республики Абхазия;
ирылеиҳәоит ареферендум ихаԥшьгарала, Жәлар Реизареи Аԥсны Иреиҳаӡоу Аӡбареи рыдҵала, азакәан ишаҳәо инақәыршәаны;	назначает референдум по собственной инициативе, по требованию Парламента, а также Верховного Суда Республики Абхазия в порядке, установленном законом;
Жәлар Реизарахь инеигоит атәылаҿы ҭагылазаашьас иҟоуи, Аҳәынҭқарра аҩнуҵҟатәи, адәныҟатәи аполитика ахырхарҭа хадақәеи ртәы зҳәо есышықәсатәи анашьҭымҭақәа, инеигоит аҳәынҭқарратә биуџьетӡбатәқәеи, уи анагӡара иазку аҳасабырбеи;	обращается к Парламенту с ежегодными посланиями о положении в стране, об основных направлениях внутренней и внешней политики государства, представляет проекты государственного бюджета и отчет об его исполнении;
азин имоуп Жәлар Реизара изаамҭаным аилатәарақәа рааԥхьара;	имеет право требовать созыва внеочередных заседаний Парламента;
иӡбоит азакәан инақәыршәаны Аԥсны атәылауаҩра азҵаарақәа;	решает в соответствии с законом вопросы гражданства Республики Абхазия;
иалиршоит ахара анажьра;	осуществляет помилование;
иранеишьоит аҳәынҭқарратә ҳамҭақәа, ириҭоит аҳаҭыртә, арратә иара убас и3ыдоу ахьыӡлкаақәа;	награждает государственными наградами, присваивает почетные, воинские и специальные звания;
ишьақәиргылоит астандартқәа, аеталонқәа, акапанреи ашәага-загеи ракқәа;	устанавливает стандарты, эталоны, единицы весов и мер;
инеигӡоит Аконституциеи Аԥсны азакәанқәеи идырҵо егьырҭ азинмчхарақәа.	осуществляет иные полномочия, возложенные на него Конституцией и законами Республики Абхазия.
Аԥсны Ахада дицалырхуеит уи Ихаҭыԥуаҩгьы. Аԥсны Ахада Ихаҭыԥуаҩ икандидатура ықәиргылоит Аԥсны Ахада иҭыԥ ахь кандидатс иҟоу.	Одновременно с Президентом Республики Абхазия избирается Вице-президент Республики Абхазия. Кандидатуру Вице-президента Республики Абхазия предлагает кандидат в Президенты Республики Абхазия.
Аԥсны Ахада Ихаҭыԥуаҩыс далхзар ҟалоит алхра азин змоу, 3џ-шықәса иреиҵам, қџ-шықәса иреиҳам Аԥсны атәылауаҩ.	Вице-президентом может быть избран гражданин Республики Абхазия не моложе 35 и не старше 65 лет, обладающий избирательным правом.
Аԥсны Ахада Ихаҭыԥуаҩ, изинмчхарақәа неигӡонаҵы, аполитикатә партиақәеи ауаажәларратә хеидкылақәеи иҽрылаирхәуам.	На время выполнения своих полномочий Вице-президент Республики Абхазия приостанавливает свое членство в политических партиях и общественных объединениях.
Аԥсны Ахада Ихаҭыԥуаҩ Жәлар Реизара дадепутатӡам, иарбанзаалак егьырҭ аҳәынҭқарратә, ауаажәларратә усбарҭақәа ирыҵаркуа маҵурак дахагылар ҟалом, аиҿырцааратәқәагьы налаҵаны.	Вице-президент Республики Абхазия не является депутатом Парламента и не может занимать никакие другие должности в государственных и общественных органах, предпринимательских структурах.
Аԥсны Ахада Ихаҭыԥуаҩ ианашьахоит иџьабааԥса, уи иазыԥҵәоу аамҭақәа инарықәыршәаны, Аԥсны Аҳәынҭқарра аҟнытә.	Вице-президент в установленные сроки получает за свою службу денежное вознаграждение, выплачиваемое Республикой Абхазия.
Аԥсны Ахада Ихаҭыԥуаҩ Аԥсны Ахада идҵала инаигӡоит уи инапынҵақәак, Аԥсны Ахада диԥсахуеит, уи даныҟам ма иусқәа рынагӡара анилымшо.	Вице-президент Республики Абхазия осуществляет по поручению Президента отдельные его поручения, замещает Президента в случае его отсутствия и невозможности осуществления им своих обязанностей.
Атәыла зегьы аҿы анагӡаратә мҩаԥгатәқәа азеиԥш хылаԥшра рыҭаразы Аԥсны Ахада Аԥсны Аминистрцәа Реилазаара напхгара азиуеит.	Для осуществления общего руководства исполнительной деятельностью на всей территории страны Президент Республики Абхазия руководит Кабинетом Министров Республики Абхазия.
Аминистрцәа Реилазаара шьақәиргылоит Аԥсны Ахада, уи иара инапаҵаҟагьы иҟоуп.	Кабинет Министров формируется Президентом Республики Абхазия и ему подотчетен.
Аминистрцәа Реилазаара иалахәуп Аԥыза-министр, Аԥыза Ихаҭыԥуаа, Аминистрцәа, закәанла иазгәаҭоу егьырҭ амаҵурауаа.	В состав Кабинета Министров входят Премьер-министр, Вице-премьеры, министры, другие должностные лица, предусмотренные законом.
Аԥсны Аминистрцәа Реилазаара ишынеибаку ма уи иалахәу џьоукы рмаҵура ааныжьра азин рымоуп.	Кабинет Министров Республики Абхазия в полном составе, либо его отдельные члены имеют право на отставку.
Амаҵура ааныжьра Аԥсны Ахада иҿаԥхьа иқәдыргылоит. Уи азин имоуп идикылар ма мап ацәикыр.	Отставка представляется Президенту Республики Абхазия, который вправе либо принять, либо отклонить ее.
Аԥсны Жәлар Реизара Аминистрцәа Реилазаара иалоу руаӡәк иахь агәрамгара аанарԥшыр, усҟан уи азҵаара Аԥсны Ахада иҿаԥхьа иқәнаргылар алшоит. Азҵаара ҵыхәаԥҵәала изыӡбогьы Аԥсны Ахада иоуп.	Парламент Республики Абхазия может выразить недоверие отдельному члену Кабинета Министров и внести этот вопрос Президенту Республики Абхазия, решение которого является окончательным.
Аԥсны Аминистрцәа Реилазаара аиҿкаареи аусуреи ҳәаақәҵахоит конституциатә закәанла.	Организация и деятельность Кабинета Министров Республики Абхазия определяются конституционным законом.
Аԥсны Ахада изинмчхарақәа рхархәара залшом Аконституциатә шьақәгылашьа аԥсахразы, закәанла иалху егьырҭ аҳәынҭқарратә мчра аусбарҭақәа реимырпразы ма русура аанкыларазы.	Полномочия Президента Республики Абхазия не могут быть использованы для изменения конституционного строя, роспуска или приостановления деятельности других законно избранных органов государственной власти.
Аԥсны Ахада, иара изинмчхарақәа рҳәаақәа дырҭымҵкәа, аус зуа азакәанԥҵара ашьаҭала, насгьы уи анагӡарала иҭижьуеит Аԥсны ахьынӡанаӡааӡо амч змоу аусԥҟақәеи адҵақәеи.	В пределах своих полномочий Президент Республики Абхазия на основе и во исполнение действующего законодательства издает указы и распоряжения, имеющие обязательную силу на всей территории Республики Абхазия.
Аконституциеи Аԥсны азакәанқәеи ирықәымшәо Аԥсны Ахада иқәҵарақәа аԥыхзар ҟалоит Аԥсны Иреиҳаӡоу Аӡбара ақәҵарала.	Решения Президента Республики Абхазия, не соответствующие Конституции и законам Республики Абхазия, могут быть отменены решением Верховного Суда Республики Абхазия.
А3ыда ҭагылазаашьеи, аԥсабаратә рыцҳарақәеи, аибашьрақәеи раан Аԥсны Ахада азин имоуп иҭижьыр азакәан мчы змоу, хымԥада иаарласӡаны инагӡатәу, иара убри аамҭазыҵәҟьа Жәлар Реизарахь инацҳатәу ақәҵарақәа.	В период чрезвычайного положения, стихийных бедствий, военных действий Президент Республики Абхазия вправе издавать декреты, обладающие силой закона и обязательные к незамедлительному исполнению с одновременным сообщением об этом Парламенту Республики Абхазия.
Аԥсны Ахада ихаҭара лакьысра ақәым. Аԥсны Ахада ихьӡ-иԥшеи иаҳаҭыри азакәан иахьчоит.	Личность Президента неприкосновенна. Честь и достоинство Президента охраняются законом.
Аԥсны Ахада иҭоубеи, Аконституциеи, Аԥсны азакәанқәеи еилеигар, имаҵура дамхзар алшоит.	В случае нарушения Президентом Республики Абхазия данной им присяги, Конституции и законов Республики Абхазия, он может быть отстранен от должности.
Абри аҩыза ақәҵара аднакылоит Аԥсны Жәлар Реизара, Аԥсны Иреиҳаӡоу Аӡбара аихшьала шьаҭас иҟаҵаны, Жәлар Реизара адепутатцәа рзеиԥш хыԥхьаӡара аҟнытә ахԥа рыҩхәҭак ирыҵаркуа еиҳау бжьыла, маӡа бжьыҭирала.	Такое решение принимается Парламентом Республики Абхазия на основании заключения Верховного Суда Республики Абхазия большинством в две трети голосов от общего числа депутатов Парламента Республики Абхазия тайным голосованием.
Аԥсны Ахада ианааиҭахыу аамҭазы имаҵура аанижьыр илшоит. Имаҵура ааныжьра азҵаара аӡбоит Аԥсны Жәлар Реизара. Аӡбара рыдыркылоит ахԥа рыҩхәҭак ирыҵаркуа абыжьқәа рыла.	Президент Республики Абхазия в любое время может подать в отставку. Вопрос об отставке решается Парламентом Республики Абхазия. Решение принимается квалифицированным большинством.
Аԥсны Ахада дамырхыр, иԥсҭазаара далҵыр, имаҵура нижьыр ма изинмчхарақәеи иусқәеи рынагӡара илымшар, урҭ иусқәа ыиасуеит Аԥсны Ахада Ихаҭыԥуаҩ иахь. Аԥсны Ахадагьы, уи Ихаҭыԥуаҩгьы рмаҵура иамырхыр, иԥсыр, рмаҵура аанрыжьыр, ма Аԥсны Ахада иусқәа рынагӡара рылымшар, урҭ аусқәа ыиасуеит Аԥсны Аԥыза-министр иахь. Аԥсны Ахада иусқәа рынагӡара ари ахәҭа3 аҿы еиқәыԥхьаӡоу аӡәгьы илымшар, урҭ аусқәа ыиасуеит Жәлар Реизара Аиҳабы иахь.	В случае отстранения Президента от должности или его смерти, отставки либо неспособности осуществлять полномочия и обязанности Президента, таковые переходят к Вице-президенту Республики Абхазия. В случае отстранения, смерти, отставки или неспособности как Президента, так и Вице-президента осуществлять обязанности Президента, таковые переходят к Премьер-министру Республики Абхазия. В случае невозможности ни одним лицом, перечисленным в настоящей статье, исполнять обязанности Президента, таковые переходят к Спикеру Парламента.
Аԥсны Ахада иусқәа назыгӡо ауаҩы изинмчхарақәа амч рымоуп, Аԥсны Ахада иусқәа рынагӡара илзмыршо амзызқәа аԥыххаанӡа, ма Аԥсны Ахада ҿыц далырхаанӡа.	Полномочия лица, исполняющего обязанности Президента, действуют до устранения причин неспособности Президентом выполнять свои обязанности или до выборов нового Президента.
Аԥсны Ахада ҿыц иалхрақәа мҩаԥгахароуп хымыз рыҩнуҵҟала. Убысҟан Аԥсны Ахада иусқәа назыгӡо азин имаӡам ареферендум рылаҳәара, Аԥсны Аконституциа арҽеирақәеи аиҭахәаԥшреи ирызку ажәалагалақәа рықәыргылара.	Выборы нового Президента должны быть проведены в трехмесячный срок. При этом лицо, исполняющее обязанности Президента, не имеет права назначать референдум, а также вносить предложения о поправках и пересмотре положений Конституции Республики Абхазия.
Ахәбатәи ахы. аӡбаратә мчра	Глава 5. судебная власть
Азинӡбара Аԥсны иназыгӡо аӡбара мацароуп.	Правосудие в Республике Абхазия осуществляется только судом.
Анхамҩатә еимакрақәа еилнаргоит Аиныршәаратә ӡбара.	Хозяйственные споры разрешает Арбитражный суд.
Аӡбареиҿкаара Аԥсны ишьақәыргылахоит конституциатә закәанла.	Судоустройство в Республике Абхазия устанавливается конституционным законом.
ӡбаҩцәас иҟалар рылшоит 2ҵ-шықәса зхыҵыз, иреиҳаӡоу азинҵара иалгахьоу, азинтә занааҭла хәы-шықәса иреиҵамкәа аусура аԥышәа змоу Аԥсны атәылауаа. Аԥсны Аиныршәаратә ӡбара Аиҳаби уи аӡбаҩцәеи алнахуеит Аԥсны Жәлар Реизара Аԥсны Ахада иажәалагалала.	Судьями могут быть граждане Республики Абхазия, достигшие 27 лет, имеющие высшее юридическое образование и стаж работы по юридической специальности не менее пяти лет. Председатель и члены Верховного Суда Республики Абхазия, судьи нижестоящих судов, Председатель и судьи Арбитражного суда Республики Абхазия по предложению Президента Республики Абхазия избираются Парламентом Республики Абхазия.
Аӡбаҩ иусқәа рынагӡара иалеигӡар ҟалом иарбанзаалак даҽа ҳәынҭқарратә маҵурак ма аџьаԥса зхыршәаауа иарбанзаалак усурак, арҵаҩратә, анаукатә, арҿиаратә усқәа ракәымзар.	Исполнение обязанностей судьи несовместимо с любым другим официальным постом в государственном аппарате, равно как и с занятием любой иной оплачиваемой деятельностью, кроме преподавательской, научной и иной творческой деятельности.
Аӡбаҩцәа иазалху аҿҳәарақәа рзы иранаршьоит рџьабааԥса аԥара Аԥсны Аҳәынҭқарра аҟнытә.	Судьи в установленные сроки получают за свою службу денежное вознаграждение, выплачиваемое Республикой Абхазия.
Аӡбаҩцәа алырхуеит хәы-шықәса ҿҳәарас ирыҭаны. Аӡбаҩцәа лакьысра рықәым, ихьыԥшым, Аконституциеи Аԥсны азакәанқәеи роуп знапаҵаҟа иҟоу.	Судьи избираются сроком на пять лет. Судьи неприкосновенны, независимы и подчинены только Конституции и законам Республики Абхазия.
Аӡбаҩ ашьауӷатә ҭакԥхықәра идҵара залшом закәанла иҳәаақәҵамкәа.	Судья не может быть привлечен к уголовной ответственности, иначе как в порядке, определенном законом.
Аӡбаҩ изинмчхарақәа имхра ма раанкылара залшом, закәанла ишьақәыргылоу ҵаҵӷәык амамкәа.	Полномочия судьи могут быть прекращены или приостановлены не иначе как в порядке и по основаниям, установленным законом.
Аусқәа реилыргара аӡбарақәа зегьы рҟны иаартны имҩаԥысуеит, закәанла ишьақәыргылоу хҭысқәак ианрыхәаԥшуа ада.	Разбирательство дел во всех судах открытое, за исключением случаев, установленных законом.
Аӡбарарҿиара мҩаԥысуеит иалахәу наҟ-ааҟ реиндаҭлареи зинла реиҟарареи шьаҭас иаманы.	Судопроизводство осуществляется на основе состязательности и равноправия сторон.
Аԥсны аӡбаратә мчра иреиҳаӡоу усбарҭас иамоуп Иреиҳаӡоу Аӡбара.	Высшим органом судебной власти в Республике Абхазия является Верховный Суд.
Аԥсны Иреиҳаӡоу Аӡбара	Верховный Суд Республики Абхазия:
ирыхәаԥшуеит аусқәа Аԥсны Ахадеи, Жәлар Реизареи,иара убас аҳәынҭқарратә мчра егьырҭ аусбарҭақәеи ма аҭыԥантәи ахаланапхгара усбарҭақәеи ирыдыркылаз ақәҵарақәа Аконституциа рақәшәареи рақәымшәареи ирыдҳәалоу азҵаарақәа зегьы рыла;	рассматривает дела по всем вопросам, касающимся соответствия Конституции решений, принятых Президентом, Парламентом, а также другими органами государственной власти или местного самоуправления;
ирыхәаԥшуеит аҳәынҭқарреи аҭыԥантәи ахаланапхгара аусбарҭақәеи рыбжьара ицәырҵуа аимакқәа ирыдҳәалоу аусқәа;	рассматривает дела по спорам между государством и органами местного самоуправления;
ирыхәаԥшуеит алхрақәа рылҵшәақәеи алхрақәа рымҩаԥгашьеи ирызку аусқәа;	рассматривает дела, касающиеся результатов выборов и избирательных процедур;
азин амоуп иаӡбар иарбанзаалак аимакқәа, мамзаргьы агәаанагара аҳәар Аконституциа иадҳәалоу азҵаарақәа ирызкны;	вправе решать любые споры, либо высказывать мнение по вопросам, связанным с Конституцией;
имҩаԥнагоит ашьауӷатә, атәылауаҩратә, анапхгаратә ӡбарарҿиара;	осуществляет уголовное, гражданское и административное судопроизводство;
Аԥсны аӡбарақәа зегьы ирыӡбаз аусқәа азакәан рақәшәара иашьклаԥшуеит;	осуществляет надзор за законностью разрешения дел всеми судами в Республике Абхазия;
аӡбарақәа зегьы ирнаҭоит аусӡбаратә еиҿкаарақәа раан изықәныҟәаша анапхгаратә еилкаарақәа.	дает руководящие разъяснения по вопросам судебной деятельности всем судам.
Аԥсны аӡбарақәа рықәҵарақәа шьҭырхуеит Аԥсны Аҳәынҭқарра ахьӡала.	Суды Республики Абхазия выносят решения именем Республики Абхазия.
Аԥсны Апрокурор Хадеи уи инапаҵаҟа иҟоу апрокурорцәеи ацәгьауратә усқәа реилыргара азакәан иахьынӡақәшәо иашьклаԥшуеит; иадгылоит аҳәынҭқарратә харадҵара аӡбараҿы; аӡбара иаларгалоит Аԥсни уи атәылауааи рыхьчара иазку ашшыԥхьыӡқәа; аҳәынҭқарратә усбарҭақәеи, аҭыԥантәи ахаланапхгаратә усбарҭақәеи, амаҵурауааи закәандарала еиқәдыршәаз анҵақәа раԥыхра ма рыриашара азҵаара ықәдыргылоит.	Надзор за законностью расследования дел о преступлениях, поддержание государственного обвинения в суде, предъявление в суд исков в защиту интересов республики и граждан, опротестование незаконных актов государственных органов, органов местного самоуправления и должностных лиц осуществляют Генеральный прокурор Республики Абхазия и подчиненные ему прокуроры на местах.
Аԥсны Аҳәынҭқарра апрокуратура аусбарҭақәа ирымоуп иаку аилазаара, урҭ рзинмчхарақәа мҩаԥыргоит иарбанзаалак даҽа мчрақәак ирхьыԥшымкәа.	Органы Прокуратуры Республики Абхазия составляют единую систему и осуществляют свои полномочия независимо от каких бы то ни было органов власти.
Аԥсны Апрокурор Хада имаҵура иаҭареи иамхреи мҩаԥнагоит Аԥсны Жәлар Реизара Аԥсны Ахада иажәалагалала.	Генеральный прокурор Республики Абхазия назначается на должность и освобождается от должности Парламентом Республики Абхазия по представлению Президента Республики Абхазия.
Егьырҭ апрокурорцәа рмаҵура иеиҭоит Аԥсны Апрокурор Хада.	Иные прокуроры назначаются Генеральным прокурором Республики Абхазия.
Апрокуратура аусбарҭақәа рзинмчхарақәеи, реиҿкаареи, русуреи ҳәаақәнаҵоит азакәан.	Полномочия, организация и деятельность органов прокуратуры определяются законом.
Афбатәи ахы. аҭыԥантәи ахаланапхгара	Глава 6. местное самоуправление
Аҭыԥантәи ахаланапхгара мҩаԥгахоит араионқәеи ақалақьқәеи, егьырҭ аиланхарҭақәеи рҟны.	Местное самоуправление осуществляется в районах, городах и других населенных пунктах.
Аҭыԥантәи ахаланапхгара атәылауаа имҩаԥыргоит рхатәгәаԥхара ишиашоу аиҭаҳәарала ма аҭыԥантәи ахаланапхгара алхратә усбарҭақәа рыла.	Местное самоуправление осуществляется гражданами путем прямого волеизъявления и через выборные органы местного самоуправления.
Аԥсны ақалақьқәеи араионқәеи рҟны анагӡаратә мчрақәа рхадацәа Аԥсны Ахада иалихуеит аҭыԥантәи ахаланапхгара аилазаара аҟнытә.	Главы исполнительной власти городов и районов Республики Абхазия назначаются Президентом Республики Абхазия из состава органа местного самоуправления.
Аҭыԥантәи ахаланапхгара аилазаара аиҿкаареи азинмчхарақәеи шьақәыргылахоит закәанла.	Состав, устройство и полномочия местного самоуправления устанавливаются законом.
Аҭыԥантәи ахаланапхгара аусбарҭақәа ишьақәдыргылоит аҭыԥантәи абиуџьет, аҭыԥантәи ашәахтәқәеи, аԥаралхрақәеи рнапаҿы иҟоуп, ишырҭаху рхы иадырхәоит аҭыԥантәи амал, ирыхьчоит ауаажәларратә еиҿкаара, иҳәаақәырҵоит дара рыҩнуҵҟатә еилазаара, иара убас ирыӡбоит аекономикатә, асоциалтә уҳәа дара рҳәаақәа ирҭаӡо, егьырҭ аҳәынҭқарратә усбарҭақәак ирыҵарымкуа азҵаарақәа.	Органы местного самоуправления утверждают местный бюджет, местные налоги и сборы, владеют, пользуются и распоряжаются муниципальной собственностью, обеспечивают охрану общественного порядка, определяют свои внутренние структуры, а также решают другие экономические, социальные и иные вопросы, неисключенные из их ведения или непереданные государственным органам.
Абри Аконституциеи азакәанқәеи рыла ишьақәыргылоу аҭыԥантәи ахаланапхгара азинқәа рыԥкра аҳәынҭқарратә усбарҭақәа ирылшом. Аҭыԥантәи ахаланапхгара закәанла имҩаԥнаго аусқәа аҽрылагалара залшом.	Государственные органы не могут ограничивать права местного самоуправления, установленные настоящей Конституцией и законами. Вмешательство в законную деятельность местного самоуправления не допускается.
Аҭыԥантәи ахаланапхгара усӡбарала ахыхьчара иақәиҭуп, азинмчхарақәа ахы иақәиҭны, ԥықәсларада имҩаԥнагаларц азы.	Местное самоуправление обладает правом судебной защиты в целях обеспечения свободного и беспрепятственного осуществления своих полномочий.
Абыжьбатәи ахы. аконституциатә риашарақәеи аконституциа аиҭахәаԥшышьақәеи	Глава 7. конституционные поправки и порядок пересмотра конституции
Аԥсны Аконституциа аиҭахәаԥшреи ариашареи рызҵаарақәа рықәыргылара рылшоит Аԥсны Ахада, Аԥсны Жәлар Реизара, Аԥсны Иреиҳаӡоу Аӡбара, Аԥсны Апрокурор Хада.	Предложения о поправках и пересмотре Конституции Республики Абхазия могут вносить Президент Республики Абхазия, Парламент Республики Абхазия, Верховный Суд Республики Абхазия, Генеральный прокурор Республики Абхазия.
Аԥсны Аконституциа ариашарақәа рыдыркылоит Аԥсны Жәлар Реизара адепутатцәа рзеиԥш хыԥхьаӡара аҟнытә ахԥа рыҩхәҭак ирыҵаркуа абжьқәа рыла.	Поправки к Конституции Республики Абхазия принимаются Парламентом Республики Абхазия двумя третями голосов от общего числа депутатов Парламента.
