мшыбзиа, ҳаҭыр зқәу ахәаԥшцәа!	добрый день, уважаемые зрители!
ишҟагьы сзаауамызт, ара цәыббразы аҳәаа аадыртаанӡа,	и долго я не мог к нему попасть, пока здесь не открыли в сентябре,
усҟан ауп санааи, сахьааизгьы ыцхыраара ду сауит.	я только тогда смог приехать, и здесь я нашел мощную поддержку.
санаауаз, сҭагылазаашьа хьанҭан.	я уезжал оттуда в очень тяжелом состоянии.
сара еснагь схы сазҵаауан,	я всегда спрашивал себя,
избан сырҿиара акалашәа изыҟоу?	почему у меня творчество такое странное?
избан арационалра зсылам? издыруеит, гәыԥҩык ашәҟәыҩҩцәа ирҳәақәо,	почему я не рационален? я знал, что многие писатели говорят,
материал гәарҭак ҭысҵааит, акырӡа сгәы иҭасыҩхьеит ҳәа.	я гору материала изучил, столько всего выписывал в сердце.
толстоигьы ирацәаны аматериал ҭиҵаауан. еилырганы аматериал рацәоуп.	даже толстой много изучал материала.
сара, иахьысҳәо сацәыԥхашьоит аха, акгьы ҭысҵааӡомызт. сара исымоуп ароман дуқәа, иаҳҳәап « абна- аб » еиԥш иҟоу,	а я, к стыду своему, ничего не изучал. у меня есть большие романы такие, как « отец- лес »,
аметафизикатә планԥшра змоу, иаҳҳәап « џьанаҭ агәырӷьарақәа »,	большие романы метафизического плана, как « радости рая »,
« иона адгьылбжьаха ».	« остров ионы ».
шәара шәҟны урҭ рыӡбахә аӡәгьы имаҳац,	у вас тут никто даже не слышал о них,
избанзар, арҭ ашәҟәқәа ҭыҵит, аха аԥхьаҩцәа иргахьеит.	потому что эти книги у меня изданы, но они не разошлись.
убри аҟынтә, сара уи аҩыза аметод сымоуп анысҳәо,	поэтому, когда я говорил о том, что у меня такой метод, то
москва аӡәырҩы ргәы сзыԥжәон.	многие в москве сердились на меня.
зны ааԥхьара сырҭит ажәларқәа реиҩызара ауниверситет ашҟа,	однажды меня пригласили в университет дружбы народов,
уаҟа иаахтны исҳәеит ахаангьы аматериал шҭысымҵаауа,	и я там посмел признаться, что я никогда не изучаю материалы,
зҽызыԥсахуа ахдырра ала аҭагылазаашьа сҽақәыршәаны ишызыҩуа атәы,	что я пишу сразу в состоянии измененного сознания,
сроман ду аҿы шаҟа персонажцәа ҟало шысзымдыруагьы.	я не знаю сколько у меня будет персонажей в моем большом романе.
афранцыз еиҭагаҩцәа ирыԥхьаӡеит,	переводчики французские посчитали,
сроман « аб- абна » аҟны 500 ҩык инареиҳаны аперсонажцәа шалоу.	что в моем романе « отец- лес » 500 с лишним персонажей.
хаҭала сара исыздыруамызт аперсонажцәа шаҟаҩы ыҟаз, ус ауп сара аус шызуаз.	я даже не знал сколько у меня персонажей, то есть я работал именно вот так.
ахыҵхырҭа аҿаԥхьа сыҽкажьны аус зуан,	я работал, припадая к источнику,
уи атәы урыстәыла исызҳәомызт, аха ажәларқәа реиҩызара ауниверситет аҟны ианысҳәа,	и в этом я даже не мог признаться в россии, когда я сказал об этом в университете дружбы народов,
зҽаԥсазтәыз профессорк, кафедрак анапхгаҩы,	одна заслуженный профессор, чуть ли не зам. зав. кафедры чего- то
лгәы сзыԥжәеит:	на меня рассердилась:
« зыхдырра аҽаԥсахуа аҭагылазаашьа шәҽақәыршәаны аус жәуазар, уа шәыҟаз » лҳәеит.	« ну, если вы работаете в состоянии измененного сознания, оставайтесь там ».
сара лҿаԥхьа аҭамзаара шьҭасҵеит, иҟасҵари, слахьынҵа ус иҟоуп сҳәеит.	я перед ней извинился, сказал, ну, что делать, такова моя судьба.
сара араҟа исоуит сырҿиара зырҵабыргуа,	я здесь получил подтверждение своему творчеству,
ахыҵхырҭа сахьалахәу зҳәо. иаӷан имыҩуеи, ауаа ахьыҟазаалакгьы,	что я приобщен к источнику. яган же пишет, что люди где бы они ни были,
ахыҵхырҭа иалахәызар ҟалоит, хаҭала урҭ зынӡа еиԥшымзаргьы.	если они приобщены к источнику, они могут совершенно быть разными.
ара раԥхьаӡа ахәыцра салагеит,	тут я впервые стал размышлять,
сҩызцәа рызҵаара сҽазыскит,	стал спрашивать у своих друзей,
руслан сзабаирдырыз. урҭ иаԥсоу уаауп, аҵарадырра рымоуп,	с которыми меня познакомил руслан. это люди достойные, образованные,
аԥсны амаҵзура дуқәа ааныркылахьеит. сразҵаауа салагеит,	занимавшие высокие должности в абхазии. я у них стал спрашивать,
избан, уи иӡбахә зышәзымдыруеи?	а почему у вас он неизвестен?
избан урыстәыла ҳара ҳҟны уи иӡбахә заҳмаҳац,	почему у нас в россии о нем ничего не слышали,
избан ишәҟәы англыз бызшәахьтә аурысшәахь изеиҭагоу?	почему его книга переведена с английского на русский?
избан иара англыз бызшәала дзыҩуааз?	почему он на английском написал?
арҭ азҵаарақәа аҩызцәа инагӡаны аҭак рзыҟаҵомызт.	на эти вопросы друзья не могли мне ответить сполна.
сара абри азхәыцра салагеит,	я стал размышлять об этом,
уи аҩыза алкаақәагьы ҟасҵеит,	и пришел к таким выводам,
аамысҭа – аамысҭатә дырроуп, традициоуп уҳәар ҟалоит.	что аамста – дворянское знание, традиция, можно сказать.
изакәызеи атрадициа? ари абиԥарала иеимырдо дырроуп.	а что такое традиция? это знание, передающиеся из поколения в поколение.
қьабза уи иоуит иеиҳабацәа рҟнытә. мураҭ иаӷан ишәҟәаҿы иҳәеит,	кябза он получил от своих старшин. мурат яган рассказал в своей книге,
акрызҵазкуа аамысҭатә хылҵшьҭра аамысҭа дшалиааз,	что он родился высокородном дворянском роду аамста,
уи иаб ажәлар раԥхьагылаҩ шиакәыз,	его отец был предводителем народа,
иаргьы иаб иҟынтә уи ахьӡ иҭынхар шакәыз.	и он должен был унаследовать от отца это же звание.
даргьы зны қьабза иалааӡаны иахьыҟаз азы.	которые тоже когда- то были воспитаны в знании кябза.
уи еиҭеиҳәеит даныхәыҷыз инаркны дшазыҟарҵоз	и он рассказывал, как с детства его готовили
ахаҭара алагамҭа иаҵанакуа	к восприятию реализации
алшарақәа зегьы, амахашьахатә, ахәыцратә уҳәа,	всех своих возможностей, физических, умственных,
анагӡаразы ахшыҩдкылара.	относящихся к началу над личным.
даҽакала иаҳҳәозар, иҩныҵҟа ауаҩы иаартра,	то есть к открытию в себе человека,
наунагӡа, ес- аамҭа зегьы зыжәлар иртәу ауаҩы,	который навсегда, на все времена будет принадлежать своему народу,
даҽакала иаҳҳәозар, ахаҭара ду. хаҭала иԥсрагьы	то есть большую личность. и смерть его личная,
иара ишьҭахьгьы иара дааннажьуеит.	оставит все равно его после нее.
уи даанхеит, аха шәахәаԥш уи дшаанхаз,	он сам остался, но вы смотрите, как он остался,
аԥхьа ҭырқәтәылаҟа дцар акәхеит,	он вынужден был уехать сначала в турцию,
уантәи европа, уа аҵара иҵаразы,	оттуда в европу, там получить образование,
анаҩс канада дақәшәеит, англыз бызшәала	а потом попал в канаду, и там на английском языке
« аамысҭа қьабза » апринцип хадақәа рыҩра далагеит.	он впервые начал записывать основные принципы « аамста кябза ».
шәахәаԥш иалҵуа,	смотрите, что получается,
уи арҭ адыррақәа аԥсуа бызшәала иеиҳабацәа рҟнытә иоуит,	он получил эти знания на абхазском языке от своих старшин,
дара иара ицын ауниверситет данҭазгьы,	они даже сопровождали его во время учебы в университете,
аиҳабацәа ауниверситет ахыбра иаҭаауан,	старшины приходили к зданию университета,
амардуан иаҿатәаны, аҵара даналго ҳәа изыԥшлон,	сидели на ступеньках, ждали когда он там закончит,
анаҩс дыргон, дагьоурыжьӡомызт шырҳәало еиԥш.	потом его забирали и не выпускали, как говорится.
данқәыԥшыз,	в юности
уи аханатә « аамысҭа қьабза » мап ацәикхьан,	он сначала отказался от аамста кябза,
насгьы иҟьалаз аԥа иеиԥш адунеи дықәын. канада џьара даннанага,	и как блудный сын он бродил по свету. оказавшись где- то в канаде,
ихыҵхырҭа « аамысҭа қьабза » дазыхынҳәит.	он вернулся к аамста кябза, к своим истокам.
аха идыррақәа англыз бызшәала мацара акәын раарԥшра шилшоз.	но уже мог выражать свои знания только на английском языке.
ишалҵуа ала, аԥсышәала иоуз адыррақәа,	выходит, что сведения, полученные им на абхазском языке,
уи ихдырраҿы англыз бызшәахь еиҭеигеит,	он в своем сознании перевел на английский язык,
даҽакала иуҳәозар, даҽа бызшәак ахь иеиҭаган. уажәшьҭа, шәахәаԥш, закәытә лахьынҵоу,	то есть совершен был перевод на другой язык. а теперь, смотрите, судьба какая,
англыз бызшәа аҟнытә, аамысҭа қьабза аԥсуа « ҭаацәеи » мураҭ иаӷани ирыбзоураны,	с этого английского, благодаря абхазским « родителям » аамста кябза
еиҭа аурыс бызшәахьы еиҭаргеит, аха макьана аԥсшәахь еиҭагатәуп.	и мурату ягану снова перевели на русский язык, но еще предстоит перевод на абхазский.
ари зазгәасҭаз уи ауп, адоуҳатә дыррақәа реиқәырхара,	я почему об этом говорю, потому что сохранение духовных знаний,
мамзаргьы, адоуҳатә енергиа иашахаҭа, ажәлар рдоуҳатә енергиа	точнее подлинной духовной энергии, духовной энергии народа и
аарԥшра рылшоит уи ажәлар рбызшәа ала мацара,	передачи его возможно только через язык этого народа,
убри аҟынтә даара ихадоуп уажәы уи аҟаҵара. сара саԥсыуам, слахьынҵа уадаҩоуп,	поэтому чрезвычайно важно сейчас это сделать. я не абхаз, у меня сложная судьба,
сара скореецуп, аха сара соурыс шәҟәыҩҩхеит, аха уи иҷыдоу ҭоурыхуп.	я кореец, но я стал русским писателем, но тут особая история.
сара еилыскаауеит ажәлар рдоуҳатә енергиа иашахаҭа аазырԥшуа абызшәа зыԥсоу.	я понимаю, чего стоит язык передачи подлинной духовной энергии народа.
ажәлар раенергиа, афымцамч згәылсуа аелектронқәа иреиԥшуп.	энергия народа имеет сходство с электронами, передающими электрическую энергию по проводникам.
абызшәагьы убас ауп, ажәлар ренергиа агәылсуеит,	так и язык народа способен передавать энергию народа,
уи аенергиа алагамҭа ҵаулагьы зыдҳәалоу абызшәоуп.	и самое глубочайшее начало этой энергии связано с языком.
мураҭ иаӷан иқәыԥшраан иеиҳабацәа ирымҭазҭгьы арҭ адыррақәа,	не передай старшины в молодости мурату ягану на абхазском языке
мҩас имааз уи канада дахьыҟаз?	вот это учение, чем бы мог он в канаде орудовать?
уи адырра игеит абызшәа иацны,	он унес это знание с языком и перевел
насгьы, ахыҵхырҭа қьабза иаԥсуа дырра	это свое, абхазское знание источника кябза
англыз бызшәахьы иеиҭеигеит. ижәбама закәытә ҭоурыху,	на английский язык. видите, какая история,
уажәшьҭа сара исыздыруам шәара шәҟны ишыҟоу аха,	и теперь я не знаю, как у вас,
аха урыстәыла, иаҳҳәап, абызшәа ацәыӡ ду амоуп.	но в россии, например, большая потеря языка.
сара атәымуаҩуп, сара скореецуп, урыс бызшәала аҩра иалагазгьы среиуоуп,	я посторонний человек, я кореец, который стал писать на русском языке,
уи шыҟалаз атәы ҭоурых ҷыдоуп,	тоже особая история, как это получилось,
аха сара маҷ- маҷ иҵыхәтәантәиим урыс шәҟәыҩҩны сшьақәгылеит. алитературатә сахьаркыратә бызшәаҿы,	но я постепенно стал не последним русским писателем. в художеством литературном языке
иаахҵәаны исҳәар сылшоит,	смело могу сказать,
сара асахьаркыратә литература абызшәатә корифеицәа дуқәа рыгәҭаны сыҟоуп.	что я среди самых больших языковых корифеев художественной литературы.
исҳәар сылшоит, абызшәа аиқәырхара шаҟа аҵанакуа,	и могу сказать, насколько важно сохранить язык,
жәлар ренергетика иадҳәалоу.	связанный с народной энергетикой.
сара исыздыруа шәара шәҿы аԥсуа бызшәа аҭагылазаашьа.	я не знаю, какие у вас положения с абхазским языком.
ауадаҩра дуқәа.	большие сложности.
урыстәыла ишыҟоу еиԥш акәхап. америка атәылаҿы ишыҟоу еиԥш,	наверное так же, как и в россии. так же, как и в америке,
англыз бызшәа америка иабыхшәаны иахьыҟалаз.	где английский язык американским стал.
ари акультурологиатәи, аонтологиатәи лагамҭақәа ирыдҳәалоу	это языковое падение,
абызшәатә каҳароуп.	связанное с культурологическими началами, онтологическими началами.
ари адунеизегьтәи цәырҵроуп, убри азоуп	это явление всемирное, поэтому происходит
ауаҩытәыҩса идоуҳатә мчы зыӡуа, адәныҟатәи аенергиақәа ирыдҳәалоу,	потеря духовной энергии человечества, сосредоточенная на энергиях чисто внешних,
интеллектла, дыррала,	которые обеспечиваются интеллектом, знаниями,
ҭҵаарадыррала, ауаатәыҩсатә ԥышәа апозитивтә зыҟазаашьақәа. апозитивтә знеишьақәеи ауаҩытәыҩсатә ԥышәахь.	наукой, позитивными подходами к человеческому опыту.
убри аҟынтә адоуҳара ацәыӡра – ари аԥсҭазаара аенергиа арӡроуп.	поэтому потеря духовности – это потеря энергии жизни.
уи адоуҳара абызшәа иалахәуп.	эта духовность выражается и воплощается в языке.
иҭабуп ҳәа шәасҳәарц сҭахуп,	я хотел бы вас поблагодарить,
иҭабуп аинтерес зҵоу абри аҩыза аицәажәара азы.	спасибо за такую интересную беседу.
аԥсуа ҿар рышҟа иҟашәҵаз ааԥхьаразы иҭабуп,	спасибо за тот посыл, который вы сделали абхазской молодежи,
уи ахыҵхырҭа адәныҟа акәӡам, ахатә культура аҟны ауп иахьыԥшаалатәу,	что источник не надо искать вовне, а надо искать в своей культуре,
ахатәы бызшәаҿы.	в своем языке.
ихадоу, шәара ишәымоу ииашахаҭоу алагамҭа « аамысҭа қьабза ». амала, уи еиҭархынҳәтәуп.	главное, вы имеете такие подлинные, убедительные начала, как « аамста кябза ». только надо его снова вернуть.
иҭабуп идуӡӡаны, иҭабуп аицәажәаразы.	спасибо вам большое, спасибо за беседу. 
	
