Сара сҭоурых.	Моя история.
Атәым бызшәақәа адунеи ҿыц узаадыртуеит.	Знание иностранного языка открывает нам новый мир.
Атәым бызшәа удыруазар, атәым милаҭ урацәажәоит, усҟан дареи уареи еиҳа ибзианы шәеилибакаауеит.	Если вы знаете иностранный язык, то можете разговаривать с иностранцами и это помогает лучше понимать друг друга.
Атәым бызшәа удыруазар, ашәҟәқәа злаҩу аоригинал абызшәала урыԥхьоит.	Если вы знаете иностранный язык, вы можете читать книги в оригинале.
Ари егьырҭ ажәларқәа рҟазшьа, ркультура еиҳа ибзианы аилкаараҟны иуцхраауеит.	Это помогает лучше понять характер и культуру другого народа.
Ҳара ҳауниверситет аҟны иеиуеиԥшым атәым бызшәақәа рҵоит: англыз бызшәа, анемец бызшәа, афранцыз бызшәа, араб бызшәа, аҭырқә бызшәа.	В нашем университете изучают различные иностранные языки: английский, немецкий, французский, арабский, турецкий языки.
Сара ашкол аҿы англыз бызшәа сҵон.	В школе я изучала английский язык.
Иахьа англыз бызшәала англиатәи, америкатәи, австралиатәи ашәҟәыҩҩцәа ражәабжьқәа срыԥхьоит.	Сегодня читаю рассказы английских, американских, австралийских писателей.
Сашьцылан, есҽны англыз бызшәала иҩу адаптациа зызу ашәҟәқәа срыԥхьоит.	У меня вошло в привычку каждый день читать адаптированные книги на английском языке.
Ажәеинраалақәа сҵоит, ирацәаны аграмматикатә ҽаршьцыларақәа ҟасҵоит.	Я учу стихотворения и делаю много грамматических упражнений.
Издыруеит, англыз бызшәа бзиаӡаны исҵарц азы схы ирацәаны аус адызулароуп.	Я знаю сейчас, что я должна много работать, чтобы овладеть английским языком.
Ауниверситет аҿы абызшәа иҵегьы инарҵауланы исҵартә еиԥш аҭагылазаашьа соууеит.	В университете у меня будет возможность глубже изучить ан- глийский язык.
Иеилыскаар сҭахуп ажәақәа рхылҵшьҭра, ажәытә рхы ишадырхәоз.	Я хочу многое узнать о происхождении слов и их употреблении в давние времена.
Иаҳҳәап, англыз бызшәаҿы ажәа «аԥенџьыр» ижәытәӡатәу англыз-саксонтә ажәақәа ҩба – «аԥша» «абла» рыла ишьақәгылоуп.	Например, слово «окно» состоит их двух древних англо-саксонских слов, таких как «ветер» и «глаз»
Ажәа «аԥенџьыр» «аԥша абла» аанагоит.	Слово «окно» означает «глаз ветра»
Уи аҭӡаҿы акылҵәарсҭа лассы - лассы ԥенџьырҵас ианыҟаз, аԥша кылсны ианаауаз аамҭа атәы аҳәоит.	Оно говорит о том времени, когда окном была дыра в стене, и через нее часто дул ветер.
Абас, сара есқьынгьы ажәақәа рхылҵшьҭра зҿлымҳара асҭон.	Так, меня всегда интересовала этимология слов.
Аунивесрситет аҿы сҵара саналгалак, ашкол аҿы абызшәа дырҵара салагар сҭахуп.	Когда я закончу учебу в университете, я начну преподавать иностранный язык в общеобразовательной школе.
Иахьатәи аԥсҭазаараҿы иарбан занааҭзаалакгьы – арҵаҩра, анџьнырра, егьырҭ азанааҭқәа змоу ауаа атәым бызшәақәа, еиҳарак, ажәытәӡатәи абызшәақәа рдыруазароуп.	В наше время всем специалистам – учителям, инженерам и людям других профессий надо знать иностранные языки, особенно, древние языки.
Атәым бызшәа узымдыруазар, тәым бызшәала иҩу уусуразы иуҭаху ашәҟәқәа узрыԥхьаӡом.	Если ты не знаешь иностранный язык, ты не можешь пользоваться всеми книгами на иностранном языке, которые тебе нужны для работы.
Аха уи азы ирацәаны аус утәуп, ухы аџьабаа адубалароуп.	Но для этого надо много трудиться, работать над собой.
Сара сҵаҩцәа аиҭага иахьыԥшымкәа аоригинал абызшәала иҩу ашәҟәқәа рыԥхьашьа дсырҵар сҭахуп.	Я хочу научить моих учеников читать английские книги в оригинале, чтобы они не зависели от переводов.
Убри аҟнытә сара иалысхыз азанааҭ ииашаны иалысхит ҳәа сгәы иаанагоит.	Поэтому, надеюсь, что сделала правильный выбор.
Сара сжурналистхар зысҭаху шәасҳәоит.	Я расскажу вам почему хочу стать журналистом.
Сара сжурналистхоит ҳәа сыӡбеит.	Я решил стать журналистом.
Ари азанааҭ даара аинтересгьы аҵоуп, ауаажәларра рзы иалшогьы рацәоупҳәа сгәы иаанагоит.	Я думаю, что это интересная и полезная профессия для общества.
Исгәаԥхоит сара ателевизор ахәаԥшра, ажурналқәа рҿы, акомпиутер аҿы ажәабжьқәа рыԥхьара.	Мне нравится смотреть телевизор, слушать радио, читать газеты и журналы в компьютере.
Амассатә информациа хархәагақәа ирыдҳәалоу зегьы даара исгәаԥхоит.	Мне нравится все, что связано со средствами массовой информации.
Уажәы сҩызцәагьы саргьы ҳашкол аҿы агазеҭ ҭҳажьуеит.	Мы с моими друзьями издаем в нашей школе газету.
Уи мызкахьы знык иҭыҵуеит.	Она выходит раз в месяц.
Ашкол аҿы имҩаԥысуа ахҭысқәа, аҿар рыԥсҭазаара иазку астатиақәа анаҳҵоит, алаф, асахьақәа, акарикатурақәа ҭаҳхует.	Мы пишем статьи о школьных событиях, жизни молодежи, шутки, рисуем иллюстрации и карикатуры.
Ашкол аҿы иаҳҵо амаҭәарқәа зегьы иреиӷьасшьоит аҭоурыхи алитературеи.	Мои любимые школьные предметы – история и литература.
Ажурналист изанааҭ еиҳа изугәаԥхои ҳәа шәсазҵаауазар, исгәаԥхоит ажурналист иусураҿы ауаа рацәа дахьрыдҳәалоу.	Если спросите меня, почему мне нравится профессия журналиста, я бы ответил так: нравится то, что журналист встречается со многими людьми.
Ажурналистцәа адунеи аҿы, атәылаҿы, ақалақь аҿы имҩаԥысуа еилыркаарц, иҭырҵаарц, насгьы урҭ зыхҟьо, мзызс ирымоу ауаа ирзеиҭарҳәарц, иреилдыкаарц иаҿуп.	Они пытаются понять, что происходит в мире, стране, городе и объяснить это другим людям.
Сара ажурналист иусура аҭоурыхҭҵааҩ иусура иеиԥшуп ҳәа сгәы иаанагоит.	Я думаю, что работа журналиста очень похожа на работу историка.
Аҭоурыхҭҵааҩ иҳаҩсхьоу ахҭысқәа рыҭҵаара, реилкаара дашьҭалоит.	Историк изучает и пытается объяснить события прошлого.
Ажурналистгьы дызҿу убри ауп, аха уи иахьатәи ахҭысқәа роуп дзыхцәажәо.	А журналист делает то же самое, но с настоящим.
Аха сара сзы ажурналист иусура еиҳа аинтерес аҵоуп аҭоурыхҭҵааҩ иусура аасҭа.	Но для меня работа журналиста гораздо интереснее работы историка.
Избан акәзар уи абыржәы, ҳазҭагылоу аамҭазы имҩаԥысуа ахҭысқәа дрылоуп, уи алагьы имҩаԥысуа ахҭысқәа анырра рыҭарагьы илшоит.	Потому что он имеет дело с реальными событиями, которые происходят прямо сейчас, и таким образом, на них даже можно повлиять.
Абасала, ажурналистцәа аҭоурых анырра арҭар рылшоит.	Итак, журналисты могут повлиять на историю.
Абри азоуп сара сжурналистхар зысҭаху.	Вот почему я хочу стать журналистом.
Сара сусура мшқәа.	Мои рабочие дни.
Сара сусурамшқәа уи аҟара излеиԥшқәамыз ыҟамызт.	Мои рабочие дни не отличались сильно друг от друга.
Мчыбжьык ахьтә фынтә ашкол ахь сныҟәон азы есышьыжь асааҭ 7 рзы сааԥшлар акәын.	Я ходил в школу шесть дней в неделю, поэтому мне приходилось просыпаться в 7 часов каждое утро.
Зны – зынла агылара сцәыуадаҩын, еиҳаракгьы аӡын, иҵегьы сышьҭазар сҭаххалон, аха сан сымгылар луӡомызт.	Иногда мне очень трудно подняться с кровати, особенно зимой, но моя мама всегда настаивала на том, чтобы я встал.
Схалаҭи сеимаақәеи сышьаҵаны, исҭахӡамкәа аҽыкәабарҭахь сцон.	Потом надевал халат и тапочки и неохотно шел в ванную.
Аӡы хьшәашәа ацәа салнахуан, нас сымпахьшьы аасыхьшьны ацәарҭа уадахь сыццакны сцон.	Холодная вода помогала мне избавиться от сонливости, затем я вытирался полотенцем и спешил в спальню.
Ателевизор асыркуан, избанзар убасҟан, шьыжьла амультфильм иалагон.	Я включал телевизор, как раз в это время начинался мультфильм.
Абаҩрҵәыра аҟаҵара бзиа избаӡомызт.	Я не любил делать зарядку.
Зны-зынла телехәаԥшрала аспортсменцәа лахҿыхӡа рыбаҩ шдырҵәуаз анызбалак, саргьы есышьыжь сгыланы сыбаҩ сырҵәлоит ҳәа сыӡбон.	Временами, когда я видел спортсменов по телевизору, оживленно делающих зарядку, я думал, что буду вставать раньше и делать зарядку каждый день.
Аха уи усҟан акәын, нас лассы исхашҭуан.	Но это продолжалось недолго, и я вскоре забывал об этом.
Нас сиарҭа еилсыргон, сҽеиласҳәон, акрысфон.	Затем я убирал кровать, одевался и завтракал.
Акрыфарагьы уиаҟара исҭахӡамызт шьыжьла, аха сан еиҳа исҭахыз дазхәыцны, сыргәыбзыӷуа маҷк сҿалҵон.	Завтракать по утрам мне не очень хотелось, но мама предлагая то, что мне больше всего хотелось бы, уговаривая заставляла меня есть.
Жәохә минуҭ шагыз 9 рзы аҩны сдәылҵуан.	Без четверти 9 я выходил из дома.
Аҵара ҳалагон асааҭ 9 рзы.	Занятия мы начинали в 9 часов.
Есҽны 6-7 урок ҳаман.	У меня каждый день было по 6–7 уроков.
Асааҭ 3 рзы аҵара ҳалгон.	В 3 часа занятия заканчивались.
Шьыбжьышьҭахь аҩнусқәа ҟасҵон – асаанқәа сыӡәӡәон, аҩны сыԥссон, адәқьан ахь сцон, нас сурокқәа срыдтәалон.	После обеда я делал работу по дому – мыл посуду, подметал, ходил в магазин и садился за уроки.
Урҭ акыраамҭа срыдхалон.	Я тратил на них много времени.
Асааҭ ааба рзы сырҵага шәҟәқәеи стетрадқәеи сшәыра иҭан, шьҭа ателевизор сахәаԥшыр, акомпиутер садтәалар сылшон.	В восемь часов мои учебники и тетради были в портфеле, теперь я мог посмотреть телевизор, сесть за компютер.
Зны-зынла сҩыза дааилон, нас ҳаицны ныҟәара ҳцон.	Иногда, ко мне заходил друг, и мы уходили на прогулку.
Асааҭ 11 рзы сааԥсаха сышьҭалон, минуҭқәак рышьҭахь сыцәон.	В 11 часов, уставший я ложился спать и через несколько минут засыпал.
Агәҭакы зегьы ирымоуп.	Мечта есть у всех.
Агәҭакы зегьы ирымоуп ҳәа сгәы иаанагоит.	Я думаю, что мечта есть у всех.
Уи агәыӷра бзиа иеиԥшуп.	Мечта подобна надежде о лучшем.
Иара аԥсҭазаараҿы даара иухәоит уадаҩрақәак ануԥыло.	Она помогает нам преодолевать трудности нашей повседневной жизни.
Агәҭакы иара ауаҩы дзеиԥшроу еиԥш, ҵарас, занааҭс имоу, милаҭс, ҟазшьас имоу еиԥш ауп ишыҟоу.	Мечта зависит от людей, от их образования, профессии, национальности, характера.
Иаҳҳәап, иҟоуп ауаа аԥара рацәаны, амашьына бзиа змазарц зҭаху, мамзаргьы аҭаацәа алалара иазхәыцуа.	Например, люди мечтают о том, чтобы у них было много денег, дорогой автомобиль или семья.
Иҟоуп ипрезидентхар зҭаху.	Другие воображают себя президентами.
Сара аҩны бзиа сымазарц сҭахуп.	Я хотел бы иметь хороший дом.
Ақалақь иналганы маҷк, аха уи иацәыхарамкәа, ӡиаск ахықәан ихықәгыланы, иаакәыршаны шьхараны, ашәаԥыџьап, аиаҵәара иагәҭылакны.	Чтобы он находился загородом, но не очень далеко от города, на берегу реки, окруженный горами, который утопал бы в зелени.
Ҩ-еихагылак амазар сҭахуп сыҩны.	Хочу, чтобы мой дом был двухэтажным.
Ҩныҵҟала амардуан амазароуп, иаакәыршаны асофқәа, аԥенџьыр дуқәа, аҩбатәи аихагылаҿы асаркьа-шәқәа ҿаҵаны, уантәи уалԥшны ашәаԥыџьаԥ аԥшӡара убартә еиԥш.	Должен быть с внутренними лестницами, окруженный балконами, с большими окнами, на 2-ом этаже с стеклянными дверями, чтобы сквозь них можно было видеть красоту растительности.
Аҩны иаакәыршаны аԥсаҵлақәа иаҵәаӡа игылазар сҭахуп, ашәҭқәа рацәаны ирызҳауа.	Хочу, чтобы вокруг дома стояли вечнозеленые елки и было много цветов.
Нас, арҭ аҵлақәа рышәшьыра уныҵало, аҵар рашәаҳәабжь хааӡа иахьго уазыӡырҩуа.	Можно было бы проитись в тени этих деревьев, слушая приятное пение птиц.
Аҩны аԥхьаҟала ашә аартны азал ду уахьыҩнало ауаџьаҟ амазар сҭахуп.	Хочу, чтобы входя через переднюю дверь, вы попада- ли в большой зал с камином.
Уа аӡынра анааилак, амца еиқәҵаны унадтәало.	Там зимой разведя костер, можно было бы сидеть у камина.
Ара ауаџьаҟ аԥхьа аӡын итәалоит бзиа избо сла ду.	Здесь перед камином будет сидеть моя любимая собака.
Ауада агәҭаны аџьам уарҳал ԥшӡа ду шьҭасҵон.	В центре этой комнаты я постелила бы большой персидский ковер.
Ари ауадаҟнытә ацәарҭа уадақәа рахь уиаслоит.	От этой комнаты можно перейти в спальную комнату.
Ацәарҭа уадақәа рыҟнытә уԥшны иубоит зехьынџьара иҟоу аиаҵәара, ашәҭқәа.	Из спальных комнат повсюду видны растительность и цветы.
Аӡынра анааилак, ари ашәаԥыџьаԥ зегьы иҟәашӡа асы ирықәҳауа убо иҟалоит.	Когда наступает зима можно будет видеть, как вся растительность покрывается белым снегом.
Азал ду аҩнымаҭәа рацәаны иҩнагылазар сҭахӡам.	Я не хочу, чтобы в большой гостиной было много мебели.
Аҭӡы иадсыргылон асофа ду, сахҭанла ихҟьоу, уи аҿаԥхьа астол хәыҷ.	Около стены я бы поставила большой кожаный диван, а перед ним маленький столик.
Асофа ахаҿы бзиа избо сахьаҭыхҩык иусумҭа кнасҳауан.	Над диваном повесила бы картину любимого художника.
Асофа аҿаԥхьа аҭӡаҿы икнасҳауан ателевизор ду.	Напротив дивана на стене повесила бы большой телевизор.
Акәакь аҿы акреслақәа ҩба сыргылон.	В углу комнаты поставила бы два кресла.
Ари ауадаҿы хәылԥазыла ҳҭаацәа зегьы еизалон.	В гостиной комнате вечерами собиралась бы вся наша семья.
Амардуан ҭбаа ду ала аҩбатәи аихагылахь ухалоит.	Широкоя лестница приводит вас на второй этаж.
Араҟагьы ацәарҭа уадақәа ԥшьба ыҟазар сҭахуп.	Хочу, чтобы и здесь были четыре спальных комнат.
Ахәыҷқәа руадақәа дуузароуп. Ара аҭыӡқәа иркыду ақьаад ԥшӡазар сҭахуп, ԥшшәы рацәала иеилазар.	Детские комнаты должны быть большие. Обои очень красочные, ярких цветов.
Насгьы ара ирацәахоит ахәыҷқәа злахәмаруа ахәмаргақәа, ахәыҷы шәҟәқәа.	Также здесь будет много игрушек, с которыми они играют, а также детские книжки.
Аҩнаҵаҟа амашьынақәа рзы агараж ду ҟалоит.	В подвале находится большой гараж для наших автомобилей.
Амашьынақәа ҩба ҟалоит: акы сара егьи – сыԥшәма итәы.	Машин будет две: одна для меня и одна для моего мужа.
Аҩнашьҭахь аӡҭачы ҟасҵон, саркьала ихҩаны.	Позади дома расположен плавательный бассейн, крытый стеклом.
Аӡҭачы иаакәыршаны амса иалху асқамқәа сыргылоит.	Вокруг плавательного бассейна будет несколько пластмассовых стульев.
Ҳаҩны иааиуа зегьы рзы ԥсыршьаганы иҟазар сҭахуп, убри аҟнытә иҭынчразароуп ара.	Наш дом будет местом, где можно от- дохнуть, потому он выглядит мирным и спокойным.
Зегь раасҭа иҭынчрахоит сара суадаҿы.	самая тихая комната – мой кабинет.
Ари ауада иадуп абиблиотека ду.	По соседству с кабинетом находится библиотека.
Ара аҭоурых, афилософиа, аклассикатә литература, апоезиа, афизика, афантастика уҳәа ирызку ашәҟәқәа хыԥхьаӡара рацәала иҟалоит.	По соседству с кабинетом находится библиотека.
Аӡәы абиблиотека абауҭаху, аинтернет ала иуҭаху зегь урыԥхьоит иҳәар ҟалоит, аха сара ашәҟәыҵәҟьа еиҳа бзиа избоит, снапаҿы ианыску бзиа избоит, бӷьыц-бӷьыцла санрыԥхьо.	Кто-то может подумать, что библиотека не нужна, потому что все, что мы хотели бы почитать, мы можем получать через интернет, но я люблю настоящие книги, люблю держать их в своих руках, читать их страница за страницей.
ахәыҷқәа ракәзаргьы, сахьала иеиқәыршәоу ашәҟәқәа рыԥхьара еиҳа иеиӷьаршьоит, изыԥхьо асиужетқәа асахьаҿы ианырбо еиҳа бзиа ирбоит.	Что касается» детей, они предпочитают иллюстрированные книжки, когда сюжеты сопровождаются яркими рисунками.
Ари аҩнаҿы иҟалоит афымцатә приборқәа.	В доме будет много электрических приборов.
Еиҳарак афатәҟаҵарҭаҿы.	Особенно, на кухне.
Афатәҟаҵарҭа иаҭаху зегь рыла иеиқәсыршәоит.	Я хочу оснастить кухню необходимыми электрическими приборами.
Уи уус арццакуеит, иагьарманшәалоит.	Это ускорит работу на кухне и делает ее более комфортной.
Исҭахуп аҩнаҿы ароботқәа ыҟазарц, ауҭраҭых аазрыхуа, афатә ҟазҵо.	Хочу, чтобы в доме были роботы, которые нам помогают. Они заботятся о доме, выращивают овощи в нашем саду и занимаются приготовлением еды.
Бзиа избоит аӡын зегьы, акранаҳфо аишәа ауҭраҭых, ашәыр, аиаҵәара ықәзарц, аџьармыкьаҟнытә акәымкәа, ҳара иаҳхатәны иҳамазарц, ҳуҭраҟнытә.	Люблю, чтобы долгой зимой на нашем обеденном столе были зелень и свежие овощи, не с рынка, а собственные, с огорода.
Ҳаҩны ахьгыло аҭыԥ – ҭыԥ ԥшӡахоит ӡынгьы ԥхынгьы.	Место, где будет стоять наш дом, является красивым местом в любое время года.
Насгьы аӡын иԥхарразароуп, аԥхын ихьшәашәаразароп.	Зимой – тепло, летом – должно быть прекрасно.
Аха зегь раасҭа исҭаху – иҭынчразароуп, иԥшӡарразароуп.	Но больше всего я хочу, чтобы здесь было спокойно и красиво.
Знык иааиз ауаҩы есқьынгьы арахь ааира игәы аҳәо иҟазарц азы.	Чтобы человека, хоть однажды посетившего наш дом, тянуло всегда сюда.
Ашықәс аамҭақәа.	времена года.
Риҵа аӡынразы.	Рица зимой.
Асабшазы сани, саби, сашьеиҳаби, сареи Риҵа ҳаҟан.	В субботу я с мамой, папой и сестрой ездили на Рицу.
Риҵа даара иԥшӡоуп.	Рица очень красивое озеро.
Сара аӡын Риҵа сымцаӡацызт.	Зимой я не была на Рице.
Уажәы уа хьҭоуп, асгьы ауеит, убри аҟнытә аԥсабара даара иԥшӡоуп.	Сейчас там холодно, идет снег, поэтому природа очень красивая.
Ақалақь аҟны асы шьҭаӡам, аха уа иҳаракыроуп азы еиҳа ихьшәашәароуп.	В городе не лежит снег, но там высоко и поэтому прохладно.
Убри аҟнытә заа асгьы ауеит.	Поэтому и выпадает рано снег.
Еиҳа ихьшәангьы ишьҭыҵуеит асы.	И позже таит снег.
Аӡын Аԥсны асы есымшагьы илеиӡом, уи иашьҭаланы уахь ихало рацәаҩуп.	В Абхазии не всегда выпадает снег и многие за снегом поднимаются туда.
Риҵа афотосахьақәа ҭаҳхит, урҭ сҩызцәа ианыдсырба, даара иргәаԥхеит.	На Рице мы сделали фотографии, когда я показала своим друзьям они им очень понравились.
Иааиуа асабшазы даргьы уахь ицарц, рыӡбеит.	В следующую субботу они тоже решили подняться туда.
Ашықәс аамҭақәа.	Времена года.
Зегьы иеицырдыруа усуп, ашықәс аамҭақәа зегьы дара ртәала иԥшӡоуп.	Общеизвестна истина, что каждое время года красиво посвоему.
Иссирми, ианҵаауа аӡын мшқәа раан ақыҭа мҩахәасҭақәа урныланы уанцо.	Не чудесно ли побродить по деревенским тропинкам в морозные зимние дни.
Зегьы сыла иҟәашӡа ихҟьоуп, хәырҭ-хәырҭ ҳәа асы абжьы гоит уахьныҟәо.	Все вокруг белое от снега, и снег скрипит под ногами.
Аҵла амахәқәа ицырцыруа аҵаа рықәуп, аҩнқәа рхыбқәа, хәы-змоу хаҳәҵас, ашьашьалқәа рхьынҳалоуп.	На ветвях деревьев сверкает иней, и, как драгоценные камни, свисают с крыш домов сосульки.
Ари ахәыҷқәа рызгьы адуқәа рызгьы аамҭа бзиоуп.	Это веселое время как для детей, так и для взрослых.
Аха ари аамҭа бзиоуп аҵаа ӡыҭаанӡа – иӡыҭуа ианалагалак, ибзиаӡам.	Но это пока длятся морозы, очень приятно, когда наступает оттепель – приходит неприятное время.
Амҩақәа ирну амашьынақәеи автобусқәеи аҳәынҵәеи иӡыҭыз аси ииасны ицо ауаа иргәыдырҭәалоит.	Машины и автобусы, едущие по улицам, разбрызгивают грязь и талый снег на прохожих.
Зегьы ари иаргәамҵуеит.	Каждый ворчит на погоду и ругает ее.
Аха ари аамҭалоуп.	Но это временно.
Мызқәак рыла аԥхынра аауеит.	Через несколько месяцев придет лето.
Аԥхын аԥсшьаразы зегьы иреиӷьу аамҭоуп.	Лето – самое подходящее время для отпусков и каникул.
Амра каххаа ианыԥхо гәахәароуп ауаа рзы ақыҭаҿы мамзаргьы амшын аҿы.	Люди наслаждаются яркими солнечными днями в деревне или на море.
Рҽыркәабоит, иӡсоит, аԥсыӡ ркуеит, анышьқәа ирықәтәоит.	Они купаются и плавают, ловят рыбу и катаются на лодках.
Аха ианшоуроу, аҭакар аныҟоу ақалақь аҿы узынгылом.	Но невыносимо находиться в городе в такие жаркие и палящие дни.
Нас, ибзианы ҳаԥсқәа анаҳшьалак ашьҭахь, ҭагалан ааиуеит, аҽаҩрақәа рҭагалара аамҭа.	Затем, после хорошего отдыха, приходит осень, время уборки урожая.
Аџьықәреи хьҩежьха иҟалоит, ақыҭауаа уи еизганы ацақәа ирҭарыԥсоит.	Кукуруза становится золотой, и сельчане соберут ее и засыпят в амбары.
Аҳауа зҩыдоуп, иҟалаз аҵәақәа, абҳәақәа, атамақәа ҭагалантәи рыфҩы лаҳа-лаҳауа аҳауа иалоуп.	Воздух свеж и полон осеннего аромата спелых яблок, слив, персиков.
Аха ҭагалан амш лассы-лассы аҽеиҭанакуеит, ауаа аплашьқәа ршәырҵоит, аҳаргьқәа ныҟәыргалар акәхоит, иеилымсыр рҭахызар.	Но осенью погода такая изменчивая, людям приходится носить плащи и зонтики, если они не хотят промокнуть насквозь.
Аха ҭагалан амш лассы-лассы аҽеиҭанакуеит, ауаа аплашьқәа ршәырҵоит, аҳаргьқәа ныҟәыргалар акәхоит, имбааӡар рҭахызар.	Но осенью погода такая изменчивая, людям приходится носить плащи и зонтики, если они не хотят промокнуть насквозь.
Икаҳаз абыӷьқәа уарҳалшәа адгьыл хырҟьоит, амҩақәа ҵәыруп, ицәаакуп.	Опавшие листья покрывают землю пестрым ковром, дороги скользкие и мокрые.
Зегьы еиҭа аӡынра ааира иахыццакуеит.	И опять все с нетерпением ожидают зимних дней.
Иуадаҩуп зегьы иреиӷьу аамҭа арбану аҳәара, амш иага игәырҿыӷьгазаргьы, ибааԥсызаргьы, иссирзаргьы.	Довольно трудно сказать, какое время года самое лучшее, какой бы скучной и ненастной или прелестной и изумительной ни была погода.
Сара бзиа избо ашықәс аамҭа.	Мое любимое время года.
Сара сакәзар, есқьынгьы аԥхын ааира сазыԥшуп.	Что касается меня, я всегда с нетерпением жду лета.
Ахаангьы сдырааԥсаӡом иауу уи амш шоурақәа, ақәа ԥхақәа, адыд, акырцх.	Я никогда не устаю от его длинных жарких дней, теплых дождей с грозами и градом.
Аԥхынтәи аԥсшьара мшқәа раан бзиа избоит амшын.	Мне нравится проводить летние каникулы на море.
Саныхәыҷыз сара лассы-лассы аплиаж аҟны аԥслымӡ ала аханқәа, абаақәа рыргылара бзиа избон.	В детстве я часто любил играть на пляже, делая замки и крепости из песка.
Ауаҩы ианизҳалак амшын ашьҭыбжь дазыӡырҩуа далагоит.	Когда человек взрослеет, он начинает замечать особенный шум моря.
Бзиа избоит амра ацәҩалара, сеиқәаҵәаӡа сҽанызбылуа, мамзаргьы ацәқәырԥқәа анугәыҭҭәало.	Мне нравится загорать, становиться коричневым или когда тебя забрызгивают волны.
Зны-зынла сара аԥсшьара мшқәа ақыҭаҿы исхызгоит.	Иногда я провожу каникулы в деревне.
Усҟан еиҳарак абнаҿы сыҟоуп, аҵыҵындра, ашәҭқәа сыҟәшәоит, мамзаргьы аӡы сҭалоит, сыӡсоит.	Тогда большую часть времени я провожу в лесу, собирая землянику и цветы, или у реки, купаясь и плавая в ней.
Лассы-лассы санду слыцхраалоит, апомидорқәа, анаша, ацыца еизызгоит.	Я часто помогаю бабушке в огороде, собираю помидоры, огурцы или редис.
Ақәа сцәыланы аныҟәара бзиа избоит ма аҩны уҩнатәаны ацәыкәбарқәа абӷьы иаҵәақәеи аҵиааи ирхьыҵәҵәа ишлеиуа ахәаԥшра.	Мне нравится гулять под дождем или просто сидеть в доме, наблюдая как капли дождя стекают по зеленым листочкам и стебелькам травы на землю.
Аԥхын анынҵәо есқьынгьы сгәы снархьуеит, избанзар иара убас икьаҿын, лассгьы иԥырны ицеит.	Когда заканчивается лето, мне всегда жаль этого, потому что оно было таким коротким и так быстро пролетело.
Лыхны ақыҭан.	В селе Лыхны.
Ҳара уажәааигәа Сириантәи ҳааит.	Мы недавно приехали из Сирии.
Ҳаԥсыуаауп.	Мы абхазы.
Иацы зегьы Лыхны ақыҭа ҳаҟан.	Вчера мы все были в селе Лыхны.
Ари ақыҭа даара иаҳгәаԥхеит.	Нам это село очень понравилось.
Лыхны ҭоурыхтә ҭыԥуп.	Лыхны историческое место.
Ара ҳаԥсадгьыл азы акрызҵазкуаз ахҭысқәа маҷымкәа имҩаԥысуан ҳәа ҳарҳәеит.	Нам рассказали о том, что здесь происходили важнейшие для нашей родины события.
Ари қыҭа дууп, қыҭа ԥшӡоуп.	Это большое, красивое.
Ари ақыҭаҿы ҳара ҳаҟан аԥсуа чараҿы.	В этом селе мы были на абхазской свадьбе.
Уаанӡа ҳара аԥсуа чара ҳамбаӡацызт.	Раньше мы не видели абхазскую свадьбду.
Зегьы даара даҳгәаԥхеит аҭаца.	Нам всем очень понравилась невеста.
Лара даара дыԥшӡан.	Она была очень красивая.
Ари ачараҿы ҳҩызцәа ԥсыуала икәашеит, ашәа рҳәеит.	На этой свадьбе наши друзья станцевали абхазский национальный танец и спели.
Сара аспорт сшазыҟоу.	Мое отношение к спорту.
Угәы бзиазарц, уӷәӷәазарц, уԥшӡазарц уҭахызар, аспорт уаҿызароуп.	Если хочешь быть здоровым, сильным и красивым, ты должен заниматься спортом.
Сара аспорт санаҿу, сгәы бзиоуп, сеимсом, сеимҳәом, сеилҟьоуп, сласуп, агәамч сымоуп.	Когда я занимаюсь спортом, я замечательно себя чувствую. Я не чихаю и не кашляю, я бодр, активен и полон энергии.
Сара есҽны абаҩрҵәыра ҟасҵоит.	Я тренируюсь ежедневно.
Аспортсменцәа анаҳбо иаҳгәаԥхоит урҭ рыԥшра, реиҿкаашьа, рыӷәӷәашьа, реилҟьашьа.	Нам нравится наблюдать за спортсменами, за их красивыми телами, их силой и ловкостью.
Аӡәгьы иҭахӡам дҟәаззар, дхьанҭазар.	Никому не нравится быть толстым и неловким.
Аԥхын сара сыӡсоит.	Летом я плаваю.
Аӡын аԥсшьарамшқәа раан ақыҭаҿы саныҟоу даара бзиа избоит.	Я наслаждаюсь зимними каникулами в селе.
Уа сара ашәуақәа рыла сныҟәоит, ма асыкәырқәа рыла счаразуеит, уи, ҳәарада, амш зеиԥшроу еиԥш.	Там я могу кататься на лыжах или на коньках, конечно, все зависит от погоды.
Ақыҭаҿы, ҳәарада, аспорт азы еиҳа алшарақәа рацәоуп.	Но все-таки в селе для спорта больше возможностей, чем в городе.
Аспорт сҽазызкырц зыӡбаз, дазхәыцуеит, иарбан спорт хку иалысхра ҳәа.	Тот, кто решил заняться спортом, размышляет о том, какой вид спорта ему выбрать.
Раԥхьаӡакәны ҳара абаҩрҵәыратә ҿазыҟаҵарақәа ашкол аҿы ҳалагоит.	Впервые мы сталкиваемся со спортом в школе.
