%PRODUCTNAME аелектронтә ԥошьҭа азынашьҭрақәа рзы  аелектронтә ԥошьҭа архиарақәа аҭахуп.\n\n Иазшәырхиарц шәҭахума уи уажәы ?	Для рассылки электронной почты %PRODUCTNAME требуется действительная учётная запись.\n\nНастроить сейчас учётную запись электронной почты?
%PRODUCTNAME ақәыргылара	Установка %PRODUCTNAME
%PRODUCTNAME хархәаҩык иаҳасаб ала шәыҽҭашәыҩҩыр ҟалоит. Аҽҭаҩҩра хатәгәаԥхаралоуп хәдықәҵара ыҟаӡам	У вас есть возможность зарегистрироваться как пользователь %PRODUCTNAME. Регистрация добровольная и без обязательств.\n\nЕсли вы зарегистрируетесь, мы можем информировать Вас о новых разработках относительно этого продукта.
\<image id=\"img_id3148420\" src=\"sw/imglst/sc20173.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3148420\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3148420\" src=\"sw/imglst/sc20173.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3148420\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3148448\" src=\"res/commandimagelist/sc_connectorcurvearrows.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3148448\"\>значок\</alt\>\</image\>	\<image id=\"img_id3148448\" src=\"res/commandimagelist/sc_connectorcurvearrows.png\" width=\"0.423cm\" height=\"0.423cm\"\>\<alt id=\"alt_id3148448\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3148489\" src=\"res/commandimagelist/sc_beziercutline.png\" width=\"5.64mm\" height=\"5.64mm\"\>\<alt id=\"alt_id3148489\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3148489\" src=\"res/commandimagelist/sc_beziercutline.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3148489\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3148498\" src=\"res/commandimagelist/sc_alignright.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3148498\"\>значок\</alt\>\</image\>	\<image id=\"img_id3148498\" src=\"res/commandimagelist/sc_rightpara.png\" width=\"0.222in\" height=\"0.222in\"\>\<alt id=\"alt_id3148498\"\>Icon\</alt\>\</image\>
\<image id=\"img_id3148538\" src=\"res/commandimagelist/sc_stop.png\" width=\"5.64mm\" height=\"5.64mm\"\>\<alt id=\"alt_id3148538\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3148538\" src=\"res/commandimagelist/sc_stop.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3148538\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3148607\" src=\"res/commandimagelist/sc_bezierclose.png\" width=\"5.64mm\" height=\"5.64mm\"\>\<alt id=\"alt_id3148607\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3148607\" src=\"res/commandimagelist/sc_bezierclose.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3148607\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3148642\" src=\"res/sc06303.png\"\>\<alt id=\"alt_id3148642\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3148642\" src=\"res/sc06303.png\" width=\"0.222in\" height=\"0.222in\"\>\<alt id=\"alt_id3148642\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3148645\" src=\"res/helpimg/zellvor.png\" width=\"1.7602inch\" height=\"0.4898inch\" localize=\"true\"\>\<alt id=\"alt_id3148645\"\>Поле со списком\</alt\>\</image\>	\<image id=\"img_id3148645\" src=\"res/helpimg/zellvor.png\" width=\"1.528in\" height=\"0.292in\" localize=\"true\"\>\<alt id=\"alt_id3148645\"\>Combo box\</alt\>\</image\>
\<image id=\"img_id3148685\" src=\"sc/res/refinp1.png\" width=\"0.1327inch\" height=\"0.1327inch\"\>\<alt id=\"alt_id3148685\"\>значок\</alt\>\</image\>	\<image id=\"img_id3148685\" src=\"formula/res/refinp1.png\" width=\"0.1665in\" height=\"0.1665in\"\>\<alt id=\"alt_id3148685\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3148768\" src=\"sd/res/get1obj.png\" width=\"0.423cm\" height=\"0.423cm\"\>\<alt id=\"alt_id3148768\"\>значок\</alt\>\</image\>	\<image id=\"img_id3148768\" src=\"sd/res/get1obj.png\" width=\"0.1665in\" height=\"0.1665in\"\>\<alt id=\"alt_id3148768\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3148804\" src=\"res/commandimagelist/sc_charfontname.png\" width=\"5.64mm\" height=\"5.64mm\"\>\<alt id=\"alt_id3148804\"\>значок\</alt\>\</image\>	\<image id=\"img_id3148804\" src=\"res/commandimagelist/sc_charfontname.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3148804\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3148817\" src=\"res/commandimagelist/sc_combobox.png\" width=\"4.23mm\" height=\"4.23mm\"\>\<alt id=\"alt_id3148817\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3148817\" src=\"res/commandimagelist/sc_combobox.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3148817\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3148829\" src=\"res/commandimagelist/sc_gluehorzalignleft.png\" width=\"0.1665inch\" height=\"0.1665inch\"\>\<alt id=\"alt_id3148829\"\>значок\</alt\>\</image\>	\<image id=\"img_id3148829\" src=\"res/commandimagelist/sc_gluehorzalignleft.png\" width=\"0.423cm\" height=\"0.423cm\"\>\<alt id=\"alt_id3148829\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3148833\" src=\"res/sc06331.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3148833\"\>значок\</alt\>\</image\>	\<image id=\"img_id3148833\" src=\"fpicker/res/fp014.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3148833\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3148851\" src=\"sw/imglst/wr04.png\" width=\"0.4307inch\" height=\"0.4307inch\"\>\<alt id=\"alt_id3148851\"\>значок\</alt\>\</image\>	\<image id=\"img_id3148851\" src=\"sw/imglst/wr04.png\" width=\"0.82cm\" height=\"0.82cm\"\>\<alt id=\"alt_id3148851\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3148857\" src=\"res/commandimagelist/sc_insertfootnote.png\" width=\"5.64mm\" height=\"5.64mm\"\>\<alt id=\"alt_id3148857\"\>значок\</alt\>\</image\>	\<image id=\"img_id3148857\" src=\"res/commandimagelist/sc_insertfootnote.png\" width=\"0.222in\" height=\"0.222in\"\>\<alt id=\"alt_id3148857\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3148870\" src=\"sc/res/table.png\" width=\"0.25inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3148870\"\>значок\</alt\>\</image\>	\<image id=\"img_id3148870\" src=\"sc/res/table.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3148870\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3148871\" src=\"sw/imglst/sc20175.png\" width=\"5.64mm\" height=\"5.64mm\"\>\<alt id=\"alt_id3148871\"\>значок\</alt\>\</image\>	\<image id=\"img_id3148871\" src=\"sw/imglst/sc20175.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3148871\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3148873\" src=\"starmath/res/at21711.png\" width=\"8.47mm\" height=\"8.47mm\"\>\<alt id=\"alt_id3148873\"\>значок\</alt\>\</image\>	\<image id=\"img_id3148873\" src=\"starmath/res/at21711.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3148873\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3148919\" src=\"res/commandimagelist/sc_gluehorzaligncenter.png\" width=\"0.1665inch\" height=\"0.1665inch\"\>\<alt id=\"alt_id3148919\"\>значок\</alt\>\</image\>	\<image id=\"img_id3148919\" src=\"res/commandimagelist/sc_gluehorzaligncenter.png\" width=\"0.423cm\" height=\"0.423cm\"\>\<alt id=\"alt_id3148919\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3148924\" src=\"res/commandimagelist/sc_insertpatternfield.png\" width=\"4.23mm\" height=\"4.23mm\"\>\<alt id=\"alt_id3148924\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3148924\" src=\"res/commandimagelist/sc_insertpatternfield.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3148924\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3148986\" src=\"starmath/res/at21705.png\" width=\"8.47mm\" height=\"8.47mm\"\>\<alt id=\"alt_id3148986\"\>значок\</alt\>\</image\>	\<image id=\"img_id3148986\" src=\"starmath/res/at21705.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3148986\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3149018\" src=\"res/commandimagelist/sc_connector.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3149018\"\>значок\</alt\>\</image\>	\<image id=\"img_id3149018\" src=\"res/commandimagelist/sc_connector.png\" width=\"0.423cm\" height=\"0.423cm\"\>\<alt id=\"alt_id3149018\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3149018\" src=\"res/commandimagelist/sc_toggleobjectbeziermode.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3149018\"\>значок\</alt\>\</image\>	\<image id=\"img_id3149018\" src=\"res/commandimagelist/sc_toggleobjectbeziermode.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3149018\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3149021\" src=\"res/commandimagelist/sc_numberformatincdecimals.png\" width=\"5.64mm\" height=\"5.64mm\"\>\<alt id=\"alt_id3149021\"\>значок\</alt\>\</image\>	\<image id=\"img_id3149021\" src=\"res/commandimagelist/sc_numberformatincdecimals.png\" width=\"0.222in\" height=\"0.222in\"\>\<alt id=\"alt_id3149021\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3149036\" src=\"res/commandimagelist/sc_bezierconvert.png\" width=\"5.64mm\" height=\"5.64mm\"\>\<alt id=\"alt_id3149036\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3149036\" src=\"res/commandimagelist/sc_bezierconvert.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3149036\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3149044\" src=\"sw/imglst/wr07.png\" width=\"0.4307inch\" height=\"0.4307inch\"\>\<alt id=\"alt_id3149044\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3149044\" src=\"sw/imglst/wr07.png\" width=\"0.82cm\" height=\"0.82cm\"\>\<alt id=\"alt_id3149044\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3149099\" src=\"res/commandimagelist/sc_insertfootnote.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3149099\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3149099\" src=\"res/commandimagelist/sc_insertfootnote.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3149099\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3149121\" src=\"res/commandimagelist/sc_recsearch.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3149121\"\>значок\</alt\>\</image\>	\<image id=\"img_id3149121\" src=\"res/commandimagelist/sc_recsearch.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3149121\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3149126\" src=\"sw/imglst/sc20244.png\" width=\"5.64mm\" height=\"5.64mm\"\>\<alt id=\"alt_id3149126\"\>значок\</alt\>\</image\>	\<image id=\"img_id3149126\" src=\"sw/imglst/sc20244.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3149126\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3149214\" src=\"res/commandimagelist/sc_framedialog.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3149214\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3149214\" src=\"res/commandimagelist/sc_framedialog.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3149214\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3149235\" src=\"res/sc06300.png\" width=\"0.564cm\" height=\"0.564cm\"\>\<alt id=\"alt_id3149235\"\>значок\</alt\>\</image\>	\<image id=\"img_id3149235\" src=\"res/sc06300.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3149235\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3149289\" src=\"res/commandimagelist/sc_connectorcircleend.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3149289\"\>значок\</alt\>\</image\>	\<image id=\"img_id3149289\" src=\"res/commandimagelist/sc_connectorcircleend.png\" width=\"0.566cm\" height=\"0.566cm\"\>\<alt id=\"alt_id3149289\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3149294\" src=\"res/helpimg/feldurch.png\" width=\"0.9374inch\" height=\"0.2398inch\"\>\<alt id=\"alt_id3149294\"\>значок\</alt\>\</image\>	\<image id=\"img_id3149294\" src=\"res/helpimg/feldurch.png\" width=\"1.083in\" height=\"0.292in\"\>\<alt id=\"alt_id3149294\"\>Icon\</alt\>\</image\>
\<image id=\"img_id3149294\" src=\"sfx2/res/favourite.png\"\>\<alt id=\"alt_id3149294\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3149294\" src=\"sfx2/res/favourite.png\" width=\"0.1665in\" height=\"0.1665in\"\>\<alt id=\"alt_id3149294\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3149351\" src=\"res/commandimagelist/sc_autocontrolfocus.png\" width=\"5.64mm\" height=\"5.64mm\"\>\<alt id=\"alt_id3149351\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3149351\" src=\"res/commandimagelist/sc_autocontrolfocus.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3149351\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3149352\" src=\"res/helpimg/right.png\" width=\"0.566cm\" height=\"0.566cm\"\>\<alt id=\"alt_id3149352\"\>значок\</alt\>\</image\>	\<image id=\"img_id3149352\" src=\"res/helpimg/right.png\" width=\"0.2189in\" height=\"0.1874in\"\>\<alt id=\"alt_id3149352\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3149377\" src=\"res/commandimagelist/sc_beziermove.png\" width=\"5.64mm\" height=\"5.64mm\"\>\<alt id=\"alt_id3149377\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3149377\" src=\"res/commandimagelist/sc_beziermove.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3149377\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3149379\" src=\"res/commandimagelist/sc_bezier_unfilled.png\" width=\"5.64mm\" height=\"5.64mm\"\>\<alt id=\"alt_id3149379\"\>значок\</alt\>\</image\>	\<image id=\"img_id3149379\" src=\"res/commandimagelist/sc_bezier_unfilled.png\" width=\"0.1665in\" height=\"0.1665in\"\>\<alt id=\"alt_id3149379\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3149379\" src=\"res/commandimagelist/sc_insertframe.png\" width=\"0.2228inch\" height=\"0.2228inch\"\>\<alt id=\"alt_id3149379\"\>Рамка\</alt\>\</image\>	\<image id=\"img_id3149379\" src=\"res/commandimagelist/sc_insertframe.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3149379\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3149388\" src=\"res/commandimagelist/sc_incrementindent.png\" width=\"5.64mm\" height=\"5.64mm\"\>\<alt id=\"alt_id3149388\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3149388\" src=\"res/commandimagelist/sc_incrementindent.png\" width=\"0.1665in\" height=\"0.1665in\"\>\<alt id=\"alt_id3149388\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3149415\" src=\"res/commandimagelist/sc_open.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3149415\"\>значок\</alt\>\</image\>	\<image id=\"img_id3149415\" src=\"res/commandimagelist/sc_open.png\" width=\"0.566cm\" height=\"0.566cm\"\>\<alt id=\"alt_id3149415\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3149422\" src=\"res/commandimagelist/sc_leavegroup.png\" width=\"0.1665inch\" height=\"0.1665inch\"\>\<alt id=\"alt_id3149422\"\>значок\</alt\>\</image\>	\<image id=\"img_id3149422\" src=\"res/commandimagelist/sc_leavegroup.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3149422\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3149551\" src=\"res/commandimagelist/sc_insertindexesentry.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3149551\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3149551\" src=\"res/commandimagelist/sc_insertindexesentry.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3149551\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3149560\" src=\"res/helpimg/swh00180.png\" width=\"5.66mm\" height=\"5.66mm\"\>\<alt id=\"alt_id3149560\"\>значок\</alt\>\</image\>	\<image id=\"img_id3149560\" src=\"res/helpimg/swh00180.png\" width=\"0.2228inch\" height=\"0.2228inch\"\>\<alt id=\"alt_id3149560\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3149567\" src=\"sw/imglst/wr03.png\" width=\"0.4307inch\" height=\"0.4307inch\"\>\<alt id=\"alt_id3149567\"\>значок\</alt\>\</image\>	\<image id=\"img_id3149567\" src=\"sw/imglst/wr03.png\" width=\"0.82cm\" height=\"0.82cm\"\>\<alt id=\"alt_id3149567\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3149568\" src=\"res/sc05539.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3149568\"\>значок\</alt\>\</image\>	\<image id=\"img_id3149568\" src=\"res/commandimagelist/sc_designerdialog.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3149568\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3149575\" src=\"res/sc10617.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3149575\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3149575\" src=\"res/helpimg/sc10617.png\" width=\"0.583in\" height=\"0.333in\"\>\<alt id=\"alt_id3149575\"\>Icon\</alt\>\</image\>
\<image id=\"img_id3149622\" src=\"res/commandimagelist/sc_optimizetable.png\" width=\"5.64mm\" height=\"5.64mm\"\>\<alt id=\"alt_id3149622\"\>значок\</alt\>\</image\>	\<image id=\"img_id3149622\" src=\"res/commandimagelist/sc_optimizetable.png\" width=\"0.1665in\" height=\"0.1665in\"\>\<alt id=\"alt_id3149622\"\>Icon\</alt\>\</image\>
\<image id=\"img_id3149695\" src=\"starmath/res/at21707.png\" width=\"8.47mm\" height=\"8.47mm\"\>\<alt id=\"alt_id3149695\"\>значок\</alt\>\</image\>	\<image id=\"img_id3149695\" src=\"starmath/res/at21707.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3149695\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3149708\" src=\"res/commandimagelist/sc_togglegridhorizontal.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3149708\"\>значок\</alt\>\</image\>	\<image id=\"img_id3149708\" src=\"res/commandimagelist/sc_togglegridhorizontal.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3149708\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3149750\" src=\"res/sc06301.png\"\>\<alt id=\"alt_id3149750\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3149750\" src=\"res/sc06301.png\" width=\"0.222in\" height=\"0.222in\"\>\<alt id=\"alt_id3149750\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3149757\" src=\"res/commandimagelist/sc_centerpara.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3149757\"\>значок\</alt\>\</image\>	\<image id=\"img_id3149757\" src=\"res/commandimagelist/sc_centerpara.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3149757\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3149781\" src=\"res/commandimagelist/sc_toggleaxistitle.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3149781\"\>значок\</alt\>\</image\>	\<image id=\"img_id3149781\" src=\"res/commandimagelist/sc_toggleaxistitle.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3149781\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3149784\" src=\"sc/res/refinp2.png\" width=\"0.1327inch\" height=\"0.1327inch\"\>\<alt id=\"alt_id3149784\"\>значок\</alt\>\</image\>	\<image id=\"img_id3149784\" src=\"formula/res/refinp2.png\" width=\"0.1665in\" height=\"0.1665in\"\>\<alt id=\"alt_id3149784\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3149795\" src=\"dbaccess/res/sortup.png\" width=\"0.529cm\" height=\"0.564cm\"\>\<alt id=\"alt_id3149795\"\>значок\</alt\>\</image\>	\<image id=\"img_id3149795\" src=\"dbaccess/res/sortup.png\" width=\"0.2083inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3149795\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3149807\" src=\"res/helpimg/feldbrei.png\" width=\"0.6563inch\" height=\"0.2189inch\"\>\<alt id=\"alt_id3149807\"\>значок\</alt\>\</image\>	\<image id=\"img_id3149807\" src=\"res/helpimg/feldbrei.png\" width=\"2.258cm\" height=\"0.670cm\" localize=\"true\"\>\<alt id=\"alt_id3149807\"\>Icon\</alt\>\</image\>
\<image id=\"img_id3149808\" src=\"res/commandimagelist/sc_gluehorzalignright.png\" width=\"0.1665inch\" height=\"0.1665inch\"\>\<alt id=\"alt_id3149808\"\>значок\</alt\>\</image\>	\<image id=\"img_id3149808\" src=\"res/commandimagelist/sc_gluehorzalignright.png\" width=\"0.423cm\" height=\"0.423cm\"\>\<alt id=\"alt_id3149808\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3149808\" src=\"starmath/res/im21106.png\" width=\"8.47mm\" height=\"8.47mm\"\>\<alt id=\"alt_id3149808\"\>значок\</alt\>\</image\>	\<image id=\"img_id3149808\" src=\"starmath/res/im21106.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3149808\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3149811\" src=\"res/sc06301.png\"\>\<alt id=\"alt_id3149811\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3149811\" src=\"res/sc06301.png\" width=\"0.222in\" height=\"0.222in\"\>\<alt id=\"alt_id3149811\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3149814\" src=\"sw/imglst/sf04.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3149814\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3149814\" src=\"sw/imglst/sf04.png\" width=\"0.1665in\" height=\"0.1665in\"\>\<alt id=\"alt_id3149814\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3149826\" src=\"sw/imglst/sf04.png\" width=\"5.64mm\" height=\"5.64mm\"\>\<alt id=\"alt_id3149826\"\>значок\</alt\>\</image\>	\<image id=\"img_id3149826\" src=\"sw/imglst/sf04.png\" width=\"0.1665in\" height=\"0.1665in\"\>\<alt id=\"alt_id3149826\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3149900\" src=\"res/commandimagelist/sc_entergroup.png\" width=\"0.1665inch\" height=\"0.1665inch\"\>\<alt id=\"alt_id3149900\"\>значок\</alt\>\</image\>	\<image id=\"img_id3149900\" src=\"res/commandimagelist/sc_entergroup.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3149900\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3149964\" src=\"res/commandimagelist/sc_defaultbullet.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3149964\"\>значок\</alt\>\</image\>	\<image id=\"img_id3149964\" src=\"res/commandimagelist/sc_defaultbullet.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3149964\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3149966\" src=\"res/commandimagelist/sc_insertdoc.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3149966\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3149966\" src=\"res/commandimagelist/sc_insertdoc.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3149966\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3149999\" src=\"res/sc05539.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3149999\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3149999\" src=\"res/commandimagelist/sc_designerdialog.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3149999\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150010\" src=\"res/sc10616.png\" width=\"5.64mm\" height=\"5.64mm\"\>\<alt id=\"alt_id3150010\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3150010\" src=\"res/commandimagelist/sc_firstrecord.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3150010\"\>Icon\</alt\>\</image\>
\<image id=\"img_id3150021\" src=\"res/commandimagelist/sc_connectorarrowstart.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3150021\"\>значок\</alt\>\</image\>	\<image id=\"img_id3150021\" src=\"res/commandimagelist/sc_connectorarrowstart.png\" width=\"0.423cm\" height=\"0.423cm\"\>\<alt id=\"alt_id3150021\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150030\" src=\"res/sc10618.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3150030\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3150030\" src=\"res/helpimg/sc10618.png\" width=\"0.583in\" height=\"0.333in\"\>\<alt id=\"alt_id3150030\"\>Icon\</alt\>\</image\>
\<image id=\"img_id3150038\" src=\"res/commandimagelist/sc_italic.png\" width=\"5.64mm\" height=\"5.64mm\"\>\<alt id=\"alt_id3150038\"\>значок\</alt\>\</image\>	\<image id=\"img_id3150038\" src=\"res/commandimagelist/sc_italic.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3150038\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150096\" src=\"res/commandimagelist/sc_adddatefield.png\" width=\"5.64mm\" height=\"5.64mm\"\>\<alt id=\"alt_id3150096\"\>Значок\</alt\>\</image\>	\<image id=\"img_id3150096\" src=\"res/commandimagelist/sc_adddatefield.png\" width=\"0.2228in\" height=\"0.2228in\"\>\<alt id=\"alt_id3150096\"\>Значок\</alt\>\</image\>
\<image id=\"img_id3150122\" src=\"res/commandimagelist/sc_connectorlinecircles.png\" width=\"0.222inch\" height=\"0.222inch\"\>\<alt id=\"alt_id3150122\"\>значок\</alt\>\</image\>	\<image id=\"img_id3150122\" src=\"res/commandimagelist/sc_connectorlinecircles.png\" width=\"0.566cm\" height=\"0.566cm\"\>\<alt id=\"alt_id3150122\"\>Значок\</alt\>\</image\>
