Ша сов къинхетаме  а‚ къинхетаме а волчу Делан  цIарца	بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ
Цара къийсира шайн гIуллакх вовшашлахь‚ къайлаха кхеташо йира	فَتَنَازَعُوا أَمْرَهُم بَيْنَهُمْ وَأَسَرُّوا النَّجْوَى
Цара элира: 'ХIара шиъ бозбуунчаш ма бу. Цу шинна лууш ду шу шайн лаьттара арадаха шайн шиннан бозбуунчаллица‚ шун масал хилла долу некъ дIатилабан лууш ма бу уьш	قَالُوا إِنْ هَذَانِ لَسَاحِرَانِ يُرِيدَانِ أَن يُخْرِجَاكُم مِّنْ أَرْضِكُم بِسِحْرِهِمَا وَيَذْهَبَا بِطَرِيقَتِكُمُ الْمُثْلَى
ДIагулъе шайн мекарло‚ тIаккха цхьа могIа бе. Воккхавуьйр ву тахана тоьлларг'	فَأَجْمِعُوا كَيْدَكُمْ ثُمَّ ائْتُوا صَفًّا وَقَدْ أَفْلَحَ الْيَوْمَ مَنِ اسْتَعْلَى
Цара элира: 'ХIай Муса‚ я ахь кхуссу‚ я тхо хир дуьххьара кхуссурш?'	قَالُوا يَا مُوسَى إِمَّا أَن تُلْقِيَ وَإِمَّا أَن نَّكُونَ أَوَّلَ مَنْ أَلْقَى
Цо элира: 'ХIан-хIа‚ кхосса аш!' ТIаккха церан машшаш а‚ церан Iасанаш а цунна хаалора церан бозбуунчаллица тIекхиссалуш	قَالَ بَلْ أَلْقُوا فَإِذَا حِبَالُهُمْ وَعِصِيُّهُمْ يُخَيَّلُ إِلَيْهِ مِن سِحْرِهِمْ أَنَّهَا تَسْعَى
Мусас шегахь кхерам лайра	فَأَوْجَسَ فِي نَفْسِهِ خِيفَةً مُّوسَى
Оха элира: 'Ма кхера‚ баккъалла а, хьо ву вуно лакхахь верг	قُلْنَا لَا تَخَفْ إِنَّكَ أَنتَ الْأَعْلَى
Кхосса хьан аьтту куьйгахь ерг‚ цо кхоллур ю цара йинарг. Баккъалла а, цара йина бозбуунчийн мекарло. Воккхавер вац бозбуунча, миччахьара веъча а'	وَأَلْقِ مَا فِي يَمِينِكَ تَلْقَفْ مَا صَنَعُوا إِنَّمَا صَنَعُوا كَيْدُ سَاحِرٍ وَلَا يُفْلِحُ السَّاحِرُ حَيْثُ أَتَى
Бозбуунчаш суждане бегийра. Цара элира: 'Оха ийман дилли ХIарунан а‚ Мусан а Кхиош-кхобучунга'	فَأُلْقِيَ السَّحَرَةُ سُجَّدًا قَالُوا آمَنَّا بِرَبِّ هَارُونَ وَمُوسَى
Цо (ФирIавнас) элира: 'Аш ийман дилли Цуьнга ас шайна пурба далале хьалха? Баккъалла а, шун воккханиг ву иза ша шуна бозбуунчалла Iамийнарг. Ас хаддане а хадор ма ду шун куьйгаш а‚ когаш а дуьхь-дуьхьал‚ ас ирхъухкур ма ду шу хурманан дитташна тIехь‚ шуна хаъане а хуур ма ду‚ муьлханиг ву тхох Iазапца нуьцкъала верг а‚ мелхо а бухавуьсург а'	قَالَ آمَنتُمْ لَهُ قَبْلَ أَنْ آذَنَ لَكُمْ إِنَّهُ لَكَبِيرُكُمُ الَّذِي عَلَّمَكُمُ السِّحْرَ فَلَأُقَطِّعَنَّ أَيْدِيَكُمْ وَأَرْجُلَكُم مِّنْ خِلَافٍ وَلَأُصَلِّبَنَّكُمْ فِي جُذُوعِ النَّخْلِ وَلَتَعْلَمُنَّ أَيُّنَا أَشَدُّ عَذَابًا وَأَبْقَى
Цара элира: 'Оха цкьа а хьо хоржур ма вац цо (Мусас) тхьоьга еъначу билгалонел а‚ тхо кхоьллинчул а (тхан Делал а/. Кхочушде айхьа кхочушдийриг: ахь кхочушдийр ду-кх  деккъа хкху дуьненан дахар (-ан гллакх)	قَالُوا لَن نُّؤْثِرَكَ عَلَى مَا جَاءنَا مِنَ الْبَيِّنَاتِ وَالَّذِي فَطَرَنَا فَاقْضِ مَا أَنتَ قَاضٍ إِنَّمَا تَقْضِي هَذِهِ الْحَيَاةَ الدُّنْيَا
Баккъалла а, Оха ийман дилли тхан Кхиош-кхобучуьнга Цо тхуна гечдархьама тхан гIалаташ а‚ ахь тхо ницкъ шена тIедахийтина бозбуунчалла а. Дела – дика а ву‚ /хьол а, массарел а/ бухавуьсург а ву'	إِنَّا آمَنَّا بِرَبِّنَا لِيَغْفِرَ لَنَا خَطَايَانَا وَمَا أَكْرَهْتَنَا عَلَيْهِ مِنَ السِّحْرِ وَاللَّهُ خَيْرٌ وَأَبْقَى
Баккъалла а, шен Кхиош-кхобучунна тIе къинош дина вогIург – цунна хир ю жоьжахати‚ лийр вац и цу чохь‚ вехар а вац	إِنَّهُ مَن يَأْتِ رَبَّهُ مُجْرِمًا فَإِنَّ لَهُ جَهَنَّمَ لَا يَمُوتُ فِيهَا وَلَا يَحْيى
Цунна (Далла) тIе ийманехь а болуш, дика Iамалш а еш беънарш – уьш бу шайна вуно лаккхара даржаш дерш –	وَمَنْ يَأْتِهِ مُؤْمِنًا قَدْ عَمِلَ الصَّالِحَاتِ فَأُوْلَئِكَ لَهُمُ الدَّرَجَاتُ الْعُلَى
Iаднан бошмаш‚ шайн бухахула хиш оьхуш, цу чохь уьш гуттар лаьтташ. И бу бекхам ша цIанвеллачунна	جَنَّاتُ عَدْنٍ تَجْرِي مِن تَحْتِهَا الْأَنْهَارُ خَالِدِينَ فِيهَا وَذَلِكَ جَزَاء مَن تَزَكَّى
Оха вехьеца хаийтира Мусага: 'Аравала Сан лешца буса‚ тоха хрдах /хьан са/ царна бекъа некъ хилийта. Ма кхералахь /Фирвнан эскар хьайна/ тIекхиарх‚ ма кхералахь /шаьш хина бухадахарх а /	وَلَقَدْ أَوْحَيْنَا إِلَى مُوسَى أَنْ أَسْرِ بِعِبَادِي فَاضْرِبْ لَهُمْ طَرِيقًا فِي الْبَحْرِ يَبَسًا لَّا تَخَافُ دَرَكًا وَلَا تَخْشَى
Царна тIаьхьавелира ФирIавн шен эскарца – уьш дхьулбийра  хIорда чохь ша хьулбечо	فَأَتْبَعَهُمْ فِرْعَوْنُ بِجُنُودِهِ فَغَشِيَهُم مِّنَ الْيَمِّ مَا غَشِيَهُمْ
Тилира ФирIавнас шен нах‚ нийсачу новкъа ца бихкира	وَأَضَلَّ فِرْعَوْنُ قَوْمَهُ وَمَا هَدَى
ХIай Исраилан кIентий! Оха кIелхьардехира шу шун мостагIчух‚ ваIда йира шуца ламанан аьтту агIорахь‚ Оха доссийра шуна манна а‚ салва а	يَا بَنِي إِسْرَائِيلَ قَدْ أَنجَيْنَاكُم مِّنْ عَدُوِّكُمْ وَوَاعَدْنَاكُمْ جَانِبَ الطُّورِ الْأَيْمَنَ وَنَزَّلْنَا عَلَيْكُمُ الْمَنَّ وَالسَّلْوَى
Даа Оха шайна деллачу рицкъих цIенадерг‚ тIех ма довлалаш /дозанех/ цу тIехь – тIаккха Сан оьгIазло хьаьрчар ю шух. Шех Сан оьгIазло хьаьрчинарг – хIаллакхилла	كُلُوا مِن طَيِّبَاتِ مَا رَزَقْنَاكُمْ وَلَا تَطْغَوْا فِيهِ فَيَحِلَّ عَلَيْكُمْ غَضَبِي وَمَن يَحْلِلْ عَلَيْهِ غَضَبِي فَقَدْ هَوَى
Баккъалла а, Со ву тIеттIа гечдийриг ша тōба динчунна‚ ийман диллинчунна‚ дика Iамал йиначунна, тIаккха нисвеллачунна	وَإِنِّي لَغَفَّارٌ لِّمَن تَابَ وَآمَنَ وَعَمِلَ صَالِحًا ثُمَّ اهْتَدَى
Хьо стено сихви хьан къомах‚ хIай Муса?'	وَمَا أَعْجَلَكَ عَن قَوْمِكَ يَا مُوسَى
Цо элира: 'Уьш дIогахь бу сан тачча /богIуш/‚ со-м сихвелира Хьуна тIе‚ сан Кхиош-кхобург‚ Хьо реза хилархьама'	قَالَ هُمْ أُولَاء عَلَى أَثَرِي وَعَجِلْتُ إِلَيْكَ رَبِّ لِتَرْضَى
Цо (Дала) элира: 'Баккъалла а, Оха питане лаьцна хьан къам хьол тIаьхьа‚ уьш-м тилабина Самирийс'	قَالَ فَإِنَّا قَدْ فَتَنَّا قَوْمَكَ مِن بَعْدِكَ وَأَضَلَّهُمُ السَّامِرِيُّ
Муса шен къомана тIе юхавирзира оьгIазвахана‚ пошме а хилла. Цо элира: 'ХIай сан къам! Шун Кхиош-кхобучо шуьца хаза ваIда ца йинера ткъа? Яхъели шуна ваIда я шуна лии шайх шайн Кхиош-кхобучун оьгзло хьарча – аш йохий сан ваIда?'	فَرَجَعَ مُوسَى إِلَى قَوْمِهِ غَضْبَانَ أَسِفًا قَالَ يَا قَوْمِ أَلَمْ يَعِدْكُمْ رَبُّكُمْ وَعْدًا حَسَنًا أَفَطَالَ عَلَيْكُمُ الْعَهْدُ أَمْ أَرَدتُّمْ أَن يَحِلَّ عَلَيْكُمْ غَضَبٌ مِّن رَّبِّكُمْ فَأَخْلَفْتُم مَّوْعِدِي
Цара элира: 'Оха ца йохийра хьан ваIда тхан ницкъица а, тхан лаамца а‚ делахь а, тхоьга схьабаийтира /массо а/ къоман хазнийн маххьаш‚ Оха уьш /црга/ кхиссира. Иштта кхоьссира Самийрийс'	قَالُوا مَا أَخْلَفْنَا مَوْعِدَكَ بِمَلْكِنَا وَلَكِنَّا حُمِّلْنَا أَوْزَارًا مِّن زِينَةِ الْقَوْمِ فَقَذَفْنَاهَا فَكَذَلِكَ أَلْقَى السَّامِرِيُّ
Цо царна эса схьадаьккхира дегIаца шен Iехар а долуш‚ тIаккха цара элира: 'ХIара шун а Дела ву‚ Мусан а Дела ву. Цо (Мусас) вицвина  /и шен Дела‚ дIавахана/'	فَأَخْرَجَ لَهُمْ عِجْلًا جَسَدًا لَهُ خُوَارٌ فَقَالُوا هَذَا إِلَهُكُمْ وَإِلَهُ مُوسَى فَنَسِيَ
Царна ца го-те: цо (эсо) царна дош а юха ца дерзадо‚ цуьнгахь царна зен а дац‚ пайда а бац?	أَفَلَا يَرَوْنَ أَلَّا يَرْجِعُ إِلَيْهِمْ قَوْلًا وَلَا يَمْلِكُ لَهُمْ ضَرًّا وَلَا نَفْعًا
Цаьрга ХIаруна а ма элира хьалха: 'ХIай сан къам‚ шу цуьнца питане лаьцна. Баккъалла а, шун Кхиош-кхобург Ар- Рахьман ву‚ суна тIаьхьахIитта‚ сан омрана муьтIахь хила'	وَلَقَدْ قَالَ لَهُمْ هَارُونُ مِن قَبْلُ يَا قَوْمِ إِنَّمَا فُتِنتُم بِهِ وَإِنَّ رَبَّكُمُ الرَّحْمَنُ فَاتَّبِعُونِي وَأَطِيعُوا أَمْرِي
Цара элира: 'Тхо совцур дац цунна Iибадат дечух тхуна тIе Муса юхаверззалц'	قَالُوا لَن نَّبْرَحَ عَلَيْهِ عَاكِفِينَ حَتَّى يَرْجِعَ إِلَيْنَا مُوسَى
Цо элира: 'ХIай ХIарун‚ хьуна стено новкъарло йи, уьш тилабелла гича,	قَالَ يَا هَارُونُ مَا مَنَعَكَ إِذْ رَأَيْتَهُمْ ضَلُّوا
Суна тIаьхьахIотта? Сан омрана Iеса хилла хьо?'	أَلَّا تَتَّبِعَنِ أَفَعَصَيْتَ أَمْرِي
Цо (ХIаруна) элира: 'ХIай сан ненан кIант! Ма лаца сан маж а‚ сан корта а. Со кхийрира ахь āларна: 'Исраилан кIентий бекъна ахь‚ сан дош а тергал ца ди ахь'	قَالَ يَا ابْنَ أُمَّ لَا تَأْخُذْ بِلِحْيَتِي وَلَا بِرَأْسِي إِنِّي خَشِيتُ أَن تَقُولَ فَرَّقْتَ بَيْنَ بَنِي إِسْرَائِيلَ وَلَمْ تَرْقُبْ قَوْلِي
Цо элира: 'Хьан хIун бāла бу‚ хIай Самирий?'	قَالَ فَمَا خَطْبُكَ يَا سَامِرِيُّ
Цо элира: 'Суна гира царна ца гинарг: ас схьалецира элчанан тачех цхьа кана /чан/‚ и кхоьссира ас /эса т/‚ иштта хаздира суна сан сино'	قَالَ بَصُرْتُ بِمَا لَمْ يَبْصُرُوا بِهِ فَقَبَضْتُ قَبْضَةً مِّنْ أَثَرِ الرَّسُولِ فَنَبَذْتُهَا وَكَذَلِكَ سَوَّلَتْ لِي نَفْسِي
Цо (Мусас Самирийчуьнга) элира: 'ДIагIо! Хьуна /дуьненан/ дахарехь хир ду /таIзар/‚ ахь олуш: 'Ма хьакхале /сох/'. Хьуна тоьхна хан ю‚ йохор йоцуш. Хьажал хьайн деле‚ хьо шена Iибадат деш лаьтташ волчу‚ оха и вагаво‚ тIаккха оха и варжор ву чим бина хIорда чохь'	قَالَ فَاذْهَبْ فَإِنَّ لَكَ فِي الْحَيَاةِ أَن تَقُولَ لَا مِسَاسَ وَإِنَّ لَكَ مَوْعِدًا لَّنْ تُخْلَفَهُ وَانظُرْ إِلَى إِلَهِكَ الَّذِي ظَلْتَ عَلَيْهِ عَاكِفًا لَّنُحَرِّقَنَّهُ ثُمَّ لَنَنسِفَنَّهُ فِي الْيَمِّ نَسْفًا
Шун Дела АллахI ву‚ Ша воцург кхин дела воцу‚ массо а хIума чулаьцна цо Iилманца'	إِنَّمَا إِلَهُكُمُ اللَّهُ الَّذِي لَا إِلَهَ إِلَّا هُوَ وَسِعَ كُلَّ شَيْءٍ عِلْمًا
Иштта Оха дуьйцу хьоьга хабарех ша хьалхадахнарг‚ Оха делира хьоьга Тхайгара дагадайтар	كَذَلِكَ نَقُصُّ عَلَيْكَ مِنْ أَنبَاء مَا قَدْ سَبَقَ وَقَدْ آتَيْنَاكَ مِن لَّدُنَّا ذِكْرًا
Цунах дIакъаьстинарг‚ милла велахь а‚ – баккъалла а, цо хьур ма бу къематдийнахь /къинойн/ мохь	مَنْ أَعْرَضَ عَنْهُ فَإِنَّهُ يَحْمِلُ يَوْمَ الْقِيَامَةِ وِزْرًا
Гуттар лаьтташ цу /жоьжахати/ чохь – вон хили царна  къематдийнахь мохь	خَالِدِينَ فِيهِ وَسَاء لَهُمْ يَوْمَ الْقِيَامَةِ حِمْلًا
Оцу дийнахь сур локхур ю‚ Оха гулбийр бу оцу дийнахь къинош динарш /бIаьргаш/ сенбелла	يَوْمَ يُنفَخُ فِي الصُّورِ وَنَحْشُرُ الْمُجْرِمِينَ يَوْمَئِذٍ زُرْقًا
Вовшашка шабар-шибар дийр ду цара: 'Аша-м ца даьккхира /цигахь/ итт /де/ бен'	يَتَخَافَتُونَ بَيْنَهُمْ إِن لَّبِثْتُمْ إِلَّا عَشْرًا
Тхо дика хууш ду цара олург. Царах леларца уггар тоьллачара эр ду: 'Аша-м цхьа /де/ бен ца даьккхина'	نَحْنُ أَعْلَمُ بِمَا يَقُولُونَ إِذْ يَقُولُ أَمْثَلُهُمْ طَرِيقَةً إِن لَّبِثْتُمْ إِلَّا يَوْمًا
Цара хоьтту хьоьга лаьмнех лаьцна‚ ахь āла: 'Дохийна даржор ду уьш сан Кхиош-кхобучо'	وَيَسْأَلُونَكَ عَنِ الْجِبَالِ فَقُلْ يَنسِفُهَا رَبِّي نَسْفًا
Дуьтур ду Цо уьш нийса яьсса меттиг хилла	فَيَذَرُهَا قَاعًا صَفْصَفًا
Хьуна гур яц цигахь лохе а‚ лакхе а	لَا تَرَى فِيهَا عِوَجًا وَلَا أَمْتًا
Оцу дийнахь уьш тIаьхьахIуьттур бу кхойкхучунна‚ шех юьстахбовлийла доцуш‚ аьзнаш мукIар хир ду Ша сов къинхетаме волчунна (Далла)‚ хьуна хезар дац шабар-шибар бен	يَوْمَئِذٍ يَتَّبِعُونَ الدَّاعِيَ لَا عِوَجَ لَهُ وَخَشَعَت الْأَصْوَاتُ لِلرَّحْمَنِ فَلَا تَسْمَعُ إِلَّا هَمْسًا
Оцу дийнахь пайда бийр бац шапаIато Ша сов къинхетаме волчо шена пурба деллачунна бен‚ шен дашна Иза реза хиллачунна бен	يَوْمَئِذٍ لَّا تَنفَعُ الشَّفَاعَةُ إِلَّا مَنْ أَذِنَ لَهُ الرَّحْمَنُ وَرَضِيَ لَهُ قَوْلًا
Цунна (Далла) хаьа царал хьалха хилларг а‚ царал тIаьхьа хиндерг а‚ уьш тIаьхьакхуьур бац Цунах Iилманца	يَعْلَمُ مَا بَيْنَ أَيْدِيهِمْ وَمَا خَلْفَهُمْ وَلَا يُحِيطُونَ بِهِ عِلْمًا
Яххьаш мукIар хилира Ша дийна волчунна, Ша /Iаламийн гIуллакхашна/ дхIоьттийна волчунна (Далла), дог диллина висира зулам деанарг (Делаца накъост лаьцнарг)	وَعَنَتِ الْوُجُوهُ لِلْحَيِّ الْقَيُّومِ وَقَدْ خَابَ مَنْ حَمَلَ ظُلْمًا
Ша диканаш динарг‚ ша муъмин волуш – и кхоьрур вац зуламах а‚ эшамах а	وَمَن يَعْمَلْ مِنَ الصَّالِحَاتِ وَهُوَ مُؤْمِنٌ فَلَا يَخَافُ ظُلْمًا وَلَا هَضْمًا
Иштта охьадоссийра Оха и Iаьрбийн Дешар дина‚ цу чохь кхерамаш билгалбехира Оха, уьш кхоьрур бацара-те‚ аьлла‚ я цо царна /шайл хьалха хилларш хIаллакхилар/ дагадойтур дацара-те‚ аьлла	وَكَذَلِكَ أَنزَلْنَاهُ قُرْآنًا عَرَبِيًّا وَصَرَّفْنَا فِيهِ مِنَ الْوَعِيدِ لَعَلَّهُمْ يَتَّقُونَ أَوْ يُحْدِثُ لَهُمْ ذِكْرًا
Лакхавели Дела – Ша бакъволу паччахь! Сих ма ло Къуръанца хьайга Цуьнан вехьи чекхдаллалц‚ āла: 'Со Кхиош-кхобушверг‚ совваккха со Iилманца'	فَتَعَالَى اللَّهُ الْمَلِكُ الْحَقُّ وَلَا تَعْجَلْ بِالْقُرْآنِ مِن قَبْلِ أَن يُقْضَى إِلَيْكَ وَحْيُهُ وَقُل رَّبِّ زِدْنِي عِلْمًا
Оха ваIда йинера хьалха Āдамца а – цунна и йицъелира. Тхуна ца карийра цуьнгахь чIогIалла	وَلَقَدْ عَهِدْنَا إِلَى آدَمَ مِن قَبْلُ فَنَسِيَ وَلَمْ نَجِدْ لَهُ عَزْمًا
Хьахаде! Оха аьллера маликашка: 'Сужуд де Āдамна'. Цара сужуд дира, иблис доцчо – и дуьхьалхилира /сужуд дан/	وَإِذْ قُلْنَا لِلْمَلَائِكَةِ اسْجُدُوا لِآدَمَ فَسَجَدُوا إِلَّا إِبْلِيسَ أَبَى
Оха элира: 'ХIай Āдам‚ баккъалла а, хIара /иблис/ мостагI ду хьуна а‚ хьан зудчунна а‚ цо даххане а ялсамани чуьра ара ма дохийла шуьшиъ – тIаккха дакъазавер ву хьо	فَقُلْنَا يَا آدَمُ إِنَّ هَذَا عَدُوٌّ لَّكَ وَلِزَوْجِكَ فَلَا يُخْرِجَنَّكُمَا مِنَ الْجَنَّةِ فَتَشْقَى
Хьуна цу /ялсамани/ чохь мацлойла а дац‚ верза-тIерза (верзийна) вуьсийла а дац	إِنَّ لَكَ أَلَّا تَجُوعَ فِيهَا وَلَا تَعْرَى
Хьо цу чохь хьаглур а вац‚ /маьлхан/ йовхоно вагор а вац'	وَأَنَّكَ لَا تَظْمَأُ فِيهَا وَلَا تَضْحَى
ШайтIа тIедирзира цунна /тилаван/‚ элира: 'ХIай Āдам‚ ас тIенисвой хьо гуттаренан а‚ ша чекхдер доцчу паччахьаллин а диттана тIе?'	فَوَسْوَسَ إِلَيْهِ الشَّيْطَانُ قَالَ يَا آدَمُ هَلْ أَدُلُّكَ عَلَى شَجَرَةِ الْخُلْدِ وَمُلْكٍ لَّا يَبْلَى
Цара шиммо цунах кхаьллира /стом/ – тIаккха царна шинна шаьшшиннан эвхье меттигаш гучуевлира – уьш буьйлабелира шайна тIе ялсаманин гIаш летадан. Āдамо Iесалла йира шен Кхиош-кхобучунна – и тилавелира	فَأَكَلَا مِنْهَا فَبَدَتْ لَهُمَا سَوْآتُهُمَا وَطَفِقَا يَخْصِفَانِ عَلَيْهِمَا مِن وَرَقِ الْجَنَّةِ وَعَصَى آدَمُ رَبَّهُ فَغَوَى
ТIаккха шен Кхиош-кхобучо хаьржира иза‚ тōба къоболдира цуьнан‚ нисвира /нийсачу новкъа/	ثُمَّ اجْتَبَاهُ رَبُّهُ فَتَابَ عَلَيْهِ وَهَدَى
Цо (Дала) элира: 'Охьадисса шу шиъ цу /ялсамани/ чуьра  шун зуьрретах цхьаберш вакхарна мостагй хилла /лаьттахь/ цхьаьнакхетар болчу хьолехь. Шуьга беъча Соьгара нийса некъ‚ цу Сан некъана тIаьхьахIоьттинарг – и тилалур вац‚ и декъазавер вац	قَالَ اهْبِطَا مِنْهَا جَمِيعًا بَعْضُكُمْ لِبَعْضٍ عَدُوٌّ فَإِمَّا يَأْتِيَنَّكُم مِّنِّي هُدًى فَمَنِ اتَّبَعَ هُدَايَ فَلَا يَضِلُّ وَلَا يَشْقَى
Со хьехорах юхаваьлларг – сов готта бахам бу цуьнан. Оха гулвийр ву и къематдийнахь, бIаьрса а доцуш	وَمَنْ أَعْرَضَ عَن ذِكْرِي فَإِنَّ لَهُ مَعِيشَةً ضَنكًا وَنَحْشُرُهُ يَوْمَ الْقِيَامَةِ أَعْمَى
Цо эр: 'Со Кхиош-кхобург‚ Ахь хIунда гулви со, бIаьрса а доцуш‚ со бIаьрса долуш ма вари-й?'	قَالَ رَبِّ لِمَ حَشَرْتَنِي أَعْمَى وَقَدْ كُنتُ بَصِيرًا
Цо (Дала) элира: 'Иштта деара хьоьга Тхан аяташ – ахь уьш дицдира. Иштта тахана хьо вицвийр ву'	قَالَ كَذَلِكَ أَتَتْكَ آيَاتُنَا فَنَسِيتَهَا وَكَذَلِكَ الْيَوْمَ تُنسَى
Иштта бекхам бо Оха тIалам ца бинчунна‚ шен Кхиош-кхобучун аятех ца тешначунна. Эхартан Iазап мелхо а чIогIа а ду‚ /ханна/ деха а ду	وَكَذَلِكَ نَجْزِي مَنْ أَسْرَفَ وَلَمْ يُؤْمِن بِآيَاتِ رَبِّهِ وَلَعَذَابُ الْآخِرَةِ أَشَدُّ وَأَبْقَى
Уьш нис ца бина-те Оха шайл хьалха мел хIаллакйинчу тIаьхьенаша? – церан бахамашкахула дсалелаш ма бу уьш! Баккъалла а, цу чохь делилаш ма ду‚ хьекъал долчарна	أَفَلَمْ يَهْدِ لَهُمْ كَمْ أَهْلَكْنَا قَبْلَهُم مِّنَ الْقُرُونِ يَمْشُونَ فِي مَسَاكِنِهِمْ إِنَّ فِي ذَلِكَ لَآيَاتٍ لِّأُوْلِي النُّهَى
Дош хьалха ца даьллехьара хьан Кхиош-кхобучуьнгара, и хилаза цадериг дара,  цIе тоьхна хан а  /ца хиллехьара/	وَلَوْلَا كَلِمَةٌ سَبَقَتْ مِن رَّبِّكَ لَكَانَ لِزَامًا وَأَجَلٌ مُسَمًّى
Ахь собар де цара дуьйцучунна тIехь‚ хьан Кхиош-кхобучунна тасбахь де малх схьакхетале а‚ и дIабузале а. Буьйсанан заманашкахь а тасбахь де‚ дийнан тIегIешкахь а‚ – хьо реза хила там бара	فَاصْبِرْ عَلَى مَا يَقُولُونَ وَسَبِّحْ بِحَمْدِ رَبِّكَ قَبْلَ طُلُوعِ الشَّمْسِ وَقَبْلَ غُرُوبِهَا وَمِنْ آنَاء اللَّيْلِ فَسَبِّحْ وَأَطْرَافَ النَّهَارِ لَعَلَّكَ تَرْضَى
Хьан бIаьргаш данне а ма кхийдаде Оха царах шайна ниIмат деллачу марошка-зударшка – дуьненан дахаран зазадаккхар ду иза‚ уьш цу чохь Оха зерхьама. Хьан Кхиош-кхобучун рицкъ дика а‚ вуно ханна деха а ду	وَلَا تَمُدَّنَّ عَيْنَيْكَ إِلَى مَا مَتَّعْنَا بِهِ أَزْوَاجًا مِّنْهُمْ زَهْرَةَ الْحَيَاةِ الدُّنيَا لِنَفْتِنَهُمْ فِيهِ وَرِزْقُ رَبِّكَ خَيْرٌ وَأَبْقَى
Омра де хьан охIле ламаз де‚ алий‚ цу тIехь собаре хила. Оха ца доьху хьоьга рицкъ. Оха лур ду хьуна рицкъ. ТIаьхье – /Делах/ кхерарехь ю!	وَأْمُرْ أَهْلَكَ بِالصَّلَاةِ وَاصْطَبِرْ عَلَيْهَا لَا نَسْأَلُكَ رِزْقًا نَّحْنُ نَرْزُقُكَ وَالْعَاقِبَةُ لِلتَّقْوَى
Цара элира: 'Цо (пайхамара) деънехьара вайга шен Кхиош-кхобучуьнгара цхьа /билгала/ делил?' Цаьрга ца еана ткъа билгало хьалхалерчу жайнашкахь?	وَقَالُوا لَوْلَا يَأْتِينَا بِآيَةٍ مِّن رَّبِّهِ أَوَلَمْ تَأْتِهِم بَيِّنَةُ مَا فِي الصُّحُفِ الْأُولَى
Оха уьш хIаллакбинехьара Iазапца цул (пайхамарал) хьалха‚ цара эр ма дара: 'Тхо Кхиош-кхобург‚ Ахь ваийтинехьара тхоьга элча, – тхо тIаьхьахIуьттур ма дара Хьан аяташна‚ тхо сийсаза хилале‚ тхо юьхьIаьржа хIоттале?'	وَلَوْ أَنَّا أَهْلَكْنَاهُم بِعَذَابٍ مِّن قَبْلِهِ لَقَالُوا رَبَّنَا لَوْلَا أَرْسَلْتَ إِلَيْنَا رَسُولًا فَنَتَّبِعَ آيَاتِكَ مِن قَبْلِ أَن نَّذِلَّ وَنَخْزَى
Ахь āла: 'Массо а хьоьжуш ву‚ хьежа шу а‚ тIаккха тIаьхьа хуур ду шуна‚ муьлш бу нийсачу некъан дай, муьлш бу нисбелларш'	قُلْ كُلٌّ مُّتَرَبِّصٌ فَتَرَبَّصُوا فَسَتَعْلَمُونَ مَنْ أَصْحَابُ الصِّرَاطِ السَّوِيِّ وَمَنِ اهْتَدَى
Гергадеана нахана шайца хьесап дар, уьш тIаккха а терго ца еш‚ /эхартан Iамал ярх/ дIабирзина ма бу	اقْتَرَبَ لِلنَّاسِ حِسَابُهُمْ وَهُمْ فِي غَفْلَةٍ مُّعْرِضُونَ
Цаьрга ца богIу шайн Кхиош-кхобучуьнгара цхьа а керла хьехам цара цуьнга ладугIуш бен‚ шаьш ловзуш а долуш. (Забаре лоцу цара и)	مَا يَأْتِيهِم مِّن ذِكْرٍ مَّن رَّبِّهِم مُّحْدَثٍ إِلَّا اسْتَمَعُوهُ وَهُمْ يَلْعَبُونَ
Шайн дегнаш /цуьнан маьах/  тидамбоцуш долуш. Къайладаьккхира хабар зулам диначара: 'ХIара адам бен дац шу санна? Бозбуунчалла къобалдо аш‚ шайна гуш а долуш /и бозбуунчалла дуйла/?'	لَاهِيَةً قُلُوبُهُمْ وَأَسَرُّواْ النَّجْوَى الَّذِينَ ظَلَمُواْ هَلْ هَذَا إِلَّا بَشَرٌ مِّثْلُكُمْ أَفَتَأْتُونَ السِّحْرَ وَأَنتُمْ تُبْصِرُونَ
Цо (пайхамара) элира: 'Сан Кхиош-кхобучунна хаьа дош‚ стиглахь а‚ лаьттахь а /аьлла долу/.  Иза хезаш верг а‚ хууш верг а ву'	قَالَ رَبِّي يَعْلَمُ الْقَوْلَ فِي السَّمَاء وَالأَرْضِ وَهُوَ السَّمِيعُ الْعَلِيمُ
ХIаъ‚ цара элира: 'Вовшах ийна гIенаш ду. ХIаъ‚ цо кхоьллина и. ХIаъ‚ иза илланча ву. Вайга цхьа делил даийта цо‚ хьалхалернаш бахкийтаре терра'	بَلْ قَالُواْ أَضْغَاثُ أَحْلاَمٍ بَلِ افْتَرَاهُ بَلْ هُوَ شَاعِرٌ فَلْيَأْتِنَا بِآيَةٍ كَمَا أُرْسِلَ الأَوَّلُونَ
Ийман ца диллира царал хьалха а Оха хIаллакйинчу цхьана а юьрто. ХIокхара ийман дуьллур дара?	مَا آمَنَتْ قَبْلَهُم مِّن قَرْيَةٍ أَهْلَكْنَاهَا أَفَهُمْ يُؤْمِنُونَ
