Моя история	Сара сҭоурых
В это время он влюбился в женщину по имени алоиза вебер	Уи аамҭаз иара алоиза вебер захьӡыз аԥҳәызба бзиа дибеит.
Он сделал ей предложение, но она отказала, и он тогда вместо нее женился на ее сестре констанце	Уи ажәа лниҵеит, аха лара мап лкит, усҟан лара лҭыԥан лаҳәшьа констанца ԥҳәысс дигеит.
Для своей свадьбы моцарт написал свою большую композицию симинор	Моцарт икомпозициа ду си-минор ичаразы иҩит.
Как композитор моцарт достиг большого успеха, когда посетил прагу	Композиторк иаҳасабала уи аихьӡара дуқәа иоуит прага данаҭаа.
Он был уполномочен написать несколько опер и у него была успешная карьера	Иара идҵан акымкәа аоперақәа рыҩра, икариерагьы ақәҿиарақәа аман
В то время как он писал реквием, заказанный незнакомцем, моцарт был убежден, что это был его собственный реквием, и он оказался прав	Изымдырӡоз аӡәы ареквием иҩырц ианидигала, моцарт уи иара ишитәыз ала агәра ганы дыҟан, ус иагьыҟалеит, иара диашахеит.
Он очень торопился закончить его, но в конце концов успел только закончить несколько набросков и отрывочную схему остальной части	Ареквием алгара даара дахыццакуан, аха аҵыхәтәан ахәҭақәак роуп дзыхьӡаз, иара убас иаанхазгьы ахәҭақәак рысхемеи.
Он умер, вероятно, от слабого здоровья, когда ему было только тридцать пять лет	Иара иԥсҭазаара далҵуеит игәабзиара ахьыуашәшәыраз иахҟьаны ҩажәи жәохә шықәса дшырҭагылаз.
Реквием был закончен одним из учеников моцарта, сассмейром	Ареквием уи моцарт иҵаҩцәа иреиуаз – сассмеир ихиркәшеит.
Моцарт был аполитичен	Моцарт дполитика уаҩымызт.
Он был классиком	Уи дыклассикын.
Он ценил баха и был очень продуктивен: 49 симфоний и 18 опер	Иара бах ихә ҳаракны ишьон, иаԥиҵеит 49 симфониеи 18 опереи.
Винсент ван гог родился в голландии в 1853 году	Винсент ван гог винсент ван гог диит голландиа 1853 шықәсазы.
Перед тем как стать художником, он бы учителем	Дсахьаҭыхыҩхаанӡа иара дырҵаҩын.
Он начал рисовать в возрасте 27 лет	Асахьаҭыхра далагеит 27 шықәса данырҭагылаз.
В 1886 году он уехал из голландии и присоединился к своему брату тео, который жил в париже	1886 шықәсазы иара голландиантәи дцоит париж инхоз иашьа тео ишҟа.
Здесь были нарисованы некоторые из лучших его картин	Ароуп иреиӷьыз исахьақәа ахьҭихыз.
Прожив здесь два года, он переехал в южную францию, потому что климат здесь был теплее	Ҩышықәса ара дыҟан, ашьҭахь, аладатәи франциаҟа диасуеит уа еиҳа иԥхарран азы.
Но ван гог был душевнобольным	Аха ван гог дычмазаҩын, ихы итәымызт.
Во время одного из приступов сумасшествия он напал на друга, художника поля гогена	Ихеилаԥсара анизааи зны иҩыза, асахьаҭыхҩы поль гоген дизыҵҟьахьан.
Во время другого приступа он отрезал себе часть уха	Даҽазны, еиҭа ичымзара анизааи, иара илымҳа ҿихит.
В конце концов он попал в больницу для душевнобольных, но состояние его не улучшилось	Аҵыхәтәаны, уи зхеилаԥсоу рхәышәтәырҭа дҭашәеит, аха игәабзиара еиӷьымхаӡеит.
27 июля 1890 года в маленькой деревне винсент ван гог взял ружье, вышел в кукурузное поле и застрелился	1890 шықәса ԥхынгәымза 27 рзы винсент ван гог иқыҭахәыҷ аҿы ишәақь аашьҭыхны амхахьы дцан, иҽишьит.
36 часов спустя ван гог умер у брата на руках	36 сааҭ рышьҭахь ван гог иашьа инапаҿы дыԥсуеит.
Его последние слова были: «я надеюсь, что сделал правильно»	Уи аҵыхәтәантәи иажәақәа абас иҟан: «иҟасҵаз иашоуп ҳәа сгәы иаанагоит».
Никто не рисовал так кукурузные поля и подсолнухи, как ван гог	Ван гог еиԥш аӡәгьы изҭыхуамызт амхқәеи азараҟьақәеи рсахьа.
Его картины полны красок и солнечного света	Уи исахьақәа шәыгалеи мрашәахәалеи иҭәын.
Сегодня его картины стоят миллионы фунтов, но при жизни он продал лишь одну	Иахьа исахьақәа амиллион фунтқәа ирыԥсоуп, аха иԥсы анҭаз акоуп ииҭиыз.
Вильям шекспир 1564-1616 был одним из самых великих и известных писателей в истории человечества	Уильиам шекспир1564-1616 ауаатәыҩсатә ҭоурых аҿы зегь реиҳа ирдыруа шәҟәыҩҩы дуӡӡоуп.
Он родился в стратфорде-на-эйвоне, маленьком городе в центре англии	Иара диит англиа агәҭаны еивон ахықәан стратфорд ақалақь хәыҷ аҿы.
Его отец хотел, чтобы сын был образованным человеком, и вильяма отправили в местную среднюю школу	Уи иаб иԥа аҵара имазарц иҭахын азы уилиам аҭыԥантәи ашкол ахь ддәықәырҵеит.
Учась в школе, мальчик фактически не имел свободного времени	Ашколаҿы аҵара аниҵоз ахәыҷы, шамахамзар ихы дақәиҭны дҟалаӡомызт.
Но если выпадала свободная минута, он гулял по лесу или смотрел на реку эйвон	Аха минуҭк аамҭа аниоуаз, абнахь ныҟәара ма аӡиас еивон ахықәахь дцон, уи дахәаԥшуан.
В те дни в городах не было большого количества театров, и актеры с актрисами должны были путешествовать, переезжая со своими представлениями с одного места на другое	Усҟантәи аамҭазы ақалақь аҿы атеатрқәа рацәаны иҟамызт, актиорцәеи, актрисацәеи рықәгыламҭақәа рыманы, ҭыԥк аҟынтә даҽа ҭыԥкахь ицалар акәын.
Иногда они приезжали в стратфорд-на-эйвоне	Урҭ зны-зынла стратфордҟа иаалон.
Вильяму нравилось наблюдать за их игрой	Вилиам урҭ рыхәмарра ахәаԥшра бзиа ибон.
Он влюбился в эту профессию и решил стать актером	Иара ари азаанаҭ бзиа ибеит, иагьиӡбеит дактиорхарц.
Он поехал в лондон, и стал там актером	Иара лондонҟа дцоит, уа иара дактирхоит.
В это время он также начал писать пьесы	Убри аамҭазы иара убас апиесақәа рыҩра далагоит.
Шекспир был одновременно и актером, и драматургом	Шекспир дагьактиорын, дагьдраматургын.
В своих работах он отразил события жизни своих современников	Иара иусумҭақәа ирныԥшит иаамҭазтәи ауаа рыԥсҭазаара ахҭысқәа.
Его пьесы были поставлены во многих театрах, переведены на иностранные языки	Уи ипиесақәа ирацәаны атеатрқәа рыҟны иқәдыргылеит, еиҭаргеит атәым бызшәақәа рахь.
Это сделало шекспира очень знаменитым	Ари шекспир даара деицырдыруа дҟанаҵеит.
Самые известные из его пьес – «отелло», «король лир», «гамлет», и «ромео и джульетта»	Еиҳа иеицырдыруа ипиесақәа рахь иԥхьаӡоуп – «отелло», «акрал лир», «гамлет», «ромеои џьулеттеи».
Они до сих пор популярны, и вы можете увидеть их практически в любой стране мира	Урҭ иахьагьы ирылаҵәаны иҟоуп, шәахьнеилак атәылақәа рҿы иубар уылшоит.
Всего шекспир написал тридцать семь пьес	Шекспир зынӡа 37 пиеса иҩит.
Он сотрудничал с лучшими английскими театрами почти 25 лет	Иара 25 шықәса раҟара иреиӷьӡаз англиатәи атеатрқәа аус рыциухьан.
Уильям шекспир написал также много стихов, включая непревзойденные сонеты	Уильиам шекспир иара убас ажәеинраалақәа рацәаны иҩит, зеиӷьыҟам асонетқәа налаҵаны.
На его стихи написано множество песен	Уи иажәеинраалақәа ирылхны ашәақәа рацәаны ирыҩхьеит.
Он до сих пор является самым публикуемым и известным писателем во всем мире	Иара зегь реиҳа иркьыԥхьуа, еицырдыруа шәҟәыҩҩуп адунеиаҿы.
Мы не много знаем о его жизни	Уилиам шекспир иԥсҭазааразы иаҳдыруа имаҷуп.
Мы можем только предположить, каким человеком он был, анализируя легенды и немногие документы того времени	Ҳара уаҩык иаҳасабала иара дзеиԥшраз ҳазҳәоны иҟоу уи аамҭазтәи алегендақәеи инхаз адокументқәеи.
Шекспир умер 23 апреля 1616 года	Шекспир мшаԥымза 23, 1616 шықәсазы иԥсҭазаара далҵит.
Шекспир написал 38 пьес и много стихов	Иара иҩит 38 пиесеи ажәеинраалақәеи рацәаны.
Фиодор достоевский считается одним из самых выдающихся писателей мировой литературы	Федор достоевски адунеизегьтәи алитератураҿы иналукааша ашәҟәыҩҩцәа дыруаӡәкуп ҳәа иԥхьаӡоуп.
Прежде всего, благодаря романам «преступление и наказание» 1866 и «братья карамазовы» 1880 уровень глубокого философского понимания и психологизма которых стал важной вехой в развитии философской мысли века, особенно, психоанализа и экзистенциализма	Зегь раԥхьа иргыланы уи ироманқәа «ацәгьауреи ахьырхәреи» 1866 «аишьцәа карамазааи» 1880ш ирыҵоу афилософиеи аԥсихологизми рыҵаулара xx ашәышықәсазы афилософиатә хәыцра, ҷыдала, аԥсихоанализи аекзистенциализми аҿиараҿы крызҵазкуа акы акәны иҟалеит.
Кроме того, сильные литературные образы достоевского повлияли на современных писателей, таких как франц кафка	Уи адагьы, достоевски илитературатә хаҿсахьа ӷәӷәақәа анырра дуӡӡа рырҭеит франц кафка еиԥш иҟаз уи аамҭазтәи ашәҟәыҩҩцәа.
Сложная жизнь писателя позволила ему изображать с глубокой симпатией персонажей, подавленных эмоционально и духовно, отображающих вечный христианский конфликт между духовным и телесным	Иуадаҩыз ашәҟәыҩҩы иԥсҭазаара илнаршеит цәаныррала, доуҳала ихәаҽыз, адоуҳаи ацәеижьи ахаанаахыс ирыбжьоу ақьырсиантә еимакы зныԥшуа ифырхацәа бзиабарала раарԥшра.
Достоевский рос в семье представителей среднего класса в москве	Достоевски москва абжьаратәи акласс иаҵанакуаз аҭаацәара далҵит.
Его отец, врач, был домашним тираном, а мать была мягкой, религиозной женщиной и умерла до того, как достоевскому исполнилось 16 лет	Иҳақьымыз иаб, дтиранын, иан ԥҳәыс татан, анцәа дхалҵон, лыԥсҭазаара далҵит достоевски 16 шықәса ихыҵаанӡа.
Чтение как способ убежать от гнетущей атмосферы родительского дома стало для мальчика любимым занятием	Аҷкәын қәыԥш аҩны имаз аҭагылазаашьа бааԥс дацәцарц азы ашәҟәыԥхьара бзиа ибаны ихҭаикит.
Особенно нравились ему произведения гоголя, гофмана и бальзака	Ҷыдала игәаԥхон гоголи, гофмани, бальзаки рырҿиамҭақәа
По настоянию отца достоевский учился инженерному делу в санктпетербурге	Достоевски иаб ус иҭаххан анџьныр ус иҵон санкт-петербург.
Однажды, когда дети были в школе, отца убили его крепостные в фамильном имении	Ҽнак, ахәыҷқәа ашкол аҿы ианыҟаз иаб иаҳтынраҿы имаҵуҩцәа дыршьит.
Достоевский редко вспоминал об убийстве отца	Достоевски, шамахамзар, игәалашәаӡомызт, иаб дшыршьыз атәы.
Зигмунд фрейд допускал, что эпилепсия романиста была проявлением чувства вины за подсознательное желание смерти отца	Зигмунд фреид ароманист имаз аепилепсиа гәынхәҵысҭала иаб иԥсра дахьазхәыцуаз ихы иавибоз иахылҵуазар ҟалоит ҳәа иԥхьаӡон.
В первую очередь, его интересовало вечное стремление человека познать бога и самого себя	Раԥхьа инаргыланы, иара дазҿлымҳан ауаҩытәыҩса ахаанаахыс дзышьҭоу – анцәеи иара, ихи реилкаара.
Последним произведением достоевского стал роман «братья карамазовы» 1880 г. описывающий трагедию одной семьи	Достоевскии аҵыхәтәантәи ироманқәа ируакхеит ҭаацәарак рытрагедиа аазырԥшуа «аишьцәа карамазоваа» 1880 ш.
В романе рассказывается об убийстве отца одним из четырех сыновей	Ароман аҿы ԥшьҩык аԥацәа рахьтә руаӡәык иаб дишьуеит.
В 1881, через несколько месяцев после окончания «братьев карамазовых», писатель умер в своем доме в санкт-петербурге	1881 шықәса азы «аишьцәа карамазоваа» ароман даналга анаҩс мызқәак рышьҭахь иԥсҭазаара далҵит иара иҩны санкт-петербург.
Джон уинстон оно леннон – широко известный певец, композитор, поэт и гитарист британской рок-группы «битлз »	Џьон уинстон оно леннон – еицырдыруа британиатәи арок-гәыԥ «битлз» ашәаҳәаҩ, дкомпозиторын, дпоетын, дгитаристын.
В своей творческой карьере он также был сольным музыкантом, политическим активистом, артистом, актером и автором	Иара убас иара ирҿиаратә кариераҿы ахкы назыгӡоз музыкантын, политикатә активистын, артистын, актиорын, авторын.
Являясь частью легендарного дуэта композиторов леннон – маккартни, он оказал очень сильное влияние на развитие рок-музыки	Уи акомпозиторцәа рдует џьашьахәы џьони – маккартни иалазаара иабзоураны арок музыка аҿиара анырра ӷәӷәа аиҭеит.
Многие песни леннона, такие как «imagine» и «strawberry fields forever» часто называют лучшими песнями за всю историю попмузыки	Аҭоурыхаҿы леннон иашәақәа «imagine» и «strawberry fields forever» лассы-лассы апоп-музыка аҭоурых зегьы аҿы иреиӷьу ашәақәоуп ҳәа азырҳәоит.
В 2002 году британская телерадиокомпания би-би-си провела опрос для того, чтобы определить 100 величайших британцев за всю историю	2002 ш. азы британиатәи ателерадиоеилахәыра би-би-си азҵаанҵа мҩаԥнагеит, аҭоурых зегьы аҿы британиаа рахьтә шәҩык инарылукааша зегьы иреиҳаӡоу, зегь иеицырдыруа ауаа реилкааразы.
Британская общественность поставила леннона на восьмое место	Британиа ауаажәларра леннон аабатәи аҭыԥ аҿы ддыргылеит.
Британская общественность определила леннона на восьмое место	Британиа ауаажәларра леннон аабатәи аҭыԥ аҿы ддыргылеит.
Леннон родился в ливерпуле 9 октября 1940 года	Леннон 1940 шықәса жьҭаара 9 рзы ливерпуль ақалақь аҿы диит.
Оба его родителя имели музыкальное образование	Иҭаацәа аҩыџьагь амузыкатә ҵара рыман.
После их развода все свое детство и юность леннон прожил со своей тетей и ее мужем	Урҭ анеилыҵ ашьҭахь, ихәыҷреи иарԥысреи иан лаҳәшьеи лхаҵеи рҿы ихигеит.
Джона леннона приняли в ливерпульский колледж искусств	Џьон леннон ливерпультәи аҟазаратә коллеџь аҿы дрыдыркылеит.
Ему не нравилась учеба там и, в конечном итоге, он бросил учебу	Уа аҵара игәаԥхомызт азы, аҵыхәтәан, иҵара аанижьуеит.
Вместо этого леннон посвятил себя музыке, вдохновленный американским рок-н-роллом и такими певцами как элвис пресли, чак бери и бадди холли.	Уи аҭыԥан леннон амузыка ихы азикуеит, ҷыдала америкатәи рокн-ролли, ашәаҳәаҩцәа елвис пресли, чак бери, бадди холли ирҭаз абзиабареи ирыбзоураны.
Леннон начал играть рок-н-ролл в группе, которая впоследствии получила название « битлз»	Леннон рок-н-ролл агәыԥаҿы ахәмарра далагеит, анаҩс уи «битлз» ҳәа ахьӡ ауит.
В шестидесятые годы леннон оказал глубокое влияние на развитие рок-н-ролла и расширил границы этого жанра музыки	Хынҩажәатәи ашықәсқәа рзы леннон амузыкатә жанр рок-нролл аҿиараҿы инарҵауланы анырра аиҭеит, абасала, ари амузыка ажанр аҳәаақәагьы ирҭбааит.
Наряду с его коллегой композитором маккартни, леннона считают одним из самых влиятельных певцов, композиторов и музыкантов xx столетия	Леннон иколлега акомпозитор маккартни днаидкыланы хх ашәышықәсазы анырра ду ҟазҵоз акомпозиторцәа, ашәаҳәаҩцәа амузыкантцәа ҳәа ирыԥхьаӡоит.
В1970 году джон леннон решил уйти из «битлз»	1970 шықәсазы џьон леннон «битлз» далҵырц иӡбоит.
Из всех четырех бывших участников группы леннон выпустил самое большое количество музыкальных альбомов	Уи агәыԥ иалахәыз аԥшьҩык рахьтә леннон зегь раасҭа ирацәаны амузыкатә альбомқәа ҭижьит.
В 1980 году леннон был трагически убит помешанным фанатом по имени чапмен	1980 шықәсазы, леннон, чампен захьӡыз, зхы еилаԥсаз афонат рыцҳарыла дҭаирхеит.
Он выпустил в певца пять пуль	Уи ашәаҳәаҩ хынтә диеихсеит.
Одна пуля его не задела, но четыре попали в спину и плечо леннона.	Хык имаахаӡеит, агьырҭ аԥшьхык ибӷа, ижәҩа иаахеит.
Когда в шестидесятые годы леннона однажды спросили как, по его мнению, он умрет, он неожиданно ответил: «вероятно, меня застрелит какой-то сумасшедший»	Хынҩажәатәи ашықәсқәа рзы, зны леннон уԥсра шԥаҟалари угәы ишԥаагои ҳәа ианиазҵаа, уи иаалырҟьаны, “зхы еилаԥсоу аӡәы сишьыр ауеит” ҳәа аҭак ҟаиҵеит.
Международные отношения	Жәларбжьаратәи аиҿкаарақәа
Европейский союз – это межправительственное и наднациональное объединение 25 европейских стран, называемых странами – членами союза	Европатәи аидгыла – европатәи атәылақәа 25 еидызкыло, аиҳабырабжьаратә имилаҭтәым еиҿкаароуп, урҭ аидгыла иалахәу атәылақәа ҳәа рыхьӡуп.
Европейский союз – это межправительственное и наднациональное союз 25 европейских стран, называемых странами – членами союза	Европатәи аидгыла – европатәи атәылақәа 25 еидызкыло, аиҳабырабжьаратә имилаҭтәым еиҿкаароуп, урҭ аидгыла иалахәу атәылақәа ҳәа рыхьӡуп.
Европейский союз был создан в 1992 году маастрихтским соглашением о европейском союзе	Европатәи аидгыла 1992 шықәсазы иаԥҵан европатәи аидгылазы маастрихттәи аиқәшаҳаҭрала.
Деятельность евросоюза покрывает все сферы государственной деятельности, начиная со здравоохранения и экономики, заканчивая внешней политикой и обороной	Еропатәи аидгыла аусура иаҵанакуеит аҳәынҭқарратә усзура аҟәшақәа зегьы, агәабзиарахьчареи аекономикеи инадыркны адәныҟатәи аполитикеи атәылахьчареи рҟынӡа.
Ключом всего существования евросоюза является создание и управление единым рынком, который включает в себя: таможенный союз, единую валюту, введенную в 12 из 25 стран евросоюза, единую сельскохозяйственную политику, единую торговую политику и единую рыбоохранную политику	Урҭ рыдагьы, евроеидгыла аҟазаараҿы ихадараны иҟоуп иаку аџьырмыкьа аԥҵареи напхгараҭареи, уи иаҵанакуеит: аҳазалхратә еидгыла, иҟоу 25 тәыла рҿы 12 рыҟны иалагалоу иаку авалиута, иаку ақыҭанхамҩатә политика, иаку ахәаахәҭратә политикеи иаку аԥсыӡхьчаратә политикеи.
Самыми важными учреждениями евросоюза являются еврокомиссия, совет европейского союза, европейский совет, суд европейского союза, европейская счётная палата, европейский центральный банк и европейский парламент	Евроеидгыла аусбарҭа хадақәаны иҟоуп еврокомиссиа, европатәи аидгыла ахеилак, европатәи ахеилак, европатәи аидгыла аӡбара, европатәи аԥхьаӡаратә палата, европатәи амилаҭтә банки европатәи апарламенти.
Что же касается расширения евросоюза, то самое большое произошло 1 мая 2004 года, когда к евросоюзу присоединились 10 новых государств	Евроеидгыла арҭбаара атәы ҳҳәозар, еиҳа аҽарҭбааит лаҵарамза 1, 2004 шықәсазы евроеидгыла иҿыцу аҳәынҭқаррақәа 10 анацла.
Румыния и болгария присоединятся к евросою- зу 1 января 2007 года	Румыниеи болгариеи евроеидгыла иалалеит ажьырныҳәа 1, 2007 шықәсазы.
Со временем евросоюз может вырасти до 30 государств-членов	Аԥхьаҟа евроеидгыла иазҳар алшоит 30 ҳәынҭқарра рҟынӡа.
Процесс расширения евросоюза иногда называют евроинтеграцией	Евроеидгыла аҽырҭбаара апроцесс зны-зынла евроинтеграциаҳәа азырҳәоит.
Чтобы присоединится к евросоюзу, государство должно выполнить ряд экономических и политических условий	Евроеидгыла алаларазы аҳәынҭқарра аекономикатәи аполитикатәи дҵақәак нанагӡароуп.
К тому же, в соответствии с соглашением евросоюза, каждый член евросоюза должен одобрить это вступление	Насгьы евроеидгыла аиқәшаҳаҭра инақәыршәаны, евроеидгыла иалахәу зегьы уи алалара иазыразхароуп.
В евросоюз сегодня входят 28 государств, население составляет примерно 500 миллионов человек	Евроеидгыла иахьа 28 ҳәынҭқарра алоуп, иеиднакыло ауааԥсыра 500 миллион рҟынӡа ҟалоит инықәырԥшшәа.
В 2012 году европейскому союзу присуждена нобелевская премия мира	2012 шықәсазы европатәи аидгыла аҭынчра иазку нобель ипремиа анашьоуп.
Юнеско – это организация объединенных наций по вопросам образования, науки и культуры – создана 16 ноября 1945 года	Иунеско – ари аҵараиуреи, аҵарадырреи, акультуреи рызҵаарақәа рзы еиду амилаҭқәа реиҿкаароуп – иаԥҵан абҵара 16, 1945 шықәсазы.
Сегодня юнеско является своеобразным генератором новых идей и стандартов, которые закладываются в основу международных нормативных документов по урегулированию возникающих перед человечеством проблем этического плана	Иахьа иунеско ауаатәҩса рҿаԥхьа иқәгыло аетика ҟазшьа змоу апрболемақәа рҭышәныртәалара, рҳәаақәҵара иазку жәларбжьаратәи анормативтә документқәа шьаҭас изауа иҿыцу аидеиақәеи астандартқәеи рцәыргара зылшо акакәны иҟоуп
Юнеско также является центром по обмену и распространению информации и знаний, помогая тем самым государствам – членам этой организации развивать потенциал общества в самых разных сферах деятельности	Иунеско иара убас аинформациқәеи адыррақәеи реимдареи рыларҵәареи иазку центрны иҟоуп, убри алагьы ари аиҿкаара иалахәу аҳәынҭқаррақәа руаажәларрақәа рылшарақәа еиуеиԥшым аҟәшақәа рыҟны рыҿиара иацхраауеит.
В общем, юнеско способствует развитию международного сотрудничества среди 191 действующих и 6 ассоциированных государств – членов организации в сфере образования, науки, культуры и коммуникации	Жәакала, иунеско аус зуа 191 иара убас ассоциациатә ҳәынҭқаррақәа 6 рыбжьара – аҵараиуреи, акультуреи, акоммуникациеи рысҟәшаҟны жәларбжьаратәи аусеицура иацхраауеит.
Юнеско работает над созданием условий для честного международного диалога, основанного на уважении основных человеческих ценностей и признания каждой цивилизации и культуры	Иунеско ииашаны, мцҳәарада, хра злоу ауаатәыҩсатә ҟазшьақәеи иарбан цивилизациазаалакгьы, иарбан культуразаалакгьы ҳаҭыр ақәҵареи шьаҭас измоу жәларбжьаратәи аигәныҩразы, аилибакааразы аҭагылазаашьа аԥҵара иазкуп.
Эта роль юнеско особенно важна сегодня, когда терроризм представляет собой угрозу всему человечеству	Иунеско ари ароль иахьа ҷыдала аҵакы дуӡӡа амоуп атерроризм ауаҩытәыҩса ашәарҭара анрызцәырнаго аамҭазы.
Мир крайне нуждается в глобальном видении перспектив устойчивого развития, основанного на соблюдении прав человека, взаимном уважении людей и народов и борьбой с нищетой	Адунеи аԥхьаҟа иҭышәынтәаланы аҿиаразы, ауаҩы зинқәа ирықәныҟәаны, ҳаҭырла ауааи ажәларқәеи реизыҟазаашьеи, аӷарра аҿагылареи шьаҭас измоу аглобалтә знеишьа аҭахуп.
Именно эти направления и являются целью юнеско и лежат в основе ее деятельности	Абарҭ ахырхарҭақәа роуп иунеско хықәкыс иамоу, уи аусурагьы ҵакыс иаҵоу.
Кембридж – второй самый старый университет в великобритании после оксфорда, четвёртый в мире, один из наиболее известных университетов мира	Кембриџь – оксфорд анаҩс, британиа ду иҟоу зегь раасҭа ижәытәтәу аҩбатәи университетуп, адунеи аҿы аԥшьбатәи аҭыԥ аннакылоит, еиҳа еицырдыруа ауниверситетқәа ируакуп.
Кембриджский университет сегодня сосоит из 31 колледжей	Кембриџьтәи ауниверситет шьақәгылоуп 31 коллеџь рыла.
Большая часть населения города – преподаватели и студенты	Ақалақь аҿы инхо ауааԥсыра реиҳараҩык арҵаҩцәеи астудентцәеи роуп.
Все студенты должны жить в кембридже, в то время как они учатся там	Астудентцәа зегь аҵара анырҵо кембриџь инхозароуп.
На улицах кембриджа вы можно увидеть, что много молодых людей, которые носят темно-синюю или черную одежду	Кембриџь амҩадуқәа рҿы иуԥылоит ииаҵәеиқәароу, мамзаргьы еиқәаҵәоу, амаҭәа зшәу аҿар маҷымкәа.
Учебная и исследовательская работа со студентами и аспирантами проходит в школах - их 6.	Астудентцәеи аспирантцәеи рҵареи рыҭҵаарадырратә усуреи ашколқәа - дара қ ыҟоуп - рыҟны имҩаԥысуеит.
Школы состоят из факультетов и кафедр	Ашколқәа афакультетқәеи акафедрақәеи рыла ишьақәгылоуп.
В кембриджском университете обучение ведётся по 28 курсам	Кембриџьтәи ауниверситет аҟны арҵара мҩаԥысуеит 28 курс рыла.
Эти курсы включают в себя следующие предметы:	Арҭ акурсқәа ирыҵанакуеит абарҭ амаҭәарқәа:
Современные и средневековые языки; французский, немецкий, итальянский, испанский, португальский и русский языки	Иахьатәии абжьарашәышықәсазтәи абызшәақәа; афранцыз, анемец, аиталиа, аиспан, апортугалиа, аурыс бызшәақәа.
Биологические и биомедицинские науки	Абиологиатәи абиомедицинатәи ҵарадыррақәа
В настоящий момент три колледжа принимают только женщин	Иахьа аколлеџьқәа хԥа аҳәса рымацара рыдыркылоит.
Остальные 28 колледжей – смешанные	Егьырҭ 28 коллеџь –еилаԥсоуп.
Два колледжа принимают только аспирантов	Аколлеџьқәа ҩба аспирантцәа мацара рыдыркылоит.
4 колледжа принимают преимущественно взрослых студентов - старше 21 года - или аспирантов	Аколлеџьқәа 4 еиҳарак астудентцәа еиҳабацәа ма аспирантцәа рыдыркылоит - 21 ш. иреиҳау.
Остальные 25 колледжей принимают как студентов, так и аспирантов	Егьырҭ 25 коллеџь астудентцәа реиԥш аспирантцәагьы рыдыркылоит.
Европейские женщины вчера и сегодня	Европатәи аҳәса иаци иахьеи
В 17-м столетии богатым женщинам обычно преподавали дома домашние учителя	17-тәи ашәышықәсазы ибеиаз аҳәсақәа, шамахамзар, аҩны арҵаҩцәа аҵара ддырҵон.
Им преподавали такие предметы, как латынь, французский язык, рукоделие, их также обучали, как хорошо выглядеть, играть на фортепьяно и других музыкальных инструментах	Урҭ иддырҵон абас еиԥш иҟаз амаҭәарқәа: алаҭын, афранцыз бызшәа, анапҟазара иара убас иддырҵон урҭ рҭеиҭыԥш ацклаԥшышьа, афортепианои егьырҭ амузыкатә инструментқәеи рҿы ахәмаршьа.
Когда они подрастали, их родители решали, за кого они должны выйти замуж; семья женщины должна была платить приданое родителям мужа	Дара ианрызҳалак, рҭаацәа ирыӡбон хаҵа изыццаша; аԥҳәызба лҭаацәа лыԥшәма иҭаацәара леихраҵага рырҭар акәын.
Богатые женщины обычно не работали, они могли только оставаться дома и заботиться о семье, указывая слугам, что делать	Ибеиаз аҳәса аус рыуӡомызт, урҭ аҩны иҟазар акәын, рҭаацәа ирхылапшуан рмаҵуцәа адҵақәа рыҭо, иҟарҵаша раҳәо.
Бедные женщины не ходили в школу и не имели образова- ния; они только заботились о своем доме, детях, готовили еду или работали на полях	Иӷарыз аҳәса ашкол ахь иныҟәомызт, аҵарагьы рымамызт; рыҩны, рхәыҷқәа ирхылаԥшуан, афатә ҟарҵон, амхы, ауҭра ҟарҵон.
Им платили мало, а работать нужно было много	Рџьабааԥса маҷны ирзыршәон, аус рацәаны иутәын.
В 19-м столетии обеспеченные женщины обычно получали образование дома, им преподавали практически то же самое, что и женщинам семнадцатого столетия	19-тәи ашәышықәсазы амал змаз аҳәса аҵара аҩны иддырҵон, урҭгьы 17-тәи ашәышықәсазы аҳәса иддырҵоз ддырҵон, шамахамзар.
Их учили играть на фортепьяно, говорить по-французски, привлекательно выглядеть и развлекать гостей	Урҭ афортепиано ахәмаршьа, францыз бызшәала ацәажәашьа, аҽырԥшӡашьа, асасцәа рырлахҿыхшьа ргәыҟаҵашьа ддырҵон.
После 1870 года образование для женщин стало обязательным	1870 шықәса рынахыс хымԥада аҵара рымазар акәын.
Девочки и мальчики учили разные предметы	Аҷкәынцәеи аӡӷабцәеи еиуеиԥшымыз амаҭәарқәа ирхысуан.
Девочки изучали прачечное дело, кулинарию, рукоделие и навыки домашнего хозяйства и т. д.	Аӡӷабцәа аӡәӡәашьеи, афатәҟаҵашьеи, анаплыхҟаҵарақәеи, аҩны аныҟәгашьеи рҵон.
