AB1	Апланета
AB1226	адгьыл
AB1227	аҵан
AB1228	аҵаулараҿы
AB1229	авулканмч
AB1230	даҽа
AB1231	ҭыԥк
AB1232	ахь
AB1233	идәықәнаҵан,
AB1234	дунеи
AB1235	хәыҷык
AB1236	ҭахеит.
AB1237	Иҟоу
AB1238	ҭыԥқәак
AB1239	авулкан
AB1240	лава
AB1241	адгьылаҵан
AB1242	шьха
AB1243	дуқәак
AB1244	ахьышьақәнаргылаз.
AB1245	Адунеи
AB1246	аҿы
AB1247	иҟоуп
AB1248	30
AB1249	нызықь
AB1250	раҟара
AB1251	абарҭ
AB1252	иреиԥшу
AB1253	авулканқәа.
AB1254	Урҭ
AB1255	џьоукы
AB1256	ашьаҭа
AB1257	инаркны
AB1258	иуԥхьаӡозар,
AB1259	зегьы
AB1260	иреиҳау
AB1261	ашьха
AB1262	дәы
AB1263	_Еверест
AB1264	аасҭа
AB1265	акырӡа
AB1266	иҳаракуп.
AB1267	Аӡаҵаҟа
AB1268	урҭ
AB1269	рықәцәқәа
AB1270	хыжәжәаны
AB1271	цаҟьа
AB1272	лбааны
AB1273	илашьҭуп.
AB1274	Аӡымҩасқәа,
AB1275	ашьха
AB1276	аганқәа
AB1277	ҿызыӡәӡәаауа
AB1278	арҵәыгақәа
AB1279	аҵаҟынтә
AB1280	хыхьҟа
AB1281	ихаргалоит.
AB1282	Ацаҟьа
AB1283	ӷәӷәақәа
AB1284	роуп
AB1285	изықәгылоу
AB1286	хыԥхьаӡара
AB1287	рацәала
AB1288	еиуеиԥшым
AB1289	аформақәеи
AB1290	аԥшшәқәеи
AB1291	рзы
AB1292	.
AB1293	Акоралл
AB1294	татақәа
AB1295	акыр
AB1296	метра
AB1297	аҭбаара
AB1298	змоу,
AB1299	ираҩсны
AB1300	ицо
AB1301	амшын
AB1302	сы
AB1303	ааныркылоит.
AB1304	Ашыш
AB1305	кораллқәа
AB1306	ршьапқәа
AB1307	рыла
AB1308	аӡымҩасрахь
AB1309	иеихоит.
AB1310	Ашәымгьар
AB1311	дуӡӡақәа
AB1312	иҵааршәыроу
AB1313	аӡы
AB1314	раӡаны
AB1315	ихырҳагоу
AB1316	афатә
AB1317	а
AB1318	лырхуеит.
AB1319	Ара,
AB1320	ақәцә
AB1321	ахь
AB1322	аӡы
AB1323	мҩас
AB1324	хьшәашәақәа
AB1325	иаарго
AB1326	аминералқәеи
AB1327	органикатә
AB1328	цәынхақәеи
AB1329	фатәыс
AB1330	измоу,
AB1331	зыԥсы
AB1332	ҭоу
AB1333	аорганизмқәа
AB1334	маҷӡам.
AB1335	Иҿыцәаахьоу
AB1336	авулкан,
AB1337	километраки
AB1338	бжаки
AB1339	рҟынӡа
AB1340	аҵаулараҿы,
AB1341	Амра
AB1342	ашәахәа
AB1343	ахьзымнеиуа
AB1344	аҭыԥаҿы
AB1345	абри
AB1346	аҩыза
AB1347	абаҳча
AB1348	шәҭит.
AB1349	Амшын
AB1350	аҵан
AB1351	инхо,
AB1352	ахышьапы
AB1353	мшынԥстәы,
AB1354	наутилус
AB1355	захьӡу.
AB1356	Ҽынла
AB1357	уи
AB1358	400
AB1359	м
AB1360	аҵаулараҿы
AB1361	аҽаҵәахуеит,
AB1362	Ианаахәлалак,арифқәа
AB1363	рышҟа
AB1364	ихалоит
AB1365	афатә
AB1366	иашьҭаланы.
AB1367	Иара
AB1368	амыдаяьцәа
AB1369	газла
AB1370	ирҭәу
AB1371	аҟәшақәа
AB1372	амоуп.
AB1373	Арҭ
AB1374	акамерақәа
AB1375	ахы
AB1376	иархәаны
AB1377	аӡсашьа
AB1378	аԥсахыр
AB1379	алшоит.
AB1380	Иааиуа
AB1381	аӡы
AB1382	иацны
AB1383	ицоит,
AB1384	Иагәҭасны
AB1385	иҭнагоит
AB1386	аҭра.
AB1387	Аха
AB1388	ианыӡсо
AB1389	амыдаяьцәа
AB1390	ԥхьаҟалоуп
AB1391	ишцо,
AB1392	Ус
AB1393	анакәха
AB1394	-
AB1395	иахьцо
AB1396	абаӡом.
AB1397	Арии,
AB1398	ижәытәӡатәу
AB1399	мшынԥстәуп,
AB1400	хылҵшьҭрала
AB1401	иззааигәоу,
AB1402	аҿиарамҩан
AB1403	змыдаяьцәа
AB1404	зцәыӡхьоу,
AB1405	акальмарқәеи
AB1406	аа-шьапқәеи
AB1407	роуп.
AB1408	Аа-шьапи
AB1409	наутилуси
AB1410	аияара
AB1411	рыбжьоуп.
AB1412	Абар,
AB1413	иара,аҽырҩашьара
AB1414	иазҟазоу.
AB1415	Наутилус
AB1416	аа-шьапы
AB1417	ааигәара
AB1418	инеиӡом,
AB1419	шамахамзар.
AB1420	Иара
AB1421	ашьап
AB1422	хәыҷқәа
AB1423	рҿы
AB1424	анырралша
AB1425	змоу
AB1426	ахимиатә
AB1427	рецепторқәа
AB1428	амоуп,
AB1429	урҭ
AB1430	изышьҭоу
AB1431	афатә
AB1432	еиԥш,
AB1433	агыгшәыг
AB1434	ԥсыцәгьақәа
AB1435	рышьҭа
AB1436	гәарҭоит.
AB1437	Уажәы,
AB1438	ари
AB1439	ашьҭа
AB1440	аа-шьапы
AB1441	иатәуп.
AB1442	Шьҭа
AB1443	уи
AB1444	аԥслымӡ
AB1445	ақәыҭәҳәаразы
AB1446	аӡыршәга
AB1447	ахы
AB1448	ианархәоит.
AB1449	Аӡсаразы
AB1450	наутилус
AB1451	рацәак
AB1452	аҽарааԥсаӡом,
AB1453	Мызкахьтә
AB1454	знык
AB1455	акрафар
AB1456	иазхоит.
AB1457	Акы
AB1458	аԥшааит.
AB1459	Уи
AB1460	бзиоуп,
AB1461	Ашарккара
AB1462	иалагоит,
AB1463	аӡаҵахь
AB1464	ихынҳәыроуп
AB1465	шьҭа.
AB1466	Ари
AB1467	аҭыԥ
AB1468	аҟнытә
AB1469	50
AB1470	км
AB1471	ахьыбжьоу
AB1472	аӡы
AB1473	ахыхьҟа
AB1474	акальмарқәа
AB1475	рҽеидкыланы
AB1476	идәықәлеит.
AB1477	Уахынла
AB1478	урҭ
AB1479	апланктонқәа
AB1480	рыҩныҵҟа
AB1481	аԥсыӡ
AB1482	ссақәа
AB1483	ирышьҭоуп.
AB1484	Аха
AB1485	даргьы
AB1486	ргәырҽануп.
AB1487	Ашәыта
AB1488	зну
AB1489	аокеанҭынч
AB1490	мшынҳәақәа
AB1491	ааигәа
AB1492	иҟазаап.
AB1493	Урҭ
AB1494	абжьныҩлокаторқәа
AB1495	рхы
AB1496	иадырхәоит.
AB1497	Амшынҳәақәа
AB1498	ласы-лассы
AB1499	еицышәарыцалоит,
AB1500	Дара
AB1501	еицжәыланы,
AB1502	изышьҭоу
AB1503	дыршәаҟьоит,
AB1504	«идырҟьалоит».
AB1505	Ишо
AB1506	ианалага,
AB1507	акальмарқәеи,
AB1508	аԥсыӡқәеи,
AB1509	апланктони
AB1510	алашьцара
AB1511	зхатәоу
AB1512	аӡаҵаҟа
AB1513	ихынҳәуеит.
AB1514	Аӡаҵаҟатәи
AB1515	вулканқәак
AB1516	ргылара
AB1517	амшын
AB1518	аҵа
AB1519	инаркны
AB1520	хыхьынӡа
AB1521	жә-нызықь
AB1522	метра
AB1523	ираҟарахоит,
AB1524	аӡы
AB1525	ахыхь
AB1526	иахькьысуама
AB1527	уҳәаратәы.
AB1528	ес-ҽны
AB1529	амра
AB1530	зқәыԥхо,
AB1531	арҭ
AB1532	ақәцәқәа
AB1533	иаарыкәыршаны
AB1534	ишьақәгылеит
AB1535	амшын
AB1536	ҵиааи
AB1537	ԥстәи
AB1538	акыр
AB1539	ибеиоу
AB1540	адунеи
AB1541	ссирк.
AB1542	Ара
AB1543	аԥсыӡ
AB1544	еизоит,
AB1545	Избанзар
AB1546	авулкан
AB1547	аӡы
AB1548	ахыхьҟа
AB1549	иханагалоит
AB1550	ихырҳагоу
AB1551	афатә.
AB1552	Урҭ
AB1553	апланктон
AB1554	аизҳара
AB1555	иацхраауеит.
AB1556	Аокеан
AB1557	ныҟәаҩы,
AB1558	амза-ԥсыӡ..
AB1559	Уи
AB1560	амшынцаҟьаҿы
AB1561	иҟоу
AB1562	аԥсыӡ-рыцқьагақәа
AB1563	ирҭааит.
AB1564	Аԥсыӡ-хьычԥаԥырқәа
AB1565	рҽырҟәыбҷаны
AB1566	аганқәа
AB1567	ирымоу
AB1568	еиуеиԥшым
AB1569	ахәаҷақәа
AB1570	ақәхны
AB1571	ирфоит.
AB1572	Ари
AB1573	аԥсыӡ
AB1574	доумбеи
AB1575	километрактәи
AB1576	аҵаулараҿы
AB1577	инхоит,
AB1578	уа
AB1579	20
AB1580	градус
AB1581	рыла
AB1582	еиҳа
AB1583	ихьшәашәоуп
AB1584	аӡы,
AB1585	ара
AB1586	арии
AB1587	аԥсыӡ
AB1588	амедуза
AB1589	афаразы
AB1590	илбаауеит.
AB1591	Хыхь
AB1592	аӡахьы
AB1593	ианхала
AB1594	аҽырԥханы,
AB1595	еиҭа
AB1596	аҵахь
AB1597	илбаауеит.
AB1598	Ари
AB1599	авулкан
AB1600	ақәцә
AB1601	Амшын
AB1602	иналыҳәҳәо
AB1603	игылоуп.
AB1604	Ари
AB1605	Аҳаракхара
AB1606	захьӡу
AB1607	адгьылбжьахоуп.
AB1608	Адәы
AB1609	аҟынӡа
AB1610	1300
AB1611	км
AB1612	бжьоуп.
AB1613	Ари
AB1614	адгьылбжьаха
AB1615	–
AB1616	ихыҵны
AB1617	ицо
AB1618	аԥстәқәа
AB1619	ахьааҭгыло,
AB1620	акрызҵазкуа
AB1621	ҭыԥуп.
AB1622	Афрегатқәа
AB1623	мызла
AB1624	ааԥсарада
AB1625	амшын
AB1626	ихуп,
AB1627	Аха,
AB1628	ахтәалара
AB1629	аамҭа
AB1630	анааилак,
AB1631	Аҳаракхара
AB1632	адгьылбжьахахьы
AB1633	иԥырны
AB1634	иаауеит
AB1635	аокеан
AB1636	аҵыхәақәа
AB1637	зегьы
AB1638	рыҟнытә.
AB1639	Ашьха
AB1640	анаара
AB1641	ҟьантазқәа
AB1642	шьақәгылоуп
AB1643	авулкан
AB1644	ццышәи
AB1645	алавеи
AB1646	рыла.
AB1647	Урҭ
AB1648	–
AB1649	аҵысҭрақәа
AB1650	рыҟаҵаразы
AB1651	даара
AB1652	иманшәалоуп.
AB1653	Аха
AB1654	афрегатқәа
AB1655	иҵегьы
AB1656	иԥхьакырҭоу
AB1657	аҭыԥ
AB1658	алырхуеит.
AB1659	Адгьылбжьаха
AB1660	БодсвеинбиорнАҳаракхара
AB1661	адгьылбжьаха
AB1662	азааигәара
AB1663	иҟоу
AB1664	ацаҟьа
AB1665	заҵәы.
AB1666	Афрегатқәа
AB1667	рымҵәыжәа
AB1668	еиҵыхра
AB1669	заҟарахо
AB1670	алаАдунеи
AB1671	аҿы
AB1672	зегь
AB1673	раасҭа
AB1674	иласу
AB1675	ԥсаатәуп,
AB1676	Убри
AB1677	аҟнытә
AB1678	урҭ
AB1679	мчыбжьыла
AB1680	ааԥсарада
AB1681	аҳауа
AB1682	иалоуп.
AB1683	Урҭ
AB1684	ажәҩан
AB1685	еиҳа
AB1686	еиӷьаршьоит,
AB1687	адгьыл
AB1688	аҿы,
AB1689	аколониақәа
AB1690	рыҩныҵҟа
AB1691	аҭыԥ
AB1692	ахьыҭшәоу
AB1693	аасҭа,
AB1694	аха
AB1695	ароуп
AB1696	иахьыхтәало.
AB1697	Атлантика
AB1698	аҟнытә
AB1699	зегьы
AB1700	арахь
AB1701	иԥырны
AB1702	иаауеит.
AB1703	Аброуп
AB1704	рколониа
AB1705	ахьыҟоугьы.
AB1706	Урҭ
AB1707	рааигәа
AB1708	рҭыԥ
AB1709	ҟарҵоит
AB1710	олушқәагьы.
AB1711	Рабшьҭра
AB1712	азырҳаразы
AB1713	амшынԥсаатәқәа
AB1714	адунеи
AB1715	зегьы
AB1716	аҿы
AB1717	абас
AB1718	ихароу
AB1719	адгьылбжьахақәа
AB1720	алырхуеит.
AB1721	Егьырҭ
AB1722	аԥстәқәа
AB1723	Аҳаракхара
AB1724	адгьылбжьаха
AB1725	ашҟа
AB1726	иӡсаны
AB1727	иаауеит.
AB1728	Акәуа
AB1729	иаҵәа
AB1730	рцына
AB1731	аԥшаҳәа
AB1732	иазааигәахоит.
AB1733	Уи
AB1734	ҩымыз
AB1735	раахыс
AB1736	акрымфаӡакәа
AB1737	иҟоуп.
AB1738	Зқьи
AB1739	бжаки
AB1740	километр
AB1741	иныҟәаны
AB1742	иааит.
AB1743	Акәуа
AB1744	иаҵәа
AB1745	ахкы
AB1746	иаҵанакуа
AB1747	арҭ
AB1748	аԥстәқәа
AB1749	рзы
AB1750	ари
AB1751	зегь
AB1752	раасҭа
AB1753	иауу
AB1754	ныҟәароуп.
AB1755	Имаҷым
AB1756	арахь
AB1757	иааихьоу
AB1758	акәуақәа,
AB1759	иԥслымӡроу
AB1760	аӡаҵан
AB1761	рыԥсы
AB1762	шьо,
AB1763	алашьцара
AB1764	ааира
AB1765	иазыԥшуп,
AB1766	усҟан
AB1767	имшәа-имырҳа
AB1768	аӡы
AB1769	аԥшаҳәахьы
AB1770	ицәырҵуеит.
AB1771	Мчыбжьқәак
AB1772	раԥхьа
AB1773	рыкәтаӷьқәа
AB1774	хырҵан,
AB1775	уажәы
AB1776	акәуа
AB1777	ԥшқақәа
AB1778	ахыҵра
AB1779	иалагеит.
AB1780	Ари
AB1781	еиҳарак
AB1782	ианымҩаԥысуа
AB1783	уахынлоуп,
AB1784	Уажәы,
AB1785	ҽынла,
AB1786	ианшоу
AB1787	акәуа
AB1788	ԥшқақәа
AB1789	уашәшәыроуп
AB1790	акыр.
AB1791	Излауала,
AB1792	ирласӡаны
AB1793	аӡаҟынӡа
AB1794	инеироуп.
AB1795	Аха
AB1796	рԥышәара
AB1797	алагеит
AB1798	ауп
AB1799	макьана.
AB1800	Урҭ
AB1801	реиҳарак
AB1802	ацәқәырԥа
AB1803	дуқәа
AB1804	ирыҵаӡуеит.
AB1805	20
AB1806	шықәса
AB1807	рыҩныҵҟала
AB1808	арҭ
AB1809	акәуақәа
AB1810	реиҳарак,
AB1811	хымԥада,
AB1812	иҭахоит.
AB1813	Аха
AB1814	иеиқәхаз,
AB1815	хынҳәуеит,
AB1816	дара
AB1817	раԥхьаӡа
AB1818	адәы
AB1819	иахьықәлаз
AB1820	-
AB1821	аԥшаҳәахьы,
AB1822	урҭ
AB1823	зхылҵыз
AB1824	ишыҟарҵо
AB1825	еиԥш.
AB1826	Иахьагьы
AB1827	аилкаара
AB1828	уадаҩуп,
AB1829	абри
AB1830	аокеан
AB1831	ду
AB1832	аҿы
AB1833	амҩа
AB1834	ԥшаашьас
AB1835	иарҭо.
AB1836	Зны-зынла
AB1837	Амреи
AB1838	аеҵәақәеи
AB1839	рыла,
AB1840	Зны-зынла
AB1841	аӡымҩасра
AB1842	иаху
AB1843	афҩқәеи
AB1844	агьамақәеи
AB1845	рыла.
AB1846	Убри
AB1847	аамҭазы
AB1848	афрегат
AB1849	аӡы
AB1850	иахаԥыруа
AB1851	иахоуп.
AB1852	Цаҟа
AB1853	иеиҵҳәа
AB1854	ишьҭоу
AB1855	аокеан
AB1856	аҟны
AB1857	иҟоуп
AB1858	акыр
AB1859	иззыԥшыз
AB1860	афатә,
AB1861	аха
AB1862	иабыкәу
AB1863	иахьыҟоу?
AB1864	Аӡы
AB1865	иахаԥыруа,
AB1866	афатә
AB1867	атәы
AB1868	зҳәо,
AB1869	изаҟаразаалак
AB1870	дыргақәак
AB1871	абар,
AB1872	иадырроуп.
AB1873	Агьыс,
AB1874	ухы
AB1875	узеиқәырхом.
AB1876	Мексикатәи
AB1877	аԥшаҳәаҟнытә
AB1878	150
AB1879	км
AB1880	ахьыбжьоу
AB1881	Зыбла
AB1882	ҵару
AB1883	афрегат
AB1884	акы
AB1885	алаԥш
AB1886	иҵашәеит.
AB1887	Аԥраԥсыӡқәа.
AB1888	Х-метракцыԥхьаӡа
AB1889	афатә
AB1890	иакәшаоит.
AB1891	Урҭ
AB1892	ашәарыцара
AB1893	шаҟа
AB1894	мчы
AB1895	аҭаху
AB1896	иеиҳаны
AB1897	иақәдырӡӡом.
AB1898	Зныкгьы
AB1899	имыцхәны
AB1900	рырӡсагақәа
AB1901	шьҭырхӡом.
AB1902	Шәкы
AB1903	инарзынаԥшуа
AB1904	аԥра
AB1905	ԥсаатәқәа
AB1906	аԥсыӡ
AB1907	сса
AB1908	ҳәыԥкны
AB1909	иахьыҟаз
AB1910	игәарҭан,
AB1911	иакәшеит.
AB1912	Ари
AB1913	аҟара
AB1914	ашәарыцацәа
AB1915	еицны,
AB1916	шамахамзар,
AB1917	иубаӡом.
AB1918	Ирԥыхьашәаз
AB1919	афатә
AB1920	кҿацаланы,
AB1921	аԥра
AB1922	ԥсаатәқәа
AB1923	абӷа
AB1924	рӡсага
AB1925	дуӡӡақза
AB1926	шьҭырхуеит.
AB1927	Убри
AB1928	аан,
AB1929	даара
AB1930	ргәырҽанызароуп,
AB1931	избанзар,
AB1932	ишакәым
AB1933	арӡсага
AB1934	анаҟьа,
AB1935	аҩыза
AB1936	ахәыр
AB1937	алшоит
AB1938	ӷәӷәала.
AB1939	Аха
AB1940	аԥра
AB1941	ԥсаатә
AB1942	есқьынгьы
AB1943	аԥшшәы
AB1944	аԥсахуеит,
AB1945	Аиҵәа
AB1946	аҟнытә
AB1947	аиқәаҵәахьы
AB1948	аҽеиҭанакуеит.
AB1949	Абасала,
AB1950	аҩызцәа
AB1951	адырра
AB1952	рнаҭоит
AB1953	ргәырҽанызарц
AB1954	азы,
AB1955	Изышьҭоу
AB1956	шьақәнаҟьаразы.
AB1957	Иааигәахацыԥхьаӡа,
AB1958	агәыԥ
AB1959	амшын
AB1960	ԥсаатә
AB1961	аҟынӡа
AB1962	инаӡартә
AB1963	еиԥш
AB1964	инеиуеит.
AB1965	Иаарту
AB1966	аокеан
AB1967	аҿы
AB1968	аԥсыӡ
AB1969	сса
AB1970	ҽыҵәахырҭа
AB1971	амаӡам.
AB1972	Аԥраԥсыӡқәа
AB1973	даара
AB1974	иеилҟьоу
AB1975	ԥсаатәуп.
AB1976	Урҭ
AB1977	еиқәхаразы
AB1978	мышкы
AB1979	афатә
AB1980	рыгымхароуп,
AB1981	Ари
AB1982	иаанаго,
AB1983	рыԥсы
AB1984	ҭанаҵы
AB1985	тәамҩахә
AB1986	рымаӡам.
AB1987	Аокеанқәа
AB1988	ҳапланета
AB1989	зегьы
AB1990	аҟны,
AB1991	хәарҭара
AB1992	злоу
AB1993	ахәҭаҟнытә
AB1994	иреиҳау
AB1995	аҭыԥ
AB1996	ааныркылоит.
AB1997	Урҭ
AB1998	ирҭоуп
AB1999	иахьа
AB2000	иҟоугьы,
AB2001	зны
AB2002	иҟазгьы
AB2003	аԥстәқәа
AB2004	налаҵаны,
AB2005	зегьы
AB2006	иреиҳау
AB2007	аԥстәы.
AB2008	акит
AB2009	иаҵәа.
AB2010	Акит
AB2011	рбаяьқәа
AB2012	џьоукы
AB2013	200
AB2014	тонна
AB2015	раҟара
AB2016	ркапануеит.
AB2017	Зегьы
AB2018	ириеҳау
AB2019	адинозавр
AB2020	аасҭа
AB2021	ҩынтә
AB2022	иеиҳауп.
AB2023	Урҭ
AB2024	абри
AB2025	аҟара
AB2026	ишдуугьы,
AB2027	дара
AB2028	рзы
AB2029	иаҳдыруа
AB2030	маҷуп.
AB2031	Изышьҭои,
AB2032	иабацои
AB2033	ҳәаазмаӡам
AB2034	аокеанқәа
AB2035	ирҭаланы?
AB2036	Иабаҿиои?
AB2037	Хазы
AB2038	фактқәак,
AB2039	хазы
AB2040	гәаанагарақәак
AB2041	ыҟоуп
AB2042	ауп.
AB2043	Аха
AB2044	иеилкаауп,
AB2045	иара
AB2046	иеиҳау
AB2047	ԥстәы
AB2048	ыҟаӡам
AB2049	апланетаҿы,
AB2050	Фатәыс
AB2051	иамоугьы
AB2052	зегьы
AB2053	иреиҵоу,
AB2054	акреветкақәа
AB2055	иреиԥшу,
AB2056	адыӷаҷа
AB2057	ссақәа
AB2058	роуп.
AB2059	Зныкала
AB2060	аҿы
AB2061	тоннак
AB2062	аӡы
AB2063	ҭанагалоит,
AB2064	араӡагала
AB2065	иараӡоит.
AB2066	Акит
AB2067	ес-ҽны
AB2068	ԥшь-миллионк
AB2069	инарзынаԥшуа
AB2070	дыӷаҷа
AB2071	лбаанадоит.
AB2072	Ари
AB2073	аҽаҩра
AB2074	–
AB2075	иҟоу
AB2076	аокеан
AB2077	мал
AB2078	ахьынӡеиқәхо
AB2079	еиԥш
AB2080	ауп
AB2081	ишыҟало.
AB2082	Аха
AB2083	аԥсабараҿы
AB2084	имҩаԥсыуа
AB2085	аглобалтә
AB2086	еиҭакрақәа
AB2087	апланктонқәа
AB2088	рзы
AB2089	ишәарҭоуп
AB2090	азы,
AB2091	урҭ
AB2092	рхыԥхьаӡара
AB2093	ианымԥшыр
AB2094	ауӡом.
AB2095	Уажәааигәанӡа
AB2096	аокеанқәа
AB2097	еимгәҳәо
AB2098	иҭаз
AB2099	акит
AB2100	иаҵәақәа
AB2101	рхыԥхьаӡара
AB2102	300
AB2103	нызықь
AB2104	рҟынӡа
AB2105	инаӡон,
AB2106	Иахьа,
AB2107	ухаҿы
AB2108	иузаагарым,
AB2109	Уаанӡатәи
AB2110	акитқәа
AB2111	рахьтә
AB2112	3%
AB2113	роуп
AB2114	инхаз.
AB2115	Ҳапланетаҿы
AB2116	иџьашьахәу
AB2117	маҷымкәа
AB2118	иҟоуп.
AB2119	Урҭ
AB2120	ҭҵаауа
AB2121	ҳара
AB2122	адырра
AB2123	иҳауа
AB2124	адагьы,
AB2125	аԥсабара
AB2126	ҳнапаҿы
AB2127	иаагаратәы
AB2128	алшара
AB2129	ҳаууеит.
AB2130	Иахьа
AB2131	ҳара
AB2132	акитқәа
AB2133	рԥеиԥш
AB2134	адагьы
AB2135	ҳнапы
AB2136	иануп,
AB2137	ҳапланета
AB2138	ахьынӡанаӡааӡо
AB2139	абиологиатә
AB2140	хкыс
AB2141	иҟоу
AB2142	зегьы.
AB2143	Урҭ
AB2144	рныхра
AB2145	мамзаргьы
AB2146	реиқәырхара
AB2147	ҳара
AB2148	ҳнапаҿы
AB2149	иҟоуп.
AB2150	Ари
AB2151	зыӡбо
AB2152	ҳара
AB2153	ҳауп.
AB2154	Нас,
AB2155	шәааи
AB2156	ари
AB2157	ҳазхәыцып,
AB2158	зыԥсы
AB2159	ҭоу
AB2160	апланетаҿы
AB2161	аҟазаара
AB2162	ҳҭахызар.
