Апланета Адгьыл	ПЛАНЕТА ЗЕМЛя
Иџьоушьаратәы иҟами, аҵиаа зфо аԥстәқәа абас зынӡа ҵиаа ахьамам аҭыԥкәа рҿы еиқәхашьас иҟарҵо?	Каким же образом травоядному такого размера удаётся выживать там, где совсем нет растительности?
Намибиа иқәыннхо асланқәа Африка иҟоу аԥстәқәа зегь раасҭа рылаӡоит, еиҳа ачҳара рымоуп.	Живущие в Намибии слоны - самые выносливые животные в Африке.
Уи машәырны иҟамлаӡеит.	И неспроста.
Иара усгьы имаҷу афатә – асакараҿы зехьынџьара акәымкәа, ана-ара излаҟоу ала, асланқәа уи иашьҭаланы, иҭабахьоу аӡышьҭрақәа ирҭаланы, мышкы 80 км рҟынӡа иныҟәаны ицоит.	скудная пища разбросана по всей пустыне, поэтому слоны, двигаясь в её поисках по высохшим руслам, проходят в день до 80 километров.
Зны-зынла ргәыӷрақәа башахалоит.	Временами ситуация кажется безнадёжной.
Арҭ аҭыԥқәа рҿы асланқәа иабарҭыԥу уҳәаратәы иҟоуп.	В таком ландшафте слоны кажутся чужими.
Дара рымацарагы ракәӡам. .	Да и не только они.
Иџьаушьап, аха ара алымқәагьы ыҟоуп.	Как ни странно, здесь живут и львы.
Асаваннақәа рҿы хыԥхьаӡара рацәала амсашьапы зҵоу аԥстәқәа 20 инареиҳаны алым ҭаацәарақәа фатәыс ирымоуп.	В саваннах огромные стада копытных кормят прайды львов, которые состоят из 20 особей и больше,
аха асакараҿы алымқәа рҵасқәа еиларгар акәхеит, ара ари алым ҭаацәара акырӡа иеиҵоуп, Ирыҵаркуа рҭыԥгьы акыр иеиҳауп	но для жизни в пустыне львам пришлось изменить свои привычки, здесь прайды намного меньше, а ихтерритория намного обширней.
Даҽа уадаҩракгьы ыҟоуп – фатәыс ирымоу аԥстқәагьы аангылашьа рықәӡамкәа есқьынгьы еиҭацуеит.	Есть ещё одна проблема - их добыча постоянно перемещается.
Асланқәа реиԥш, алымқәагьы афатә иашьҭаланы акыр хара иныҟәароуп.	Как и слоны, львы должны преодолевать большие расстояния, чтобы прокормиться.
Аха иҟоуп, алымқәа ахаан иахьықәнамгало ҭыԥқәакгьы. Уи аԥслымӡ хәқәа роуп.	Но есть места, куда львы никогда не заходят, эти песчаные барханы.
Орикс ҳәа изышьҭоу антилопақәа ари рдыруеит.	Антилопы ориксы это знают.
Алымқәа аԥслымӡ мшын ахьаанҵәо игыланы иԥшызароуп, аориксқәа аԥслымӡ илҵны иааиааинӡа,	Львы должны ожидать на краю песчаного моря, пока ориксы выйдут из песков, ведь рано или поздно им понадобятся пища и вода.
Ари абжьара, асланқәа бзиа ирбо фатәык рԥыхьашәеит.	А тем временем слоны обнаружили одно из своих любимых лакомств.
Ҳәарада, асланқәа ҳаскьын ауп фатәыс ирымаҵәҟьоу, аха ари агәыԥ анышә иҵырхуеит аҵиаа ахәҵәы аасҭа иеиҳа ирзеиӷьу, насгьы аӡы злоу адацқәа	Конечно, трава составляет основу рациона всех слонов, но это стадо выкапывает из земли коренья, которые содержат больше питательных веществ и влаги, чем стебли растений.
Асакараҿы, афатә есқәынгьы иахьмаҷу, ас ауп хеиқәырхашьас иҟоуп зны-зынла.	В пустыне, где пищи всегда не хватает, такое поведение может спасти жизнь.
Аха иаалырҟьаны зегьы аҽеиҭанакыр алшоит.	Но всё может измениться в один миг.
Асакарақәа џьоукы рлахьынҵа ихараӡаны илеиуа ақәа иадҳәалоуп. Ари аӡы қәаны илеит ашьхараҿы, арантә 160 км ахьыбжьоу.	судьба многих пустынь зависит от дождей, которые идут очень далеко, эта вода выпала дождём в горах в 160 километрах отсюда.
Ари аӡлеира ихараны иауз ақәа ашьҭахь иаалырҟьаны ихыҵыз ӡуп, уи мышкоуп ианыҟоу.	Такой паводок после отдалённого ливня - внезапное наводнение, которое длится всего один день.
Уи аҩыза шықәсык знык, иамур – ҩынтә ауп ианымҩаԥысуа.	Это происходит лишь раз, максимум два раза в год.
Аӡиас аҵа ԥслымӡроуп аҟнытә, Арбага қьаад иаҩызоуп, Иааиуа аӡы налаба ицоит.	Песчаное дно реки действует как лист промокательной бумаги, оно жадно впитывает воду, которая появляется здесь.
Ари аӡы иарцәаакыз аԥслымӡра ҽыҭк акәзаргьы Ара иқәу аԥстәқәа реиқәырхара иацхраауеит.	Каждый квадратный метр песка, увлажнённый этой рекой повысит шансы на выживание обитающих здесь животных.
Аӡышьҭра аӡы ҭалоит, аха, рыцҳарас иҟалаз, аамҭалоуп	Русло наполняется водой. К сожалению, лишь временно.
Африка егьырҭ аганқәа рҿы асланқәа ес-ҽны аӡы ржәуеит, аха ара, шамахамзар, аӡы ҟалаӡом, убри аҟнытә аладафрикатәи асланқәа ԥшьымыш-хәымыш рыҩныҵҟа знык аӡы рыдыргалоит.	В других частях Африки слоны пьют каждый день, но здесь воды почти никогда не бывает, поэтому южноафриканские слоны пополняют запасы жидкости раз в 4-5 дней.
Мчыбжьык ала ари асырӡлеира иабзоураны Аҵиаа акыр иазҳаит, Абри азоуп аориксқәа аԥслымӡ хәқәа ааныжьны Игылаз аиаҵәарахь изылбааз.	За неделю этот паводок вызвал буйный рост растений, этого достаточно, чтобы заставить ориксов покинуть барханы и спуститься к днищу, поросшему зеленью.
Ас еиԥш , шамахамзар, иҟалаӡом, алымқәа аҭаҵәахгьы роуртә еиԥш.	И это, конечно, редкая возможность для львов наесться впрок.
Ари аорикс ажьы алым аҭаацәара зегьы мчыбжьык аҟара иазхоит.	Мяса этого орикса хватит львиной семье максимум на неделю.
Шьҭа аӡы аԥшаҳәа аҳаскьын иаҵәа ахыҵәеит, Ашәарыцара еиҳа имариахоит..	Но теперь, когда берега реки зазеленели травой, охотиться будет легче.
Алымқәеи антиопақәеи рзы Аамҭа бзиақәа лассы имҩасуеит, аха абас икьаҿу, абарақьаҭра аамҭа иабзоураны, урҭ шықәсынаҟьак асакарақәа рҿы аҟазаара рылшоит.	Для львов и антилоп ориксов хорошие времена проходят быстро, но именно благодаря этим коротким периодам изобилия, они могут жить в пустынях круглый год.
Аԥсра арха.	Долина смерти -
Адгьыл аҿы зегь раасҭа иахьшоуроу ҭыԥуп.	самое жаркое место на Земле,
Аха ишаҳәшаҳәуа абри асакара ца ахаҿра аӡы иаԥсахыр алшоит.	но вода способна преобразить даже эту раскалённую пустыню.
Ақәа иалшо даҽакы иалшаӡом. Уи жәашықәсала анышә иҵоу ажәла аԥсы ҭанаҵоит.	Один единственный дождь может дать толчок к росту семян, которые пролежали в земле десятки лет.
Ара ас еиԥш ашәҭра ду ҟамлеижьҭеи шәышықәса иреиҳауп.	Такого буйного цветения здесь не было больше века.
“Аԥсра архаҿы” ашәҭра аамҭақәа кьаҿуп, аха асакараҿы аԥсҭазаара аиқәырхаразы иахьынӡашәҭуа азхаратәы иҟоуп.	Периоды цветения в Долине смерти коротки, но достаточно регулярны, чтобы поддерживать жизнь в пустыне.
Арха иқәу зегьы иаалырҟьаны иҟало ари ашәҭра акыраамҭа иазыԥшуп азы абарақьаҭра аамҭа анааи, иалоу зегьы алхтәуп.	Все обитатели пустыни ждут этого внезапного расцвета, и когда наступает долгожданное изобилие, надо брать от него всё.
Апланетаҿы абас асакара маҵеиԥш еилҟьоу даҽакы уԥылаӡом, аԥсҭазаара бзиа абас иазгәышьуа.	Ни один другой вид на планете не реагирует на хорошие условия так быстро и активно, как пустынная саранча.
20 шықәса анышә иҵаз акәтаӷьқәа иаалырҟьаны рыԥсы ҭало иалагоит.	яйца саранчи, пролежавшие в земле 20 лет, вдруг начинают оживать.
Амаҵа ахәаҷақәагьы адуқәа иреиԥшуп, аха макьана амҵәыжәҩа ылрымхыц.	Личинки саранчи похожи на взрослых, но на этой стадии у них ещё нет крыльев.
Иарбанзаалак аҵиаа фатәыс ишьҭырхуеит, афҩалагьы ирыԥшаауеит.	Их корм - растительность любого вида - они находят по запаху.
Шамахамзар, ԥшьы-мчыбжьа рыла иазҳауеит. аха уажәеиԥш аамҭа бзиа аниар, ахәаҷа иҵегьы иццакны иазҳауеит.	Обычно взросление проходит за 4 недели, но при благоприятных условиях, как сейчас, развитие личинок идёт ускоренными темпами.
Ҭыԥк аҿы афатә шаанҵәаз, адуқәа – амҵәыжәҩақәа ылызгахьоу, феромон ҳәа изышьҭоу афҩы аурыжьуеит, иахыҵны ишцо ала егьырҭгьы адырра рырҭаразы.	Кактолько в одном месте пища заканчивается, взрослые, успевшие обзавестись крыльями, выделяют феромоны - химические вещества, которые сообщают остальным, что надо лететь дальше.
Гәыԥқәак – хазы ҭаацәаракны рҽеидыркылоит.	щтдельные группы объединяются в единый рой.
Маҵа дук ес-ҽны – иара иакапануа аҟара афоит.	Одна взрослая саранча съедает количество пищи, равное её собственному весу каждый день,
Ҭаацәарак анеиқәшәа шә-тоннала аҵиаа ықәырхуеит, иҟаӡамшәа.	а целый рой может уничтожить сотни тонн растительности.
Ари аҭаацәара наҟ инаскьароуп иҵегьы.	Им нужно лететь дальше.
Аԥша иацны ицоит.	Рой перемещается вместе с ветром, это - самый экономичный способ передвижения.
Иеиҭаҵуа аҳауа иацны ианцо, ақәыӷәӷәара еиҳа иахьылаҟәу аҭыԥқәа алырхуеит аԥырразы, аԥшеи ақәеи ахьеиқәшәо, аҵиаагьы аурыла иахьазҳауа.	Перемещаясь вместе с потоками воздуха, они всегда летят в области пониженного давления, туда, где ветер встречается с дождём и растительность идёт в рост.
Иԥырны ицо ҭаацәарак даҽа ҭаацәарак иацлоит аҟнытә гәыԥ дук аҿы миллиардла рҽеидыркылоит. 60 км рҟынӡа рҽырҭбааны ицоит.	Один летящий рой сливается с другим и образует огромные стаи, численностью несколько миллиардов особей, шириной до 60 километров.
амҩан иахьцо иаарԥыло зегьы хыфаауа.	На своём пути они уничтожают всё съедобное.
Ари Адгьыл аҿы имҩаԥысуа аџьашьахәқәа ируакуп.	Это одно из самых захватывающих зрелищ на планете Земля.
Ари аамҭа кьаҿк ауп ианымҩаԥысуа, насгьы ари аҟара амҽхак дуны, шамахамзар, иҟалаӡом.	явление кратковременно и редко достигаеттаких масштабов.
Афатә шаанҵәаз еиԥшҵәҟьа, миллиардла амҵәыжәҩақәа реинҟьабжьы еиҭа асакара игьежьуа иқәу аԥша ашьҭыбжь иаарымнадоит.	Кактолько еда закончится, мерный рокот миллиардов бьющихся крыльев снова сменится звуком гуляющего по пустыне ветра.
