AB1	Апланета
AB1259	аиууеит.
AB1260	Ари
AB1261	аҭагылазаашьа
AB1262	акраӡбоит
AB1263	аҟнытә,
AB1264	ламысла
AB1265	ақәԥара
AB1266	зегьы
AB1267	ирылшом,
AB1268	иаҳҳәап,
AB1269	шьҭахьҟала
AB1270	ажәылара
AB1271	ҟалаӡом.
AB1272	Аха
AB1273	ари
AB1274	аидыслараҿы
AB1275	иаиааиз
AB1276	еилкаауп,
AB1277	абар
AB1278	иара.
AB1279	.
AB1280	Аха
AB1281	аԥхьахә
AB1282	хада
AB1283	иара
AB1284	иаӡаӡом.
AB1285	Макьана.
AB1286	Уажәы
AB1287	уи
AB1288	абаӷь
AB1289	хада
AB1290	иатәуп.
AB1291	Иара
AB1292	аҳаҭыр
AB1293	ҳаракызар,
AB1294	ауадалықь
AB1295	џьмақәа
AB1296	ирыԥсахраны
AB1297	иҟаӡам,
AB1298	афатәи
AB1299	аӡи
AB1300	ирышьҭаланы
AB1301	асакара
AB1302	иқәланы
AB1303	ианцо,
AB1304	даргьы
AB1305	ацзароуп.
AB1306	Уи
AB1307	даҽа
AB1308	џьоукы
AB1309	рышьҭалаха
AB1310	амаӡам,
AB1311	дара
AB1312	есқьынгьы
AB1313	иара
AB1314	ааигәа
AB1315	иҟазароуп.
AB1316	Убри
AB1317	аҟнытә
AB1318	урҭ
AB1319	агәыԥ
AB1320	зегьы
AB1321	фатәылеи
AB1322	ӡылеи
AB1323	реиқәыршәара
AB1324	иазхәыцлартәы
AB1325	аҭагылазаашьа
AB1326	арҭоит.
AB1327	Аинцәышқәа.
AB1328	–
AB1329	Наџьнатә
AB1330	асакарақәа
AB1331	ирықәынхо
AB1332	ԥстәқәоуп.
AB1333	Аха
AB1334	ара,
AB1335	ари
AB1336	аҭыԥаҿы,
AB1337	ҷыдала,
AB1338	рхыԥхьаӡара
AB1339	рацәоуп.
AB1340	Аладатәи
AB1341	Африка
AB1342	ацаҟьа
AB1343	еиҟәыршьшьарҭақәа
AB1344	рҿы
AB1345	аинцәышқәа
AB1346	рацәаӡаны
AB1347	рҽеидыркылеит.
AB1348	.Платизавр
AB1349	захьӡу
AB1350	аинцәышхәыҷқәа.
AB1351	Урҭ
AB1352	рхәамц
AB1353	ааизыхәхәаны,
AB1354	ргәышҵақәа
AB1355	ԥшшәы
AB1356	хкыла
AB1357	ишәуп.
AB1358	Уи
AB1359	убаратәы
AB1360	иаадырԥшуеит
AB1361	аҭыԥ
AB1362	еимактәыс
AB1363	ианроу.
AB1364	Иаҳәараны
AB1365	иҟаз
AB1366	зегьы
AB1367	аҳәеит,
AB1368	шьҭа
AB1369	афатә
AB1370	иазхәыцроуп.
AB1371	.
AB1372	Аҳауа
AB1373	аԥхара
AB1374	ианалагалак,
AB1375	аинцәышқәа
AB1376	ацаҟьа
AB1377	аиҟәыршьшьарҭақәа
AB1378	ирҭыҵны
AB1379	алада,
AB1380	аҩхаахь
AB1381	илбаауеит.
AB1382	Хықәкыс
AB1383	ирымоу
AB1384	аӡиас
AB1385	аҿы
AB1386	анеироуп.
AB1387	Аӡы
AB1388	аԥшаҳәаҿы
AB1389	фатә
AB1390	ыҟаӡам,
AB1391	аха
AB1392	ари
AB1393	аӡиас
AB1394	иара
AB1395	амаӡа
AB1396	амоуп.
AB1397	Арҩаш
AB1398	ӷьы
AB1399	аҟнытә
AB1400	аҳауахь
AB1401	ес-ҽны
AB1402	акәыбр´ысса
AB1403	халоит.
AB1404	Абарҭ
AB1405	рзоуп
AB1406	аинцәышқәагьы
AB1407	арахь
AB1408	изаауа.
AB1409	Арҭ
AB1410	ахәымтқ´арқәа
AB1411	ссақәа
AB1412	адгьыл
AB1413	аҿы
AB1414	итәаӡом
AB1415	аҟнытә
AB1416	аинцәыш
AB1417	шьҭыԥаны
AB1418	афатә
AB1419	аклароуп.
AB1420	Мышкы
AB1421	ахи-аҵыхәеи,
AB1422	абарҭ
AB1423	аинцәыш
AB1424	еилҟьақәа,
AB1425	дасу,
AB1426	50
AB1427	инарзынаԥшуа
AB1428	кәыбрысса
AB1429	ркыр
AB1430	рылшоит.
AB1431	Арҭ
AB1432	акәыбрыссақәа
AB1433	зныкҟьарала
AB1434	ирышьҭашәарыцо
AB1435	аинцәышқәа
AB1436	шәыкҟа
AB1437	ыҟазаргьы,
AB1438	урҭ
AB1439	зегьы
AB1440	ирызхоит.
AB1441	Аӡы
AB1442	ԥынгыла
AB1443	ахьамам,
AB1444	иахьӷьу
AB1445	аҭыԥқәа
AB1446	рҿы
AB1447	аплатизаврқәа
AB1448	еиҳа
AB1449	имаҷуп,
AB1450	аха
AB1451	ара
AB1452	афатә
AB1453	рацәоуп,
AB1454	ус
AB1455	анакәха,
AB1456	аинцәышқәагьы
AB1457	рацәоуп.
AB1458	Асакарақәа
AB1459	аӡыдара
AB1460	иахҟьаны
AB1461	ишьақәгылоит,
AB1462	аха
AB1463	ара
AB1464	иҟоу
AB1465	аԥстәқәа
AB1466	ласссы-лассы
AB1467	ашоуреи
AB1468	аӡыдареи
AB1469	рзы
AB1470	акәымкәа,
AB1471	афатә
AB1472	рыгханы
AB1473	ауп
AB1474	ишҭахо.
AB1475	Иџьоушьаратәы
AB1476	иҟами,
AB1477	аҵиаа
AB1478	зфо
AB1479	аԥстәқәа
AB1480	абас
AB1481	зынӡа
AB1482	ҵиаа
AB1483	ахьамам
AB1484	аҭыԥкәа
AB1485	рҿы
AB1486	еиқәхашьас
AB1487	иҟарҵо?
AB1488	Намибиа
AB1489	иқәыннхо
AB1490	асланқәа
AB1491	Африка
AB1492	иҟоу
AB1493	аԥстәқәа
AB1494	зегь
AB1495	раасҭа
AB1496	рылаӡоит,
AB1497	еиҳа
AB1498	ачҳара
AB1499	рымоуп.
AB1500	Уи
AB1501	машәырны
AB1502	иҟамлаӡеит.
AB1503	Иара
AB1504	усгьы
AB1505	имаҷу
AB1506	афатә
AB1507	–
AB1508	асакараҿы
AB1509	зехьынџьара
AB1510	акәымкәа,
AB1511	ана-ара
AB1512	излаҟоу
AB1513	ала,
AB1514	асланқәа
AB1515	уи
AB1516	иашьҭаланы,
AB1517	иҭабахьоу
AB1518	аӡышьҭрақәа
AB1519	ирҭаланы,
AB1520	мышкы
AB1521	80
AB1522	км
AB1523	рҟынӡа
AB1524	иныҟәаны
AB1525	ицоит.
AB1526	Зны-зынла
AB1527	ргәыӷрақәа
AB1528	башахалоит.
AB1529	Арҭ
AB1530	аҭыԥқәа
AB1531	рҿы
AB1532	асланқәа
AB1533	иабарҭыԥу
AB1534	уҳәаратәы
AB1535	иҟоуп.
AB1536	Дара
AB1537	рымацарагы
AB1538	ракәӡам.
AB1539	.
AB1540	Иџьаушьап,
AB1541	аха
AB1542	ара
AB1543	алымқәагьы
AB1544	ыҟоуп.
AB1545	Асаваннақәа
AB1546	рҿы
AB1547	хыԥхьаӡара
AB1548	рацәала
AB1549	амсашьапы
AB1550	зҵоу
AB1551	аԥстәқәа
AB1552	20
AB1553	инареиҳаны
AB1554	алым
AB1555	ҭаацәарақәа
AB1556	фатәыс
AB1557	ирымоуп.
AB1558	аха
AB1559	асакараҿы
AB1560	алымқәа
AB1561	рҵасқәа
AB1562	еиларгар
AB1563	акәхеит,
AB1564	ара
AB1565	ари
AB1566	алым
AB1567	ҭаацәара
AB1568	акырӡа
AB1569	иеиҵоуп,
AB1570	Ирыҵаркуа
AB1571	рҭыԥгьы
AB1572	акыр
AB1573	иеиҳауп
AB1574	Даҽа
AB1575	уадаҩракгьы
AB1576	ыҟоуп
AB1577	–
AB1578	фатәыс
AB1579	ирымоу
AB1580	аԥстқәагьы
AB1581	аангылашьа
AB1582	рықәӡамкәа
AB1583	есқьынгьы
AB1584	еиҭацуеит.
AB1585	Асланқәа
AB1586	реиԥш,
AB1587	алымқәагьы
AB1588	афатә
AB1589	иашьҭаланы
AB1590	акыр
AB1591	хара
AB1592	иныҟәароуп.
AB1593	Аха
AB1594	иҟоуп,
AB1595	алымқәа
AB1596	ахаан
AB1597	иахьықәнамгало
AB1598	ҭыԥқәакгьы.
AB1599	Уи
AB1600	аԥслымӡ
AB1601	хәқәа
AB1602	роуп.
AB1603	Орикс
AB1604	ҳәа
AB1605	изышьҭоу
AB1606	антилопақәа
AB1607	ари
AB1608	рдыруеит.
AB1609	Алымқәа
AB1610	аԥслымӡ
AB1611	мшын
AB1612	ахьаанҵәо
AB1613	игыланы
AB1614	иԥшызароуп,
AB1615	аориксқәа
AB1616	аԥслымӡ
AB1617	илҵны
AB1618	иааиааинӡа,
AB1619	Знымзар-
AB1620	зны
AB1621	афатәи
AB1622	аӡи
AB1623	рҭахымхакәа
AB1624	иҟалома?
AB1625	Ари
AB1626	абжьара,
AB1627	асланқәа
AB1628	бзиа
AB1629	ирбо
AB1630	фатәык
AB1631	рԥыхьашәеит.
AB1632	Ҳәарада,
AB1633	асланқәа
AB1634	ҳаскьын
AB1635	ауп
AB1636	фатәыс
AB1637	ирымаҵәҟьоу,
AB1638	аха
AB1639	ари
AB1640	агәыԥ
AB1641	анышә
AB1642	иҵырхуеит
AB1643	аҵиаа
AB1644	ахәҵәы
AB1645	аасҭа
AB1646	иеиҳа
AB1647	ирзеиӷьу,
AB1648	насгьы
AB1649	аӡы
AB1650	злоу
AB1651	адацқәа
AB1652	Асакараҿы,
AB1653	афатә
AB1654	есқәынгьы
AB1655	иахьмаҷу,
AB1656	ас
AB1657	ауп
AB1658	хеиқәырхашьас
AB1659	иҟоуп
AB1660	зны-зынла.
AB1661	Аха
AB1662	иаалырҟьаны
AB1663	зегьы
AB1664	аҽеиҭанакыр
AB1665	алшоит.
AB1666	Асакарақәа
AB1667	џьоукы
AB1668	рлахьынҵа
AB1669	ихараӡаны
AB1670	илеиуа
AB1671	ақәа
AB1672	иадҳәалоуп.
AB1673	Ари
AB1674	аӡы
AB1675	қәаны
AB1676	илеит
AB1677	ашьхараҿы,
AB1678	арантә
AB1679	160
AB1680	км
AB1681	ахьыбжьоу.
AB1682	Ари
AB1683	аӡлеира
AB1684	ихараны
AB1685	иауз
AB1686	ақәа
AB1687	ашьҭахь
AB1688	иаалырҟьаны
AB1689	ихыҵыз
AB1690	ӡуп,
AB1691	уи
AB1692	мышкоуп
AB1693	ианыҟоу.
AB1694	Уи
AB1695	аҩыза
AB1696	шықәсык
AB1697	знык,
AB1698	иамур
AB1699	–
AB1700	ҩынтә
AB1701	ауп
AB1702	ианымҩаԥысуа.
AB1703	Аӡиас
AB1704	аҵа
AB1705	ԥслымӡроуп
AB1706	аҟнытә,
AB1707	Арбага
AB1708	қьаад
AB1709	иаҩызоуп,
AB1710	Иааиуа
AB1711	аӡы
AB1712	налаба
AB1713	ицоит.
AB1714	Ари
AB1715	аӡы
AB1716	иарцәаакыз
AB1717	аԥслымӡра
AB1718	ҽыҭк
AB1719	акәзаргьы
AB1720	Ара
AB1721	иқәу
AB1722	аԥстәқәа
AB1723	реиқәырхара
AB1724	иацхраауеит.
AB1725	Аӡышьҭра
AB1726	аӡы
AB1727	ҭалоит,
AB1728	аха,
AB1729	рыцҳарас
AB1730	иҟалаз,
AB1731	аамҭалоуп
AB1732	Африка
AB1733	егьырҭ
AB1734	аганқәа
AB1735	рҿы
AB1736	асланқәа
AB1737	ес-ҽны
AB1738	аӡы
AB1739	ржәуеит,
AB1740	аха
AB1741	ара,
AB1742	шамахамзар,
AB1743	аӡы
AB1744	ҟалаӡом,
AB1745	убри
AB1746	аҟнытә
AB1747	аладафрикатәи
AB1748	асланқәа
AB1749	ԥшьымыш-хәымыш
AB1750	рыҩныҵҟа
AB1751	знык
AB1752	аӡы
AB1753	рыдыргалоит.
AB1754	Мчыбжьык
AB1755	ала
AB1756	ари
AB1757	асырӡлеира
AB1758	иабзоураны
AB1759	Аҵиаа
AB1760	акыр
AB1761	иазҳаит,
AB1762	Абри
AB1763	азоуп
AB1764	аориксқәа
AB1765	аԥслымӡ
AB1766	хәқәа
AB1767	ааныжьны
AB1768	Игылаз
AB1769	аиаҵәарахь
AB1770	изылбааз.
AB1771	Ас
AB1772	еиԥш
AB1773	,
AB1774	шамахамзар,
AB1775	иҟалаӡом,
AB1776	алымқәа
AB1777	аҭаҵәахгьы
AB1778	роуртә
AB1779	еиԥш.
AB1780	Ари
AB1781	аорикс
AB1782	ажьы
AB1783	алым
AB1784	аҭаацәара
AB1785	зегьы
AB1786	мчыбжьык
AB1787	аҟара
AB1788	иазхоит.
AB1789	Шьҭа
AB1790	аӡы
AB1791	аԥшаҳәа
AB1792	аҳаскьын
AB1793	иаҵәа
AB1794	ахыҵәеит,
AB1795	Ашәарыцара
AB1796	еиҳа
AB1797	имариахоит..
AB1798	Алымқәеи
AB1799	антиопақәеи
AB1800	рзы
AB1801	Аамҭа
AB1802	бзиақәа
AB1803	лассы
AB1804	имҩасуеит,
AB1805	аха
AB1806	абас
AB1807	икьаҿу,
AB1808	абарақьаҭра
AB1809	аамҭа
AB1810	иабзоураны,
AB1811	урҭ
AB1812	шықәсынаҟьак
AB1813	асакарақәа
AB1814	рҿы
AB1815	аҟазаара
AB1816	рылшоит.
AB1817	Аԥсра
AB1818	арха.
AB1819	Адгьыл
AB1820	аҿы
AB1821	зегь
AB1822	раасҭа
AB1823	иахьшоуроу
AB1824	ҭыԥуп.
AB1825	Аха
AB1826	ишаҳәшаҳәуа
AB1827	абри
AB1828	асакара
AB1829	ца
AB1830	ахаҿра
AB1831	аӡы
AB1832	иаԥсахыр
AB1833	алшоит.
AB1834	Ақәа
AB1835	иалшо
AB1836	даҽакы
AB1837	иалшаӡом.
AB1838	Уи
AB1839	жәашықәсала
AB1840	анышә
AB1841	иҵоу
AB1842	ажәла
AB1843	аԥсы
AB1844	ҭанаҵоит.
AB1845	Ара
AB1846	ас
AB1847	еиԥш
AB1848	ашәҭра
AB1849	ду
AB1850	ҟамлеижьҭеи
AB1851	шәышықәса
AB1852	иреиҳауп.
AB1853	“Аԥсра
AB1854	архаҿы”
AB1855	ашәҭра
AB1856	аамҭақәа
AB1857	кьаҿуп,
AB1858	аха
AB1859	асакараҿы
AB1860	аԥсҭазаара
AB1861	аиқәырхаразы
AB1862	иахьынӡашәҭуа
AB1863	азхаратәы
AB1864	иҟоуп.
AB1865	Арха
AB1866	иқәу
AB1867	зегьы
AB1868	иаалырҟьаны
AB1869	иҟало
AB1870	ари
AB1871	ашәҭра
AB1872	акыраамҭа
AB1873	иазыԥшуп
AB1874	азы
AB1875	абарақьаҭра
AB1876	аамҭа
AB1877	анааи,
AB1878	иалоу
AB1879	зегьы
AB1880	алхтәуп.
AB1881	Апланетаҿы
AB1882	абас
AB1883	асакара
AB1884	маҵеиԥш
AB1885	еилҟьоу
AB1886	даҽакы
AB1887	уԥылаӡом,
AB1888	аԥсҭазаара
AB1889	бзиа
AB1890	абас
AB1891	иазгәышьуа.
AB1892	20
AB1893	шықәса
AB1894	анышә
AB1895	иҵаз
AB1896	акәтаӷьқәа
AB1897	иаалырҟьаны
AB1898	рыԥсы
AB1899	ҭало
AB1900	иалагоит.
AB1901	Амаҵа
AB1902	ахәаҷақәагьы
AB1903	адуқәа
AB1904	иреиԥшуп,
AB1905	аха
AB1906	макьана
AB1907	амҵәыжәҩа
AB1908	ылрымхыц.
AB1909	Иарбанзаалак
AB1910	аҵиаа
AB1911	фатәыс
AB1912	ишьҭырхуеит,
AB1913	афҩалагьы
AB1914	ирыԥшаауеит.
AB1915	Шамахамзар,
AB1916	ԥшьы-мчыбжьа
AB1917	рыла
AB1918	иазҳауеит.
AB1919	аха
AB1920	уажәеиԥш
AB1921	аамҭа
AB1922	бзиа
AB1923	аниар,
AB1924	ахәаҷа
AB1925	иҵегьы
AB1926	иццакны
AB1927	иазҳауеит.
AB1928	Ҭыԥк
AB1929	аҿы
AB1930	афатә
AB1931	шаанҵәаз,
AB1932	адуқәа
AB1933	–
AB1934	амҵәыжәҩақәа
AB1935	ылызгахьоу,
AB1936	феромон
AB1937	ҳәа
AB1938	изышьҭоу
AB1939	афҩы
AB1940	аурыжьуеит,
AB1941	иахыҵны
AB1942	ишцо
AB1943	ала
AB1944	егьырҭгьы
AB1945	адырра
AB1946	рырҭаразы.
AB1947	Гәыԥқәак
AB1948	–
AB1949	хазы
AB1950	ҭаацәаракны
AB1951	рҽеидыркылоит.
AB1952	Маҵа
AB1953	дук
AB1954	ес-ҽны
AB1955	–
AB1956	иара
AB1957	иакапануа
AB1958	аҟара
AB1959	афоит.
AB1960	Ҭаацәарак
AB1961	анеиқәшәа
AB1962	шә-тоннала
AB1963	аҵиаа
AB1964	ықәырхуеит,
AB1965	иҟаӡамшәа.
AB1966	Ари
AB1967	аҭаацәара
AB1968	наҟ
AB1969	инаскьароуп
AB1970	иҵегьы.
AB1971	Аԥша
AB1972	иацны
AB1973	ицоит.
AB1974	Ас
AB1975	аиҭаҵраан
AB1976	еиҳа
AB1977	рхы
AB1978	ршаҭоит.
AB1979	Иеиҭаҵуа
AB1980	аҳауа
AB1981	иацны
AB1982	ианцо,
AB1983	ақәыӷәӷәара
AB1984	еиҳа
AB1985	иахьылаҟәу
AB1986	аҭыԥқәа
AB1987	алырхуеит
AB1988	аԥырразы,
AB1989	аԥшеи
AB1990	ақәеи
AB1991	ахьеиқәшәо,
AB1992	аҵиаагьы
AB1993	аурыла
AB1994	иахьазҳауа.
AB1995	Иԥырны
AB1996	ицо
AB1997	ҭаацәарак
AB1998	даҽа
AB1999	ҭаацәарак
AB2000	иацлоит
AB2001	аҟнытә
AB2002	гәыԥ
AB2003	дук
AB2004	аҿы
AB2005	миллиардла
AB2006	рҽеидыркылоит.
AB2007	60
AB2008	км
AB2009	рҟынӡа
AB2010	рҽырҭбааны
AB2011	ицоит.
AB2012	амҩан
AB2013	иахьцо
AB2014	иаарԥыло
AB2015	зегьы
AB2016	хыфаауа.
AB2017	Ари
AB2018	Адгьыл
AB2019	аҿы
AB2020	имҩаԥысуа
AB2021	аџьашьахәқәа
AB2022	ируакуп.
AB2023	Ари
AB2024	аамҭа
AB2025	кьаҿк
AB2026	ауп
AB2027	ианымҩаԥысуа,
AB2028	насгьы
AB2029	ари
AB2030	аҟара
AB2031	амҽхак
AB2032	дуны,
AB2033	шамахамзар,
AB2034	иҟалаӡом.
AB2035	Афатә
AB2036	шаанҵәаз
AB2037	еиԥшҵәҟьа,
AB2038	миллиардла
AB2039	амҵәыжәҩақәа
AB2040	реинҟьабжьы
AB2041	еиҭа
AB2042	асакара
AB2043	игьежьуа
AB2044	иқәу
AB2045	аԥша
AB2046	ашьҭыбжь
AB2047	иаарымнадоит.
