AB1	Аӡымшьақәа
AB1226	лассы-лассы
AB1227	иеицышәарыцоит,
AB1228	Урҭ
AB1229	аԥсыӡ
AB1230	еидгәыԥланы
AB1231	аӡяаррахь
AB1232	икарцалоит.
AB1233	Арҭ
AB1234	амшынҳәақәа
AB1235	гәыԥ-гәыԥла
AB1236	иеицныҟәо
AB1237	ԥстәқәоуп,
AB1238	Аҭаацәалалара
AB1239	аамҭа
AB1240	анааилак,
AB1241	рыбжьара
AB1242	аиндаҭлара
AB1243	яәяәа
AB1244	мҩаԥысуеит.
AB1245	Арбаяьқәа
AB1246	арцынақәа
AB1247	разыҟазаашьа
AB1248	аарԥшышьас
AB1249	иарҭогьы
AB1250	џьашьахәуп.
AB1251	Урҭ
AB1252	рыцқәа
AB1253	ахаҳә
AB1254	дуқәа
AB1255	бжьакны
AB1256	арцынақәа
AB1257	иддырбоит.
AB1258	Иҟалап,
AB1259	арбаяьқәа
AB1260	шеилҟьоу,
AB1261	ишыяәяәоу
AB1262	ддырбаразы
AB1263	иҟарҵозар.
AB1264	Убри
AB1265	алагьы,
AB1266	арцына
AB1267	агәра
AB1268	анаргарц
AB1269	азакәзар,
AB1270	уи
AB1271	ахшара
AB1272	рзы
AB1273	иара
AB1274	иеияьу
AB1275	аб
AB1276	шыҟам.
AB1277	Ари
AB1278	ахгәарԥхара
AB1279	қәҿиарала
AB1280	ианымҩаԥыс
AB1281	анаҩс,
AB1282	адельфинқәа
AB1283	рхы
AB1284	еидыркылоит,
AB1285	аҭаацәара
AB1286	аԥырҵоит.
AB1287	Амазонкеиԥш
AB1288	идуӡӡоу
AB1289	аӡы
AB1290	азгьы,
AB1291	амшын
AB1292	ахь
AB1293	ихоу
AB1294	амҩа
AB1295	есымшагьы
AB1296	имариам,
AB1297	ԥықәсылара
AB1298	амоуагьы
AB1299	иҟам.
AB1300	Аӡхыҽҽа
AB1301	Игәуасу,
AB1302	Аргентинеи
AB1303	Бразилиеи
AB1304	рҳәааҿы
AB1305	иҟоуп,
AB1306	Адунеи
AB1307	аҿы
AB1308	зегьы
AB1309	иреиҳаӡоу
AB1310	аӡхыҽҽақәа
AB1311	иреиуоуп,
AB1312	Ҩ-километраки
AB1313	бжаки
AB1314	аҭбаара
AB1315	амоуп.
AB1316	Ара
AB1317	секундацыԥхьаӡа
AB1318	13
AB1319	миллион
AB1320	литра
AB1321	аӡы
AB1322	хыҽҽаны
AB1323	икаҳауеит.
AB1324	Адунеи
AB1325	аҿы
AB1326	зегь
AB1327	раасҭа
AB1328	иҭбаау
AB1329	аӡиақәа
AB1330	зегьы
AB1331	-
AB1332	Викториа,
AB1333	Ниагара,
AB1334	Игәуасу
AB1335	А
AB1336	ӡиасқәа
AB1337	амшын
AB1338	иахьалало
AB1339	ауп
AB1340	иахьыҟоу.
AB1341	Рымҩа
AB1342	ахыркәшарахь
AB1343	ианнеи
AB1344	нахыс,
AB1345	аӡиасқәа
AB1346	хыҵны,
AB1347	адәқәа
AB1348	ирықәланы
AB1349	рҿынархоит,
AB1350	икараԥсараха.
AB1351	Есышықәса,
AB1352	ақәоурақәа
AB1353	ианрылагалак,
AB1354	Бразилиа
AB1355	аӡиас
AB1356	Парана
AB1357	аҳәаақәа
AB1358	ирҭыҵуеит,
AB1359	ихыҵны,
AB1360	Англиа
AB1361	иаҵанакуа
AB1362	аҭыԥ
AB1363	иаҟараны
AB1364	адәқәа
AB1365	ирхыҵәоит.
AB1366	Ари
AB1367	Пантанау
AB1368	захьӡу,
AB1369	адунеи
AB1370	аҿы
AB1371	зегь
AB1372	реиҳа
AB1373	зымҽхазкуа
AB1374	ӡбаарруоуп.
AB1375	Ашьшьыҳәа
AB1376	илеиуа
AB1377	аӡқәа
AB1378	рҿы
AB1379	аӡҵиаақәа
AB1380	ирызҳауеит,
AB1381	Викториа
AB1382	Реиге
AB1383	захьӡу
AB1384	аӡышәҭ,
AB1385	Ари
AB1386	абыяьқәа
AB1387	рыҭбаара
AB1388	ҩ-метрак
AB1389	рҟынӡа
AB1390	ыҟоуп.
AB1391	Арҭ
AB1392	аӡаҵаҟатәи
AB1393	абнақәа,
AB1394	хыԥхьаӡара
AB1395	рацәала,
AB1396	аԥсыӡқәа
AB1397	ахьыҿио
AB1398	ҭыԥуп.
AB1399	Ара
AB1400	хышә
AB1401	инарзынаԥшуа
AB1402	ԥсыӡхкы
AB1403	ҭоуп,
AB1404	Агәыҵаҟаԥшь
AB1405	пирании
AB1406	налаҵаны.
AB1407	Иҟоуп
AB1408	егьырҭ
AB1409	агыгшәыг-ԥсыӡқәа,
AB1410	иаҳҳәап,
AB1411	агәылшьап-каиман.
AB1412	Алаҳа
AB1413	аныҟала
AB1414	иныҿшәаны
AB1415	аӡы
AB1416	иҭаҳауеит,
AB1417	ари
AB1418	амла
AB1419	иакуа
AB1420	аԥсыӡ
AB1421	фатәыс
AB1422	ирымоуп.
AB1423	Ари
AB1424	абжьы
AB1425	арахь
AB1426	иаанагоит,
AB1427	дорадо
AB1428	захьӡу
AB1429	аԥсыӡ.
AB1430	Аҭыԥантәи
AB1431	аԥсыӡкҩцәа
AB1432	аӡиас
AB1433	бжьас
AB1434	ҳәа
AB1435	иашьҭоуп.
AB1436	Дорадо
AB1437	-
AB1438	аԥсыӡ
AB1439	ҳәыԥкны
AB1440	иахьабаз
AB1441	иԥшыхәуеит,
AB1442	Иманшәалахар,
AB1443	ирыжәларазы.
AB1444	Пираниқәагьы
AB1445	рызкылыԥшуеит,
AB1446	иара
AB1447	аамҭа
AB1448	анааи,
AB1449	ихәу
AB1450	аԥсыӡ
AB1451	мҵарсны
AB1452	ицаразы.
AB1453	Аишәа
AB1454	чара
AB1455	мыжда
AB1456	иалагеит.
AB1457	Минуҭқәак
AB1458	рыла,
AB1459	аԥсыӡ
AB1460	абаҩ
AB1461	аҟынӡа,
AB1462	ихыҟаҟааны
AB1463	иалгоит.
AB1464	Аԥсыӡ
AB1465	рацәа
AB1466	афаразы
AB1467	арахь
AB1468	иааиуеит
AB1469	аӡыԥсаатәи
AB1470	аӡхықәԥсаатәи
AB1471	ргәыԥ
AB1472	дуқәа.
AB1473	Пантанало
AB1474	аӡбаара
AB1475	иамоу
AB1476	650
AB1477	ԥсаатә
AB1478	хкы
AB1479	иреиуоуп
AB1480	Абна
AB1481	шьапызаҵәқәа
AB1482	рааигәа
AB1483	ихтәалоит.
AB1484	Урҭ
AB1485	зқьырацәала
AB1486	еицу
AB1487	ԥсаатә
AB1488	гәыԥны
AB1489	рҽеидыркылоит.
AB1490	Агәылшьап-каиманқәа
AB1491	аӡаҵаҟа
AB1492	рыҽхәыҵакны
AB1493	иԥшуп,
AB1494	афатә
AB1495	ахала
AB1496	инеины,
AB1497	рсаса
AB1498	иҭаҳаанӡа
AB1499	ҳәа.
AB1500	Аӡиасқәа
AB1501	амшын
AB1502	аҟынӡа
AB1503	ианынаӡалак,
AB1504	рныҟәашәа
AB1505	иагдырхоит.
AB1506	Иҵаатәалоу
AB1507	ажәпара
AB1508	ааныжьны
AB1509	адельта
AB1510	шьақәдыргылоит.
AB1511	Бангладеш
AB1512	ианнеи
AB1513	аӡиасқәа
AB1514	Ганги
AB1515	Брахмапутреи
AB1516	еицыланы
AB1517	адунеи
AB1518	аҿы
AB1519	зегь
AB1520	иреиҳау
AB1521	аӡышьҭра
AB1522	аԥырҵоит.
AB1523	Есышықәса
AB1524	урҭ
AB1525	Гималаи
AB1526	ашьхақәа
AB1527	ҩ-нызықь
AB1528	млн
AB1529	тонн
AB1530	алышәшәатә
AB1531	шьақәгыларақәа
AB1532	рыҵыӡәӡәааны,
AB1533	аокеан
AB1534	ахь
AB1535	ирыманы
AB1536	ицоит.
AB1537	Аӡымахәҭақәа
AB1538	рҿы
AB1539	–
AB1540	дельта
AB1541	иҟоуп
AB1542	адунеи
AB1543	аҿы
AB1544	зегь
AB1545	иреиҳау
AB1546	абна
AB1547	Сундарбан
AB1548	Арҭ
AB1549	абна
AB1550	џьашьахәқәа
AB1551	аӡхықәқәа
AB1552	рҿоуп
AB1553	иахьрызҳауа,
AB1554	аӡқәеи
AB1555	амшыни
AB1556	ахьеиԥыло
AB1557	аҭыԥаҿы.
AB1558	Адыяаҷафаҩцәа
AB1559	–
AB1560	амакакақәа,
AB1561	амангра
AB1562	жәырҭрақәа
AB1563	ирылоуп.
AB1564	Индонезиа,
AB1565	иџьаушьаратәы
AB1566	иҟоуп,аха
AB1567	-
AB1568	арҭ
AB1569	амаамынқәа
AB1570	аӡаҵаҟа
AB1571	анхара
AB1572	иашьцылеит.
AB1573	Аӡаҵаҟа
AB1574	афатә
AB1575	еизыргоит.
AB1576	Уи
AB1577	адагьы,
AB1578	ҽынла,
AB1579	аншоуроу
AB1580	рыҽдырхьшәашәоит
AB1581	Арҭ
AB1582	аӡқәа,
AB1583	иара
AB1584	убас,
AB1585	тәамҩахә
AB1586	змам
AB1587	амаамын
AB1588	қәыԥшқәа
AB1589	рзы
AB1590	хәмарырҭоуп.
AB1591	%ьоукы
AB1592	аӡаҵаҟа
AB1593	ибзианы
AB1594	аӡсашьа
AB1595	рҵеит.
AB1596	Урҭ
AB1597	аӡаҵаҟа
AB1598	минуҭк
AB1599	бжак
AB1600	рыԥсыԥ
AB1601	алагаҩагара
AB1602	аанкылара
AB1603	рылшоит.
AB1604	Аӡсара
AB1605	шыргәаԥхогьы
AB1606	убаратәы
AB1607	иҟоуп.
AB1608	Хымԥада,
AB1609	арҭ
AB1610	аныхәмаруа
AB1611	ирҵаз
AB1612	зегьы
AB1613	хәарҭамхар
AB1614	ауӡом
AB1615	амангра
AB1616	бнақәа
AB1617	рҿы
AB1618	ԥхьаҟатәи
AB1619	рыԥсҭазааразы.
AB1620	Еиҳа
AB1621	ихьшәашәоу
AB1622	аҭбаарақәа
AB1623	рҿы,
AB1624	аӡҭаҳарақәа
AB1625	рыҟны
AB1626	иӡаатәало
AB1627	алыкь
AB1628	ҵаа,
AB1629	иқәиаауа
AB1630	аҵиаа
AB1631	иабзоураны
AB1632	ишьақәгылоит
AB1633	апланетаҿы
AB1634	зегь
AB1635	реиҳа
AB1636	ибеиоу,
AB1637	ичашәу
AB1638	аекосистема
AB1639	400
AB1640	нызықь
AB1641	ҟыз
AB1642	шкәакәа,
AB1643	ԥырны
AB1644	иаауеит
AB1645	Еиду
AB1646	Америкатәи
AB1647	аштатқәа
AB1648	рыҟны
AB1649	Атлантикатәи
AB1650	амшын
AB1651	аԥшаҳәаҿы
AB1652	аӡҭаҳарақәа
AB1653	рахь,
AB1654	рыԥсы
AB1655	ааиҭакны,
AB1656	ԥхьаҟа
AB1657	ирзыԥшу
AB1658	амҩа
AB1659	хара
AB1660	иқәларазы
AB1661	Абра
AB1662	иагьхыркәшахоит
AB1663	аӡиасқәа
AB1664	рныҟәара,
AB1665	Еицыланы,
AB1666	ашьхақәа
AB1667	ҵрыӡәӡәаауеит,
AB1668	аокеан
AB1669	ахь
AB1670	иааргарзы
AB1671	Амҩа
AB1672	иахьану,
AB1673	урҭ
AB1674	рыӡқәа
AB1675	абарақьаҭра
AB1676	рыманы
AB1677	иаауеит
AB1678	апланета
AB1679	Адгьыл
AB1680	иқәынхо
AB1681	зегьы
AB1682	рзы.
