Апланета Адгьыл	ПЛАНЕТА ЗЕМЛя
Арии, ижәытәӡатәу мшынԥстәуп, хылҵшьҭрала иззааигәоу, аҿиарамҩан змыдаяьцәа зцәыӡхьоу, акальмарқәеи аа-шьапқәеи роуп.	Это - древнейший моллюск, его ближайшие родичи - кальмары и осьминоги,
Аа-шьапи наутилуси аияара рыбжьоуп.	которые в процессе эволюции утратили раковину, а осьминог стал одним из главных врагов наутилуса.
Абар, иара,аҽырҩашьара иазҟазоу.	Вот он, мастер маскировки.
Наутилус аа-шьапы ааигәара инеиӡом, шамахамзар.	Наутилус старается держаться подальше от осьминога.
Иара ашьап хәыҷқәа рҿы анырралша змоу ахимиатә рецепторқәа амоуп, урҭ изышьҭоу афатә еиԥш, агыгшәыг ԥсыцәгьақәа рышьҭа гәарҭоит.	На его маленьких щупальцах расположены чувствительные химические рецепторы, они улавливают малейшие следы, как добычи, так и хищника.
Уажәы, ари ашьҭа аа-шьапы иатәуп.	В этот раз осьминога.
Шьҭа уи аԥслымӡ ақәыҭәҳәаразы аӡыршәга ахы ианархәоит.	А теперь он использует свой водомёт для сдувания песка.
Аӡсаразы наутилус рацәак аҽарааԥсаӡом, Мызкахьтә знык акрафар иазхоит.	На плавание наутилус тратит совсем мало энергии, ему достаточно поесть один раз в месяц.
Акы аԥшааит.	Он что-то нашёл.
Уи бзиоуп, Ашарккара иалагоит, аӡаҵахь ихынҳәыроуп шьҭа.	Вот и хорошо, приближается рассвет, ему пора возвращаться на глубину.
Ари аҭыԥ аҟнытә 50 км ахьыбжьоу аӡы ахыхьҟа акальмарқәа рҽеидкыланы идәықәлеит.	А в пятидесяти километрах от этого места к поверхности устремились стаи кальмаров.
Уахынла урҭ апланктонқәа рыҩныҵҟа аԥсыӡ ссақәа ирышьҭоуп.	По ночам они выискивают среди планктона мелкую рыбу.
Аха даргьы ргәырҽануп.	Но сами они начеку.
Ашәыта зну аокеанҭынч мшынҳәақәа ааигәа иҟазаап.	Рядом оказались тихоокеанские пятнистые дельфины.
Урҭ абжьныҩлокаторқәа рхы иадырхәоит.	Они ориентируются с помощью эхолокации.
Амшынҳәақәа ласы-лассы еицышәарыцалоит, Дара еицжәыланы, изышьҭоу дыршәаҟьоит, «идырҟьалоит».	Дельфины часто охотятся сообща, они атакуют одновременно и сбивают с толку добычу.
Ишо ианалага, акальмарқәеи, аԥсыӡқәеи, апланктони алашьцара зхатәоу аӡаҵаҟа ихынҳәуеит.	А на рассвете кальмары, рыбы и планктон возвращаются в тёмные глубины.
Аӡаҵаҟатәи вулканқәак ргылара амшын аҵа инаркны хыхьынӡа жә-нызықь метра ираҟарахоит, аӡы ахыхь иахькьысуама уҳәаратәы.	Некоторые подводные вулканы возвышаются на 9 тысяч метров от морского дна, и почти касаются вершинами поверхности воды.
ес-ҽны амра зқәыԥхо, арҭ ақәцәқәа иаарыкәыршаны ишьақәгылеит амшын ҵиааи ԥстәи акыр ибеиоу адунеи ссирк.	Вокруг этих вершин, ежедневно освещаемых солнцем, раскинулся фантастический мир с богатейшей морской флорой и фауной.
Ара аԥсыӡ еизоит, Избанзар авулкан аӡы ахыхьҟа иханагалоит ихырҳагоу афатә.	Рыбы собираются здесь, потому что вулкан поставляет к поверхности питательные вещества.
Урҭ апланктон аизҳара иацхраауеит.	Они вызывают рост планктона.
Аокеан ныҟәаҩы, амза-ԥсыӡ..	Океанский странник, луна-рыба.
Уи амшынцаҟьаҿы иҟоу аԥсыӡ-рыцқьагақәа ирҭааит.	Она заглянула на риф к рыбам-чистильщикам.
Аԥсыӡ-хьычԥаԥырқәа рҽырҟәыбҷаны аганқәа ирымоу еиуеиԥшым ахәаҷақәа ақәхны ирфоит.	Рыбы-бабочки аккуратно склёвывают с её боков разнообразных паразитов.
Ари аԥсыӡ доумбеи километрактәи аҵаулараҿы инхоит, уа 20 градус рыла еиҳа ихьшәашәоуп аӡы, ара арии аԥсыӡ амедуза афаразы илбаауеит.	Эта гигантская рыба живёт на километровой глубине, там вода на 20 градусов холоднее, и там эта рыба питается медузами.
Хыхь аӡахьы ианхала аҽырԥханы, еиҭа аҵахь илбаауеит.	Визит в поверхностные воды позволяет ей согреться перед тем, как вновь нырнуть в бездну.
Ари авулкан ақәцә Амшын иналыҳәҳәо игылоуп.	А вершина этого вулкана возвышается над поверхностью моря.
Ари Аҳаракхара захьӡу адгьылбжьахоуп.	Это - остров вознесения.
Адәы аҟынӡа 1300 км бжьоуп.	До ближайшей суши 1300 километров.
Ари адгьылбжьаха – ихыҵны ицо аԥстәқәа ахьааҭгыло, акрызҵазкуа ҭыԥуп.	Остров вознесения - важный перевалочный пункт на пути мигрирующих животных.
Афрегатқәа мызла ааԥсарада амшын ихуп,	Фрегаты месяцами непрерывно летают над морем,
Аха, ахтәалара аамҭа анааилак, Аҳаракхара адгьылбжьахахьы иԥырны иаауеит аокеан аҵыхәақәа зегьы рыҟнытә.	но на время гнездования слетаются на остров вознесения со всех концов океана.
Ашьха анаара ҟьантазқәа шьақәгылоуп авулкан ццышәи алавеи рыла.	Голые склоны гор сложены из вулканического пепла и лавы.
Урҭ – аҵысҭрақәа рыҟаҵаразы даара иманшәалоуп.	Они - вполне подходящее место для устройства гнёзд.
Аха афрегатқәа иҵегьы иԥхьакырҭоу аҭыԥ алырхуеит.	Но фрегаты выбирают ещё более укромный уголок.
Адгьылбжьаха БодсвеинбиорнАҳаракхара адгьылбжьаха азааигәара иҟоу ацаҟьа заҵәы.	Остров Бодсвейнбёрн - одиночная скала близ острова вознесения.
Афрегатқәа рымҵәыжәа еиҵыхра заҟарахо алаАдунеи аҿы зегь раасҭа иласу ԥсаатәуп, Убри аҟнытә урҭ мчыбжьыла ааԥсарада аҳауа иалоуп.	Учитывая размах крыльев, фрегаты - самые лёгкие птицы в мире, поэтому они могут неделями парить в воздухе без усилий.
Урҭ ажәҩан еиҳа еиӷьаршьоит, адгьыл аҿы, аколониақәа рыҩныҵҟа аҭыԥ ахьыҭшәоу аасҭа, аха ароуп иахьыхтәало.	Они гораздо комфортнее чувствуют себя в небе, чем в переполненной колонии на земле, но гнездиться приходится.
Атлантика аҟнытә зегьы арахь иԥырны иаауеит. Аброуп рколониа ахьыҟоугьы.	Они слетаются сюда со всей Атлантики, это - их единственная колония.
Урҭ рааигәа рҭыԥ ҟарҵоит олушқәагьы.	А рядом гнездятся олуши.
Рабшьҭра азырҳаразы амшынԥсаатәқәа адунеи зегьы аҿы абас ихароу адгьылбжьахақәа алырхуеит.	Для продолжения рода морские птицы по всему миру выбираюттакие же далёкие острова.
Егьырҭ аԥстәқәа Аҳаракхара адгьылбжьаха ашҟа иӡсаны иаауеит. Акәуа иаҵәа рцына аԥшаҳәа иазааигәахоит.	Ну, а другие животные прибывают на остров вознесения вплавь. самка зелёной черепахи приближается к берегу.
Уи ҩымыз раахыс акрымфаӡакәа иҟоуп.	Она не ела уже 2 месяца.
Зқьи бжаки километр иныҟәаны иааит.	Она проделала полторы тысячи километров от места кормёжки.
Акәуа иаҵәа ахкы иаҵанакуа арҭ аԥстәқәа рзы ари зегь раасҭа иауу ныҟәароуп.	самая продолжительная миграция среди представителей её вида, зелёных черепах.
Имаҷым арахь иааихьоу акәуақәа, иԥслымӡроу аӡаҵан рыԥсы шьо, алашьцара ааира иазыԥшуп, усҟан имшәа-имырҳа аӡы аԥшаҳәахьы ицәырҵуеит.	Многие черепахи уже здесь, отдыхают на песчаном дне в ожидании темноты, когда можно будет без опаски выбраться на берег.
Мчыбжьқәак раԥхьа рыкәтаӷьқәа хырҵан, уажәы акәуа ԥшқақәа ахыҵра иалагеит.	Из яиц, отложенных несколько недель назад, в начале сезона, уже вылупляются черепашата.
Ари еиҳарак ианымҩаԥысуа уахынлоуп, Уажәы, ҽынла, ианшоу акәуа ԥшқақәа уашәшәыроуп акыр.	Чаще всего это происходит ночью, а вот сейчас, при свете дня, детёныши очень уязвимы.
Излауала, ирласӡаны аӡаҟынӡа инеироуп.	Они должны как можно быстрее добраться до воды.
Аха рԥышәара алагеит ауп макьана.	Но их испытания только начались.
Урҭ реиҳарак ацәқәырԥа дуқәа ирыҵаӡуеит.	Многие из них просто утонут в бурных волнах.
20 шықәса рыҩныҵҟала арҭ акәуақәа реиҳарак, хымԥада, иҭахоит.	В течение ближайших 20 лет большинство этих черепашек неминуемо погибнет.
Аха иеиқәхаз, хынҳәуеит, дара раԥхьаӡа адәы иахьықәлаз - аԥшаҳәахьы, урҭ зхылҵыз ишыҟарҵо еиԥш.	Но те, кто выживет, в конце концов, вернутся на тот самый пляж, где они сами появились на свет, как это делали и их матери.
Иахьагьы аилкаара уадаҩуп, абри аокеан ду аҿы амҩа ԥшаашьас иарҭо.	Мы до сих пор гадаем, как они находят дорогу в открытом океане.
Зны-зынла Амреи аеҵәақәеи рыла, Зны-зынла аӡымҩасра иаху афҩқәеи агьамақәеи рыла.	щтчасти по солнцу и звёздам, отчасти по запаху и вкусу морскихтечений.
Убри аамҭазы афрегат аӡы иахаԥыруа иахоуп.	А фрегат парит над водой.
Цаҟа иеиҵҳәа ишьҭоу аокеан аҟны иҟоуп акыр иззыԥшыз афатә, аха иабыкәу иахьыҟоу?	Где-то в простирающемся внизу океане есть долгожданная пища, но где?
Аӡы иахаԥыруа, афатә атәы зҳәо, изаҟаразаалак дыргақәак абар, иадырроуп.	Тот, кто летает над водой, должен уметь распознавать малейшие признаки добычи.
Агьыс, ухы узеиқәырхом.	Иначе не выживешь.
Мексикатәи аԥшаҳәаҟнытә 150 км ахьыбжьоу Зыбла ҵару афрегат акы алаԥш иҵашәеит.	В ста пятидесяти километрах от Мексиканского побережья зоркий глаз фрегата заметил движение.
Аԥраԥсыӡқәа. Х-метракцыԥхьаӡа афатә иакәшаоит.	Парусники, каждый три метра длиной, окружают добычу.
Урҭ ашәарыцара шаҟа мчы аҭаху иеиҳаны иақәдырӡӡом.	Они используют ровно столько энергии, сколько нужно для охоты. Ни одного лишнего взмаха плавниками.
Зныкгьы имыцхәны рырӡсагақәа шьҭырхӡом. Шәкы инарзынаԥшуа аԥра ԥсаатәқәа аԥсыӡ сса ҳәыԥкны иахьыҟаз игәарҭан, иакәшеит.	Около сотни парусников окружили стаю мелкой рыбы.
Ари аҟара ашәарыцацәа еицны, шамахамзар, иубаӡом.	Увидеть столько охотников в одном месте - большая редкость.
Ирԥыхьашәаз афатә кҿацаланы, аԥра ԥсаатәқәа абӷа рӡсага дуӡӡақза шьҭырхуеит.	Загоняя добычу парусники поднимают свои огромные спинные плавники.
Убри аан, даара ргәырҽанызароуп, избанзар, ишакәым арӡсага анаҟьа, аҩыза ахәыр алшоит ӷәӷәала.	Надо быть осторожным, плохо рассчитанный удар одного парусника может окончиться серьёзным ранением для другого.
Аха аԥра ԥсаатә есқьынгьы аԥшшәы аԥсахуеит, Аиҵәа аҟнытә аиқәаҵәахьы аҽеиҭанакуеит.	Но каждый парусник постоянно меняет цвет от синего к чёрному,
Абасала, аҩызцәа адырра рнаҭоит ргәырҽанызарц азы, Изышьҭоу шьақәнаҟьаразы.	так он предупреждает своих соратников о намерениях и сбивает с толку добычу.
Иааигәахацыԥхьаӡа, агәыԥ амшын ԥсаатә аҟынӡа инаӡартә еиԥш инеиуеит.	Приближаясь, стая оказывается в пределах досягаемости морских птиц.
Иаарту аокеан аҿы аԥсыӡ сса ҽыҵәахырҭа амаӡам.	В открытом океане мелкой рыбе просто негде спрятаться.
Аԥраԥсыӡқәа даара иеилҟьоу ԥсаатәуп.	Парусники - очень активные хищники,
Урҭ еиқәхаразы мышкы афатә рыгымхароуп, Ари иаанаго, рыԥсы ҭанаҵы тәамҩахә рымаӡам.	чтобы выжить, они должны питаться каждый день, а это значит, что всю свою жизнь они проводят в движении.
Аокеанқәа ҳапланета зегьы аҟны, хәарҭара злоу ахәҭаҟнытә иреиҳау аҭыԥ ааныркылоит.	Океаны занимают большую часть полезной площади нашей планеты.
Урҭ ирҭоуп иахьа иҟоугьы, зны иҟазгьы аԥстәқәа налаҵаны, зегьы иреиҳау аԥстәы.	В них обитает самое большое из существующих и когда-либо существовавших животных.
акит иаҵәа.	синий кит.
Акит рбаяьқәа џьоукы 200 тонна раҟара ркапануеит.	Некоторые самцы весят почти 200 тонн,
Зегьы ириеҳау адинозавр аасҭа ҩынтә иеиҳауп.	вдвое больше самого крупного динозавра.
Урҭ абри аҟара ишдуугьы, дара рзы иаҳдыруа маҷуп.	Несмотря на их гигантские размеры, мы по-прежнему мало знаем о них.
Изышьҭои, иабацои ҳәаазмаӡам аокеанқәа ирҭаланы? Иабаҿиои?	Куда они плывут по безбрежным океанам? Где они размножаются?
Хазы фактқәак, хазы гәаанагарақәак ыҟоуп ауп.	щтдельные факты, отдельные догадки.
Аха иеилкаауп, иара иеиҳау ԥстәы ыҟаӡам апланетаҿы, Фатәыс иамоугьы зегьы иреиҵоу, акреветкақәа иреиԥшу, адыӷаҷа ссақәа роуп.	Но мы хорошо знаем, что это самое большое животное на планете питается исключительно самыми мелкими рачками, похожими на креветок.
Зныкала аҿы тоннак аӡы ҭанагалоит, араӡагала иараӡоит.	Их имя криль. За один глоток они набирают в роттонны воды и процеживают её через цедильный аппарат.
Акит ес-ҽны ԥшь-миллионк инарзынаԥшуа дыӷаҷа лбаанадоит.	Ежедневно каждый кит проглатывает около четырёх миллионов рачков.
Ари аҽаҩра – иҟоу аокеан мал ахьынӡеиқәхо еиԥш ауп ишыҟало.	Размеры этого урожая зависят от сохранения существующих богатств океана.
Аха аԥсабараҿы имҩаԥсыуа аглобалтә еиҭакрақәа апланктонқәа рзы ишәарҭоуп азы, урҭ рхыԥхьаӡара ианымԥшыр ауӡом.	Но глобальные перемены климата угрожают большим скоплениям планктона, которым питаются киты.
Уажәааигәанӡа аокеанқәа еимгәҳәо иҭаз акит иаҵәақәа рхыԥхьаӡара 300 нызықь рҟынӡа инаӡон,	Ещё совсем недавно океаны бороздили 300 тысяч синих китов,
Иахьа, ухаҿы иузаагарым, Уаанӡатәи акитқәа рахьтә 3% роуп инхаз.	а сегодня, страшно подумать, от прежней популяции осталось меньше 3%.
Ҳапланетаҿы иџьашьахәу маҷымкәа иҟоуп.	На нашей планете ещё много чудес.
Урҭ ҭҵаауа ҳара адырра иҳауа адагьы, аԥсабара ҳнапаҿы иаагаратәы алшара ҳаууеит.	Исследуя их, мы обретаем не только знания, но и власть над природой.
Иахьа ҳара акитқәа рԥеиԥш адагьы ҳнапы иануп, ҳапланета ахьынӡанаӡааӡо абиологиатә хкыс иҟоу зегьы.	И сегодня в наших руках находится не только будущее китов, но и выживание всех биологических видов во всех уголках планеты.
Урҭ рныхра мамзаргьы реиқәырхара ҳара ҳнапаҿы иҟоуп.	В нашей власти уничтожить их или сохранить.
Ари зыӡбо ҳара ҳауп.	Выбор за нами.
Нас, шәааи ари ҳазхәыцып, зыԥсы ҭоу апланетаҿы аҟазаара ҳҭахызар.	Решайте люди, ведь мы хотим жить на живой планете.
