AB1	Апланета
AB1250	Шьҭа
AB1251	хыхьҟа,
AB1252	аҳаԥахьы
AB1253	ахалара
AB1254	шԥажәбеи!
AB1255	Ари
AB1256	макьана
AB1257	иԥшқоуп
AB1258	азы
AB1259	шықәсык
AB1260	ашьҭахь
AB1261	ауп
AB1262	амч
AB1263	анҭало,
AB1264	Убасҟан
AB1265	ахала
AB1266	ишәарҭоу
AB1267	анаарақәа
AB1268	ирҿаланы
AB1269	ашәараыцара
AB1270	алшартә
AB1271	иҟалоит.
AB1272	Асы
AB1273	бжьас
AB1274	мифтә
AB1275	ԥстәушәоуп
AB1276	ишыҟоу
AB1277	–
AB1278	арҭ
AB1279	ашьхақәа
AB1280	Ирсимволны
AB1281	иԥхьаӡоуп.
AB1282	Аԥсабараҿы
AB1283	ирбис
AB1284	збахьоу
AB1285	маҷӡоуп,
AB1286	Избанзар
AB1287	иара
AB1288	ахьыҟоу,
AB1289	шамахамзар,
AB1290	ҳазнеиӡом.
AB1291	Каракара
AB1292	ашьха
AB1293	ашьхеибаркыра
AB1294	мраҭашәаратәи
AB1295	аган
AB1296	иадуп,
AB1297	Уи
AB1298	аура
AB1299	адгьыл
AB1300	еикәшара
AB1301	жәантә
AB1302	ишаны
AB1303	хәҭак
AB1304	артәоит.
AB1305	Гиамлаи
AB1306	ашьхақәа.
AB1307	Адунеи
AB1308	аҿы
AB1309	зегь
AB1310	раасҭа
AB1311	иҳараку
AB1312	шьхақәоуп.
AB1313	.
AB1314	Егьырҭ
AB1315	ашьхеибаркыра
AB1316	дуқәа
AB1317	реиԥш
AB1318	урҭ
AB1319	шьақәгылеит
AB1320	аматерикқәа
AB1321	реидыслара
AB1322	иахҟьаны.
AB1323	50
AB1324	миллион
AB1325	шықәса
AB1326	рышьҭахь
AB1327	зны
AB1328	Индиеи
AB1329	Тибети
AB1330	реидыслара
AB1331	иахҟьаны
AB1332	ишьақәгылеит
AB1333	аҳаракыра
AB1334	дуқәа.
AB1335	Урҭ
AB1336	иахьагьы
AB1337	аизҳара
AB1338	иаҿуп.
AB1339	Ахаҳәи
AB1340	аҵааи
AB1341	еилалан,
AB1342	ҭӡы
AB1343	дуӡӡаны
AB1344	ишьақәгылеит,
AB1345	иара
AB1346	апланета
AB1347	зегьы
AB1348	аҳауа
AB1349	ашьақәгылараҿы
AB1350	анырра
AB1351	анаҭартә
AB1352	аҟынӡа
AB1353	идууп.
AB1354	Индиантәи
AB1355	иасуа
AB1356	иԥхоу,
AB1357	ацәаакыра
AB1358	злоу
AB1359	аԥшақәа
AB1360	Гималаи
AB1361	ашьхақәа
AB1362	ирыдсыланы
AB1363	хыхьҟа
AB1364	ихалоит.
AB1365	Хыхь
AB1366	ианхала
AB1367	ихьшәашәоит,
AB1368	иԥсҭҳәахоит,
AB1369	анаҩс
AB1370	муссонқәахоит.
AB1371	Аҳаракыра
AB1372	дуқәа
AB1373	рҿы
AB1374	урҭ
AB1375	сны
AB1376	илеиуеит.
AB1377	Ара
AB1378	Китаи
AB1379	мрагыларатәи
AB1380	ашьха
AB1381	алаҟәырақәа
AB1382	рҿы
AB1383	ашәарах
AB1384	аҿоуп,
AB1385	аӡын
AB1386	бааԥсқәа
AB1387	раан
AB1388	хыҵакырҭа
AB1389	шрымамгьы.
AB1390	Уажәааны
AB1391	амшәқәа
AB1392	зегьы,
AB1393	шамахамзар,
AB1394	рҭыҩрақәа
AB1395	рҿы
AB1396	ицәоуп,
AB1397	аха
AB1398	акалам
AB1399	мшәы
AB1400	ҳәа
AB1401	изышьҭоу
AB1402	панда
AB1403	ду
AB1404	рацәак
AB1405	иԥсылаӡам
AB1406	аӡын
AB1407	ицәарц
AB1408	азы.
AB1409	Панда
AB1410	фатәыс
AB1411	иамоу
AB1412	каламуп,
AB1413	уи
AB1414	иазырԥсылаӡом,
AB1415	егьырҭ
AB1416	амшәқәа
AB1417	реиԥш.
AB1418	Ашьха
AB1419	шәарах
AB1420	зны
AB1421	хыхь
AB1422	ицоит,
AB1423	зны
AB1424	ҵаҟа
AB1425	илбаауеит
AB1426	ашықәс
AB1427	аамҭақәа
AB1428	реиҭакра
AB1429	инақәыршәаны.
AB1430	Аха
AB1431	панда
AB1432	иара
AB1433	афатә
AB1434	хкы
AB1435	ахьыҟоу
AB1436	аҭыԥ
AB1437	аҟны
AB1438	иаангылоит.
AB1439	Акалам
AB1440	ари
AB1441	аҳаракыра
AB1442	мацараҿоуп
AB1443	иахьазҳауа.
AB1444	Еиҳа
AB1445	иеилҟьоу
AB1446	рзы,
AB1447	абнаҿы
AB1448	иҟоу
AB1449	маҷӡам.
AB1450	Ихьыԥшшәылоу
AB1451	амаамын
AB1452	ԥынҵа
AB1453	кәыры,
AB1454	апанда
AB1455	ду
AB1456	еиԥш,
AB1457	Китаи
AB1458	ауп
AB1459	иахьыҟоу.
AB1460	Арҭ
AB1461	амаамынқәа
AB1462	ирықәу
AB1463	рхәы
AB1464	жәпоуп
AB1465	аҟнытә
AB1466	егьырҭ
AB1467	амаамынқәа
AB1468	ахьзымнеиуа
AB1469	аҳаракырақәа
AB1470	рҟынӡа
AB1471	инеиуеит.
AB1472	Ахьшәашәарақәа
AB1473	аныҟалалак
AB1474	арҭ
AB1475	анаарақәа
AB1476	рҿы
AB1477	дара
AB1478	роуп
AB1479	ԥшәымара
AB1480	зуа.
AB1481	Ахамы
AB1482	ԥха
AB1483	мацара
AB1484	ара
AB1485	иазымхар
AB1486	ҟалоит.
AB1487	Арҭ
AB1488	амаамынқәа
AB1489	иалырхша
AB1490	рымоуп:
AB1491	Аҵла
AB1492	ацәа
AB1493	ргәы
AB1494	ахшәар,
AB1495	ашьха
AB1496	ашьапахьы
AB1497	илбаар
AB1498	рылшоит,
AB1499	иаҳа
AB1500	иахьыԥхарроу,
AB1501	нас
AB1502	арахь
AB1503	ааԥнынӡа
AB1504	ихнымҳәыр
AB1505	ҟалоит.
AB1506	Асы
AB1507	шышьҭыҵыз
AB1508	еиԥш,
AB1509	ашәҭра
AB1510	иалагоит.
AB1511	Ишәҭуеит
AB1512	аца.
AB1513	Ахәажә.
AB1514	Ара,
AB1515	иара
AB1516	аԥсадгьыл
AB1517	аҿы
AB1518	ирацәаны
AB1519	иазҳауеит,
AB1520	аԥын
AB1521	шәыгала
AB1522	ирҩычоит
AB1523	аԥсабара.
AB1524	Ааԥын
AB1525	арҭ
AB1526	абнақәа
AB1527	рахь
AB1528	иаауеит
AB1529	зеиуа
AB1530	хкы
AB1531	уҭаху
AB1532	аԥстәқәа.
AB1533	Аҵла
AB1534	шәҭышқәа
AB1535	рымҵан
AB1536	Рышәҵатәы
AB1537	ԥшӡақәа
AB1538	цәырыргоит.
AB1539	Ааԥын
AB1540	аҭаацәаралара
AB1541	иаамҭоуп
AB1542	-
AB1543	мрагыларатәи
AB1544	акаԥкаԥқәеи,
AB1545	гималаитәи
AB1546	аманалқәеи,
AB1547	ахеиқәаҵәа
AB1548	торгопанқәеи,
AB1549	акаԥкаԥ
AB1550	ҟаԥшьқәеи.
AB1551	Акабарга
AB1552	арахь
AB1553	иаауеит
AB1554	аҳаскьын
AB1555	ҿа
AB1556	афаразы.
AB1557	Арбаӷь
AB1558	арцына
AB1559	ахыԥша
AB1560	акызаап.
AB1561	Панда
AB1562	хәыҷы
AB1563	аԥсабараҿы,
AB1564	шамахамзар,
AB1565	иубаӡом.
AB1566	Уаанӡа
AB1567	аенот
AB1568	ҭаацәара
AB1569	иаҵанакуан,
AB1570	Уажәы
AB1571	ашьха
AB1572	мшәы
AB1573	хәыҷы
AB1574	ҳәа
AB1575	иашьҭоуп,
AB1576	апанда
AB1577	ду
AB1578	зхылҵызгьы
AB1579	иароуп.
AB1580	Аԥхын
AB1581	агәҭа
AB1582	апанда
AB1583	хәыҷы
AB1584	аешьа
AB1585	аҳаԥаҿы
AB1586	хазы
AB1587	аҽаҵәахуеит.
AB1588	Ара
AB1589	апанда
AB1590	ду
AB1591	мчыбжьык
AB1592	зхыҵуа
AB1593	аԥа
AB1594	хәыҷы
AB1595	акраҿанаҵоит.
AB1596	Чымазара
AB1597	ҿкык
AB1598	иацәнахьчаразы
AB1599	иарбзоит.
AB1600	Ан
AB1601	хымчыбжьа
AB1602	ари
AB1603	аҳапы
AB1604	иҭыҵӡом.
AB1605	Аԥа
AB1606	ахы
AB1607	изахәаӡом.
AB1608	Ирласынгьы
AB1609	иазҳаӡом,
AB1610	иафо
AB1611	акалам
AB1612	ауп.
AB1613	Уи
AB1614	ахш
AB1615	арыжәпаӡом.
AB1616	Ԥшьымчыбжьа
AB1617	ахыҵхьеит,
AB1618	аха
AB1619	макьана
AB1620	илашәуп,
AB1621	алақәа
AB1622	хнамтӡац.
AB1623	Хымыз
AB1624	рышьҭахь
AB1625	алақәа
AB1626	шаатра
AB1627	иаатуеит.
AB1628	Имаҷуп
AB1629	зықәра
AB1630	наӡо
AB1631	амшәҳәарқәа,
AB1632	аҭаацәараԥҵараҟынӡа
AB1633	инеиуа.
AB1634	Панда
AB1635	аԥа
AB1636	ишахӡыӡаауа
AB1637	ала,
AB1638	имариам
AB1639	ашьха
AB1640	ԥсҭазаара
AB1641	иасимволуп.
AB1642	Ҳапланета
AB1643	аҳаракыра
AB1644	дуқәа
AB1645	рҿы
AB1646	зегьы
AB1647	аамҭалоуп
AB1648	ишыҟоу.
AB1649	Џомолунгма,
AB1650	мамзаргьы
AB1651	Еверест
AB1652	–
AB1653	адунеи
AB1654	аҿы
AB1655	зегьы
AB1656	раасҭа
AB1657	иҳараку
AB1658	ҭыԥуп,
AB1659	Аҵыхәтәантәи
AB1660	арбагақәа
AB1661	рыла
AB1662	амшын
AB1663	азқәаҟнытә
AB1664	8844
AB1665	метра
AB1666	бжьоуп.
AB1667	Иара
AB1668	макьанагьы
AB1669	аизҳара
AB1670	иаҿуп.
AB1671	Ари
AB1672	ҳдунеи
AB1673	хыбҵас
AB1674	иахагылоуп.
AB1675	Ари
AB1676	аҭыԥ
AB1677	аҿы
AB1678	анеира
AB1679	згәы
AB1680	иҭазкыз
AB1681	ажәаҩык
AB1682	рахьтә
AB1683	аӡәы
AB1684	ара
AB1685	наунагӡа
AB1686	дынхеит.
AB1687	Ихалазгьы
AB1688	ари
AB1689	ақәцә
AB1690	аҿы
AB1691	секундқәак
AB1692	рыда
AB1693	аҟазаара
AB1694	илшаӡом.
AB1695	Анепалцәа
AB1696	ари
AB1697	ашьха
AB1698	ҵыск
AB1699	ахыԥрааны
AB1700	изцаӡом
AB1701	ҳәа
AB1702	ирыԥхьаӡоит.
AB1703	Аха
AB1704	есышықәса
AB1705	50
AB1706	нызықь
AB1707	инареиҳаны
AB1708	апҟа-ԥшӡақәа
AB1709	хыҵны
AB1710	ихоит.
AB1711	Ари
AB1712	адунеи
AB1713	аҿы
AB1714	зегь
AB1715	раасҭа
AB1716	ишәарҭоу
AB1717	аԥырроуп.
AB1718	Индиа
AB1719	аӡынра
AB1720	рхыргаразы
AB1721	ицарц,
AB1722	Гималаи
AB1723	ихыҵроуп.
AB1724	Шьыжла
AB1725	иара
AB1726	ақәыцәқәа
AB1727	аԥша
AB1728	бааԥсқәа
AB1729	асуеит.
AB1730	Апҟа-аԥшӡақәа
AB1731	акырӡа
AB1732	иҳаракны
AB1733	ихалароуп,
AB1734	уи
AB1735	иацәцаразы.
AB1736	Уажәы
AB1737	аилаҩынтра
AB1738	бааԥс
AB1739	ианиеит.
AB1740	Имгьежьыр,
AB1741	даара
AB1742	ишәарҭоуп,
AB1743	иҭахар
AB1744	рылшоит.
AB1745	Адырҩаҽны
AB1746	еиҭа
AB1747	рыҽԥыршәоит.
AB1748	Ари
AB1749	агәыԥ
AB1750	бжьыла
AB1751	еибадырны
AB1752	еигәныҩуеит.
AB1753	.
AB1754	Амлеи
AB1755	аӡбеи
AB1756	иакны
AB1757	зымч
AB1758	каԥсаз
AB1759	аԥсаатә
AB1760	аҳаракырахь
AB1761	ихаларазы
AB1762	ҵаҟантә
AB1763	иҩеиуа
AB1764	аҳауа
AB1765	ԥха
AB1766	рхы
AB1767	иадырхәоит.
AB1768	Ари
AB1769	џьоукы
AB1770	рзы
AB1771	раԥхьатәи
AB1772	ԥырроуп.
AB1773	Џьоукы
AB1774	рзы
AB1775	ҵыхәтәантәихар
AB1776	алшоит.
AB1777	Ашьха
AB1778	уарбақәа
AB1779	урҭ
AB1780	ирзыԥшуп,
AB1781	иреиҩаӡоит.
AB1782	Дара
AB1783	ҩба-ҩбала
AB1784	аус
AB1785	еицыруеит
AB1786	апҟа
AB1787	ҿа
AB1788	агәыԥ
AB1789	иацрырҟьаразы.
AB1790	Апҟа
AB1791	акы
AB1792	иацәцоит,
AB1793	аха
AB1794	егьи
AB1795	ашьапхыц
AB1796	наларԥаны
AB1797	иааннакылоит.
AB1798	Ари
AB1799	аҟыз
AB1800	ԥшқагьы
AB1801	хьанҭоуп,
AB1802	ашьха
AB1803	уарба
AB1804	ду
AB1805	аарлоуп
AB1806	ишыннакыло.
AB1807	Ан
AB1808	уаҳа
AB1809	ԥшышьа
AB1810	амаӡам,
AB1811	амш
AB1812	есааира
AB1813	иеицәахоит,
AB1814	иццакыроуп.
AB1815	Аԥсаатә
AB1816	аангылара
AB1817	рықәӡамкәа
AB1818	ицоит.
AB1819	Хыхьҟа
AB1820	ихалацыԥхьаӡа,
AB1821	есааира
AB1822	рымҵәыжәҩақәа
AB1823	рышьҭыхра
AB1824	рцәуадаҩхоит.
AB1825	Аҵыхәтәан,
AB1826	рымҩаҿы
AB1827	ирԥылоз
AB1828	зегь
AB1829	раасҭа
AB1830	ибааԥсыз
AB1831	аҳаракырақәа
AB1832	ириааит.
AB1833	Ас
AB1834	еиԥш
AB1835	аҳаракырақәа
AB1836	ирандаҭларц
AB1837	згәы
AB1838	иҭазкыз
AB1839	зегь
AB1840	реиԥш,
AB1841	даргьы
AB1842	аангылара
AB1843	азин
AB1844	рымаӡам.
