AB1	1
AB1308	Аха
AB1309	ауасацәқәа
AB1310	рцәа
AB1311	иадырит
AB1312	аҟнытә
AB1313	аҩада
AB1314	иҩаскьоит
AB1315	210
AB1316	Адуқәа
AB1317	рыхшара
AB1318	рыхьчаразы
AB1319	иаарыкәшаны
AB1320	амацәаз
AB1321	иҭаркуеит,
AB1322	211
AB1323	Абаррикада
AB1324	ҟарҵоит,
AB1325	уи
AB1326	ахырбгалара
AB1327	“ашәарыцацәа”
AB1328	зегьы
AB1329	ирылшаӡом.
AB1330	212
AB1331	Аха
AB1332	абгақәа
AB1333	иахьа
AB1334	иманшәалахеит.
AB1335	213
AB1336	Ауасацәқәа
AB1337	руакы
AB1338	шәаҟьаны,
AB1339	аҩызцәа
AB1340	ирыцәхҟьазаап.
AB1341	214
AB1342	Арктика
AB1343	амра
AB1344	есҽны
AB1345	еиҳа-еиҳа
AB1346	аҩадаҟа
AB1347	иҩаскьоит.
AB1348	215
AB1349	Ааԥынра
AB1350	аауеит,
AB1351	уи
AB1352	иацны
AB1353	иааиуеит
AB1354	аԥсҭазаара
AB1355	ҿыц.
AB1356	216
AB1357	Амышәҳәарақәа,
AB1358	амшә
AB1359	шкәакәа
AB1360	аԥацәа
AB1361	аҭыҩра
AB1362	иҭыҵуеит,
AB1363	217
AB1364	Урҭ
AB1365	ара
AB1366	ажьырныҳәа
AB1367	мзазы
AB1368	иит.
AB1369	218
AB1370	Ран
AB1371	хәымызтәи
AB1372	ацәа
AB1373	анаҩс,
AB1374	аҽарххоит,
AB1375	ашьапқәа
AB1376	еиҵнахуеит
AB1377	219
AB1378	аӡынтәи
AB1379	ацәа
AB1380	иалҵразы.
AB1381	220
AB1382	Аԥацәа
AB1383	2-3-мзы
AB1384	роуп
AB1385	ирхыҵуа,
AB1386	221
AB1387	Ран
AB1388	дырны
AB1389	иашьҭаланы
AB1390	ицоит.
AB1391	222
AB1392	Лбаарҟьасҭоуп
AB1393	–
AB1394	аҭыҩразы
AB1395	иеиӷьу
AB1396	ҭыԥ
AB1397	абаҟоу,
AB1398	аха
AB1399	ара
AB1400	раԥхьатәи
AB1401	223
AB1402	ашьаҿақәа
AB1403	рыҟаҵара
AB1404	мариам.
AB1405	224
AB1406	Ари
AB1407	баша
AB1408	хәмарроушәа
AB1409	убар
AB1410	ҟалоит
AB1411	азныказы,
AB1412	225
AB1413	Аха,
AB1414	раԥхьаҟа
AB1415	ирзыԥшу
AB1416	аԥышәаразы
AB1417	Зыҟаҵара
AB1418	бзиоуп,
AB1419	226
AB1420	Ахәқәа
AB1421	рҿы
AB1422	афатә
AB1423	абаҟоу,
AB1424	227
AB1425	Ран
AB1426	ахш
AB1427	амҵәаанӡа
AB1428	ари
AB1429	аҭаацәа
AB1430	ихҵаалаз
AB1431	амшын
AB1432	228
AB1433	иқәсны
AB1434	ицароуп.
AB1435	229
AB1436	Ҩымчыбжьа
AB1437	рыла
AB1438	урҭ
AB1439	ацара
AB1440	иазхиахоит.
AB1441	230
AB1442	Иҵааршәырахаз
AB1443	амшын
AB1444	аҿы
AB1445	амшә
AB1446	Атиуленқәа
AB1447	ирышьҭашәарыцар
AB1448	алшоит.
AB1449	231
AB1450	Амышәҳәарақәа
AB1451	ран
AB1452	иамоу
AB1453	аԥышәа
AB1454	зегьы
AB1455	уажәы
AB1456	ахы
AB1457	ианархәароуп
AB1458	232
AB1459	амышәҳәара
AB1460	хәҷқәа
AB1461	иҵааршәыроу
AB1462	адунеи
AB1463	иацу
AB1464	ашәарҭарақәа
AB1465	ирыцәнахьчаразы.
AB1466	233
AB1467	Есышықәсеиԥш
AB1468	аси
AB1469	аҵааи
AB1470	аӡыҭра
AB1471	иалагеит.
AB1472	235
AB1473	Амшә
AB1474	аҭаацәаразы
AB1475	ари
AB1476	аамҭа
AB1477	хьанҭоуп.
AB1478	236
AB1479	Аԥхьатәи
AB1480	ашықәс
AB1481	азы
AB1482	амшәҳәарақәа
AB1483	акы
AB1484	ныбжьажьны
AB1485	даҽакы
AB1486	аҵаа
AB1487	иқәыԥсуеит.
AB1488	237
AB1489	Амра
AB1490	есааира
AB1491	аҽарӷәӷәоит,
AB1492	амшын
AB1493	ҿаҳәаны
AB1494	измоу
AB1495	аҵаагьы
AB1496	ҿыхоит.
AB1497	238
AB1498	Асыԥсақәа
AB1499	ирыҵыҵны
AB1500	иаауа
AB1501	ацыхаӡы
AB1502	амшын
AB1503	ӡы
AB1504	иалалоит,
AB1505	уи
AB1506	239
AB1507	аҵаа
AB1508	аӡыҭра
AB1509	иацхраауеит.
AB1510	240
AB1511	Амшын
AB1512	аҿы
AB1513	аҵаа
AB1514	ԥыҽҽуа
AB1515	иалагоит,
AB1516	241
AB1517	Аԥшеи
AB1518	амшын
AB1519	иалало
AB1520	аӡи
AB1521	ирыхҟьаны
AB1522	Аҵаа
AB1523	еиҭаҵуеит,
AB1524	иныҟәо
AB1525	иалагоит.
AB1526	242
AB1527	Амшын
AB1528	иху
AB1529	аҵаа
AB1530	мыцхәу
AB1531	Иҵаӷахоит
AB1532	аҟнытә
AB1533	шьҭа
AB1534	243
AB1535	амшәҳәыс
AB1536	шкәакәа
AB1537	азынкылаӡом.
AB1538	244
AB1539	Иааҟәараҟәанҽоит
AB1540	аҽыннакыларазы
AB1541	245
AB1542	Аха
AB1543	аӡын
AB1544	инызкылоз
AB1545	аҵаа
AB1546	уажәы
AB1547	иццакӡаны
AB1548	аӡыҭра
AB1549	иаҿуп.
AB1550	246
AB1551	Аԥсабараҿы
AB1552	иҟалаз
AB1553	аԥхарра
AB1554	ду
AB1555	иахҟьаны
AB1556	Арктиа
AB1557	есышықәса
AB1558	247
AB1559	Аҵаа
AB1560	еиҳа-еиҳа
AB1561	имаҷхо
AB1562	иалагеит.
AB1563	248
AB1564	Амшә
AB1565	шкәакәақәа
AB1566	рзы
AB1567	ари
AB1568	рыцҳара
AB1569	дууп.
AB1570	249
AB1571	Аҵаа
AB1572	ӷәӷәамзар
AB1573	атиуленқәа
AB1574	рзыԥшааӡом.
AB1575	250
AB1576	Урҭ
AB1577	рыдагьы
AB1578	амла
AB1579	иаганы
AB1580	иԥсуеит.
AB1581	251
AB1582	Шәазхәыц,
AB1583	арҭ
AB1584	аԥстәы
AB1585	ссирқәа
AB1586	ԥеиԥшс
AB1587	ирымоу,
AB1588	252
AB1589	закә
AB1590	рыцҳароу
AB1591	раԥхьаҟа
AB1592	ирзыԥшу.
AB1593	253
AB1594	Аҵаа
AB1595	анықәҵлак
AB1596	254
AB1597	Аҩадатәи
AB1598	Арктикаҟа
AB1599	иԥырны
AB1600	иаауеит
AB1601	амшын
AB1602	ԥсаатә.
AB1603	255
AB1604	Иԥырны
AB1605	иаауеит
AB1606	гагарки
AB1607	лиурики
AB1608	миллионла
AB1609	256
AB1610	Ганкахьала,
AB1611	дара
AB1612	аҩадатәи
AB1613	апингвинқәа
AB1614	рекологиатә
AB1615	формоуп
AB1616	ирымоу
AB1617	ҳәа
AB1618	257
AB1619	рзуҳәар
AB1620	ҟалоит.
AB1621	258
AB1622	Урҭ
AB1623	ацаҟьақәа
AB1624	рҿоуп
AB1625	иахьҵо,
AB1626	ԥшралагьы
AB1627	дара
AB1628	апигвинқәа
AB1629	иреиԥшуп,
AB1630	259
AB1631	хылҵшьҭрала
AB1632	зынӡагьы
AB1633	ирзааигәаӡам
AB1634	аха.
AB1635	260
AB1636	Антартика
AB1637	иадкыланы
AB1638	уахәаԥшуазар,
AB1639	Арктиа
AB1640	Адгьыл
AB1641	аҿы
AB1642	иҟоу
AB1643	агыгшәыгқәа
AB1644	ирҿырхасҭоуп,
AB1645	261
AB1646	Убри
AB1647	аҟнытә
AB1648	апингвинқәа
AB1649	реиԥш
AB1650	акәымкәа,
AB1651	262
AB1652	Лиурики
AB1653	аԥырра
AB1654	рылшоит.
AB1655	263
AB1656	Урҭ
AB1657	рыкәтаӷқәа
AB1658	абахәқәа
AB1659	рҿы,
AB1660	Ахаҳәқәа
AB1661	рыбжьара
AB1662	264
AB1663	Метрак
AB1664	аҟара
AB1665	инарҵауланы
AB1666	ибжьарҵоит.
AB1667	265
AB1668	Аԥхынра
AB1669	ашыкьымҭазы
AB1670	Амра
AB1671	ҭашәаӡом,
AB1672	266
AB1673	Маҷӡак
AB1674	иналбааны
AB1675	еиҭахалоит.
AB1676	267
AB1677	Иеиҭаҵуа
AB1678	аԥстәқәа
AB1679	иахьабалакынтә
AB1680	ихыҵны
AB1681	Арктикаҟа
AB1682	иаауеит,
AB1683	268
AB1684	урҭ
AB1685	хынҳәны
AB1686	иаауеит
AB1687	афатә
AB1688	барақьаҭ
AB1689	иҟоу
AB1690	иашьҭаланы,
AB1691	269
AB1692	.......
AB1693	270
AB1694	Канадатәи
AB1695	аҟызқәа
AB1696	ԥырны
AB1697	иааит
AB1698	аладатәи
AB1699	Америка
AB1700	Аштатқәа
AB1701	рахьтә.
AB1702	271
AB1703	Уа
AB1704	аӡынра
AB1705	ыиасаанӡа
AB1706	ҳәа
AB1707	иԥшын.
AB1708	272
AB1709	Арҭ
AB1710	рҵыс
AB1711	ԥшқақәагьы
AB1712	аԥсаатә
AB1713	ҿа
AB1714	инарыцлеит
AB1715	273
AB1716	Тундра
AB1717	аҭҵаарагьы
AB1718	иналагеит.
AB1719	274
AB1720	Урҭ
AB1721	ирыцуп
AB1722	куликқәа
AB1723	рҵысԥшқақәагьы
AB1724	275
AB1725	Шықәсык
AB1726	абжьара
AB1727	мызқәак
AB1728	276
AB1729	Арктика
AB1730	уахгьы
AB1731	ҽынгьы
AB1732	амра
AB1733	ҭашәаӡом.
AB1734	277
AB1735	24
AB1736	сааҭ
AB1737	лашароуп
AB1738	аҟнытә
AB1739	аԥстәқәа
AB1740	ари
AB1741	аамҭазы
AB1742	уахынлагьы
AB1743	ҽынлагьы
AB1744	акрыфара
AB1745	рылшоит.
AB1746	278
AB1747	Абгахәыҷы
AB1748	фатәыла
AB1749	иеиқәшәоуп,
AB1750	аҭаацәа
AB1751	ду
AB1752	акрырҿанҵартә
AB1753	иҟоуп.
AB1754	279
AB1755	Аҵысҭра
AB1756	ихту
AB1757	ҭыԥк
AB1758	аҿы
AB1759	ианыҟауҵа,
AB1760	угәуҽаныз,
AB1761	280
AB1762	ихьчалатәуп.
AB1763	281
AB1764	Апоморник
AB1765	дуқәа
AB1766	рлеишәа
AB1767	бааԥсуп,
AB1768	иакәым
AB1769	ҟазҵаз
AB1770	иарбанзаалак
AB1771	ықәырцоит,
AB1772	282
AB1773	Аҳаскьын
AB1774	зфо
AB1775	аԥстәы
AB1776	дуқәагьы,
AB1777	Иара
AB1778	убас
AB1779	карибаҵәҟьагьы.
AB1780	283
AB1781	Абас.
AB1782	284
AB1783	Аҵысҭра
AB1784	ааигәара
AB1785	умнеироуп.
AB1786	285
AB1787	Аферым,
AB1788	абар
AB1789	апоморник
AB1790	аҵысҭра
AB1791	иаӷрагылар
AB1792	ауӡом.
AB1793	286
AB1794	Иҵааршәыроу
AB1795	адунеи
AB1796	шыӡыҭра
AB1797	иӡыҭит.
AB1798	287
AB1799	Ахәыҷқәа
AB1800	ан
AB1801	адгьыл
AB1802	аҿы
AB1803	инкыланы
AB1804	Ирыманаҵы,
AB1805	аб
AB1806	афатә
AB1807	ԥшаара
AB1808	ицоит
AB1809	289
AB1810	Хӡаарҟәрыла
AB1811	ҟанаҵоит.
AB1812	290
AB1813	Имӡыҭыцкәа
AB1814	иаанхаз
AB1815	аҵааҿы
AB1816	зыԥсы
AB1817	зшьо
AB1818	атиуленқәа
AB1819	сԥыхьашәозар
AB1820	ҳәа.
AB1821	291
AB1822	Амшә
AB1823	шашьцыламгьы
AB1824	Иџьаушьаратәы
AB1825	ибзиаӡаны
AB1826	иӡсоит.
AB1827	293
AB1828	Уажәаԥхьа
AB1829	аӡы
AB1830	аԥшаҳәа
AB1831	шә-километрак
AB1832	инацәыхарамкәа
AB1833	294
AB1834	амшәқәа
AB1835	шамахамзар,
AB1836	иубаӡомызт,
AB1837	295
AB1838	Аха
AB1839	шьҭа
AB1840	аҵаа
AB1841	аӡыҭра
AB1842	ианалага,
AB1843	ари
AB1844	ашықәс
AB1845	аамҭазы
AB1846	296
AB1847	Амшәқәа
AB1848	раамҭа
AB1849	еиҳарак
AB1850	аӡаҿы
AB1851	ирхыргоит.
AB1852	297
AB1853	Ари
AB1854	амшә
AB1855	шьҭа
AB1856	шьҭахьҟа
AB1857	хынҳәышьа
AB1858	амаӡам.
AB1859	298
AB1860	Иҵегьы
AB1861	амшын
AB1862	агәахьы
AB1863	инаскьалароуп
AB1864	299
AB1865	афатә
AB1866	аԥшааразы.
AB1867	300
AB1868	Аԥхьатәи
AB1869	ашьап
AB1870	дуқәа
AB1871	ацырхырааны
AB1872	иқәԥоит
AB1873	аокеан
AB1874	еиҭаҵра
AB1875	иаиааиразы.
AB1876	301
AB1877	Аокеан
AB1878	аҿы
AB1879	аҩны
AB1880	иҟоушәа
AB1881	ахы
AB1882	абоит
AB1883	уҳәап,
AB1884	302
AB1885	Аха
AB1886	ас
AB1887	ҵыхәаԥҵәарада
AB1888	изыӡсом.
AB1889	303
AB1890	Иӡааҟәрылоит
AB1891	ауп,
AB1892	иҳәаадоу
AB1893	ари
AB1894	аокеан
AB1895	аҿы
AB1896	дгьылк
AB1897	азымԥшаар.
AB1898	304
AB1899	Насыԥны,
AB1900	алаԥшҳәаа
AB1901	ахьынаӡоз
AB1902	џьара
AB1903	дгьылбжьахақәак
AB1904	цәырҵит.
AB1905	305
AB1906	Амшынҳәақәа
AB1907	-моржи)
AB1908	илбааганы
AB1909	ишьҭоу
AB1910	адгьылбжьахақәа
AB1911	рҿы
AB1912	рҽеидыркылоит.
AB1913	306
AB1914	Арҭ
AB1915	аҩадатәи
AB1916	ашьапҟьаҟьақәа
AB1917	аҵааҿоуп
AB1918	рыхшара
AB1919	ахьроуз,
AB1920	307
AB1921	Аха
AB1922	шьҭа,
AB1923	аҵаа
AB1924	анықәҵ,
AB1925	308
AB1926	Иахьықәиаша,
AB1927	рыхшара
AB1928	ахьныҟәыргаша
AB1929	аҭыԥқәа
AB1930	ирышьҭалароуп.
AB1931	309
AB1932	Амшә
AB1933	шкәакәа
AB1934	мышқәак
AB1935	рышьҭахь
AB1936	310
AB1937	аԥынҵа
AB1938	иҭасыз
AB1939	афҩы
AB1940	иашьҭаланы
AB1941	311
AB1942	иӡхыҵуеит
AB1943	аҟәарахьы.
AB1944	312
AB1945	Афатә
AB1946	афҩы
AB1947	аҳаит.
AB1948	313
AB1949	Аԥхынра
AB1950	анҵәамҭазы
AB1951	амшә
AB1952	аҟара
AB1953	агхеит,
AB1954	314
AB1955	аҵаа
AB1956	анықәҵ
AB1957	афатә
AB1958	адгьыл
AB1959	аҿы
AB1960	иаԥшаар
AB1961	акәхеит.
AB1962	315
AB1963	Ари
AB1964	адгьылбжьахаҿы
AB1965	афатә
AB1966	аԥшаара
AB1967	ус
AB1968	имариахом.
AB1969	316
AB1970	Арҭ
AB1971	ашьапҟьаҟьа
AB1972	дуқәа
AB1973	ус
AB1974	рхы
AB1975	урҭом.
AB1976	317
AB1977	Ан
AB1978	акапан
AB1979	тоннак
AB1980	иеиҳауп,
AB1981	Метрак
AB1982	аура
AB1983	змоу
AB1984	ацқәа
AB1985	рылагьы
AB1986	иеибыҭоуп,
AB1987	318
AB1988	Аӡсара
AB1989	акыр
AB1990	иарааԥсаз
AB1991	амшә
AB1992	амчқәа
AB1993	шьақәнаргылароуп.
AB1994	319
AB1995	Аԥсы
AB1996	ашьароуп.
AB1997	320
AB1998	Адырҩаҽны
AB1999	адгьылбжьаха
AB2000	анаҟә
AB2001	ықәчуеит.
AB2002	321
AB2003	Аморжқәа
AB2004	шәарҭарак
AB2005	шыҟоу
AB2006	Рцәа
AB2007	ианыруеит.
AB2008	322
AB2009	Анаҟә
AB2010	аҽалакны
AB2011	амшә
AB2012	аԥстәқәа
AB2013	рҽеизакны
AB2014	иахьыҟоу
AB2015	иазааигәахоит.
AB2016	323
AB2017	Адуқәа
AB2018	аӡәи-аӡәи
AB2019	еишьҭагыланы
AB2020	рыхшара
AB2021	ирываӷӷы
AB2022	иаагылоит
AB2023	324
AB2024	Ашшеи
AB2025	ацәа
AB2026	жәпеи
AB2027	ркәылӡы
AB2028	аарыкәыршаны.
AB2029	325
AB2030	Амшә
AB2031	акәылӡы
AB2032	ӷәаӷәазар
AB2033	гәанаҭоит.
AB2034	326
AB2035	Аха
AB2036	аморжқәагьы
AB2037	ируам.
AB2038	327
AB2039	Адгьыл
AB2040	аҿы
AB2041	зегь
AB2042	раасҭа
AB2043	идуу
AB2044	агыгшәыг
AB2045	328
AB2046	мчла
AB2047	иара
AB2048	иаҟараз
AB2049	аӷа
AB2050	ианиазар
AB2051	ҟалап..
AB2052	329
AB2053	Ари
AB2054	ахыхьчага
AB2055	кәылӡы
AB2056	кылаарак
AB2057	амамкәа
AB2058	ишԥаҟалоз?
AB2059	330
AB2060	Ара
AB2061	акәӡам.
AB2062	331
AB2063	Ан
AB2064	ахшара
AB2065	аԥхьа
AB2066	инагыланы
AB2067	иаҵәахуеит,
AB2068	332
AB2069	Амшә
AB2070	уи
AB2071	наҟ
AB2072	иаԥырызгоит
AB2073	ҳәа
AB2074	иаҿуп.
AB2075	334
AB2076	Амшә
AB2077	шкәакәа
AB2078	ашьапхыцқәеи
AB2079	анапхыцқәеи
AB2080	рылагьы
AB2081	аморж
AB2082	ацәа
AB2083	жәпа
AB2084	азкылҵәом.
AB2085	335
AB2086	Аԥстәқәа
AB2087	уажәы
AB2088	аӡы
AB2089	иҭалоит,
AB2090	Амшә
AB2091	ццакыроуп.
AB2092	336
AB2093	Аморжкқәа
AB2094	руакы
AB2095	ианазымиааи
AB2096	Даҽакахьы
AB2097	иҩуеит.
AB2098	337
AB2099	Шьыбжьхьатәи
AB2100	акрыфара
AB2101	башахеит,
AB2102	ала
AB2103	ишабо
AB2104	агәыӷра
AB2105	нампыҵышша
AB2106	ицоит.
AB2107	338
AB2108	Амшә
AB2109	агәы
AB2110	каҳаит
AB2111	шьҭа.
AB2112	339
AB2113	“Ма
AB2114	уара,
AB2115	ма
AB2116	сара”
AB2117	аҳәошәоуп.
AB2118	340
AB2119	Ац
AB2120	ҵарқәа
AB2121	шьҭа
AB2122	схы
AB2123	рцәызгеит
AB2124	агәахәит,
AB2125	341
AB2126	Аха
AB2127	аморж
AB2128	амч
AB2129	џьашьахәуп,
AB2130	Амшә
AB2131	аӡахьы
AB2132	ирҳәазаны
AB2133	иагоит,
AB2134	342
AB2135	аҩызцәа
AB2136	рахь.
AB2137	343
AB2138	Абар,
AB2139	аморж
AB2140	амшә
AB2141	иампыҵҵәрааит.
AB2142	344
AB2143	Аԥхынра
AB2144	ашыкьымҭаз,
AB2145	амлакра
AB2146	ианхықәгылоуп
AB2147	345
AB2148	амшәқәа
AB2149	игәаӷьны
AB2150	абас
AB2151	аԥсҭазааразы
AB2152	ишәарҭоу
AB2153	афатә
AB2154	ианашьҭала.
AB2155	346
AB2156	Ари
AB2157	гәаӷьуацәан,
AB2158	амшәгьы
AB2159	аҵахеит.
AB2160	347
AB2161	Аморж
AB2162	ацқәа
AB2163	амшә
AB2164	ианырҵаз
AB2165	ахәрақәа
AB2166	мариам,
AB2167	348
AB2168	аарла
AB2169	иныҟәоит.
AB2170	349
AB2171	Аморжқәа
AB2172	ргәы
AB2173	дырҭынчит
AB2174	350
AB2175	Урҭ
AB2176	ирдыруазар
AB2177	акәхап,
AB2178	351
AB2179	ирхәыз
AB2180	амшә
AB2181	шьҭа
AB2182	рхәыҷқәа
AB2183	рзы
AB2184	ишшәарҭам.
AB2185	352
AB2186	Амш
AB2187	зымшәарыцо
AB2188	ианыҟала,
AB2189	иҭахоит.
AB2190	353
AB2191	Аԥхарра
AB2192	ду
AB2193	анаанымкыла,
AB2194	354
AB2195	есышықәса
AB2196	Арктикатәи
AB2197	аҵааршәырақәа
AB2198	изаацәаны
AB2199	аӡыҭра
AB2200	ианалага,
AB2201	355
AB2202	Амшәқәа
AB2203	џьоукы,
AB2204	хымԥада,
AB2205	урҭ
AB2206	ирлахьынҵахаз
AB2207	рлахьынҵахоит.
AB2208	356
AB2209	Ҳапланета
AB2210	аладатәи
AB2211	аполиус
AB2212	аҿы
AB2213	аӡынтәи
AB2214	ажәҩан
AB2215	357
AB2216	цәаҳәа-цәаҳәа
AB2217	еилыԥхаауеит.
AB2218	358
AB2219	Ари
AB2220	аладатәи
AB2221	аполиартә
AB2222	лашароуп.
AB2223	359
AB2224	Ари
AB2225	алашара
AB2226	апингвинқәа
AB2227	аԥхарра
AB2228	рнаҭаӡом.
AB2229	360
AB2230	Дара
AB2231	еиҭа
AB2232	Апланетаҿы
AB2233	зегьы
AB2234	раасҭа
AB2235	иӷәӷәоу
AB2236	аӡын
AB2237	иаҿагыларц
AB2238	азы
AB2239	361
AB2240	рҽеидырӷәӷәаланы
AB2241	игылоуп
AB2242	362
AB2243	Аха
AB2244	зегь
AB2245	акоуп
AB2246	урҭ
AB2247	рԥышәара
AB2248	шьҭа
AB2249	ахыркәшамҭахь
AB2250	инеиуеит.
AB2251	363
AB2252	Арктика
AB2253	аҵыхәтәаны
AB2254	амра
AB2255	анынҭашәа
AB2256	инаркны
AB2257	30
AB2258	мшы
AB2259	рышьҭахь
AB2260	364
AB2261	еиҭа
AB2262	Амра
AB2263	гылоит.
AB2264	365
AB2265	Абри
AB2266	азоуп
AB2267	егьа
AB2268	гәаҟра
AB2269	рхыргазаргьы
AB2270	изырхыргаз.
AB2271	366
AB2272	Абацәа
AB2273	зегьы
AB2274	рыца
AB2275	иҭоу
AB2276	афатә
AB2277	знык
AB2278	ирфаша
AB2279	ауп.
AB2280	367
AB2281	Аб
AB2282	инымхӡакәа
AB2283	алӡынрак
AB2284	иҵәахны
AB2285	иамаз
AB2286	368
AB2287	ари
AB2288	афатә
AB2289	заҵәы
AB2290	аԥшқақәа
AB2291	369
AB2292	даҽа
AB2293	мышқәак
AB2294	инанагоит.
AB2295	370
AB2296	Аха
AB2297	дара
AB2298	рхаҭақәа
AB2299	ԥшьымз
AB2300	инарзынаԥшуа
AB2301	акгьы
AB2302	рымфаӡац.
AB2303	371
AB2304	Даҽакы
AB2305	рхьымӡар
AB2306	372
AB2307	рԥацәагьы
AB2308	даргьы
AB2309	ҭахоит.
AB2310	373
AB2311	Абар
AB2312	агәаыӷра
AB2313	ацәаара
AB2314	аацәыҵыԥшит.
AB2315	374
AB2316	Акыраамҭа
AB2317	иззыԥшыз
AB2318	ранацәа
AB2319	рыцақәа
AB2320	рҭәны
AB2321	хараӡа,
AB2322	ирбаратәы
AB2323	иааиуеит.
AB2324	375
AB2325	Урҭ
AB2326	ааигәахацыԥхьаӡа
AB2327	376
AB2328	Арбаӷьқәа
AB2329	зегьы
AB2330	гәырӷәарак
AB2331	нарылалоит.
AB2332	377
AB2333	Анацәа
AB2334	дасу
AB2335	изтәу
AB2336	рахь
AB2337	иеихоит.
AB2338	378
AB2339	Даргьы
AB2340	аҭынха
AB2341	бжьы
AB2342	дырны
AB2343	иақәҿнаҭуеит
AB2344	379
AB2345	Абри
AB2346	аӷьал-пал
AB2347	иалҩны
AB2348	ишеибаԥшаауа
AB2349	атәы
AB2350	еилкаашьа
AB2351	амаӡам.
AB2352	380
AB2353	Аҵыхәтәаны,
AB2354	аҩыџьагьы
AB2355	рҽеидыркылоит.
AB2356	381
AB2357	Ангьы
AB2358	раԥхьаӡа
AB2359	акәны
AB2360	аԥшқа
AB2361	абоит.
AB2362	382
AB2363	Уи
AB2364	анҵас
AB2365	иалшо
AB2366	зегьы
AB2367	аанарԥшыроуп.
AB2368	383
AB2369	Аха
AB2370	уаанӡа
AB2371	аԥшқа
AB2372	иахылаԥшуаз
AB2373	аб,
AB2374	уажәы
AB2375	ус
AB2376	иаарласны
AB2377	ан
AB2378	ианаҭом.
AB2379	384
AB2380	Аб
AB2381	иазгәыӷьуам,
AB2382	иацәшәоит,
AB2383	385
AB2384	Аԥшқа
AB2385	аҵаа
AB2386	азымычҳар
AB2387	ҟалоит,
AB2388	секундқәак
AB2389	рыҩныҵҟала
AB2390	иҵаауеит.
AB2391	386
AB2392	Аха
AB2393	знымзар-зны
AB2394	игәаӷьтәыми.
AB2395	387
AB2396	Аҵыхәтәаны,
AB2397	аԥшқа
AB2398	акгьы
AB2399	амыхьӡакәа
AB2400	388
AB2401	Ан
AB2402	ашҟа
AB2403	ииагахоит,
AB2404	амгәа
AB2405	аҵаҟа
AB2406	иҵанартәоит..
AB2407	389
AB2408	Аԥсыӡи
AB2409	акальмарқәеи
AB2410	аԥшқақәа
AB2411	ирзеиӷьуп
AB2412	азы
AB2413	лассы
AB2414	ирызҳауеит.
AB2415	390
AB2416	Хара
AB2417	имгакәа
AB2418	имшәа-имырҳа,
AB2419	иаарыкәыршаны
AB2420	иҟоу
AB2421	адунеи
AB2422	аҭҵаара
AB2423	иналагоит,
AB2424	аха
AB2425	391
AB2426	ранацәа
AB2427	рылаԥшгьы
AB2428	рхызароуп
AB2429	392
AB2430	Ари
AB2431	аԥшқа
AB2432	рыцҳахеит,
AB2433	Ан
AB2434	хнымҳәӡеит,
AB2435	393
AB2436	Иҟалап
AB2437	амшын
AB2438	леопард
AB2439	иаҿыҵашәазар.
AB2440	394
AB2441	Абар
AB2442	иеиҭымхаз
AB2443	даҽакы,
AB2444	аҭаацәа
AB2445	ирышьҭоуп,
AB2446	395
AB2447	Аха
AB2448	ари
AB2449	иара
AB2450	аԥшқа
AB2451	аҵоуп.
AB2452	396
AB2453	Иеиҭымхаз
AB2454	аҵыс
AB2455	ԥшқақәа
AB2456	инармыцхәны
AB2457	ахылаԥшра
AB2458	рырҭоит
AB2459	397
AB2460	Зыԥшқақәа
AB2461	зцәыӡыз
AB2462	анацәа,
AB2463	398
AB2464	Анра
AB2465	иазгәышьуа
AB2466	апингвинқәа
AB2467	раԥхьа
AB2468	ирԥыхьашәаз
AB2469	399
AB2470	еиҭымхаз
AB2471	аԥшқа
AB2472	еимакны
AB2473	рыгәқәа
AB2474	нибархоит.
AB2475	400
AB2476	Зны-зынла
AB2477	ари
AB2478	аимак
AB2479	арыцҳарақәа
AB2480	ахылҵуеит.
AB2481	401
AB2482	Аԥшқа
AB2483	адуқәа
AB2484	ршьапы
AB2485	иашьуеит.
AB2486	402
AB2487	Аҭаацәа
AB2488	змоу
AB2489	аҵыс
AB2490	ԥшқа
AB2491	Лассы
AB2492	ахныҟәгашьа
AB2493	рҵоит.
AB2494	403
AB2495	Ааԥынразгьы
AB2496	рыҽдырԥхарц
AB2497	азы
AB2498	дара
AB2499	ҳәыԥкны
AB2500	рҽеидыркылар
AB2501	акәхоит.
AB2502	404
AB2503	Рҭаацәа
AB2504	ус
AB2505	аныҟарҵоз
AB2506	аӡын
AB2507	ианашыкьымҭаз
AB2508	акәын.
AB2509	405
AB2510	Арҭ
AB2511	аҵысԥшқақәа
AB2512	Асыҭәҳәа
AB2513	аныҟаз
AB2514	иҟьалеит.
AB2515	406
AB2516	Ишәаз,
AB2517	ахьҭа
AB2518	иакыз
AB2519	аԥшқақәа
AB2520	Рҩызцәа
AB2521	ирышьҭоуп.
AB2522	407
AB2523	Аха
AB2524	анаатә
AB2525	(бур)аҽарӷәӷәоит.
AB2526	408
AB2527	Дук
AB2528	мырҵыкәа
AB2529	арҭ
AB2530	аҵысԥшқақәа
AB2531	раԥхьатәи
AB2532	рыԥсҭазаара
AB2533	аманы
AB2534	ицоит.
AB2535	409
AB2536	Аҭаацәа
AB2537	абаҟоу?
AB2538	410
AB2539	Аԥхынра
AB2540	алагамҭазы
AB2541	иеиқәхаз
AB2542	Аҵысԥшқақәа
