AB1	Апланета
AB1266	аха
AB1267	шьҭа
AB1268	аӡгьы
AB1269	ааигәахеит.
AB1270	Иеицу
AB1271	аԥстәқәа
AB1272	рныҟәашәа
AB1273	зыруадаҩуа
AB1274	асаба
AB1275	фырҭын
AB1276	ауп.
AB1277	Анацәа
AB1278	рыхшареи
AB1279	дареи
AB1280	агәыԥ
AB1281	иацәхҟьар
AB1282	рылшоит.
AB1283	Аслан
AB1284	хәыҷы
AB1285	ани
AB1286	иареи
AB1287	ааигәа
AB1288	иҟоу
AB1289	бна
AB1290	хәыҷык
AB1291	аҿы
AB1292	рҽырҵәахырц
AB1293	иақәыркит,
AB1294	аха
AB1295	иахьнеиша
AB1296	инеиаанӡа
AB1297	аангылашьа
AB1298	рымам.
AB1299	Агәыԥ
AB1300	аиҳарак
AB1301	маншәаланы
AB1302	аҭыԥ
AB1303	аҿы
AB1304	инеит.
AB1305	Аҵыхәтәаны,
AB1306	шьҭахьҟа
AB1307	инхаз
AB1308	асланқәагьы
AB1309	асаба
AB1310	иаалҵны
AB1311	иаарыдгылеит.
AB1312	Ари
AB1313	аслан
AB1314	хәыҷы
AB1315	аԥслымӡ
AB1316	ала
AB1317	ихыԥсалан,акыр
AB1318	иаргәамҵит.
AB1319	Ан
AB1320	излалшоз
AB1321	ала
AB1322	иацхраарц
AB1323	иаҿуп.
AB1324	Афырҭын
AB1325	хнаго
AB1326	иалагеит.
AB1327	Аха
AB1328	асланқәа
AB1329	зегьы
AB1330	разҟыла
AB1331	иеиԥшым,
AB1332	изымаазгьы
AB1333	ыҟоуп.
AB1334	Аслан
AB1335	хәыҷыкгьы
AB1336	ыӡит.
AB1337	Ишҿажәкуаз,
AB1338	амч
AB1339	каԥсан,
AB1340	ан
AB1341	ашьҭа
AB1342	ихыланы
AB1343	иаауеит,
AB1344	аха
AB1345	рыцҳарас
AB1346	иҟалаз
AB1347	Даҽа
AB1348	хырхарҭак
AB1349	ала
AB1350	ацара
AB1351	иаҿуп.
AB1352	Аарҩара
AB1353	ашыкьымҭаз
AB1354	Калахари
AB1355	Окаванго
AB1356	аӡыршьҭра
AB1357	иҭаланы
AB1358	аӡы
AB1359	аҿаанахоит.
AB1360	Уи
AB1361	қәаны
AB1362	илеит
AB1363	арантә
AB1364	зықь
AB1365	километраки
AB1366	бжаки
AB1367	ахьыбжьоу
AB1368	Ангола
AB1369	ашьхақәа
AB1370	рҿы,
AB1371	аранӡа
AB1372	аарагьы
AB1373	хәымызҟа
AB1374	иадхалеит.
AB1375	Аӡқәа
AB1376	адгьыл
AB1377	еиҟәыԥԥарсҭақәа
AB1378	рыҟнытә
AB1379	ибжьыӡәӡәааны
AB1380	иаарго
AB1381	ахәаҷа-маҷақәа
AB1382	иаразнак
AB1383	аҭҩыармамқәа
AB1384	ирфоит.
AB1385	Аӡы
AB1386	иацны
AB1387	иаауеит
AB1388	аԥсыӡқәа,
AB1389	урҭгьы
AB1390	аԥсаатә
AB1391	ирцәынхаз
AB1392	ахәаҷа-маҷа
AB1393	еидырыҟәшәалоит.
AB1394	Раԥхьа
AB1395	иԥырны
AB1396	иаауеит
AB1397	хыԥхьаӡара
AB1398	рацәала
AB1399	аԥсааатә.
AB1400	Алымҳарыҩпҟақәа
AB1401	ргәыԥ.
AB1402	Анаҩс
AB1403	ашьапызаҵә
AB1404	еиқәаҵәақәа.
AB1405	Аԥсаатә
AB1406	ирышьҭагыланы
AB1407	рҿаархоит
AB1408	акамбашьқәа,
AB1409	Арҭ
AB1410	мчыбжьыла
AB1411	амҩа
AB1412	иқәуп,
AB1413	иааит
AB1414	шьҭа.
AB1415	Окаванго
AB1416	аӡышьҭра
AB1417	аӡы
AB1418	анҭалалак
AB1419	Калахари
AB1420	ацәҳәыра
AB1421	аиҳарак
AB1422	дгьылчашәраны
AB1423	иҟалоит.
AB1424	Адунеи
AB1425	аҿы
AB1426	абраҟеиԥш
AB1427	лабҿаба
AB1428	даҽаџьара
AB1429	иубарҭаӡам
AB1430	иԥсҭаҵагоу
AB1431	аӡы
AB1432	амч.
AB1433	Окавандо
AB1434	аӡышьҭра
AB1435	агәахьы
AB1436	инеиуа
AB1437	адассақәа
AB1438	реиԥш
AB1439	иалдоуп
AB1440	арахь
AB1441	иаауа
AB1442	аԥстәқәа
AB1443	знысуа
AB1444	амҩахәасҭақәа.
AB1445	Урҭ
AB1446	есааира
AB1447	иҿыцу
AB1448	амҩахәасҭақәа
AB1449	ылыргоит,
AB1450	аӡқәа
AB1451	рҭалоит,
AB1452	еиҳа-еиҳа
AB1453	аӡбаарақәа
AB1454	рымҽхак
AB1455	ырҭбаауа.
AB1456	Ас
AB1457	еиԥш
AB1458	Африка,
AB1459	шамахамзар
AB1460	иубаӡом.
AB1461	Уи
AB1462	ӡыжьмацараны
AB1463	иҟалоит.
AB1464	Ԥстәқәак
AB1465	ари
AB1466	аҭыԥ
AB1467	цәгьала
AB1468	ианаалоит.
AB1469	Арҭ
AB1470	лич
AB1471	ҳәа
AB1472	изышьҭоу
AB1473	антилопақәоуп.
AB1474	Ршьапқәа
AB1475	хара-хара
AB1476	ишеиҿартәоу
AB1477	ала,
AB1478	аӡаҿы
AB1479	аҩразы
AB1480	иманшәалоуп.
AB1481	Егьырҭ
AB1482	ари
AB1483	аҭып
AB1484	уамак
AB1485	иргәаԥхом.
AB1486	Амышәқәа.
AB1487	Павианқәа.
AB1488	Аҽыкәабара
AB1489	рацәак
AB1490	ирҭахым.
AB1491	Аԥстәқәа
AB1492	зегьы
AB1493	рзы
AB1494	аӡы
AB1495	иацны
AB1496	иааиуеит
AB1497	абарақьаҭра
AB1498	аамҭа.
AB1499	Агиена
AB1500	лақәа.
AB1501	Арҭ
AB1502	алақәа
AB1503	уажәы
AB1504	рхыԥхьаӡара
AB1505	маҷӡахеит
AB1506	Африка.
AB1507	Убас
AB1508	шакәугьы
AB1509	аконтинент
AB1510	аҿы
AB1511	дара
AB1512	реиԥш
AB1513	ибзианы
AB1514	ишәарыцо
AB1515	ԥстәы
AB1516	ыҟам.
AB1517	Рышәарыцара
AB1518	маӡасгьы
AB1519	иаҵоу
AB1520	рҽеидкыланы
AB1521	иахьышәарыцо
AB1522	ауп.
AB1523	Зегь
AB1524	реиҳа
AB1525	изышьҭоугьы
AB1526	импал
AB1527	ҳәа
AB1528	иҟоу
AB1529	антилопоуп.
AB1530	Ашәарыцара
AB1531	ианналаго
AB1532	рҽеиҩыршоит.
AB1533	Хыхьынтәи
AB1534	урылаԥшыр,
AB1535	ибзианы
AB1536	иубоит
AB1537	рышәарыцара
AB1538	шымҩаԥырго.
AB1539	Агыгшәыгқәа
AB1540	изышьҭоу
AB1541	аԥстәы
AB1542	иананиа,
AB1543	нас
AB1544	иаакәшаны,
AB1545	мацәазҵас
AB1546	иҭаркуеит.
AB1547	Алақәа
AB1548	хаз-хазы
AB1549	ҭыԥк-ҭыԥк
AB1550	алхны,
AB1551	ҿымҭ
AB1552	иаагылоит.
AB1553	Ҷыт-бжьык
AB1554	раҩшәом.
AB1555	Ашәараыцара
AB1556	иалагеит.
AB1557	Х-лак
AB1558	ԥхеибарс,
AB1559	антилопак
AB1560	иашьҭалоит.
AB1561	Ирзымкӡеит.
AB1562	Алақәа
AB1563	раԥхьагыла
AB1564	антилопақәа
AB1565	рымҩа
AB1566	кны
AB1567	иԥшу
AB1568	аҩызцәа
AB1569	рышҟа
AB1570	иԥхьанацоит.
AB1571	Урҭ
AB1572	ахьыҟоу
AB1573	адыруеит
AB1574	азы
AB1575	амҩа
AB1576	ааихҵәаны
AB1577	антилопақәа
AB1578	ирыжәло
AB1579	аҩыза
AB1580	иацлоит.
AB1581	Ма
AB1582	рызегьы
AB1583	ргароуп.
AB1584	Ма
AB1585	акгьы.
AB1586	Избанзар
AB1587	зегьы
AB1588	акака
AB1589	рыхьӡароуп.
AB1590	Алақәа
AB1591	акыр
AB1592	рылшоит,
AB1593	антилопақәагьы
AB1594	ласуп.
AB1595	Уаҳа
AB1596	анрылымша
AB1597	аӡмыжь
AB1598	рҽарҭоит.
AB1599	Аха
AB1600	антилопақәа
AB1601	зыӡсаӡом.
AB1602	Алақәа
AB1603	ирдыруеит
AB1604	иӡхымҵыр,
AB1605	иӡааҟәрылоит
AB1606	ауп.
AB1607	Уажәшьҭа
AB1608	иԥшыроуп.
AB1609	Аха
AB1610	аҩызцәагьы
AB1611	рыԥхьоит.
AB1612	Абнаҿы
AB1613	ԥыхьашәа
AB1614	зауз
AB1615	рҩызцәа
AB1616	аишәачарахьы
AB1617	ирыԥхьоит.
AB1618	Ари
AB1619	антилопа
AB1620	аразҟы
AB1621	иакит,
AB1622	иӡхыҵыр
AB1623	алшоит
AB1624	шьҭа.
AB1625	Ариаҟара
AB1626	алақәа
AB1627	анеицышәарыцо
AB1628	мышкы
AB1629	знык
AB1630	ауп,
AB1631	ироуз
AB1632	рдырҩатәгьы
AB1633	еиҩшаны
AB1634	ирфоит.
AB1635	Ари
AB1636	аԥсы
AB1637	агеит.
AB1638	Асланқәа
AB1639	рныҟәара
AB1640	ду
AB1641	аҵыхәахь
AB1642	инеит.
AB1643	Мчыбжьыла
AB1644	амҩа
AB1645	иқәын,
AB1646	икарахеит.
AB1647	Асланқәа
AB1648	раԥхьагыла
AB1649	–
AB1650	аматриарх-
AB1651	аӡы
AB1652	шааигәоу
AB1653	ацәа
AB1654	иадырит
AB1655	аҟнытә
AB1656	агәыԥ
AB1657	аанымгыларц
AB1658	азы
AB1659	иеиханы
AB1660	ицоит.
AB1661	Аслан
AB1662	хәыҷқәа
AB1663	уаҳа
AB1664	рылшом,
AB1665	аха
AB1666	ранацәа
AB1667	уажәадагьы
AB1668	иаахьеит,
AB1669	ирдыруеит
AB1670	аӡы
AB1671	ааигәа
AB1672	ишыҟоу.
AB1673	Акыр
AB1674	хара
AB1675	иныҟәеит,
AB1676	аха
AB1677	асланқәа
AB1678	аӡы
AB1679	ахьыҟаз
AB1680	иааит.
AB1681	Арҭ
AB1682	асланқәа
AB1683	рыԥсҭазаара
AB1684	есышықәса
AB1685	имҩаԥысуа
AB1686	аамҭа
AB1687	аиҭасрақәа
AB1688	–
AB1689	аӡысаамҭеи
AB1690	аарҩареи
AB1691	ирхьыԥшуп.
AB1692	Аамҭақәа
AB1693	реиҭныԥсахларақәа
AB1694	Амра
AB1695	ацикл
AB1696	ауп
AB1697	изыдҳәалоу.
AB1698	Апланета
AB1699	аладатәи
AB1700	аполиус
AB1701	аҿы
AB1702	ԥшьымыз
AB1703	ишыхәлара
AB1704	ихәлоит.
AB1705	Уи
AB1706	анаҩс
AB1707	Антарктида
AB1708	еиҭа
AB1709	Амра
AB1710	гылоит.
AB1711	Шьҭа
AB1712	аимператортә
AB1713	пингвинқәа
AB1714	рҭыԥқәа
AB1715	ирхыҵны
AB1716	ицар
AB1717	рылшоит.
AB1718	Арбаӷьқәа
AB1719	алӡынрак
AB1720	зырԥхара
AB1721	иаҿыз
AB1722	рыкәтаӷьқәа
AB1723	шыркыц
AB1724	иркуп.
AB1725	Амра
AB1726	анаацәырҵлак
AB1727	апингвинԥшқақәа
AB1728	ахыҵра
AB1729	иалагоит.
AB1730	Агьырҭ
AB1731	аԥсаатәқәа
AB1732	макьана
AB1733	имааӡац
AB1734	арахь,
AB1735	аха
AB1736	ари
AB1737	аӡынра
AB1738	ду
AB1739	зхызгаз
AB1740	апингвинқәа
AB1741	рыԥшқақәа
AB1742	еиҳа
AB1743	ԥыжәара
AB1744	рымоуп
AB1745	иаараны
AB1746	иҟоу
AB1747	раасҭа.
AB1748	Урҭ
AB1749	азыҟаҵоуп
AB1750	лассы
AB1751	ииасуа
AB1752	антарктикатәи
AB1753	аԥхынра.
